Date,Price,Open,High,Low,Vol.,Change %
7/1/21,46800.00,46880.00,47120.00,46080.00,618630.00,-0.17%
7/2/21,45600.00,46640.00,46800.00,45520.00,601000.00,-2.56%
7/5/21,44240.00,45600.00,45760.00,43680.00,1890000.00,-2.98%
7/6/21,44160.00,44240.00,45040.00,44080.00,2010000.00,-0.18%
7/7/21,44160.00,44160.00,44800.00,43360.00,1930000.00,0.00%
7/8/21,45200.00,44160.00,45600.00,44160.00,2310000.00,2.36%
7/9/21,43440.00,45200.00,45440.00,43440.00,1740000.00,-3.89%
7/12/21,40400.00,43440.00,43920.00,40400.00,5710000.00,-7.00%
7/13/21,39920.00,40400.00,41200.00,39520.00,1480000.00,-1.19%
7/14/21,40000.00,39920.00,40000.00,38880.00,1700000.00,0.20%
7/15/21,40800.00,40000.00,40800.00,39760.00,1250000.00,2.00%
7/16/21,40800.00,40800.00,41600.00,40000.00,1390000.00,0.00%
7/19/21,38320.00,40080.00,40480.00,38080.00,1290000.00,-6.08%
7/20/21,36160.00,38320.00,38320.00,35640.00,1380000.00,-5.64%
7/21/21,36400.00,36240.00,36960.00,35840.00,1190000.00,0.66%
7/22/21,36960.00,36400.00,37120.00,36320.00,1090000.00,1.54%
7/23/21,36320.00,36960.00,37120.00,35520.00,1000000.00,-1.73%
7/26/21,35120.00,35760.00,36560.00,34800.00,1130000.00,-3.30%
7/27/21,35440.00,35200.00,35600.00,34800.00,950000.00,0.91%
7/28/21,35520.00,35520.00,35520.00,34960.00,1040000.00,0.23%
7/29/21,36320.00,35520.00,36400.00,35200.00,1220000.00,2.25%
7/30/21,36600.00,36480.00,36720.00,36320.00,1420000.00,0.77%
8/2/21,36960.00,36560.00,37360.00,36080.00,1340000.00,0.98%
8/3/21,36160.00,36640.00,36800.00,35360.00,1010000.00,-2.16%
8/4/21,36400.00,36240.00,36720.00,35600.00,1400000.00,0.66%
8/5/21,36000.00,36400.00,36560.00,35680.00,1850000.00,-1.10%
8/6/21,37520.00,36160.00,37600.00,35800.00,2600000.00,4.22%
8/9/21,39680.00,37600.00,39760.00,37600.00,2680000.00,5.76%
8/10/21,39040.00,40000.00,40320.00,38400.00,2550000.00,-1.61%
8/11/21,38000.00,39120.00,39120.00,37800.00,2370000.00,-2.66%
8/12/21,36640.00,38000.00,38160.00,36640.00,2300000.00,-3.58%
8/13/21,37440.00,36640.00,37520.00,36560.00,3320000.00,2.18%
8/16/21,39040.00,37520.00,39120.00,37520.00,3170000.00,4.27%
8/17/21,38000.00,39120.00,39440.00,37600.00,3130000.00,-2.66%
8/18/21,37760.00,38000.00,38320.00,37520.00,3780000.00,-0.63%
8/19/21,40400.00,37840.00,40400.00,37840.00,4330000.00,6.99%
8/20/21,41200.00,40560.00,42240.00,40000.00,5220000.00,1.98%
8/23/21,40720.00,41280.00,42000.00,40000.00,4400000.00,-1.17%
8/24/21,39120.00,40720.00,41280.00,38400.00,4370000.00,-3.93%
8/25/21,38000.00,39120.00,39600.00,36480.00,4670000.00,-2.86%
8/26/21,37600.00,38080.00,38480.00,37120.00,4480000.00,-1.05%
8/27/21,40160.00,37600.00,40160.00,36000.00,15000000.00,6.81%
8/30/21,42960.00,40240.00,42960.00,40240.00,13360000.00,6.97%
8/31/21,42960.00,43040.00,45280.00,41440.00,11530000.00,0.00%
9/1/21,42400.00,42000.00,42960.00,40880.00,7160000.00,-1.30%
9/6/21,44160.00,42480.00,44400.00,42480.00,19440000.00,4.15%
9/7/21,41120.00,43920.00,43920.00,41120.00,7010000.00,-6.88%
9/8/21,41520.00,41360.00,42000.00,39360.00,3150000.00,0.97%
9/9/21,40960.00,41440.00,41520.00,40320.00,2340000.00,-1.35%
9/10/21,40400.00,40960.00,41840.00,40400.00,2230000.00,-1.37%
9/13/21,40000.00,40400.00,40480.00,38000.00,6410000.00,-0.99%
9/14/21,37600.00,39520.00,40400.00,37600.00,3840000.00,-6.00%
9/15/21,38400.00,37840.00,38720.00,37680.00,2460000.00,2.13%
9/16/21,37040.00,38320.00,38400.00,37040.00,2830000.00,-3.54%
9/17/21,34560.00,37200.00,37760.00,34560.00,4690000.00,-6.70%
9/20/21,35520.00,35280.00,36240.00,34720.00,3600000.00,2.78%
9/21/21,35680.00,35200.00,36800.00,34880.00,2710000.00,0.45%
9/22/21,35360.00,35760.00,36000.00,34960.00,2150000.00,-0.90%
9/23/21,35520.00,35440.00,35920.00,35200.00,2670000.00,0.45%
9/24/21,35360.00,35600.00,35920.00,35280.00,2320000.00,-0.45%
9/27/21,33600.00,35440.00,35760.00,33440.00,2680000.00,-4.98%
9/28/21,33160.00,33680.00,33920.00,32000.00,2080000.00,-1.31%
9/29/21,32480.00,33120.00,33120.00,32040.00,1940000.00,-2.05%
9/30/21,32480.00,32560.00,32680.00,32040.00,1510000.00,0.00%
10/1/21,32240.00,32480.00,32560.00,32040.00,1290000.00,-0.74%
10/4/21,33280.00,32240.00,33760.00,32040.00,1980000.00,3.23%
10/5/21,33960.00,33280.00,34400.00,33280.00,2170000.00,2.04%
10/6/21,33760.00,34000.00,34320.00,33600.00,2130000.00,-0.59%
10/7/21,32960.00,33760.00,33760.00,32600.00,2430000.00,-2.37%
10/8/21,32800.00,33040.00,33440.00,32400.00,2730000.00,-0.49%
10/11/21,32960.00,32880.00,33080.00,32080.00,2450000.00,0.49%
10/12/21,33960.00,33040.00,34040.00,32960.00,3680000.00,3.03%
10/13/21,33440.00,34000.00,34000.00,32880.00,2200000.00,-1.53%
10/14/21,33480.00,33440.00,34280.00,32880.00,4010000.00,0.12%
10/15/21,33600.00,33560.00,34000.00,33240.00,3250000.00,0.36%
10/18/21,33520.00,33640.00,33960.00,32880.00,3280000.00,-0.24%
10/19/21,33120.00,33480.00,33480.00,32800.00,2340000.00,-1.19%
10/20/21,32800.00,33160.00,33440.00,32320.00,3390000.00,-0.97%
10/21/21,32440.00,32840.00,33000.00,32080.00,2730000.00,-1.10%
10/22/21,32880.00,32480.00,33000.00,32440.00,3840000.00,1.36%
10/25/21,33760.00,33000.00,33960.00,33000.00,4180000.00,2.68%
10/26/21,33600.00,33800.00,33880.00,32960.00,2730000.00,-0.47%
10/27/21,33600.00,33640.00,33960.00,33040.00,4380000.00,0.00%
10/28/21,33600.00,33600.00,33920.00,33120.00,3930000.00,0.00%
10/29/21,33600.00,33640.00,33800.00,33320.00,3370000.00,0.00%
11/1/21,34320.00,33680.00,34400.00,33680.00,6190000.00,2.14%
11/2/21,35120.00,34480.00,35520.00,34440.00,5860000.00,2.33%
11/3/21,33600.00,35160.00,35200.00,33560.00,5280000.00,-4.33%
11/4/21,33120.00,33600.00,33680.00,32840.00,4030000.00,-1.43%
11/5/21,33760.00,33160.00,34200.00,32800.00,5490000.00,1.93%
11/8/21,33840.00,33720.00,34360.00,33400.00,4870000.00,0.24%
11/9/21,33600.00,33880.00,34000.00,33320.00,4640000.00,-0.71%
11/10/21,34800.00,33600.00,35400.00,33200.00,8720000.00,3.57%
11/11/21,35960.00,34800.00,36560.00,34720.00,11350000.00,3.33%
11/12/21,36320.00,36000.00,36600.00,35600.00,16660000.00,1.00%
11/15/21,35760.00,36360.00,36400.00,35280.00,6520000.00,-1.54%
11/16/21,34640.00,35680.00,35680.00,34320.00,7020000.00,-3.13%
11/17/21,35080.00,34680.00,35400.00,34240.00,6500000.00,1.27%
11/18/21,34920.00,35120.00,35440.00,34560.00,6680000.00,-0.46%
11/19/21,33680.00,34960.00,35320.00,32800.00,6570000.00,-3.55%
11/22/21,32480.00,33920.00,33920.00,32440.00,5630000.00,-3.56%
11/23/21,32560.00,32480.00,33120.00,32120.00,5020000.00,0.25%
11/24/21,32760.00,32600.00,33080.00,32520.00,4350000.00,0.61%
11/25/21,32600.00,32800.00,32960.00,32440.00,3970000.00,-0.49%
11/26/21,32360.00,32680.00,32960.00,32240.00,4910000.00,-0.74%
11/29/21,32240.00,32000.00,32240.00,31240.00,6400000.00,-0.37%
11/30/21,31760.00,32320.00,32640.00,31200.00,5190000.00,-1.49%
12/1/21,30720.00,31520.00,31600.00,30480.00,6330000.00,-3.27%
12/2/21,30960.00,30800.00,31120.00,30720.00,4110000.00,0.78%
12/3/21,29600.00,31000.00,31240.00,29600.00,4940000.00,-4.39%
12/6/21,27560.00,29280.00,29600.00,27560.00,6940000.00,-6.89%
12/7/21,28640.00,28000.00,28680.00,28000.00,10220000.00,3.92%
12/8/21,29080.00,28800.00,29440.00,28800.00,9540000.00,1.54%
12/9/21,29840.00,29080.00,29920.00,28920.00,7580000.00,2.61%
12/10/21,29440.00,29920.00,30240.00,29200.00,6510000.00,-1.34%
12/13/21,29120.00,29520.00,29600.00,28800.00,6230000.00,-1.09%
12/14/21,28720.00,29160.00,29200.00,28280.00,6020000.00,-1.37%
12/15/21,28800.00,28760.00,29320.00,28480.00,5270000.00,0.28%
12/16/21,28440.00,28840.00,29040.00,28200.00,4990000.00,-1.25%
12/17/21,27720.00,28440.00,28520.00,27720.00,4910000.00,-2.53%
12/20/21,27040.00,27800.00,27800.00,26720.00,4850000.00,-2.45%
12/21/21,28920.00,26880.00,28920.00,26400.00,8270000.00,6.95%
12/22/21,30000.00,29160.00,30920.00,29160.00,12170000.00,3.73%
12/23/21,30000.00,30000.00,31120.00,28160.00,12860000.00,0.00%
12/24/21,29360.00,30080.00,30120.00,28480.00,7610000.00,-2.13%
12/27/21,29840.00,29440.00,30360.00,28800.00,11150000.00,1.63%
12/28/21,30720.00,30000.00,31040.00,30000.00,13000000.00,2.95%
12/29/21,30480.00,30800.00,31160.00,30240.00,6790000.00,-0.78%
12/30/21,29920.00,30520.00,30800.00,29880.00,5770000.00,-1.84%
12/31/21,29720.00,29920.00,30360.00,29600.00,8810000.00,-0.67%
1/4/22,30120.00,29840.00,30400.00,29600.00,7230000.00,1.35%
1/5/22,29720.00,30160.00,30360.00,29600.00,7390000.00,-1.33%
1/6/22,29800.00,29720.00,30280.00,29200.00,9500000.00,0.27%
1/7/22,29600.00,29840.00,30240.00,29480.00,8900000.00,-0.67%
1/10/22,28760.00,29640.00,29680.00,28760.00,9860000.00,-2.84%
1/11/22,27600.00,28800.00,29040.00,27360.00,8070000.00,-4.03%
1/12/22,27760.00,27640.00,28200.00,26320.00,8730000.00,0.58%
1/13/22,27160.00,27800.00,28120.00,26800.00,6750000.00,-2.16%
1/14/22,27160.00,26760.00,27400.00,26040.00,7360000.00,0.00%
1/17/22,26440.00,27240.00,27880.00,26320.00,9340000.00,-2.65%
1/18/22,26000.00,26440.00,26760.00,25480.00,6650000.00,-1.66%
1/19/22,25600.00,26040.00,26320.00,25200.00,5460000.00,-1.54%
1/20/22,25280.00,25600.00,25680.00,24800.00,6790000.00,-1.25%
1/21/22,25600.00,25480.00,25880.00,25200.00,5690000.00,1.27%
1/24/22,24720.00,25560.00,25560.00,24520.00,6310000.00,-3.44%
1/25/22,24760.00,24560.00,24840.00,23840.00,6370000.00,0.16%
1/26/22,25280.00,24720.00,25520.00,24120.00,6540000.00,2.10%
1/27/22,24800.00,25320.00,25400.00,24560.00,5260000.00,-1.90%
1/28/22,24960.00,24800.00,25080.00,24320.00,6350000.00,0.65%
2/7/22,25840.00,25240.00,25960.00,24960.00,5260000.00,3.53%
2/8/22,26480.00,25840.00,26640.00,25520.00,6000000.00,2.48%
2/9/22,27440.00,26560.00,27520.00,26560.00,8580000.00,3.63%
2/10/22,29350.00,28300.00,29350.00,28200.00,1900000.00,6.96%
2/11/22,29500.00,29950.00,30950.00,28750.00,7900000.00,0.51%
2/14/22,28200.00,29050.00,29250.00,28200.00,6010000.00,-4.41%
2/15/22,28550.00,28000.00,28700.00,27600.00,6350000.00,1.24%
2/16/22,28600.00,28850.00,29350.00,28550.00,5310000.00,0.18%
2/17/22,28800.00,28650.00,29200.00,28200.00,3980000.00,0.70%
2/18/22,28600.00,28600.00,28600.00,28200.00,4000000.00,-0.69%
2/21/22,28600.00,28700.00,28950.00,28300.00,5110000.00,0.00%
2/22/22,28150.00,28000.00,28450.00,27600.00,5610000.00,-1.57%
2/23/22,28100.00,28300.00,28700.00,27750.00,5240000.00,-0.18%
2/24/22,26800.00,27800.00,28100.00,26200.00,5410000.00,-4.63%
2/25/22,26900.00,27150.00,27400.00,26800.00,5070000.00,0.37%
2/28/22,26250.00,26950.00,26950.00,26150.00,4770000.00,-2.42%
3/1/22,27000.00,26200.00,27250.00,26200.00,4210000.00,2.86%
3/2/22,26800.00,27100.00,27100.00,26450.00,4360000.00,-0.74%
3/3/22,27100.00,26900.00,27150.00,26550.00,4110000.00,1.12%
3/4/22,26750.00,27300.00,27300.00,26700.00,4890000.00,-1.29%
3/7/22,26350.00,26700.00,26700.00,26100.00,4560000.00,-1.50%
3/8/22,26250.00,26200.00,26700.00,26050.00,3530000.00,-0.38%
3/9/22,25950.00,26250.00,26500.00,25500.00,4830000.00,-1.14%
3/10/22,25700.00,26200.00,26250.00,25700.00,3480000.00,-0.96%
3/11/22,25250.00,25600.00,25750.00,25150.00,4610000.00,-1.75%
3/14/22,24800.00,25250.00,25450.00,24750.00,3490000.00,-1.78%
3/15/22,24900.00,24850.00,25200.00,24700.00,2850000.00,0.40%
3/16/22,26600.00,25000.00,26600.00,25000.00,12180000.00,6.83%
3/17/22,26700.00,27000.00,27650.00,26600.00,5990000.00,0.38%
3/18/22,25800.00,26700.00,26950.00,25800.00,4570000.00,-3.37%
3/21/22,26100.00,26000.00,26450.00,25400.00,6260000.00,1.16%
3/22/22,26300.00,26150.00,26500.00,26000.00,5960000.00,0.77%
3/23/22,26900.00,26500.00,27700.00,26400.00,11550000.00,2.28%
3/24/22,28750.00,27000.00,28750.00,27000.00,14760000.00,6.88%
3/25/22,30100.00,29200.00,30200.00,28550.00,13330000.00,4.70%
3/28/22,29300.00,29050.00,30000.00,28400.00,8610000.00,-2.66%
3/29/22,30500.00,29300.00,30900.00,29250.00,9270000.00,4.10%
3/30/22,28600.00,29900.00,30300.00,28400.00,10190000.00,-6.23%
3/31/22,27800.00,28750.00,29250.00,27800.00,9040000.00,-2.80%
