Date,Price,Open,High,Low,Vol.,Change %
7/1/21,21270.50,21024.60,21311.50,20819.70,4470000.00,1.17%
7/2/21,20901.60,21393.40,21393.40,20901.60,4950000.00,-1.73%
7/5/21,20409.80,20901.60,20942.60,20327.90,5820000.00,-2.35%
7/6/21,19016.40,20491.80,20491.80,19016.40,7450000.00,-6.83%
7/7/21,18442.60,18770.50,19016.40,17909.80,7130000.00,-3.02%
7/8/21,19016.40,18852.50,19672.10,18729.50,5270000.00,3.11%
7/9/21,19262.30,19098.40,19262.30,18032.80,4090000.00,1.29%
7/12/21,18688.50,18934.40,18934.40,17950.80,6960000.00,-2.98%
7/13/21,18688.50,18442.60,18729.50,18032.80,2640000.00,0.00%
7/14/21,18647.50,18606.60,19262.30,18196.70,3900000.00,-0.22%
7/15/21,18811.50,18319.70,19098.40,18319.70,2430000.00,0.88%
7/16/21,19385.20,18811.50,19508.20,18770.50,4950000.00,3.05%
7/19/21,18032.80,18565.60,19262.30,18032.80,7240000.00,-6.98%
7/20/21,18278.70,18114.70,18442.60,17295.10,3870000.00,1.36%
7/21/21,18032.80,18278.70,18565.60,18032.80,2780000.00,-1.35%
7/22/21,19262.30,17991.80,19262.30,17827.90,9100000.00,6.82%
7/23/21,19262.30,19426.20,20082.00,19221.30,8760000.00,0.00%
7/26/21,20204.90,19098.40,20491.80,19016.40,8410000.00,4.89%
7/27/21,20082.00,20491.80,20532.80,19672.10,8470000.00,-0.61%
7/28/21,20450.80,20000.00,20901.60,19918.00,8600000.00,1.84%
7/29/21,20614.70,20532.80,20655.70,20245.90,6720000.00,0.80%
7/30/21,20983.60,20655.70,21434.40,20573.80,10280000.00,1.79%
8/2/21,20737.70,20696.70,21393.40,20655.70,6470000.00,-1.17%
8/3/21,21188.50,20778.70,21270.50,20614.70,8980000.00,2.17%
8/4/21,22295.10,21598.40,22541.00,21557.40,23980000.00,5.22%
8/5/21,22745.90,22295.10,23073.80,22172.10,12630000.00,2.02%
8/6/21,23811.50,22786.90,24303.30,22459.00,21800000.00,4.68%
8/9/21,25245.90,24016.40,25327.90,23975.40,17820000.00,6.02%
8/10/21,24836.10,25573.80,25778.70,24385.20,27410000.00,-1.62%
8/11/21,25082.00,24836.10,25286.90,24344.30,19120000.00,0.99%
8/12/21,26680.30,25409.80,26803.30,25409.80,23070000.00,6.37%
8/13/21,27868.80,26229.50,28360.60,25327.90,19430000.00,4.45%
8/16/21,27786.90,28688.50,28688.50,27786.90,15870000.00,-0.29%
8/17/21,26352.50,27418.00,27500.00,26352.50,21540000.00,-5.16%
8/18/21,27868.80,26229.50,28196.70,26147.50,14830000.00,5.75%
8/19/21,28524.60,28278.70,28934.40,28278.70,9750000.00,2.35%
8/20/21,26639.30,28155.70,28606.60,26557.40,27910000.00,-6.61%
8/23/21,26598.40,26434.40,27459.00,25901.60,16280000.00,-0.15%
8/24/21,25082.00,27049.20,27213.10,25000.00,16570000.00,-5.70%
8/25/21,26803.30,25245.90,26803.30,25082.00,11810000.00,6.86%
8/26/21,26680.30,27295.10,27459.00,26229.50,10630000.00,-0.46%
8/27/21,27622.90,26229.50,28278.70,26147.50,21250000.00,3.53%
8/30/21,27622.90,27704.90,28196.70,27295.10,13580000.00,0.00%
8/31/21,28606.60,27704.90,29180.30,27459.00,22990000.00,3.56%
9/1/21,29221.30,28524.60,29508.20,28360.60,10860000.00,2.15%
9/6/21,28606.60,29467.20,29713.10,28565.60,15200000.00,-2.10%
9/7/21,27295.10,28278.70,28442.60,27049.20,23030000.00,-4.58%
9/8/21,27541.00,27090.20,27909.80,27090.20,8180000.00,0.90%
9/9/21,27950.80,27868.80,28114.70,27459.00,5040000.00,1.49%
9/10/21,27622.90,28114.70,28114.70,27541.00,7610000.00,-1.17%
9/13/21,26680.30,27663.90,27868.80,26516.40,16800000.00,-3.41%
9/14/21,26024.60,26475.40,27008.20,25491.80,13450000.00,-2.46%
9/15/21,26557.40,25983.60,27049.20,25819.70,5860000.00,2.05%
9/16/21,27131.10,26926.20,27213.10,26598.40,6300000.00,2.16%
9/17/21,27909.80,27541.00,28114.70,27295.10,12030000.00,2.87%
9/20/21,26229.50,27418.00,27786.90,26229.50,14420000.00,-6.02%
9/21/21,26311.50,25491.80,26885.20,25082.00,14470000.00,0.31%
9/22/21,26393.40,26475.40,26803.30,26065.60,5890000.00,0.31%
9/23/21,26065.60,26639.30,27172.10,26065.60,6750000.00,-1.24%
9/24/21,25901.60,26065.60,26352.50,25901.60,5140000.00,-0.63%
9/27/21,24098.40,25860.60,26147.50,24098.40,12200000.00,-6.96%
9/28/21,25409.80,23770.50,25409.80,23606.60,10790000.00,5.44%
9/29/21,25409.80,25245.90,25983.60,24918.00,8220000.00,0.00%
9/30/21,25409.80,25655.70,26229.50,25368.80,4340000.00,0.00%
10/1/21,25000.00,25122.90,25573.80,25000.00,5440000.00,-1.61%
10/4/21,24631.10,25000.00,25737.70,24180.30,7410000.00,-1.48%
10/5/21,25491.80,25000.00,25737.70,24590.20,5590000.00,3.49%
10/6/21,27254.10,26147.50,27254.10,25819.70,15280000.00,6.91%
10/7/21,27254.10,27459.00,27950.80,27254.10,7540000.00,0.00%
10/8/21,27541.00,27704.90,28278.70,27377.00,8560000.00,1.05%
10/11/21,27541.00,27868.80,28196.70,27459.00,9480000.00,0.00%
10/12/21,28524.60,27745.90,28852.50,27500.00,13440000.00,3.57%
10/13/21,29016.40,28852.50,29262.30,28606.60,8990000.00,1.72%
10/14/21,30655.70,29344.30,30737.70,29262.30,16290000.00,5.65%
10/15/21,30655.70,30901.60,31311.50,30082.00,11480000.00,0.00%
10/18/21,31270.50,30778.70,31475.40,30778.70,10910000.00,2.01%
10/19/21,30614.70,31188.50,31270.50,30573.80,10150000.00,-2.10%
10/20/21,31434.40,30532.80,32213.10,30532.80,12040000.00,2.68%
10/21/21,32704.90,31885.20,32786.90,31598.40,9330000.00,4.04%
10/22/21,34918.00,33196.70,34959.00,32827.90,13290000.00,6.77%
10/25/21,33770.50,35245.90,35942.60,33770.50,11710000.00,-3.29%
10/26/21,35491.80,33770.50,35614.70,33114.70,15050000.00,5.10%
10/27/21,37868.80,36352.50,37950.80,36065.60,9860000.00,6.70%
10/28/21,40163.90,38524.60,40163.90,38360.60,8260000.00,6.06%
10/29/21,41721.30,40901.60,42459.00,40573.80,13240000.00,3.88%
11/1/21,44590.20,41721.30,44590.20,40819.70,13560000.00,6.88%
11/2/21,47704.90,46721.30,47704.90,46721.30,5150000.00,6.99%
11/3/21,44426.20,50983.60,50983.60,44426.20,27980000.00,-6.87%
11/4/21,45983.60,44262.30,47131.10,42049.20,19290000.00,3.51%
11/5/21,45573.80,47541.00,48196.70,45491.80,7710000.00,-0.89%
11/8/21,45573.80,45573.80,46721.30,44754.10,8980000.00,0.00%
11/9/21,47541.00,45163.90,47950.80,44836.10,10420000.00,4.32%
11/10/21,50819.70,49180.30,50819.70,48360.60,7640000.00,6.90%
11/11/21,54344.20,53114.70,54344.20,51229.50,10380000.00,6.94%
11/12/21,58114.70,55000.00,58114.70,54508.20,8070000.00,6.94%
11/15/21,55737.70,58852.40,61885.20,54098.30,15060000.00,-4.09%
11/16/21,54918.00,54262.30,57213.10,53524.60,11810000.00,-1.47%
11/17/21,55082.00,54590.20,55737.70,54098.30,6160000.00,0.30%
11/18/21,58934.40,56557.40,58934.40,55819.70,6190000.00,6.99%
11/19/21,57377.00,62295.10,62295.10,55082.00,10030000.00,-2.64%
11/22/21,53360.60,57377.00,58524.60,53360.60,12440000.00,-7.00%
11/23/21,50000.00,49672.10,53114.70,49672.10,16110000.00,-6.30%
11/24/21,51721.30,51721.30,52868.80,50000.00,5770000.00,3.44%
11/25/21,55327.90,52541.00,55327.90,52541.00,3320000.00,6.97%
11/26/21,57295.10,59180.30,59180.30,55737.70,10740000.00,3.56%
11/29/21,57459.00,56557.40,58852.40,55819.70,5880000.00,0.29%
11/30/21,56147.50,57622.90,59016.40,54672.10,11430000.00,-2.28%
12/1/21,53606.50,55655.70,55655.70,53442.60,7600000.00,-4.53%
12/2/21,55983.60,54918.00,56967.20,53852.40,5860000.00,4.43%
12/3/21,53278.70,56803.30,58524.60,53278.70,6800000.00,-4.83%
12/6/21,52786.90,54426.20,55245.90,50655.70,7030000.00,-0.92%
12/7/21,55737.70,53852.40,56147.50,51639.30,5140000.00,5.59%
12/8/21,55983.60,55983.60,58606.50,54590.20,7860000.00,0.44%
12/9/21,56885.20,55983.60,57295.10,55983.60,4040000.00,1.61%
12/10/21,56147.50,57377.00,58196.70,55901.60,5530000.00,-1.30%
12/13/21,60000.00,56147.50,60000.00,55737.70,11030000.00,6.86%
12/14/21,63852.40,60819.70,63934.40,60819.70,6290000.00,6.42%
12/15/21,66803.30,67213.10,67213.10,65163.90,6900000.00,4.62%
12/16/21,71475.40,67541.00,71475.40,66803.30,7600000.00,6.99%
12/17/21,74590.10,74426.20,76229.50,71311.50,10870000.00,4.36%
12/20/21,71311.50,74590.10,74672.10,69672.10,8830000.00,-4.40%
12/21/21,76229.50,70901.60,76229.50,69672.10,7730000.00,6.90%
12/22/21,78934.40,80327.80,81147.50,77950.80,5800000.00,3.55%
12/23/21,73442.60,79016.40,79098.30,73442.60,12450000.00,-6.96%
12/24/21,73770.50,71475.40,76393.40,71475.40,5060000.00,0.45%
12/27/21,78934.40,74590.10,78934.40,73360.60,5100000.00,7.00%
12/28/21,83196.70,81721.30,83852.40,79426.20,6340000.00,5.40%
12/29/21,79508.20,84426.20,85655.70,78524.60,6050000.00,-4.43%
12/30/21,78688.50,79508.20,81967.20,77868.80,4230000.00,-1.03%
12/31/21,79262.30,79508.20,80819.70,77868.80,3910000.00,0.73%
1/4/22,84754.10,81967.20,84754.10,80409.80,4310000.00,6.93%
1/5/22,90655.70,90655.70,90655.70,86885.20,6340000.00,6.96%
1/6/22,89754.10,89508.20,93360.60,88524.60,6270000.00,-0.99%
1/7/22,95983.60,91065.60,95983.60,88524.60,5180000.00,6.94%
1/10/22,91803.30,95000.00,102622.90,91803.30,7380000.00,-4.36%
1/11/22,98196.70,94262.30,98196.70,92213.10,7080000.00,6.96%
1/12/22,91393.40,97541.00,102459.00,91393.40,16780000.00,-6.93%
1/13/22,85000.00,91803.30,95081.90,85000.00,7530000.00,-7.00%
1/14/22,79180.30,79098.30,86885.20,79098.30,15740000.00,-6.85%
1/17/22,73688.50,81721.30,81885.20,73688.50,10210000.00,-6.94%
1/18/22,68606.50,68606.50,68606.50,68606.50,855000.00,-6.90%
1/19/22,63852.40,63852.40,63852.40,63852.40,830700.00,-6.93%
1/20/22,68278.70,59426.20,68278.70,59426.20,15900000.00,6.93%
1/21/22,73032.80,73032.80,73032.80,68278.70,10080000.00,6.96%
1/24/22,67950.80,73934.40,74590.10,67950.80,8010000.00,-6.96%
