"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","27,600.0","27,600.0","27,600.0","27,600.0","0.10K","0.00%"
"07/02/2021","27,406.0","27,308.0","27,406.0","27,211.0","0.60K","-0.70%"
"07/05/2021","27,600.0","27,600.0","27,600.0","27,503.0","4.81K","0.71%"
"07/06/2021","27,308.0","27,308.0","27,308.0","27,308.0","0.10K","-1.06%"
"07/07/2021","27,406.0","27,211.0","27,406.0","27,211.0","0.60K","0.36%"
"07/08/2021","27,211.0","27,406.0","27,406.0","27,211.0","4.58K","-0.71%"
"07/09/2021","27,308.0","27,211.0","27,308.0","27,211.0","0.50K","0.36%"
"07/12/2021","26,628.0","26,628.0","26,628.0","25,656.0","1.10K","-2.49%"
"07/13/2021","27,406.0","25,754.0","27,600.0","25,754.0","0.50K","2.92%"
"07/15/2021","27,406.0","25,656.0","27,406.0","24,879.0","1.90K","0.00%"
"07/16/2021","27,308.0","25,754.0","27,308.0","25,754.0","1.20K","-0.36%"
"07/19/2021","25,073.0","26,920.0","26,920.0","24,879.0","3.30K","-8.18%"
"07/21/2021","26,337.0","24,296.0","26,337.0","24,296.0","1.31K","5.04%"
"07/22/2021","26,337.0","26,434.0","26,434.0","26,239.0","2.20K","0.00%"
"07/23/2021","26,142.0","26,725.0","26,725.0","26,142.0","1.30K","-0.74%"
"07/26/2021","26,823.0","25,170.0","26,823.0","25,170.0","0.70K","2.61%"
"07/28/2021","26,239.0","26,337.0","26,337.0","26,239.0","0.70K","-2.18%"
"07/29/2021","26,239.0","26,531.0","26,531.0","26,239.0","0.30K","0.00%"
"07/30/2021","26,337.0","25,268.0","26,434.0","25,268.0","1.21K","0.37%"
"08/02/2021","26,434.0","25,851.0","26,434.0","25,851.0","0.60K","0.37%"
"08/03/2021","26,239.0","26,337.0","26,337.0","25,851.0","1.90K","-0.74%"
"08/04/2021","26,239.0","24,490.0","26,239.0","24,490.0","1.50K","0.00%"
"08/05/2021","26,239.0","26,725.0","26,725.0","26,142.0","0.40K","0.00%"
"08/06/2021","26,142.0","25,656.0","26,142.0","25,656.0","3.20K","-0.37%"
"08/09/2021","26,337.0","26,045.0","26,337.0","26,045.0","0.80K","0.75%"
