"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","28,760.0","28,440.0","28,960.0","28,080.0","12.99M","0.70%"
"07/02/2021","28,880.0","29,040.0","29,120.0","28,800.0","8.01M","0.42%"
"07/05/2021","30,360.0","29,040.0","30,480.0","28,720.0","20.84M","5.12%"
"07/06/2021","28,800.0","30,400.0","30,560.0","28,800.0","12.59M","-5.14%"
"07/07/2021","29,240.0","28,800.0","29,520.0","28,080.0","12.65M","1.53%"
"07/08/2021","28,960.0","29,240.0","29,760.0","28,800.0","9.19M","-0.96%"
"07/09/2021","28,160.0","28,800.0","29,280.0","27,200.0","14.14M","-2.76%"
"07/12/2021","26,200.0","27,600.0","27,800.0","26,200.0","22.94M","-6.96%"
"07/13/2021","26,320.0","26,640.0","26,640.0","25,840.0","8.34M","0.46%"
"07/14/2021","25,400.0","26,320.0","26,400.0","24,880.0","13.51M","-3.50%"
"07/15/2021","26,200.0","25,120.0","26,360.0","25,080.0","6.37M","3.15%"
"07/16/2021","26,880.0","26,520.0","26,880.0","26,240.0","7.40M","2.60%"
"07/19/2021","25,720.0","26,320.0","26,520.0","25,560.0","12.52M","-4.32%"
"07/20/2021","27,120.0","26,000.0","27,120.0","25,600.0","10.70M","5.44%"
"07/21/2021","27,040.0","27,240.0","27,600.0","27,000.0","10.22M","-0.29%"
"07/22/2021","27,280.0","27,040.0","27,520.0","26,560.0","8.95M","0.89%"
"07/23/2021","26,400.0","27,120.0","27,320.0","26,400.0","9.29M","-3.23%"
"07/26/2021","26,160.0","26,080.0","26,480.0","25,640.0","9.41M","-0.91%"
"07/27/2021","26,520.0","26,440.0","26,800.0","26,400.0","7.04M","1.38%"
"07/28/2021","26,520.0","26,560.0","26,880.0","26,440.0","6.06M","0.00%"
"07/29/2021","27,320.0","26,760.0","27,360.0","26,640.0","9.55M","3.02%"
"07/30/2021","28,920.0","27,440.0","28,920.0","27,440.0","43.95M","5.86%"
"08/02/2021","28,440.0","28,400.0","28,800.0","28,280.0","10.81M","-1.66%"
"08/03/2021","28,640.0","28,360.0","28,640.0","28,000.0","10.96M","0.70%"
"08/04/2021","28,400.0","28,800.0","28,800.0","28,240.0","10.58M","-0.84%"
"08/05/2021","28,800.0","28,280.0","28,880.0","28,240.0","17.23M","1.41%"
"08/06/2021","28,440.0","28,880.0","28,920.0","28,360.0","10.78M","-1.25%"
"08/09/2021","29,200.0","28,320.0","29,480.0","28,120.0","24.05M","2.67%"
"08/10/2021","29,200.0","29,440.0","29,480.0","28,960.0","13.07M","0.00%"
"08/11/2021","28,800.0","29,200.0","29,400.0","28,800.0","20.62M","-1.37%"
"08/12/2021","28,240.0","28,640.0","28,800.0","28,240.0","15.18M","-1.94%"
"08/13/2021","28,280.0","28,160.0","28,360.0","27,440.0","18.91M","0.14%"
"08/16/2021","28,560.0","28,280.0","28,800.0","27,840.0","15.07M","0.99%"
"08/17/2021","28,480.0","28,800.0","28,960.0","28,320.0","10.93M","-0.28%"
"08/18/2021","28,440.0","28,360.0","28,640.0","28,240.0","8.87M","-0.14%"
"08/19/2021","28,240.0","28,400.0","28,440.0","27,960.0","11.71M","-0.70%"
"08/20/2021","26,880.0","28,240.0","28,280.0","26,440.0","26.19M","-4.82%"
"08/23/2021","25,600.0","26,800.0","26,880.0","25,600.0","19.50M","-4.76%"
"08/24/2021","25,840.0","25,600.0","26,000.0","25,360.0","11.36M","0.94%"
"08/25/2021","25,960.0","25,760.0","26,000.0","25,520.0","6.08M","0.46%"
"08/26/2021","25,560.0","26,040.0","26,080.0","25,440.0","6.18M","-1.54%"
"08/27/2021","25,400.0","25,360.0","25,480.0","24,640.0","10.09M","-0.63%"
"08/30/2021","25,720.0","25,440.0","25,920.0","25,280.0","10.04M","1.26%"
"08/31/2021","25,600.0","26,000.0","26,080.0","25,600.0","6.91M","-0.47%"
"09/01/2021","25,600.0","25,600.0","26,200.0","25,560.0","10.89M","0.00%"
"09/06/2021","25,640.0","25,760.0","25,840.0","25,560.0","9.23M","0.16%"
"09/07/2021","26,000.0","25,920.0","26,200.0","25,760.0","9.95M","1.40%"
"09/08/2021","25,720.0","26,000.0","26,200.0","25,680.0","5.94M","-1.08%"
"09/09/2021","25,960.0","25,600.0","25,960.0","25,560.0","4.29M","0.93%"
"09/10/2021","25,840.0","26,000.0","26,040.0","25,800.0","5.13M","-0.46%"
"09/13/2021","25,520.0","25,840.0","25,840.0","25,520.0","6.50M","-1.24%"
"09/14/2021","25,200.0","25,480.0","25,600.0","25,200.0","5.64M","-1.25%"
"09/15/2021","24,960.0","25,200.0","25,200.0","24,920.0","6.22M","-0.95%"
"09/16/2021","25,040.0","25,000.0","25,240.0","24,960.0","4.32M","0.32%"
"09/17/2021","25,280.0","25,280.0","25,440.0","25,080.0","5.72M","0.96%"
"09/20/2021","25,680.0","25,600.0","25,840.0","25,480.0","7.98M","1.58%"
"09/21/2021","25,440.0","25,440.0","25,600.0","25,160.0","4.85M","-0.93%"
"09/22/2021","25,280.0","25,440.0","25,600.0","25,280.0","3.35M","-0.63%"
"09/23/2021","25,280.0","25,360.0","25,440.0","25,200.0","5.26M","0.00%"
"09/24/2021","25,600.0","25,440.0","25,720.0","25,280.0","8.36M","1.27%"
"09/27/2021","25,200.0","25,760.0","25,920.0","25,200.0","6.00M","-1.56%"
"09/28/2021","25,280.0","25,200.0","25,400.0","25,120.0","3.15M","0.32%"
"09/29/2021","25,080.0","25,280.0","25,360.0","24,920.0","4.52M","-0.79%"
"09/30/2021","25,240.0","25,080.0","25,280.0","25,040.0","5.49M","0.64%"
"10/01/2021","25,200.0","25,200.0","25,240.0","24,880.0","8.05M","-0.16%"
"10/04/2021","24,800.0","25,040.0","25,120.0","24,480.0","7.07M","-1.59%"
"10/05/2021","25,200.0","24,800.0","25,200.0","24,800.0","3.64M","1.61%"
"10/06/2021","25,080.0","25,240.0","25,320.0","24,880.0","4.15M","-0.48%"
"10/07/2021","24,960.0","25,200.0","25,200.0","24,960.0","2.70M","-0.48%"
"10/08/2021","25,160.0","25,120.0","25,240.0","25,000.0","4.35M","0.80%"
"10/11/2021","26,080.0","25,280.0","26,080.0","25,280.0","8.36M","3.66%"
"10/12/2021","26,080.0","26,320.0","26,320.0","25,920.0","4.23M","0.00%"
"10/13/2021","26,080.0","26,080.0","26,320.0","26,000.0","4.64M","0.00%"
"10/14/2021","25,840.0","26,080.0","26,160.0","25,760.0","5.65M","-0.92%"
"10/15/2021","25,760.0","26,000.0","26,040.0","25,680.0","3.72M","-0.31%"
"10/18/2021","25,600.0","25,880.0","26,080.0","25,600.0","5.68M","-0.62%"
"10/19/2021","25,840.0","25,920.0","25,920.0","25,520.0","4.52M","0.94%"
"10/20/2021","25,840.0","25,840.0","26,120.0","25,440.0","4.81M","0.00%"
"10/21/2021","25,400.0","25,840.0","25,840.0","25,400.0","5.17M","-1.70%"
"10/22/2021","25,280.0","25,520.0","25,560.0","25,160.0","4.78M","-0.47%"
"10/25/2021","25,000.0","25,360.0","25,360.0","24,880.0","6.50M","-1.11%"
"10/26/2021","24,880.0","25,000.0","25,000.0","24,640.0","6.57M","-0.48%"
"10/27/2021","25,120.0","24,920.0","25,440.0","24,920.0","7.29M","0.96%"
"10/28/2021","25,480.0","25,320.0","25,480.0","25,200.0","5.81M","1.43%"
"10/29/2021","26,400.0","25,480.0","26,400.0","25,400.0","17.00M","3.61%"
"11/01/2021","26,160.0","26,240.0","26,320.0","25,920.0","6.62M","-0.91%"
"11/02/2021","26,520.0","26,160.0","26,520.0","26,040.0","8.76M","1.38%"
"11/03/2021","27,080.0","26,640.0","27,280.0","26,600.0","16.33M","2.11%"
"11/04/2021","26,800.0","27,240.0","27,240.0","26,760.0","5.25M","-1.03%"
"11/05/2021","26,800.0","27,040.0","27,040.0","26,640.0","4.96M","0.00%"
"11/08/2021","26,720.0","26,800.0","26,920.0","26,560.0","6.73M","-0.30%"
"11/09/2021","26,760.0","26,720.0","27,040.0","26,680.0","6.31M","0.15%"
"11/10/2021","26,720.0","26,800.0","26,840.0","26,520.0","5.46M","-0.15%"
"11/11/2021","26,400.0","26,640.0","26,840.0","26,000.0","8.91M","-1.20%"
"11/12/2021","26,680.0","26,400.0","26,680.0","26,120.0","5.47M","1.06%"
"11/15/2021","26,720.0","26,720.0","26,880.0","26,600.0","6.10M","0.15%"
"11/16/2021","26,520.0","26,680.0","26,720.0","26,240.0","6.51M","-0.75%"
"11/17/2021","26,640.0","26,520.0","26,800.0","26,240.0","5.45M","0.45%"
"11/18/2021","26,000.0","26,800.0","26,800.0","26,000.0","6.87M","-2.40%"
"11/19/2021","26,760.0","26,160.0","27,120.0","26,040.0","12.24M","2.92%"
"11/22/2021","27,320.0","26,800.0","27,840.0","26,400.0","11.44M","2.09%"
"11/23/2021","27,160.0","27,400.0","27,440.0","26,960.0","4.80M","-0.59%"
"11/24/2021","28,280.0","27,120.0","28,360.0","27,000.0","17.87M","4.12%"
"11/25/2021","28,120.0","28,400.0","28,440.0","27,960.0","8.85M","-0.57%"
"11/26/2021","27,680.0","28,120.0","28,240.0","27,680.0","7.76M","-1.56%"
"11/29/2021","27,320.0","27,040.0","27,440.0","27,040.0","7.62M","-1.30%"
"11/30/2021","26,640.0","27,520.0","27,600.0","26,560.0","7.68M","-2.49%"
"12/01/2021","26,800.0","26,480.0","26,800.0","26,440.0","4.53M","0.60%"
"12/02/2021","26,560.0","26,880.0","26,880.0","26,560.0","3.31M","-0.90%"
"12/03/2021","26,040.0","26,720.0","26,840.0","26,040.0","6.15M","-1.96%"
"12/06/2021","25,840.0","25,840.0","26,240.0","25,320.0","8.12M","-0.77%"
"12/07/2021","26,360.0","26,000.0","26,360.0","25,680.0","3.53M","2.01%"
"12/08/2021","26,480.0","26,120.0","26,720.0","26,040.0","3.63M","0.46%"
"12/09/2021","26,640.0","26,400.0","26,640.0","26,240.0","2.70M","0.60%"
"12/10/2021","26,720.0","26,560.0","26,880.0","26,480.0","5.91M","0.30%"
"12/13/2021","26,720.0","26,840.0","27,040.0","26,640.0","3.77M","0.00%"
"12/14/2021","26,640.0","26,640.0","26,800.0","26,480.0","2.66M","-0.30%"
"12/15/2021","26,720.0","26,480.0","26,840.0","26,440.0","2.65M","0.30%"
"12/16/2021","26,400.0","26,800.0","26,840.0","26,400.0","2.88M","-1.20%"
"12/17/2021","26,560.0","26,520.0","26,640.0","26,440.0","3.00M","0.61%"
"12/20/2021","26,480.0","26,560.0","26,640.0","26,280.0","4.12M","-0.30%"
"12/21/2021","26,240.0","26,360.0","26,360.0","26,240.0","3.03M","-0.91%"
"12/22/2021","26,160.0","26,120.0","26,360.0","26,120.0","4.23M","-0.30%"
"12/23/2021","26,000.0","26,080.0","26,120.0","25,600.0","5.17M","-0.61%"
"12/24/2021","26,400.0","26,000.0","26,520.0","25,760.0","5.47M","1.54%"
"12/27/2021","26,520.0","26,640.0","26,640.0","26,320.0","3.07M","0.45%"
"12/28/2021","26,920.0","26,520.0","27,000.0","26,440.0","4.35M","1.51%"
"12/29/2021","27,040.0","27,080.0","27,360.0","26,960.0","4.77M","0.45%"
"12/30/2021","27,120.0","26,960.0","27,200.0","26,800.0","2.27M","0.30%"
"12/31/2021","27,600.0","27,200.0","27,640.0","27,200.0","7.06M","1.77%"
