"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","39,960.64","40,463.29","40,630.84","39,793.09","80.29K","-1.04%"
"07/02/2021","40,128.19","40,044.42","40,211.97","39,709.32","98.86K","0.42%"
"07/05/2021","39,960.64","40,128.19","40,128.19","39,709.32","68.23K","-0.42%"
"07/06/2021","39,876.87","39,960.64","40,044.42","39,793.09","85.38K","-0.21%"
"07/07/2021","39,374.22","39,793.09","39,793.09","38,997.23","99.09K","-1.26%"
"07/08/2021","39,541.77","39,290.44","39,793.09","39,290.44","78.75K","0.43%"
"07/09/2021","39,374.22","39,541.77","39,541.77","38,955.34","90.58K","-0.42%"
"07/12/2021","37,866.27","39,290.44","39,457.99","36,651.53","120.61K","-3.83%"
"07/13/2021","38,201.37","37,866.27","38,536.47","37,866.27","97.44K","0.88%"
"07/14/2021","38,075.71","38,368.92","38,536.47","38,075.71","72.25K","-0.33%"
"07/15/2021","38,243.26","37,950.04","38,368.92","37,950.04","85.73K","0.44%"
"07/16/2021","38,536.47","38,285.14","38,536.47","38,117.59","76.15K","0.77%"
"07/19/2021","38,033.82","38,536.47","38,536.47","37,279.84","88.10K","-1.30%"
"07/20/2021","37,782.49","38,201.37","38,201.37","37,279.84","101.10K","-0.66%"
"07/21/2021","37,908.16","37,698.72","38,201.37","37,698.72","128.54K","0.33%"
"07/22/2021","38,033.82","38,033.82","38,117.59","37,908.16","93.89K","0.33%"
"07/23/2021","38,033.82","38,033.82","38,033.82","37,614.94","108.20K","0.00%"
"07/26/2021","38,201.37","38,033.82","38,285.14","37,782.49","120.97K","0.44%"
"07/27/2021","37,866.27","38,201.37","38,201.37","37,866.27","98.03K","-0.88%"
"07/28/2021","38,536.47","37,866.27","38,536.47","37,866.27","174.18K","1.77%"
"07/29/2021","39,290.44","38,620.24","39,374.22","38,536.47","152.54K","1.96%"
"07/30/2021","39,960.64","39,290.44","40,044.42","38,955.34","146.98K","1.71%"
"08/02/2021","39,876.87","39,960.64","39,960.64","39,625.54","110.09K","-0.21%"
"08/03/2021","40,002.53","39,793.09","40,002.53","39,457.99","88.21K","0.32%"
"08/04/2021","40,547.07","40,002.53","40,547.07","40,002.53","111.27K","1.36%"
"08/05/2021","40,672.73","40,547.07","40,714.62","40,463.29","96.02K","0.31%"
"08/06/2021","40,744.21","40,744.21","40,744.21","40,465.14","83.10K","0.18%"
"08/09/2021","40,418.62","40,837.23","40,930.25","40,000.02","74.28K","-0.80%"
"08/10/2021","39,395.37","40,418.62","40,418.62","39,069.79","110.29K","-2.53%"
"08/11/2021","39,023.27","39,395.37","39,627.93","38,883.74","87.61K","-0.94%"
"08/12/2021","39,069.79","39,023.27","39,534.90","38,976.76","106.85K","0.12%"
"08/13/2021","39,162.81","39,069.79","39,255.83","38,883.74","92.88K","0.24%"
"08/16/2021","39,162.81","39,069.79","39,255.83","39,069.79","100.94K","0.00%"
"08/17/2021","39,069.79","39,162.81","39,348.86","39,069.79","113.84K","-0.24%"
"08/18/2021","38,976.76","39,069.79","39,534.90","38,883.74","93.20K","-0.24%"
"08/19/2021","39,162.81","38,976.76","39,255.83","38,930.25","109.76K","0.48%"
"08/20/2021","38,976.76","39,162.81","39,255.83","38,790.72","86.43K","-0.48%"
"08/23/2021","38,976.76","38,976.76","39,069.79","38,139.55","86.54K","0.00%"
"08/24/2021","38,279.09","38,976.76","39,069.79","38,139.55","120.29K","-1.79%"
"08/25/2021","38,604.67","38,325.60","38,604.67","38,139.55","99.33K","0.85%"
"08/26/2021","38,418.62","38,697.69","38,883.74","38,325.60","89.01K","-0.48%"
"08/27/2021","38,418.62","38,511.65","38,790.72","38,325.60","103.74K","0.00%"
"08/30/2021","38,465.13","38,418.62","38,697.69","38,325.60","94.06K","0.12%"
"08/31/2021","38,697.69","38,465.13","38,883.74","38,325.60","118.46K","0.60%"
"09/01/2021","41,395.37","38,883.74","41,395.37","38,604.67","321.96K","6.97%"
"09/06/2021","43,534.90","42,232.58","43,720.95","42,139.55","240.69K","5.17%"
"09/07/2021","42,697.69","43,720.95","43,907.00","42,325.60","197.37K","-1.92%"
"09/08/2021","41,302.35","41,767.46","41,860.49","40,093.04","184.58K","-3.27%"
"09/09/2021","39,813.97","41,302.35","41,302.35","39,813.97","154.91K","-3.60%"
