"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","18,272.5","18,202.5","18,342.5","17,957.4","613.77K","0.77%"
"07/02/2021","18,132.5","18,202.5","18,482.5","18,027.5","439.37K","-0.77%"
"07/05/2021","17,852.4","18,237.5","18,342.5","17,397.4","1.13M","-1.54%"
"07/06/2021","17,677.4","17,852.4","18,202.5","17,362.4","540.07K","-0.98%"
"07/07/2021","17,852.4","17,362.4","17,852.4","17,152.3","583.78K","0.99%"
"07/08/2021","17,852.4","17,852.4","17,852.4","17,502.4","286.68K","0.00%"
"07/09/2021","17,642.4","18,132.5","18,132.5","17,642.4","408.52K","-1.18%"
"07/12/2021","17,292.4","17,152.3","17,362.4","16,592.3","509.22K","-1.98%"
"07/13/2021","17,467.4","17,502.4","17,502.4","17,152.3","215.54K","1.01%"
"07/14/2021","17,362.4","17,572.4","17,782.4","17,152.3","168.12K","-0.60%"
"07/15/2021","17,572.4","17,397.4","17,642.4","16,942.3","254.54K","1.21%"
"07/16/2021","17,922.4","17,572.4","17,922.4","17,012.3","627.49K","1.99%"
"07/19/2021","17,852.4","17,922.4","17,922.4","17,502.4","370.38K","-0.39%"
"07/20/2021","18,832.6","17,852.4","18,832.6","17,642.4","781.18K","5.49%"
"07/21/2021","20,127.7","18,902.6","20,127.7","18,902.6","842.46K","6.88%"
"07/22/2021","19,917.7","20,197.8","20,267.8","19,847.7","527.50K","-1.04%"
"07/23/2021","19,812.7","19,847.7","19,847.7","19,392.6","992.58K","-0.53%"
"07/26/2021","20,302.8","19,672.7","20,442.8","19,637.7","523.07K","2.47%"
"07/27/2021","20,022.7","20,442.8","20,582.8","20,022.7","267.25K","-1.38%"
"07/28/2021","20,232.8","20,022.7","20,232.8","19,882.7","348.24K","1.05%"
"07/29/2021","20,862.8","20,232.8","20,967.9","20,022.7","610.77K","3.11%"
"07/30/2021","20,932.9","20,862.8","21,142.9","20,862.8","461.22K","0.34%"
"08/02/2021","21,282.9","20,827.8","21,562.9","20,652.8","578.64K","1.67%"
"08/03/2021","21,633.0","21,352.9","21,633.0","21,107.9","563.07K","1.64%"
"08/04/2021","20,897.8","21,633.0","21,633.0","20,862.8","955.44K","-3.40%"
"08/05/2021","21,037.9","20,827.8","21,037.9","20,582.8","533.64K","0.67%"
"08/06/2021","20,792.8","21,002.9","21,072.9","20,687.8","499.50K","-1.17%"
"08/09/2021","20,652.8","20,827.8","20,862.8","20,582.8","346.81K","-0.67%"
"08/10/2021","20,477.8","20,652.8","20,652.8","20,442.8","686.05K","-0.85%"
"08/11/2021","21,878.0","20,407.8","21,878.0","20,407.8","1.18M","6.84%"
"08/12/2021","22,123.0","22,018.0","22,193.0","21,913.0","505.50K","1.12%"
"08/13/2021","22,368.1","22,123.0","22,613.1","22,053.0","526.07K","1.11%"
"08/16/2021","22,333.0","22,438.1","22,788.1","22,298.0","714.19K","-0.16%"
