"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","39,918.00","39,918.00","39,995.00","39,455.00","3.99M","1.17%"
"07/02/2021","39,763.00","39,918.00","40,226.00","39,686.00","3.53M","-0.39%"
"07/05/2021","39,686.00","39,918.00","39,918.00","39,301.00","2.64M","-0.19%"
"07/06/2021","38,993.00","39,532.00","39,532.00","38,993.00","2.79M","-1.75%"
"07/07/2021","39,455.00","38,685.00","39,686.00","38,608.00","3.31M","1.18%"
"07/08/2021","39,609.00","39,609.00","39,609.00","38,916.00","3.20M","0.39%"
"07/09/2021","39,455.00","39,301.00","39,609.00","39,147.00","2.39M","-0.39%"
"07/12/2021","38,839.00","39,224.00","39,301.00","38,530.00","3.25M","-1.56%"
"07/13/2021","38,916.00","39,070.00","39,147.00","38,685.00","2.63M","0.20%"
"07/14/2021","38,839.00","38,916.00","39,147.00","38,376.00","2.55M","-0.20%"
"07/15/2021","39,070.00","38,839.00","39,070.00","38,608.00","2.31M","0.59%"
"07/16/2021","38,993.00","39,070.00","39,301.00","38,608.00","2.54M","-0.20%"
"07/19/2021","38,762.00","38,762.00","38,916.00","38,145.00","2.90M","-0.59%"
"07/20/2021","38,839.00","38,839.00","38,916.00","38,145.00","2.36M","0.20%"
"07/21/2021","39,070.00","38,839.00","39,070.00","38,762.00","2.46M","0.59%"
"07/22/2021","39,378.00","39,070.00","39,455.00","38,916.00","2.53M","0.79%"
"07/23/2021","38,993.00","39,378.00","39,532.00","38,993.00","2.95M","-0.98%"
"07/26/2021","38,993.00","38,916.00","39,301.00","38,916.00","2.69M","0.00%"
"07/27/2021","41,690.00","39,070.00","41,690.00","39,070.00","3.51M","6.92%"
"07/28/2021","43,154.00","41,998.00","43,539.00","41,998.00","2.67M","3.51%"
"07/29/2021","42,692.00","43,000.00","43,154.00","42,384.00","1.87M","-1.07%"
"07/30/2021","41,228.00","42,384.00","42,461.00","41,228.00","4.65M","-3.43%"
"08/02/2021","42,152.00","40,919.00","42,306.00","40,842.00","2.25M","2.24%"
"08/03/2021","41,690.00","42,152.00","42,306.00","41,382.00","1.12M","-1.10%"
"08/04/2021","41,459.00","41,690.00","42,306.00","41,305.00","1.17M","-0.55%"
"08/05/2021","40,611.00","41,382.00","41,998.00","40,611.00","1.73M","-2.05%"
"08/06/2021","40,149.00","40,457.00","41,613.00","39,918.00","2.70M","-1.14%"
"08/09/2021","40,072.00","40,072.00","40,611.00","39,686.00","1.90M","-0.19%"
"08/10/2021","39,609.00","40,072.00","40,149.00","39,455.00","2.16M","-1.16%"
"08/11/2021","38,530.00","39,301.00","39,301.00","38,222.00","3.67M","-2.72%"
"08/12/2021","38,993.00","38,530.00","39,686.00","38,030.00","1.62M","1.20%"
"08/13/2021","38,453.00","39,455.00","39,455.00","38,299.00","921.61K","-1.38%"
"08/16/2021","40,457.00","38,762.00","40,457.00","38,762.00","2.06M","5.21%"
"08/17/2021","40,457.00","41,151.00","41,228.00","40,226.00","2.51M","0.00%"
"08/18/2021","39,455.00","40,611.00","40,611.00","39,378.00","1.19M","-2.48%"
"08/19/2021","39,301.00","39,224.00","39,455.00","39,070.00","708.79K","-0.39%"
"08/20/2021","37,991.00","39,378.00","39,763.00","37,066.00","1.65M","-3.33%"
"08/23/2021","36,604.00","38,030.00","38,376.00","36,604.00","1.36M","-3.65%"
