"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","5,260.00","5,320.00","5,400.00","5,230.00","1.94M","-1.13%"
"07/02/2021","5,100.00","5,290.00","5,290.00","5,100.00","3.76M","-3.04%"
"07/05/2021","4,860.00","5,100.00","5,150.00","4,800.00","5.63M","-4.71%"
"07/06/2021","4,600.00","4,860.00","4,940.00","4,600.00","3.34M","-5.35%"
"07/07/2021","4,290.00","4,510.00","4,600.00","4,280.00","6.49M","-6.74%"
"07/08/2021","4,350.00","4,300.00","4,430.00","4,290.00","2.37M","1.40%"
"07/09/2021","4,050.00","4,280.00","4,380.00","4,050.00","3.11M","-6.90%"
"07/12/2021","3,770.00","3,960.00","4,000.00","3,770.00","4.01M","-6.91%"
"07/13/2021","4,030.00","3,770.00","4,030.00","3,580.00","3.66M","6.90%"
"07/14/2021","4,280.00","4,290.00","4,300.00","3,920.00","6.08M","6.20%"
"07/15/2021","4,270.00","4,200.00","4,320.00","4,110.00","1.81M","-0.23%"
"07/16/2021","4,110.00","4,240.00","4,270.00","4,110.00","1.74M","-3.75%"
"07/19/2021","3,830.00","3,900.00","3,990.00","3,830.00","3.03M","-6.81%"
"07/20/2021","4,060.00","3,750.00","4,060.00","3,750.00","2.08M","6.01%"
"07/21/2021","3,950.00","4,060.00","4,090.00","3,950.00","1.04M","-2.71%"
"07/22/2021","3,990.00","3,950.00","4,070.00","3,910.00","1.49M","1.01%"
"07/23/2021","3,930.00","4,000.00","4,000.00","3,900.00","1.36M","-1.50%"
"07/26/2021","3,940.00","3,890.00","4,000.00","3,840.00","929.50K","0.25%"
"07/27/2021","3,970.00","3,940.00","4,140.00","3,940.00","2.22M","0.76%"
"07/28/2021","3,970.00","3,970.00","4,000.00","3,950.00","547.20K","0.00%"
"07/29/2021","4,000.00","4,050.00","4,080.00","4,000.00","1.59M","0.76%"
"07/30/2021","4,010.00","4,010.00","4,100.00","3,990.00","2.32M","0.25%"
"08/02/2021","4,100.00","4,050.00","4,250.00","4,030.00","2.63M","2.24%"
"08/03/2021","4,380.00","4,200.00","4,380.00","4,120.00","7.26M","6.83%"
"08/04/2021","4,680.00","4,660.00","4,680.00","4,560.00","3.93M","6.85%"
"08/05/2021","4,800.00","4,750.00","4,940.00","4,680.00","5.39M","2.56%"
"08/06/2021","4,510.00","4,650.00","4,760.00","4,510.00","5.95M","-6.04%"
"08/09/2021","4,550.00","4,460.00","4,600.00","4,420.00","3.19M","0.89%"
"08/10/2021","4,470.00","4,550.00","4,670.00","4,430.00","3.64M","-1.76%"
"08/11/2021","4,500.00","4,450.00","4,580.00","4,450.00","2.84M","0.67%"
"08/12/2021","4,680.00","4,540.00","4,750.00","4,450.00","4.67M","4.00%"
"08/13/2021","4,670.00","4,700.00","4,810.00","4,600.00","4.19M","-0.21%"
"08/16/2021","4,630.00","4,700.00","4,800.00","4,630.00","2.83M","-0.86%"
"08/17/2021","4,560.00","4,630.00","4,640.00","4,550.00","3.20M","-1.51%"
"08/18/2021","4,500.00","4,550.00","4,570.00","4,450.00","2.92M","-1.32%"
"08/19/2021","4,430.00","4,490.00","4,520.00","4,430.00","2.51M","-1.56%"
"08/20/2021","4,160.00","4,450.00","4,580.00","4,130.00","4.47M","-6.09%"
"08/23/2021","4,200.00","4,180.00","4,300.00","4,150.00","2.97M","0.96%"
"08/24/2021","4,110.00","4,200.00","4,310.00","4,110.00","1.80M","-2.14%"
"08/25/2021","4,110.00","4,150.00","4,240.00","4,050.00","1.71M","0.00%"
"08/26/2021","4,160.00","4,110.00","4,240.00","4,110.00","1.39M","1.22%"
"08/27/2021","4,170.00","4,160.00","4,200.00","4,130.00","1.70M","0.24%"
"08/30/2021","4,300.00","4,210.00","4,300.00","4,190.00","2.00M","3.12%"
"08/31/2021","4,400.00","4,400.00","4,450.00","4,280.00","2.03M","2.33%"
"09/01/2021","4,350.00","4,350.00","4,470.00","4,330.00","2.66M","-1.14%"
"09/06/2021","4,650.00","4,400.00","4,650.00","4,400.00","4.92M","6.90%"
"09/07/2021","4,400.00","4,800.00","4,800.00","4,400.00","4.47M","-5.38%"
"09/08/2021","4,400.00","4,410.00","4,510.00","4,340.00","2.46M","0.00%"
