"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","7,779.0","7,501.2","7,883.2","7,362.3","5.14M","4.19%"
"07/02/2021","7,779.0","7,917.9","7,917.9","7,640.1","3.43M","0.00%"
"07/05/2021","7,640.1","7,779.0","7,779.0","7,501.2","2.18M","-1.79%"
"07/06/2021","7,119.2","7,535.9","7,709.5","7,119.2","3.16M","-6.82%"
"07/07/2021","7,153.9","7,119.2","7,292.8","6,806.6","2.62M","0.49%"
"07/08/2021","7,188.6","7,084.4","7,501.2","7,049.7","1.62M","0.49%"
"07/09/2021","7,084.4","6,945.5","7,258.1","6,945.5","1.85M","-1.45%"
"07/12/2021","6,633.0","6,945.5","7,015.0","6,591.3","3.14M","-6.37%"
"07/13/2021","6,813.6","6,251.0","6,876.1","6,251.0","1.68M","2.72%"
"07/14/2021","6,771.9","6,883.0","6,931.6","6,633.0","1.25M","-0.61%"
"07/15/2021","6,876.1","6,528.8","6,945.5","6,528.8","1.59M","1.54%"
"07/16/2021","6,813.6","7,015.0","7,015.0","6,806.6","1.36M","-0.91%"
"07/19/2021","6,341.3","6,667.7","6,702.4","6,341.3","2.53M","-6.93%"
"07/20/2021","6,494.1","6,445.5","6,494.1","6,188.5","2.12M","2.41%"
"07/21/2021","6,466.3","6,528.8","6,598.3","6,431.6","1.45M","-0.43%"
"07/22/2021","6,744.1","6,514.9","6,862.2","6,459.3","2.08M","4.30%"
"07/23/2021","6,584.4","6,598.3","6,764.9","6,563.5","1.68M","-2.37%"
"07/26/2021","6,584.4","6,396.8","6,737.2","6,396.8","666.47K","0.00%"
"07/27/2021","6,639.9","6,535.7","6,723.3","6,535.7","1.56M","0.84%"
"07/28/2021","6,695.5","6,591.3","6,799.7","6,591.3","2.32M","0.84%"
"07/29/2021","6,730.2","6,806.6","6,806.6","6,695.5","1.29M","0.52%"
"07/30/2021","6,737.2","6,730.2","6,792.7","6,702.4","2.08M","0.10%"
"08/02/2021","6,751.1","6,737.2","6,771.9","6,702.4","2.27M","0.21%"
"08/03/2021","6,758.0","6,751.1","6,771.9","6,695.5","2.18M","0.10%"
"08/04/2021","6,876.1","6,723.3","6,945.5","6,723.3","2.68M","1.75%"
"08/05/2021","6,903.9","6,806.6","6,903.9","6,792.7","2.13M","0.40%"
"08/06/2021","7,153.9","6,917.7","7,292.8","6,910.8","3.88M","3.62%"
"08/09/2021","7,292.8","7,153.9","7,362.3","7,049.7","3.30M","1.94%"
"08/10/2021","7,223.4","7,327.5","7,397.0","7,119.2","3.53M","-0.95%"
"08/11/2021","7,501.2","7,292.8","7,535.9","7,153.9","5.17M","3.85%"
"08/12/2021","7,466.4","7,501.2","7,570.6","7,362.3","3.66M","-0.46%"
"08/13/2021","7,987.4","7,570.6","7,987.4","7,501.2","8.89M","6.98%"
"08/16/2021","8,543.0","8,543.0","8,543.0","8,543.0","937.29K","6.96%"
"08/17/2021","9,133.4","9,133.4","9,133.4","9,133.4","1.20M","6.91%"
"08/18/2021","9,758.5","9,758.5","9,758.5","9,758.5","1.52M","6.84%"
"08/19/2021","10,418.3","10,418.3","10,418.3","9,862.7","9.47M","6.76%"
"08/20/2021","11,147.6","11,147.6","11,147.6","10,661.4","6.08M","7.00%"
"08/23/2021","11,911.6","11,807.4","11,911.6","11,286.5","2.70M","6.85%"
"08/24/2021","11,355.9","12,502.0","12,536.7","11,182.3","5.45M","-4.67%"
"08/25/2021","10,591.9","11,390.7","11,390.7","10,591.9","4.32M","-6.73%"
"08/26/2021","11,321.2","10,765.6","11,321.2","10,696.1","4.40M","6.89%"
"08/27/2021","11,807.4","11,668.5","11,981.0","10,835.0","2.91M","4.29%"
"08/30/2021","11,911.6","11,876.9","12,050.5","11,390.7","3.20M","0.88%"
"08/31/2021","11,703.2","11,946.3","12,085.2","11,668.5","3.67M","-1.75%"
"09/01/2021","12,502.0","11,703.2","12,502.0","11,529.6","5.64M","6.83%"
"09/06/2021","13,370.1","13,370.1","13,370.1","13,370.1","2.43M","6.94%"
"09/07/2021","14,273.1","14,273.1","14,273.1","13,543.8","6.99M","6.75%"
"09/08/2021","14,273.1","14,307.8","15,071.8","13,891.1","6.20M","0.00%"
"09/09/2021","15,245.4","14,030.0","15,245.4","13,960.5","7.13M","6.81%"
"09/10/2021","16,287.3","16,287.3","16,287.3","16,183.1","2.33M","6.83%"
"09/13/2021","17,398.6","17,398.6","17,398.6","17,398.6","2.57M","6.82%"
"09/14/2021","18,614.0","18,614.0","18,614.0","17,572.2","7.21M","6.99%"
"09/15/2021","19,898.9","19,586.4","19,898.9","18,058.4","4.62M","6.90%"
"09/16/2021","18,509.8","20,836.6","20,836.6","18,509.8","10.26M","-6.98%"
"09/17/2021","17,224.9","17,224.9","18,509.8","17,224.9","8.67M","-6.94%"
"09/20/2021","18,405.7","18,127.8","18,405.7","17,363.8","7.24M","6.86%"
"09/21/2021","18,405.7","18,058.4","19,030.8","17,606.9","3.14M","0.00%"
"09/22/2021","17,120.7","17,919.5","18,336.2","17,120.7","6.98M","-6.98%"
"09/23/2021","15,940.0","15,940.0","16,599.8","15,940.0","4.29M","-6.90%"
"09/24/2021","14,828.7","14,828.7","14,828.7","14,828.7","852.92K","-6.97%"
"09/27/2021","13,821.6","13,821.6","13,821.6","13,821.6","478.73K","-6.79%"
"09/28/2021","12,884.0","12,884.0","12,884.0","12,884.0","211.93K","-6.78%"
"09/29/2021","12,154.7","12,015.8","13,231.2","12,015.8","9.65M","-5.66%"
"09/30/2021","12,988.1","12,571.4","12,988.1","12,502.0","1.95M","6.86%"
"10/01/2021","12,293.6","13,752.1","13,752.1","12,293.6","4.30M","-5.35%"
"10/04/2021","11,807.4","11,529.6","12,363.0","11,460.1","5.91M","-3.95%"
"10/05/2021","11,946.3","12,224.1","12,224.1","11,182.3","4.19M","1.18%"
"10/06/2021","12,015.8","12,154.7","12,189.4","11,807.4","1.66M","0.58%"
"10/07/2021","12,015.8","12,154.7","12,293.6","11,946.3","2.13M","0.00%"
"10/08/2021","11,633.8","12,015.8","12,050.5","11,633.8","2.96M","-3.18%"
"10/11/2021","11,633.8","11,807.4","11,911.6","11,633.8","2.32M","0.00%"
"10/12/2021","11,946.3","11,703.2","12,119.9","11,460.1","2.71M","2.69%"
"10/13/2021","12,050.5","12,050.5","12,432.5","11,911.6","2.51M","0.87%"
"10/14/2021","12,884.0","12,119.9","12,884.0","12,085.2","3.71M","6.92%"
"10/15/2021","12,606.1","13,404.9","13,613.2","12,293.6","3.74M","-2.16%"
"10/18/2021","12,258.9","12,606.1","12,606.1","12,085.2","2.54M","-2.75%"
"10/19/2021","12,571.4","12,397.8","12,849.2","12,293.6","3.03M","2.55%"
"10/20/2021","12,293.6","12,745.0","13,057.6","12,119.9","2.57M","-2.21%"
"10/21/2021","12,328.3","12,397.8","12,467.2","11,981.0","1.98M","0.28%"
"10/22/2021","12,502.0","12,363.0","12,536.7","12,154.7","2.86M","1.41%"
"10/25/2021","12,536.7","12,571.4","12,640.9","12,154.7","3.09M","0.28%"
"10/26/2021","12,363.0","12,571.4","12,571.4","12,258.9","1.39M","-1.39%"
"10/27/2021","12,293.6","12,328.3","12,397.8","12,154.7","3.13M","-0.56%"
"10/28/2021","12,224.1","12,363.0","12,432.5","12,224.1","2.63M","-0.57%"
"10/29/2021","12,050.5","12,293.6","12,328.3","12,015.8","3.30M","-1.42%"
"11/01/2021","12,571.4","12,119.9","12,745.0","12,015.8","3.99M","4.32%"
"11/02/2021","13,439.6","12,779.8","13,439.6","12,779.8","4.11M","6.91%"
"11/03/2021","13,196.5","14,307.8","14,377.2","12,988.1","6.48M","-1.81%"
"11/04/2021","13,543.8","13,231.2","13,891.1","12,849.2","3.34M","2.63%"
"11/05/2021","13,543.8","13,682.7","13,856.3","13,266.0","2.48M","0.00%"
"11/08/2021","13,543.8","13,648.0","13,717.4","13,335.4","3.20M","0.00%"
"11/09/2021","13,682.7","13,891.1","13,925.8","13,509.1","2.86M","1.03%"
"11/10/2021","13,821.6","13,752.1","13,891.1","13,682.7","3.49M","1.02%"
"11/11/2021","13,786.9","13,891.1","13,891.1","13,335.4","2.94M","-0.25%"
"11/12/2021","13,995.2","13,786.9","14,030.0","13,439.6","3.31M","1.51%"
"11/15/2021","14,967.6","14,655.1","14,967.6","14,377.2","5.55M","6.95%"
"11/16/2021","15,766.4","15,280.2","15,905.3","15,141.3","4.90M","5.34%"
"11/17/2021","16,391.5","15,905.3","16,460.9","15,453.8","4.22M","3.96%"
"11/18/2021","17,537.5","16,530.4","17,537.5","16,495.6","6.40M","6.99%"
"11/19/2021","16,322.0","18,336.2","18,336.2","16,322.0","7.23M","-6.93%"
"11/22/2021","17,433.3","17,016.5","17,433.3","16,669.3","7.18M","6.81%"
"11/23/2021","18,301.5","18,058.4","18,475.1","17,502.7","4.89M","4.98%"
"11/24/2021","18,891.8","18,752.9","19,100.2","18,683.5","3.82M","3.23%"
"11/25/2021","18,683.5","18,891.8","19,100.2","18,127.8","4.93M","-1.10%"
"11/26/2021","18,058.4","18,544.6","18,752.9","17,850.0","5.08M","-3.35%"
"11/29/2021","18,405.7","17,502.7","18,475.1","17,433.3","5.57M","1.92%"
"11/30/2021","18,058.4","18,544.6","18,648.7","18,058.4","5.62M","-1.89%"
"12/01/2021","17,850.0","18,058.4","18,266.7","17,711.1","6.97M","-1.15%"
"12/02/2021","19,050.0","19,050.0","19,050.0","19,050.0","276.70K","6.72%"
"12/03/2021","20,350.0","20,350.0","20,350.0","20,000.0","3.04M","6.82%"
"12/06/2021","18,950.0","19,900.0","20,350.0","18,950.0","2.93M","-6.88%"
"12/07/2021","19,300.0","19,700.0","19,750.0","18,500.0","1.62M","1.85%"
"12/08/2021","18,900.0","19,300.0","19,400.0","18,850.0","1.36M","-2.07%"
"12/09/2021","19,200.0","18,550.0","19,200.0","18,550.0","1.13M","1.59%"
"12/10/2021","19,100.0","19,300.0","19,400.0","18,950.0","982.80K","-0.52%"
"12/13/2021","19,100.0","19,400.0","19,400.0","18,600.0","1.33M","0.00%"
"12/14/2021","18,850.0","19,100.0","19,100.0","18,850.0","1.31M","-1.31%"
"12/15/2021","18,900.0","18,900.0","18,950.0","18,700.0","951.20K","0.27%"
"12/16/2021","18,750.0","18,800.0","19,000.0","18,650.0","1.05M","-0.79%"
"12/17/2021","19,750.0","18,750.0","20,000.0","18,700.0","2.75M","5.33%"
"12/20/2021","20,100.0","19,800.0","20,400.0","19,750.0","1.80M","1.77%"
"12/21/2021","19,700.0","20,150.0","20,250.0","19,700.0","1.78M","-1.99%"
"12/22/2021","19,350.0","19,800.0","19,900.0","19,200.0","1.64M","-1.78%"
"12/23/2021","19,250.0","19,350.0","19,600.0","18,600.0","1.79M","-0.52%"
"12/24/2021","19,300.0","19,200.0","19,400.0","18,750.0","1.30M","0.26%"
"12/27/2021","19,500.0","19,400.0","19,900.0","19,200.0","1.38M","1.04%"
"12/28/2021","19,200.0","19,500.0","19,600.0","19,050.0","1.20M","-1.54%"
"12/29/2021","19,300.0","18,500.0","19,500.0","18,500.0","1.44M","0.52%"
"12/30/2021","20,650.0","19,500.0","20,650.0","19,500.0","3.31M","6.99%"
"12/31/2021","20,650.0","21,750.0","21,800.0","20,650.0","2.60M","0.00%"
