"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","32,500.00","31,667.00","32,500.00","31,667.00","44.61K","1.04%"
"07/02/2021","32,333.00","32,500.00","32,500.00","31,750.00","36.52K","-0.51%"
"07/05/2021","32,250.00","31,750.00","32,250.00","31,667.00","30.18K","-0.26%"
"07/06/2021","31,833.00","31,750.00","31,917.00","31,667.00","41.90K","-1.29%"
"07/07/2021","31,700.00","31,900.00","32,400.00","31,600.00","8.70K","-0.42%"
"07/08/2021","30,800.00","31,800.00","31,800.00","30,500.00","3.05K","-2.84%"
"07/09/2021","30,800.00","30,800.00","30,800.00","30,800.00","0.20K","0.00%"
"07/12/2021","28,200.00","30,900.00","30,900.00","28,000.00","5.72K","-8.44%"
"07/13/2021","28,000.00","27,000.00","28,100.00","27,000.00","3.40K","-0.71%"
"07/14/2021","27,600.00","28,500.00","28,500.00","27,100.00","3.40K","-1.43%"
"07/15/2021","27,300.00","28,200.00","28,200.00","27,300.00","2.10K","-1.09%"
"07/16/2021","27,400.00","28,100.00","28,100.00","27,400.00","0.60K","0.37%"
"07/19/2021","26,900.00","27,000.00","27,400.00","26,900.00","3.50K","-1.82%"
"07/20/2021","26,900.00","26,900.00","26,900.00","26,900.00","2.00K","0.00%"
"07/21/2021","26,900.00","26,500.00","26,900.00","26,500.00","2.00K","0.00%"
"07/22/2021","26,800.00","27,000.00","27,000.00","26,800.00","2.60K","-0.37%"
"07/23/2021","27,100.00","27,000.00","27,100.00","27,000.00","4.20K","1.12%"
"07/26/2021","27,000.00","27,100.00","27,200.00","27,000.00","2.80K","-0.37%"
"07/27/2021","27,100.00","27,500.00","27,500.00","27,100.00","1.30K","0.37%"
"07/28/2021","27,200.00","28,800.00","28,800.00","27,200.00","2.80K","0.37%"
"07/29/2021","27,200.00","27,200.00","27,200.00","27,200.00","0.90K","0.00%"
"07/30/2021","27,200.00","27,200.00","27,200.00","27,200.00","2.41K","0.00%"
"08/02/2021","27,900.00","27,100.00","28,000.00","24,500.00","2.60K","2.57%"
"08/03/2021","27,300.00","27,700.00","28,800.00","27,300.00","1.31K","-2.15%"
"08/04/2021","27,300.00","27,400.00","27,500.00","27,300.00","9.10K","0.00%"
"08/05/2021","27,500.00","27,300.00","27,500.00","27,000.00","16.90K","0.73%"
"08/06/2021","27,500.00","27,500.00","27,600.00","27,200.00","25.40K","0.00%"
"08/09/2021","27,500.00","27,500.00","27,600.00","27,200.00","34.40K","0.00%"
"08/10/2021","28,000.00","27,900.00","28,300.00","27,900.00","32.61K","1.82%"
"08/11/2021","30,300.00","28,400.00","30,400.00","28,200.00","30.62K","8.21%"
"08/12/2021","29,800.00","31,000.00","31,000.00","29,300.00","31.15K","-1.65%"
"08/13/2021","29,200.00","29,500.00","29,600.00","29,200.00","33.30K","-2.01%"
"08/16/2021","29,200.00","29,200.00","29,200.00","28,400.00","33.70K","0.00%"
"08/17/2021","29,000.00","28,600.00","29,000.00","28,500.00","25.37K","-0.68%"
"08/18/2021","29,500.00","28,800.00","29,500.00","28,500.00","37.80K","1.72%"
"08/19/2021","29,400.00","29,000.00","29,400.00","28,800.00","32.10K","-0.34%"
"08/20/2021","28,600.00","29,000.00","29,000.00","28,500.00","24.85K","-2.72%"
"08/23/2021","27,600.00","29,000.00","29,000.00","27,300.00","25.60K","-3.50%"
"08/24/2021","27,500.00","27,700.00","28,100.00","27,500.00","41.10K","-0.36%"
"08/25/2021","27,400.00","27,700.00","27,800.00","27,400.00","30.10K","-0.36%"
"08/26/2021","27,300.00","27,500.00","29,000.00","27,300.00","33.80K","-0.36%"
"08/27/2021","27,300.00","26,900.00","27,500.00","26,700.00","23.61K","0.00%"
"08/30/2021","27,800.00","27,500.00","27,900.00","27,500.00","29.90K","1.83%"
"08/31/2021","27,400.00","27,700.00","27,700.00","27,400.00","40.61K","-1.44%"
"09/01/2021","27,400.00","27,400.00","28,500.00","27,400.00","34.79K","0.00%"
"09/06/2021","28,000.00","27,600.00","28,500.00","27,500.00","35.30K","2.19%"
"09/07/2021","27,700.00","27,700.00","27,700.00","27,700.00","27.26K","-1.07%"
"09/08/2021","27,600.00","27,500.00","27,800.00","27,500.00","34.57K","-0.36%"
"09/09/2021","27,800.00","27,600.00","28,500.00","27,600.00","31.34K","0.72%"
"09/10/2021","28,700.00","28,000.00","30,000.00","28,000.00","30.17K","3.24%"
"09/13/2021","29,800.00","28,800.00","30,400.00","28,800.00","27.29K","3.83%"
"09/14/2021","29,600.00","29,800.00","29,900.00","29,300.00","45.88K","-0.67%"
"09/15/2021","29,500.00","29,800.00","29,800.00","29,500.00","37.08K","-0.34%"
"09/16/2021","29,200.00","29,500.00","29,600.00","28,700.00","29.53K","-1.02%"
"09/17/2021","29,000.00","29,000.00","29,000.00","28,500.00","31.83K","-0.68%"
"09/20/2021","29,500.00","29,900.00","29,900.00","29,300.00","43.73K","1.72%"
"09/21/2021","29,000.00","29,500.00","29,500.00","28,500.00","50.03K","-1.69%"
"09/27/2021","28,800.00","29,000.00","30,000.00","28,500.00","31.40K","-0.69%"
"09/28/2021","28,800.00","28,800.00","28,900.00","28,700.00","28.60K","0.00%"
"09/29/2021","28,800.00","28,800.00","29,000.00","28,800.00","38.20K","0.00%"
"09/30/2021","28,300.00","29,000.00","29,000.00","27,500.00","45.20K","-1.74%"
"10/01/2021","28,500.00","28,300.00","28,500.00","28,000.00","34.00K","0.71%"
"10/04/2021","28,000.00","28,500.00","28,500.00","27,800.00","48.50K","-1.75%"
"10/05/2021","28,900.00","28,000.00","29,000.00","28,000.00","31.60K","3.21%"
"10/06/2021","28,600.00","29,050.00","29,100.00","28,300.00","40.60K","-1.04%"
"10/07/2021","28,600.00","28,400.00","28,600.00","28,300.00","22.00K","0.00%"
"10/08/2021","28,800.00","28,800.00","29,500.00","28,600.00","23.00K","0.70%"
"10/11/2021","28,800.00","28,600.00","28,800.00","28,600.00","40.60K","0.00%"
"10/12/2021","28,600.00","28,600.00","29,000.00","28,600.00","34.60K","-0.69%"
"10/13/2021","28,900.00","28,600.00","29,000.00","28,500.00","40.50K","1.05%"
