"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","7,496.1","7,419.0","7,640.6","7,419.0","107.70K","-1.89%"
"07/02/2021","7,370.8","7,708.0","7,708.0","7,274.5","90.90K","-1.67%"
"07/05/2021","7,322.6","7,322.6","7,419.0","6,937.2","113.70K","-0.65%"
"07/06/2021","7,419.0","7,332.3","7,650.2","7,322.6","174.10K","1.32%"
"07/07/2021","7,515.3","7,072.1","7,563.5","7,072.1","319.40K","1.30%"
"07/08/2021","7,515.3","7,592.4","7,602.0","7,515.3","96.80K","0.00%"
"07/09/2021","7,187.7","7,419.0","7,505.7","7,178.1","83.50K","-4.36%"
"07/12/2021","6,821.6","7,187.7","7,197.4","6,696.4","114.00K","-5.09%"
"07/13/2021","6,937.2","6,744.5","6,937.2","6,744.5","71.00K","1.69%"
"07/14/2021","6,840.9","6,840.9","6,937.2","6,696.4","104.10K","-1.39%"
"07/15/2021","6,879.4","6,696.4","6,879.4","6,667.4","15.70K","0.56%"
"07/16/2021","6,995.0","6,879.4","7,023.9","6,879.4","45.80K","1.68%"
"07/19/2021","6,648.2","6,937.2","6,937.2","6,648.2","16.20K","-4.96%"
"07/20/2021","6,744.5","6,561.5","6,744.5","6,474.7","50.30K","1.45%"
"07/21/2021","6,918.0","6,744.5","6,995.0","6,706.0","33.80K","2.57%"
"07/22/2021","6,898.7","6,918.0","6,918.0","6,696.4","62.80K","-0.28%"
"07/23/2021","6,831.2","6,918.0","6,937.2","6,551.8","15.70K","-0.98%"
"07/26/2021","6,821.6","6,831.2","6,831.2","6,638.5","4.60K","-0.14%"
"07/27/2021","6,792.7","6,821.6","6,889.1","6,648.2","18.20K","-0.42%"
"07/28/2021","6,657.8","6,715.6","6,744.5","6,609.6","59.40K","-1.99%"
"07/29/2021","6,734.9","6,725.3","6,744.5","6,696.4","21.70K","1.16%"
"07/30/2021","6,763.8","6,734.9","6,773.4","6,648.2","26.00K","0.43%"
"08/02/2021","6,744.5","6,744.5","6,773.4","6,677.1","46.40K","-0.29%"
"08/03/2021","6,734.9","6,763.8","6,840.9","6,725.3","47.00K","-0.14%"
"08/04/2021","6,792.7","6,744.5","6,840.9","6,619.3","77.20K","0.86%"
"08/05/2021","6,715.6","6,783.1","6,792.7","6,667.4","67.00K","-1.14%"
"08/06/2021","6,792.7","6,744.5","6,802.3","6,667.4","69.40K","1.15%"
"08/09/2021","6,860.1","6,744.5","6,937.2","6,744.5","74.60K","0.99%"
"08/10/2021","7,004.7","6,860.1","7,023.9","6,840.9","80.80K","2.11%"
"08/11/2021","7,081.8","7,033.6","7,120.3","6,985.4","81.60K","1.10%"
"08/12/2021","6,956.5","7,081.8","7,101.0","6,927.6","70.50K","-1.77%"
"08/13/2021","6,908.3","6,966.1","7,023.9","6,850.5","47.80K","-0.69%"
"08/16/2021","6,937.2","6,937.2","6,985.4","6,889.1","73.30K","0.42%"
"08/17/2021","6,840.9","6,937.2","6,975.8","6,840.9","75.90K","-1.39%"
"08/18/2021","7,062.5","6,840.9","7,110.7","6,840.9","237.40K","3.24%"
"08/19/2021","7,062.5","7,072.1","7,139.6","6,995.0","84.80K","0.00%"
"08/20/2021","6,879.4","6,985.4","7,072.1","6,879.4","86.80K","-2.59%"
"08/23/2021","6,840.9","6,879.4","6,879.4","6,657.8","136.90K","-0.56%"
"08/24/2021","6,667.4","6,840.9","6,840.9","6,667.4","129.80K","-2.54%"
"08/25/2021","6,744.5","6,667.4","6,792.7","6,667.4","18.70K","1.16%"
"08/26/2021","6,763.8","6,744.5","6,831.2","6,744.5","20.20K","0.29%"
"08/27/2021","6,773.4","6,763.8","6,840.9","6,744.5","70.50K","0.14%"
"08/30/2021","6,937.2","6,773.4","7,129.9","6,706.0","272.70K","2.42%"
"08/31/2021","6,937.2","6,937.2","7,101.0","6,889.1","86.20K","0.00%"
"09/01/2021","7,187.7","6,946.9","7,226.3","6,908.3","277.80K","3.61%"
"09/06/2021","7,467.2","7,419.0","7,563.5","7,264.8","807.40K","3.89%"
"09/07/2021","7,370.8","7,515.3","7,611.7","7,245.6","417.20K","-1.29%"
"09/08/2021","7,284.1","7,370.8","7,457.5","7,226.3","192.00K","-1.18%"
"09/09/2021","7,727.3","7,515.3","7,736.9","7,515.3","817.90K","6.08%"
"09/10/2021","7,804.4","7,900.7","7,920.0","7,746.6","409.00K","1.00%"
"09/13/2021","7,708.0","7,698.4","7,852.6","7,611.7","332.80K","-1.24%"
"09/14/2021","8,247.6","7,804.4","8,247.6","7,708.0","944.00K","7.00%"
"09/15/2021","8,816.1","8,806.4","8,816.1","8,661.9","706.10K","6.89%"
"09/16/2021","9,432.7","9,432.7","9,432.7","9,432.7","392.70K","6.99%"
"09/17/2021","10,068.6","10,068.6","10,068.6","10,068.6","542.30K","6.74%"
"09/20/2021","10,598.5","10,694.9","10,743.1","9,924.1","2.06M","5.26%"
"09/21/2021","11,321.2","10,213.1","11,321.2","9,972.3","780.40K","6.82%"
"09/22/2021","12,092.0","12,043.8","12,092.0","11,851.1","291.80K","6.81%"
"09/23/2021","11,658.4","12,911.0","12,911.0","11,321.2","1.72M","-3.59%"
"09/24/2021","10,887.6","11,321.2","12,043.8","10,887.6","1.09M","-6.61%"
"09/27/2021","11,610.2","10,935.8","11,610.2","10,598.5","848.50K","6.64%"
"09/28/2021","12,381.0","12,284.7","12,381.0","12,140.2","495.90K","6.64%"
"09/29/2021","13,200.0","13,200.0","13,200.0","12,959.1","747.90K","6.61%"
"09/30/2021","13,440.9","14,019.0","14,115.3","13,007.3","1.64M","1.83%"
"10/01/2021","14,356.2","13,922.6","14,356.2","13,489.1","1.11M","6.81%"
"10/04/2021","15,319.7","15,319.7","15,319.7","15,127.0","1.31M","6.71%"
"10/05/2021","15,801.5","16,379.6","16,379.6","14,259.9","1.73M","3.14%"
"10/06/2021","15,705.1","15,801.5","15,994.2","15,030.7","1.20M","-0.61%"
"10/07/2021","14,645.3","14,934.3","15,319.7","14,645.3","1.39M","-6.75%"
"10/08/2021","14,645.3","14,645.3","15,319.7","13,778.1","1.19M","0.00%"
"10/11/2021","14,163.5","14,982.5","14,982.5","13,970.8","444.50K","-3.29%"
"10/12/2021","13,489.1","13,489.1","13,970.8","13,392.7","1.01M","-4.76%"
"10/13/2021","13,970.8","13,103.7","13,970.8","12,911.0","968.90K","3.57%"
"10/14/2021","14,356.2","14,067.2","14,597.1","14,067.2","475.10K","2.76%"
"10/15/2021","14,308.0","14,452.6","14,597.1","13,970.8","566.70K","-0.34%"
"10/18/2021","13,970.8","13,874.5","14,741.6","13,729.9","1.02M","-2.36%"
"10/19/2021","13,489.1","13,681.8","13,826.3","13,489.1","646.00K","-3.45%"
"10/20/2021","13,489.1","13,970.8","13,970.8","13,007.3","437.10K","0.00%"
"10/21/2021","13,248.2","13,826.3","13,826.3","13,103.7","505.40K","-1.79%"
"10/22/2021","13,055.5","13,103.7","13,392.7","12,621.9","974.50K","-1.45%"
"10/25/2021","13,922.6","13,922.6","13,922.6","13,874.5","172.70K","6.64%"
"10/26/2021","14,645.3","14,886.1","14,886.1","14,019.0","931.20K","5.19%"
"10/27/2021","14,211.7","14,548.9","14,548.9","14,067.2","645.30K","-2.96%"
"10/28/2021","14,019.0","14,356.2","14,356.2","14,019.0","368.60K","-1.36%"
"10/29/2021","13,585.4","13,344.5","13,922.6","13,344.5","826.20K","-3.09%"
"11/01/2021","13,681.8","13,778.1","13,922.6","13,537.2","467.00K","0.71%"
"11/02/2021","13,729.9","13,778.1","13,826.3","13,537.2","433.10K","0.35%"
"11/03/2021","13,392.7","13,729.9","13,874.5","13,392.7","705.00K","-2.46%"
"11/04/2021","13,537.2","13,055.5","13,681.8","13,055.5","380.50K","1.08%"
"11/05/2021","13,633.6","13,681.8","13,681.8","13,392.7","304.30K","0.71%"
"11/08/2021","13,681.8","13,633.6","13,826.3","13,633.6","344.70K","0.35%"
"11/09/2021","14,115.3","13,729.9","14,356.2","13,585.4","765.10K","3.17%"
"11/10/2021","15,078.8","14,452.6","15,078.8","14,356.2","1.42M","6.83%"
"11/11/2021","14,838.0","15,416.1","15,608.8","14,452.6","752.50K","-1.60%"
"11/12/2021","14,404.4","14,838.0","14,838.0","13,874.5","492.40K","-2.92%"
"11/15/2021","14,211.7","14,067.2","14,404.4","13,681.8","832.60K","-1.34%"
"11/16/2021","14,404.4","14,163.5","14,741.6","13,922.6","591.50K","1.36%"
"11/17/2021","15,175.2","14,308.0","15,319.7","14,308.0","886.40K","5.35%"
"11/18/2021","14,452.6","15,127.0","15,127.0","14,452.6","630.10K","-4.76%"
"11/19/2021","13,729.9","14,163.5","14,259.9","13,489.1","831.60K","-5.00%"
"11/22/2021","13,296.4","13,007.3","13,489.1","13,007.3","489.00K","-3.16%"
"11/23/2021","13,537.2","12,814.6","13,874.5","12,621.9","170.50K","1.81%"
"11/24/2021","13,489.1","13,778.1","13,778.1","13,248.2","146.10K","-0.36%"
"11/25/2021","13,489.1","13,489.1","13,537.2","13,248.2","290.10K","0.00%"
"11/26/2021","13,296.4","13,489.1","13,537.2","13,200.0","185.70K","-1.43%"
"11/29/2021","13,200.0","12,621.9","13,200.0","12,621.9","192.70K","-0.73%"
