"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2021","12,726.00","12,726.00","12,726.00","12,726.00","0.40K","6.87%"
"12/07/2021","13,595.00","13,595.00","13,595.00","13,595.00","0.81K","6.83%"
"12/08/2021","14,537.00","14,537.00","14,537.00","14,537.00","10.48K","6.93%"
"12/09/2021","15,554.00","15,554.00","15,554.00","15,554.00","4.43K","7.00%"
"12/10/2021","16,621.00","16,621.00","16,621.00","16,621.00","66.91K","6.86%"
"12/13/2021","17,762.00","17,762.00","17,762.00","17,762.00","10.48K","6.86%"
"12/14/2021","19,003.00","19,003.00","19,003.00","19,003.00","316.03K","6.99%"
"12/15/2021","20,318.00","20,318.00","20,318.00","19,846.00","1.84M","6.92%"
"12/16/2021","21,732.00","21,732.00","21,732.00","21,632.00","1.79M","6.96%"
"12/17/2021","21,335.00","23,220.00","23,245.00","21,335.00","5.46M","-1.83%"
"12/20/2021","21,235.00","21,235.00","21,533.00","20,640.00","2.80M","-0.47%"
"12/21/2021","20,814.00","21,335.00","21,632.00","20,590.00","2.49M","-1.98%"
"12/22/2021","20,938.00","20,838.00","21,136.00","20,690.00","3.46M","0.60%"
"12/23/2021","20,987.00","20,838.00","21,583.00","20,838.00","1.96M","0.23%"
"12/24/2021","21,211.00","21,583.00","21,831.00","20,987.00","2.28M","1.07%"
"12/27/2021","22,079.00","21,335.00","22,674.00","21,335.00","1.78M","4.09%"
"12/28/2021","21,831.00","22,922.00","22,922.00","21,608.00","2.50M","-1.12%"
"12/29/2021","21,087.00","21,930.00","22,079.00","21,087.00","1.39M","-3.41%"
"12/30/2021","21,037.00","21,186.00","21,533.00","20,987.00","2.07M","-0.24%"
"12/31/2021","20,392.00","21,285.00","21,384.00","20,392.00","3.10M","-3.07%"
