"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","11,492.3","11,353.8","11,492.3","11,261.5","274.30K","1.22%"
"07/02/2021","11,446.2","11,538.5","11,538.5","11,307.7","199.00K","-0.40%"
"07/05/2021","12,092.3","11,538.5","12,230.8","11,492.3","1.15M","5.64%"
"07/06/2021","11,769.2","12,184.6","12,276.9","11,769.2","732.40K","-2.67%"
"07/07/2021","11,584.6","11,538.5","11,769.2","11,446.2","207.70K","-1.57%"
"07/08/2021","11,307.7","11,538.5","11,723.1","11,169.2","433.90K","-2.39%"
"07/09/2021","10,938.5","11,261.5","11,261.5","10,892.3","447.60K","-3.27%"
"07/12/2021","10,384.6","10,661.5","10,938.5","10,200.0","523.50K","-5.06%"
"07/13/2021","10,753.8","10,523.1","11,030.8","10,292.3","150.30K","3.56%"
"07/14/2021","10,800.0","11,076.9","11,076.9","10,707.7","102.40K","0.43%"
"07/15/2021","10,950.0","11,100.0","11,100.0","10,200.0","87.30K","1.39%"
"07/16/2021","11,000.0","11,150.0","11,150.0","10,800.0","88.60K","0.46%"
"07/19/2021","10,400.0","10,900.0","10,900.0","10,300.0","137.10K","-5.45%"
"07/20/2021","10,650.0","10,400.0","10,700.0","10,350.0","117.40K","2.40%"
"07/21/2021","10,500.0","10,600.0","10,700.0","10,500.0","77.20K","-1.41%"
"07/22/2021","10,750.0","10,500.0","10,850.0","10,500.0","66.90K","2.38%"
"07/23/2021","10,600.0","10,850.0","10,850.0","10,550.0","45.80K","-1.40%"
"07/26/2021","10,600.0","10,600.0","10,700.0","10,400.0","61.50K","0.00%"
"07/27/2021","10,650.0","10,750.0","10,800.0","10,600.0","122.30K","0.47%"
"07/28/2021","10,700.0","10,600.0","10,700.0","10,500.0","70.70K","0.47%"
"07/29/2021","10,700.0","10,700.0","10,700.0","10,550.0","23.40K","0.00%"
"07/30/2021","10,550.0","10,600.0","10,650.0","10,500.0","116.60K","-1.40%"
"08/02/2021","10,600.0","10,550.0","10,600.0","10,500.0","90.10K","0.47%"
"08/03/2021","10,350.0","10,600.0","10,600.0","10,350.0","495.90K","-2.36%"
"08/04/2021","10,400.0","10,400.0","10,550.0","10,350.0","120.00K","0.48%"
"08/05/2021","10,650.0","10,500.0","10,700.0","10,450.0","92.90K","2.40%"
"08/06/2021","10,800.0","10,650.0","11,100.0","10,500.0","190.80K","1.41%"
"08/09/2021","11,300.0","10,800.0","11,350.0","10,750.0","361.00K","4.63%"
"08/10/2021","11,300.0","11,200.0","11,400.0","11,050.0","165.60K","0.00%"
"08/11/2021","12,050.0","11,300.0","12,050.0","11,300.0","801.10K","6.64%"
"08/12/2021","12,000.0","12,050.0","12,400.0","11,750.0","436.20K","-0.41%"
"08/13/2021","12,100.0","11,900.0","12,250.0","11,750.0","327.50K","0.83%"
"08/16/2021","12,300.0","12,400.0","12,500.0","12,150.0","440.50K","1.65%"
"08/17/2021","12,050.0","12,400.0","12,400.0","11,900.0","195.30K","-2.03%"
"08/18/2021","12,050.0","11,950.0","12,100.0","11,800.0","191.00K","0.00%"
"08/19/2021","12,250.0","12,050.0","12,250.0","11,750.0","425.90K","1.66%"
"08/20/2021","11,550.0","12,200.0","12,400.0","11,500.0","671.90K","-5.71%"
"08/23/2021","11,500.0","11,500.0","11,800.0","11,000.0","255.80K","-0.43%"
"08/24/2021","11,400.0","11,400.0","11,500.0","11,200.0","219.50K","-0.87%"
"08/25/2021","11,600.0","11,400.0","11,600.0","11,200.0","234.50K","1.75%"
"08/26/2021","11,550.0","11,800.0","11,800.0","11,500.0","114.00K","-0.43%"
"08/27/2021","12,000.0","11,600.0","12,000.0","11,300.0","229.00K","3.90%"
