"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","9,787.6","9,710.9","9,826.0","9,672.5","1.56M","0.79%"
"07/02/2021","9,864.4","9,826.0","9,979.5","9,787.6","1.62M","0.78%"
"07/05/2021","9,787.6","9,826.0","9,864.4","9,672.5","1.99M","-0.78%"
"07/06/2021","9,749.2","9,710.9","10,325.0","9,710.9","4.21M","-0.39%"
"07/07/2021","9,672.5","9,749.2","9,787.6","9,288.6","1.40M","-0.79%"
"07/08/2021","9,672.5","9,595.7","9,787.6","9,557.3","1.11M","0.00%"
"07/09/2021","9,250.3","9,442.2","9,672.5","9,173.5","2.25M","-4.36%"
"07/12/2021","8,636.1","9,211.9","9,211.9","8,636.1","2.70M","-6.64%"
"07/13/2021","8,674.5","8,828.0","8,828.0","8,521.0","868.75K","0.44%"
"07/14/2021","8,943.2","9,211.9","9,211.9","8,559.4","1.04M","3.10%"
"07/15/2021","9,020.0","8,904.8","9,173.5","8,904.8","754.11K","0.86%"
"07/16/2021","9,058.3","9,058.3","9,211.9","9,058.3","630.62K","0.42%"
"07/19/2021","8,482.6","8,521.0","8,828.0","8,482.6","1.13M","-6.36%"
"07/20/2021","8,712.9","8,444.2","8,712.9","8,405.8","951.34K","2.71%"
"07/21/2021","8,636.1","8,828.0","8,981.6","8,636.1","683.64K","-0.88%"
"07/22/2021","9,211.9","8,597.7","9,211.9","8,559.4","2.97M","6.67%"
"07/23/2021","9,288.6","9,480.6","9,595.7","9,250.3","2.38M","0.83%"
"07/26/2021","9,327.0","8,981.6","9,327.0","8,981.6","917.21K","0.41%"
"07/27/2021","9,211.9","9,442.2","9,442.2","9,211.9","1.28M","-1.23%"
"07/28/2021","9,096.7","9,135.1","9,211.9","9,058.3","919.81K","-1.25%"
"07/29/2021","9,403.8","9,096.7","9,480.6","9,096.7","1.73M","3.38%"
"07/30/2021","9,442.2","9,518.9","9,557.3","9,442.2","1.61M","0.41%"
"08/02/2021","10,094.7","9,518.9","10,094.7","9,480.6","5.84M","6.91%"
