"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","9,705.20","9,977.30","10,158.70","9,433.10","340.56K","-2.28%"
"07/02/2021","9,251.70","9,433.10","9,614.50","9,161.00","638.24K","-4.67%"
"07/05/2021","9,433.10","9,206.40","9,569.20","9,161.00","333.62K","1.96%"
"07/06/2021","9,070.30","9,433.10","9,523.80","9,070.30","390.51K","-3.85%"
"07/07/2021","9,070.30","9,115.60","9,251.70","8,798.20","291.06K","0.00%"
"07/08/2021","9,070.30","8,852.60","9,251.70","8,852.60","141.89K","0.00%"
"07/09/2021","9,070.30","9,070.30","9,070.30","8,888.90","164.49K","0.00%"
"07/12/2021","9,161.00","9,070.30","9,251.70","8,435.40","486.53K","1.00%"
"07/13/2021","9,070.30","9,161.00","9,161.00","8,888.90","110.14K","-0.99%"
"07/14/2021","9,070.30","8,979.60","9,161.00","8,825.40","125.46K","0.00%"
"07/15/2021","9,251.70","9,070.30","9,251.70","9,052.20","238.91K","2.00%"
"07/16/2021","9,070.30","9,251.70","9,251.70","9,070.30","138.92K","-1.96%"
"07/19/2021","9,070.30","8,888.90","9,070.30","8,807.30","204.96K","0.00%"
"07/20/2021","9,161.00","9,115.60","9,161.00","8,798.20","247.95K","1.00%"
"07/21/2021","9,070.30","9,206.40","9,206.40","9,070.30","195.47K","-0.99%"
"07/22/2021","9,387.80","9,070.30","9,387.80","9,070.30","429.98K","3.50%"
"07/23/2021","9,297.10","9,433.10","9,433.10","9,297.10","185.77K","-0.97%"
"07/26/2021","9,342.40","9,297.10","9,433.10","9,161.00","175.85K","0.49%"
"07/27/2021","9,433.10","9,433.10","9,569.20","9,297.10","295.91K","0.97%"
"07/28/2021","9,251.70","9,433.10","9,478.50","9,161.00","427.99K","-1.92%"
"07/29/2021","9,161.00","9,161.00","9,342.40","9,070.30","90.85K","-0.98%"
"07/30/2021","9,206.40","9,161.00","9,251.70","9,115.60","107.60K","0.50%"
"08/02/2021","9,161.00","9,161.00","9,206.40","9,024.90","150.60K","-0.49%"
"08/03/2021","9,161.00","9,070.30","9,251.70","9,070.30","144.10K","0.00%"
"08/04/2021","9,795.90","9,070.30","9,795.90","9,070.30","626.44K","6.93%"
"08/05/2021","9,886.60","9,886.60","10,068.00","9,795.90","445.96K","0.93%"
"08/06/2021","9,795.90","9,886.60","9,977.30","9,750.60","212.12K","-0.92%"
"08/09/2021","9,705.20","9,705.20","9,795.90","9,523.80","126.79K","-0.93%"
"08/10/2021","9,614.50","9,795.90","9,795.90","9,614.50","135.50K","-0.93%"
"08/11/2021","9,977.30","9,705.20","10,068.00","9,614.50","554.45K","3.77%"
"08/12/2021","9,886.60","10,068.00","10,158.70","9,705.20","307.16K","-0.91%"
"08/13/2021","9,886.60","9,795.90","9,977.30","9,659.90","128.33K","0.00%"
"08/16/2021","10,068.00","9,795.90","10,158.70","9,705.20","287.75K","1.83%"
"08/17/2021","10,521.50","10,249.40","10,521.50","10,068.00","973.29K","4.50%"
