"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","14,878.6","14,832.4","15,063.5","14,786.2","55.20K","-0.31%"
"07/02/2021","14,786.2","14,878.6","15,063.5","14,693.8","46.00K","-0.62%"
"07/05/2021","14,324.2","14,786.2","14,786.2","14,231.7","75.30K","-3.12%"
"07/06/2021","13,400.0","14,093.1","14,370.4","13,400.0","175.40K","-6.45%"
"07/07/2021","13,446.2","13,400.0","13,769.7","13,307.6","57.60K","0.34%"
"07/08/2021","13,584.8","13,446.2","13,723.5","13,446.2","59.90K","1.03%"
"07/09/2021","13,122.8","13,446.2","13,584.8","13,122.8","29.60K","-3.40%"
"07/12/2021","12,244.8","13,215.2","13,215.2","12,244.8","99.50K","-6.69%"
"07/13/2021","13,076.6","12,244.8","13,076.6","12,013.8","113.00K","6.79%"
"07/14/2021","13,076.6","13,122.8","13,215.2","12,845.5","9.50K","0.00%"
"07/15/2021","13,076.6","13,030.4","13,215.2","12,845.5","18.20K","0.00%"
"07/16/2021","13,030.4","13,076.6","13,215.2","12,891.7","36.00K","-0.35%"
"07/19/2021","12,706.9","12,984.2","12,984.2","12,429.7","44.00K","-2.48%"
"07/20/2021","12,845.5","12,568.3","12,891.7","12,383.5","14.20K","1.09%"
"07/21/2021","13,122.8","12,845.5","13,122.8","12,753.1","56.20K","2.16%"
"07/22/2021","13,030.4","13,030.4","13,215.2","12,937.9","53.50K","-0.70%"
"07/23/2021","12,937.9","13,030.4","13,030.4","12,799.3","60.90K","-0.71%"
"07/26/2021","13,030.4","12,845.5","13,030.4","12,845.5","17.70K","0.71%"
"07/27/2021","13,723.5","13,122.8","13,908.3","12,937.9","95.20K","5.32%"
"07/28/2021","13,584.8","13,677.3","13,723.5","13,400.0","16.20K","-1.01%"
"07/29/2021","13,631.1","13,584.8","13,677.3","13,400.0","16.60K","0.34%"
"07/30/2021","13,584.8","13,492.4","13,677.3","13,400.0","25.20K","-0.34%"
"08/02/2021","13,307.6","13,492.4","13,492.4","13,307.6","58.80K","-2.04%"
"08/03/2021","13,353.8","13,307.6","13,400.0","13,122.8","20.60K","0.35%"
"08/04/2021","13,400.0","13,400.0","13,446.2","13,215.2","33.40K","0.35%"
"08/05/2021","13,307.6","13,353.8","13,492.4","13,215.2","101.70K","-0.69%"
"08/06/2021","13,400.0","13,353.8","13,677.3","13,353.8","66.90K","0.69%"
"08/09/2021","14,185.5","13,492.4","14,185.5","13,400.0","187.40K","5.86%"
"08/10/2021","14,277.9","14,185.5","14,277.9","14,046.9","97.30K","0.65%"
"08/11/2021","13,954.5","14,277.9","14,277.9","13,908.3","104.60K","-2.27%"
"08/12/2021","14,231.7","13,862.1","14,231.7","13,769.7","136.20K","1.99%"
"08/13/2021","15,202.1","14,231.7","15,202.1","14,231.7","358.00K","6.82%"
"08/16/2021","15,710.4","15,802.8","16,126.2","15,525.5","188.80K","3.34%"
"08/17/2021","15,248.3","15,664.2","15,664.2","15,155.9","147.50K","-2.94%"
"08/18/2021","15,109.7","15,109.7","15,525.5","14,971.1","155.20K","-0.91%"
"08/19/2021","14,786.2","14,971.1","15,063.5","14,324.2","173.90K","-2.14%"
"08/20/2021","14,786.2","14,878.6","15,294.5","14,601.4","321.20K","0.00%"
"08/23/2021","15,248.3","14,832.4","15,340.7","14,786.2","175.00K","3.13%"
"08/24/2021","16,311.1","15,202.1","16,311.1","15,202.1","726.60K","6.97%"
"08/25/2021","17,420.0","17,004.2","17,420.0","16,634.5","394.30K","6.80%"
"08/26/2021","16,726.9","18,066.9","18,066.9","16,542.1","276.80K","-3.98%"
"08/27/2021","17,281.4","16,542.1","17,373.8","16,080.0","328.00K","3.32%"
"08/30/2021","18,482.8","17,281.4","18,482.8","17,142.8","287.60K","6.95%"
"08/31/2021","19,776.6","18,760.0","19,776.6","18,760.0","391.80K","7.00%"
"09/01/2021","21,116.6","19,776.6","21,116.6","19,037.3","601.50K","6.78%"
"09/06/2021","22,549.0","21,717.3","22,549.0","21,255.2","468.70K","6.78%"
"09/07/2021","21,070.4","22,549.0","23,750.4","20,978.0","521.00K","-6.56%"
"09/08/2021","19,638.0","21,070.4","21,255.2","19,638.0","389.70K","-6.80%"
"09/09/2021","20,515.9","19,776.6","20,793.1","19,638.0","264.30K","4.47%"
"09/10/2021","21,024.2","20,608.3","21,347.6","20,377.3","174.20K","2.48%"
"09/13/2021","22,456.6","21,255.2","22,456.6","21,162.8","414.30K","6.81%"
"09/14/2021","23,842.8","23,473.1","23,935.2","23,380.7","346.60K","6.17%"
"09/15/2021","23,195.9","24,766.9","24,951.8","23,103.5","354.50K","-2.71%"
"09/16/2021","24,813.1","23,103.5","24,813.1","22,733.8","391.20K","6.97%"
"09/17/2021","26,522.8","26,338.0","26,522.8","25,136.6","206.50K","6.89%"
"09/20/2021","28,371.1","28,371.1","28,371.1","28,371.1","144.10K","6.97%"
"09/21/2021","30,311.8","30,311.8","30,311.8","28,925.6","521.80K","6.84%"
"09/22/2021","32,391.1","32,391.1","32,391.1","32,391.1","52.20K","6.86%"
"09/23/2021","30,126.9","34,655.2","34,655.2","30,126.9","752.60K","-6.99%"
"09/24/2021","28,047.6","28,648.3","30,589.0","28,047.6","463.70K","-6.90%"
"09/27/2021","26,106.9","27,724.2","27,724.2","26,106.9","289.90K","-6.92%"
"09/28/2021","27,909.0","24,304.9","27,909.0","24,304.9","548.60K","6.90%"
"09/29/2021","29,387.6","27,862.8","29,849.7","26,800.0","261.70K","5.30%"
"09/30/2021","29,110.4","31,374.5","31,374.5","29,110.4","394.50K","-0.94%"
"10/01/2021","27,354.5","27,724.2","30,080.7","27,077.3","316.40K","-6.03%"
"10/04/2021","28,925.6","27,955.2","29,249.0","26,338.0","208.10K","5.74%"
"10/05/2021","26,938.7","29,110.4","29,110.4","26,938.7","381.80K","-6.87%"
"10/06/2021","26,984.9","26,522.8","27,123.5","25,413.8","245.80K","0.17%"
"10/07/2021","26,800.0","27,169.7","27,169.7","26,153.1","105.10K","-0.69%"
"10/08/2021","25,737.3","26,522.8","27,215.9","25,737.3","144.70K","-3.97%"
"10/11/2021","24,766.9","25,413.8","25,875.9","24,120.0","270.30K","-3.77%"
"10/12/2021","25,968.3","24,766.9","26,245.6","24,120.0","185.60K","4.85%"
"10/13/2021","24,859.3","25,875.9","25,875.9","24,859.3","166.10K","-4.27%"
"10/14/2021","25,875.9","24,951.8","26,060.7","24,582.1","215.30K","4.09%"
"10/15/2021","25,136.6","25,875.9","25,922.1","25,090.4","183.10K","-2.86%"
"10/18/2021","25,367.6","25,136.6","25,783.5","24,951.8","127.50K","0.92%"
