"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","29,105.0","29,304.0","29,503.0","29,026.0","341.76K","-0.68%"
"07/02/2021","29,105.0","29,423.0","29,423.0","28,708.0","330.60K","0.00%"
"07/05/2021","30,179.0","29,264.0","30,378.0","29,105.0","462.00K","3.69%"
"07/06/2021","29,344.0","30,218.0","30,218.0","29,344.0","686.04K","-2.77%"
"07/07/2021","29,503.0","29,264.0","29,503.0","28,827.0","660.84K","0.54%"
"07/08/2021","30,139.0","29,264.0","30,298.0","29,185.0","676.80K","2.16%"
"07/09/2021","31,252.0","30,218.0","31,809.0","30,139.0","1.54M","3.69%"
"07/12/2021","29,900.0","31,252.0","31,491.0","29,185.0","515.04K","-4.33%"
"07/13/2021","29,861.0","30,218.0","30,218.0","29,662.0","233.04K","-0.13%"
"07/14/2021","29,463.0","30,059.0","30,059.0","29,264.0","505.68K","-1.33%"
"07/15/2021","30,537.0","30,139.0","30,537.0","29,423.0","326.40K","3.65%"
"07/16/2021","30,258.0","30,537.0","30,934.0","30,139.0","360.00K","-0.91%"
"07/19/2021","29,503.0","28,867.0","30,139.0","28,867.0","535.32K","-2.50%"
"07/20/2021","29,503.0","29,423.0","30,059.0","28,867.0","319.56K","0.00%"
"07/21/2021","30,457.0","29,741.0","31,332.0","29,662.0","559.20K","3.23%"
"07/22/2021","32,564.0","30,775.0","32,564.0","30,696.0","3.21M","6.92%"
"07/23/2021","32,405.0","32,445.0","33,360.0","31,968.0","679.68K","-0.49%"
"07/26/2021","34,155.0","31,968.0","34,155.0","31,570.0","808.80K","5.40%"
"07/27/2021","32,604.0","34,433.0","34,433.0","31,968.0","1.46M","-4.54%"
"07/28/2021","31,610.0","32,047.0","32,604.0","31,411.0","791.40K","-3.05%"
"07/29/2021","31,968.0","31,411.0","32,604.0","31,053.0","561.12K","1.13%"
"07/30/2021","31,968.0","31,809.0","32,525.0","31,332.0","507.36K","0.00%"
"08/02/2021","32,525.0","31,809.0","33,002.0","31,411.0","860.88K","1.74%"
"08/03/2021","33,519.0","32,843.0","33,598.0","32,843.0","1.92M","3.06%"
"08/04/2021","33,558.0","33,399.0","34,592.0","33,240.0","782.88K","0.12%"
"08/05/2021","33,240.0","32,763.0","33,519.0","32,763.0","561.72K","-0.95%"
"08/06/2021","32,047.0","33,240.0","33,240.0","31,968.0","1.54M","-3.59%"
"08/09/2021","32,366.0","31,690.0","32,604.0","31,650.0","822.84K","1.00%"
"08/10/2021","32,405.0","32,843.0","32,843.0","31,968.0","770.40K","0.12%"
"08/11/2021","33,877.0","32,604.0","34,195.0","32,445.0","1.65M","4.54%"
"08/12/2021","33,002.0","34,115.0","34,195.0","33,002.0","1.43M","-2.58%"
"08/13/2021","33,161.0","33,042.0","33,280.0","32,366.0","601.32K","0.48%"
"08/16/2021","33,797.0","33,161.0","33,797.0","33,161.0","952.44K","1.92%"
"08/17/2021","33,360.0","33,797.0","33,956.0","33,240.0","582.00K","-1.29%"
"08/18/2021","33,797.0","33,360.0","34,513.0","33,240.0","1.75M","1.31%"
"08/19/2021","33,956.0","34,195.0","34,632.0","33,280.0","1.75M","0.47%"
"08/20/2021","32,684.0","33,916.0","33,916.0","31,729.0","1.03M","-3.75%"
"08/23/2021","30,537.0","32,286.0","32,445.0","30,537.0","1.64M","-6.57%"
"08/24/2021","30,855.0","30,537.0","31,729.0","29,105.0","1.54M","1.04%"
"08/25/2021","31,348.0","32,159.0","32,159.0","30,918.0","316.30K","1.60%"
"08/26/2021","31,443.0","31,205.0","31,682.0","31,109.0","388.40K","0.30%"
"08/27/2021","32,397.0","31,395.0","32,445.0","30,632.0","521.50K","3.03%"
"08/30/2021","33,018.0","32,827.0","33,304.0","32,588.0","773.40K","1.92%"
"08/31/2021","33,256.0","33,113.0","34,545.0","33,113.0","1.25M","0.72%"
"09/01/2021","33,018.0","33,256.0","33,877.0","32,493.0","780.80K","-0.72%"
"09/06/2021","32,636.0","33,018.0","33,256.0","32,541.0","452.90K","-1.16%"
"09/07/2021","31,586.0","32,636.0","32,636.0","31,586.0","646.70K","-3.22%"
"09/08/2021","31,682.0","31,586.0","32,254.0","31,395.0","400.80K","0.30%"
"09/09/2021","32,063.0","31,968.0","32,207.0","30,632.0","690.40K","1.20%"
"09/10/2021","32,254.0","32,159.0","33,018.0","32,063.0","298.20K","0.60%"
"09/13/2021","31,873.0","32,397.0","32,397.0","31,586.0","493.20K","-1.18%"
"09/14/2021","32,254.0","31,777.0","32,350.0","31,539.0","599.30K","1.20%"
"09/15/2021","32,302.0","32,254.0","32,636.0","32,016.0","237.30K","0.15%"
"09/16/2021","34,163.0","32,541.0","34,258.0","32,302.0","1.20M","5.76%"
"09/17/2021","35,165.0","35,212.0","35,499.0","34,640.0","1.37M","2.93%"
"09/20/2021","35,165.0","35,308.0","36,692.0","34,592.0","1.33M","0.00%"
"09/21/2021","36,644.0","34,831.0","36,739.0","34,449.0","1.88M","4.21%"
"09/22/2021","38,266.0","37,216.0","38,266.0","37,026.0","1.92M","4.43%"
"09/23/2021","37,407.0","38,934.0","38,934.0","36,739.0","993.90K","-2.24%"
"09/24/2021","37,264.0","37,216.0","37,980.0","36,835.0","623.00K","-0.38%"
"09/27/2021","35,880.0","37,216.0","37,884.0","35,308.0","1.14M","-3.71%"
"09/28/2021","38,362.0","35,785.0","38,362.0","35,499.0","1.46M","6.92%"
"09/29/2021","39,220.0","38,648.0","40,079.0","38,648.0","915.50K","2.24%"
"09/30/2021","39,030.0","39,220.0","39,411.0","38,648.0","910.30K","-0.48%"
"10/01/2021","38,505.0","38,648.0","39,125.0","38,457.0","940.20K","-1.35%"
"10/04/2021","39,411.0","38,266.0","40,461.0","38,218.0","1.47M","2.35%"
"10/05/2021","39,411.0","39,507.0","40,270.0","38,934.0","640.90K","0.00%"
"10/06/2021","39,650.0","39,220.0","40,461.0","39,030.0","685.60K","0.61%"
"10/07/2021","39,459.0","39,793.0","39,936.0","39,268.0","597.60K","-0.48%"
"10/08/2021","38,934.0","39,220.0","39,507.0","38,934.0","694.20K","-1.33%"
"10/11/2021","38,362.0","38,934.0","39,125.0","37,980.0","856.20K","-1.47%"
"10/12/2021","38,600.0","37,789.0","38,743.0","37,789.0","573.10K","0.62%"
"10/13/2021","38,362.0","38,934.0","38,934.0","38,362.0","372.10K","-0.62%"
"10/14/2021","38,362.0","38,362.0","38,743.0","38,171.0","703.70K","0.00%"
"10/15/2021","37,932.0","38,648.0","38,648.0","37,932.0","696.00K","-1.12%"
"10/18/2021","37,550.0","37,646.0","38,266.0","37,216.0","1.33M","-1.01%"
"10/19/2021","39,173.0","37,980.0","39,984.0","37,550.0","1.53M","4.32%"
"10/20/2021","38,457.0","39,220.0","39,411.0","37,503.0","676.90K","-1.83%"
"10/21/2021","38,362.0","38,457.0","38,982.0","38,075.0","334.60K","-0.25%"
"10/22/2021","39,698.0","38,362.0","39,698.0","38,171.0","1.35M","3.48%"
"10/25/2021","42,465.0","41,463.0","42,465.0","41,034.0","2.74M","6.97%"
"10/26/2021","43,896.0","42,465.0","45,041.0","42,465.0","1.70M","3.37%"
"10/27/2021","43,705.0","43,515.0","43,896.0","42,942.0","1.16M","-0.44%"
"10/28/2021","44,183.0","43,037.0","44,660.0","42,942.0","1.31M","1.09%"
"10/29/2021","43,705.0","44,278.0","44,851.0","43,515.0","1.21M","-1.08%"
"11/01/2021","43,419.0","44,087.0","44,755.0","42,942.0","1.44M","-0.65%"
"11/02/2021","43,419.0","43,419.0","43,610.0","42,656.0","1.52M","0.00%"
"11/03/2021","41,988.0","43,324.0","44,087.0","41,034.0","1.36M","-3.30%"
"11/04/2021","42,703.0","41,129.0","43,801.0","41,034.0","766.10K","1.70%"
"11/05/2021","43,085.0","42,703.0","43,371.0","42,560.0","576.50K","0.89%"
"11/08/2021","42,751.0","43,419.0","43,419.0","42,465.0","727.60K","-0.78%"
"11/09/2021","44,373.0","43,037.0","45,328.0","42,942.0","1.27M","3.79%"
"11/10/2021","43,896.0","44,469.0","44,469.0","43,610.0","417.10K","-1.07%"
"11/11/2021","42,847.0","43,896.0","44,087.0","42,560.0","671.80K","-2.39%"
"11/12/2021","42,656.0","42,560.0","43,467.0","41,988.0","925.20K","-0.45%"
"11/15/2021","44,278.0","43,037.0","44,564.0","42,656.0","1.75M","3.80%"
"11/16/2021","46,664.0","44,278.0","47,141.0","43,705.0","1.60M","5.39%"
"11/17/2021","46,043.0","46,664.0","47,618.0","45,805.0","1.57M","-1.33%"
"11/18/2021","45,805.0","46,091.0","46,091.0","44,851.0","670.70K","-0.52%"
"11/19/2021","44,183.0","45,519.0","45,805.0","42,608.0","1.53M","-3.54%"
"11/22/2021","42,083.0","43,896.0","44,087.0","41,606.0","1.03M","-4.75%"
"11/23/2021","42,465.0","41,606.0","42,942.0","41,606.0","532.70K","0.91%"
"11/24/2021","42,894.0","42,799.0","43,515.0","41,988.0","633.10K","1.01%"
"11/25/2021","43,371.0","42,942.0","43,849.0","42,942.0","404.90K","1.11%"
"11/26/2021","42,608.0","43,515.0","43,753.0","42,465.0","589.90K","-1.76%"
"11/29/2021","43,037.0","42,083.0","43,133.0","42,083.0","477.90K","1.01%"
"11/30/2021","43,037.0","43,658.0","43,896.0","42,322.0","731.70K","0.00%"
"12/01/2021","43,228.0","43,037.0","43,419.0","42,465.0","374.50K","0.44%"
"12/02/2021","43,181.0","43,419.0","43,419.0","42,847.0","495.50K","-0.11%"
"12/03/2021","41,988.0","43,133.0","43,276.0","41,988.0","634.80K","-2.76%"
"12/06/2021","39,077.0","41,988.0","41,988.0","39,077.0","1.25M","-6.93%"
"12/07/2021","39,316.0","39,602.0","39,602.0","37,312.0","478.90K","0.61%"
"12/08/2021","39,411.0","39,602.0","39,602.0","38,648.0","453.70K","0.24%"
"12/09/2021","39,316.0","39,125.0","39,411.0","38,886.0","236.20K","-0.24%"
"12/10/2021","40,604.0","39,602.0","41,415.0","39,125.0","448.50K","3.28%"
"12/13/2021","41,415.0","40,890.0","41,606.0","40,652.0","328.80K","2.00%"
"12/14/2021","42,322.0","43,085.0","43,228.0","41,988.0","521.00K","2.19%"
"12/15/2021","41,272.0","42,322.0","42,322.0","40,843.0","250.70K","-2.48%"
"12/16/2021","41,415.0","41,988.0","41,988.0","40,175.0","553.70K","0.35%"
"12/17/2021","42,465.0","41,702.0","42,942.0","41,034.0","662.80K","2.54%"
"12/20/2021","42,656.0","42,465.0","43,133.0","41,940.0","607.50K","0.45%"
"12/21/2021","44,373.0","42,513.0","44,803.0","42,226.0","1.96M","4.03%"
"12/22/2021","43,705.0","44,660.0","44,755.0","43,705.0","958.50K","-1.51%"
"12/23/2021","42,799.0","43,753.0","44,183.0","41,415.0","419.80K","-2.07%"
"12/24/2021","42,465.0","41,988.0","43,228.0","41,797.0","591.50K","-0.78%"
"12/27/2021","41,129.0","42,226.0","42,942.0","41,034.0","523.30K","-3.15%"
"12/28/2021","41,177.0","41,129.0","42,322.0","40,843.0","465.70K","0.12%"
"12/29/2021","40,509.0","41,320.0","41,320.0","40,222.0","727.00K","-1.62%"
"12/30/2021","41,463.0","40,747.0","41,892.0","40,079.0","275.90K","2.36%"
"12/31/2021","41,606.0","41,702.0","41,988.0","41,034.0","297.50K","0.34%"
