"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","56,279.0","56,757.0","57,043.0","56,183.0","55.00K","-0.67%"
"07/02/2021","56,183.0","56,088.0","56,470.0","55,992.0","52.30K","-0.17%"
"07/05/2021","55,037.0","55,992.0","56,183.0","55,037.0","69.10K","-2.04%"
"07/06/2021","54,846.0","55,037.0","56,375.0","54,846.0","106.10K","-0.35%"
"07/07/2021","55,037.0","55,037.0","55,419.0","54,464.0","84.00K","0.35%"
"07/08/2021","54,655.0","55,037.0","55,037.0","54,559.0","60.80K","-0.69%"
"07/09/2021","54,464.0","54,941.0","55,037.0","54,464.0","65.30K","-0.35%"
"07/12/2021","52,553.0","54,464.0","54,464.0","52,361.0","164.60K","-3.51%"
"07/13/2021","53,413.0","52,553.0","53,986.0","52,553.0","62.50K","1.64%"
"07/14/2021","52,648.0","53,986.0","53,986.0","52,648.0","41.70K","-1.43%"
"07/15/2021","53,986.0","52,648.0","53,986.0","52,648.0","9.50K","2.54%"
"07/16/2021","54,272.0","54,081.0","54,750.0","53,986.0","13.20K","0.53%"
"07/19/2021","53,030.0","52,553.0","54,177.0","52,553.0","30.50K","-2.29%"
"07/20/2021","53,986.0","52,744.0","54,081.0","52,553.0","30.20K","1.80%"
"07/21/2021","53,604.0","53,986.0","54,081.0","53,604.0","28.20K","-0.71%"
"07/22/2021","53,795.0","53,508.0","53,986.0","53,508.0","5.80K","0.36%"
"07/23/2021","53,890.0","53,890.0","54,177.0","53,508.0","15.50K","0.18%"
"07/26/2021","54,272.0","53,126.0","54,272.0","53,126.0","36.10K","0.71%"
"07/27/2021","55,324.0","54,655.0","55,419.0","54,368.0","33.50K","1.94%"
"07/28/2021","54,464.0","54,464.0","54,655.0","53,508.0","42.70K","-1.55%"
"07/29/2021","53,317.0","54,464.0","54,464.0","53,317.0","50.20K","-2.11%"
"07/30/2021","53,699.0","54,177.0","54,368.0","53,413.0","46.70K","0.72%"
"08/02/2021","54,655.0","53,508.0","55,324.0","53,508.0","102.70K","1.78%"
"08/03/2021","54,272.0","54,750.0","54,750.0","53,986.0","10.90K","-0.70%"
"08/04/2021","54,272.0","53,699.0","54,272.0","53,699.0","34.60K","0.00%"
"08/05/2021","54,272.0","54,177.0","54,272.0","53,508.0","33.30K","0.00%"
"08/06/2021","54,272.0","54,272.0","54,272.0","54,081.0","40.10K","0.00%"
"08/09/2021","54,177.0","54,368.0","54,368.0","53,795.0","45.20K","-0.18%"
"08/10/2021","54,655.0","54,846.0","54,846.0","53,986.0","54.50K","0.88%"
"08/11/2021","55,228.0","54,655.0","55,228.0","54,368.0","95.00K","1.05%"
