"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","16,497.0","16,591.0","16,591.0","16,497.0","3.10K","4.76%"
"07/06/2021","15,653.0","16,309.0","16,309.0","15,653.0","2.80K","-5.12%"
"07/07/2021","15,560.0","15,560.0","15,560.0","15,560.0","3.80K","-0.59%"
"07/08/2021","15,560.0","15,560.0","15,560.0","15,372.0","4.80K","0.00%"
"07/09/2021","15,372.0","15,372.0","15,372.0","15,372.0","0.70K","-1.21%"
"07/12/2021","15,372.0","15,372.0","15,372.0","15,372.0","0.10K","0.00%"
"07/13/2021","15,466.0","15,372.0","15,466.0","15,372.0","0.80K","0.61%"
"07/14/2021","15,747.0","15,841.0","15,841.0","15,747.0","0.40K","1.82%"
"07/15/2021","15,185.0","15,278.0","15,278.0","15,185.0","0.60K","-3.57%"
"07/16/2021","15,747.0","15,185.0","15,747.0","15,185.0","1.20K","3.70%"
"07/19/2021","14,997.0","15,091.0","15,091.0","14,997.0","0.50K","-4.76%"
"07/20/2021","14,997.0","14,903.0","14,997.0","14,622.0","2.30K","0.00%"
"07/21/2021","14,997.0","15,091.0","15,091.0","14,997.0","2.10K","0.00%"
"07/22/2021","14,997.0","14,997.0","14,997.0","14,997.0","0.50K","0.00%"
"07/23/2021","15,278.0","15,466.0","15,466.0","14,622.0","300.20K","1.87%"
"07/26/2021","15,466.0","15,466.0","15,466.0","15,278.0","332.70K","1.23%"
"07/27/2021","15,278.0","14,669.0","15,278.0","14,482.0","80.20K","-1.22%"
"07/28/2021","14,528.0","15,185.0","15,185.0","14,482.0","74.90K","-4.91%"
"07/29/2021","14,528.0","14,435.0","14,528.0","14,435.0","5.70K","0.00%"
"07/30/2021","14,528.0","14,435.0","14,528.0","14,435.0","2.60K","0.00%"
"08/02/2021","14,622.0","14,810.0","14,810.0","14,341.0","8.20K","0.65%"
"08/03/2021","14,903.0","14,528.0","14,903.0","14,482.0","0.50K","1.92%"
"08/04/2021","14,997.0","14,997.0","14,997.0","14,997.0","120.50K","0.63%"
"08/06/2021","14,903.0","14,950.0","14,950.0","14,903.0","0.80K","-0.63%"
"08/09/2021","14,622.0","14,435.0","14,857.0","14,435.0","5.50K","-1.89%"
"08/10/2021","14,622.0","14,903.0","14,903.0","14,622.0","63.30K","0.00%"
"08/11/2021","14,763.0","14,716.0","14,763.0","14,716.0","13.40K","0.96%"
"08/12/2021","14,669.0","14,622.0","14,716.0","14,622.0","2.20K","-0.64%"
"08/13/2021","14,528.0","14,528.0","14,528.0","14,528.0","0.20K","-0.96%"
"08/16/2021","14,622.0","14,528.0","14,997.0","14,528.0","4.40K","0.65%"
"08/17/2021","14,903.0","15,044.0","15,044.0","14,903.0","90.10K","1.92%"
"08/18/2021","14,810.0","15,091.0","15,653.0","14,716.0","26.40K","-0.62%"
"08/19/2021","15,841.0","15,466.0","15,841.0","15,466.0","41.60K","6.96%"
"08/20/2021","16,309.0","15,981.0","16,591.0","15,606.0","9.20K","2.95%"
"08/23/2021","16,309.0","16,309.0","16,309.0","16,309.0","0.10K","0.00%"
"08/24/2021","15,653.0","16,169.0","16,216.0","15,466.0","1.20K","-4.02%"
"08/25/2021","15,934.0","15,372.0","15,934.0","15,372.0","1.90K","1.80%"
"08/26/2021","16,216.0","15,934.0","16,216.0","15,934.0","6.40K","1.77%"
"08/27/2021","16,872.0","16,403.0","16,966.0","16,356.0","22.60K","4.05%"
"08/30/2021","16,403.0","16,872.0","16,872.0","16,403.0","7.20K","-2.78%"
"08/31/2021","16,684.0","16,684.0","16,872.0","16,684.0","210.60K","1.71%"
"09/01/2021","16,684.0","16,684.0","16,778.0","16,450.0","60.90K","0.00%"
"09/06/2021","16,403.0","16,497.0","16,872.0","16,216.0","81.00K","-1.68%"
"09/07/2021","16,403.0","16,075.0","16,872.0","16,075.0","23.80K","0.00%"
"09/08/2021","16,263.0","16,778.0","16,778.0","16,263.0","2.50K","-0.85%"
"09/09/2021","16,403.0","16,169.0","16,497.0","16,169.0","11.70K","0.86%"
"09/10/2021","16,497.0","16,497.0","16,591.0","16,403.0","51.20K","0.57%"
"09/13/2021","16,497.0","16,637.0","16,684.0","16,497.0","63.50K","0.00%"
"09/14/2021","16,497.0","16,497.0","16,497.0","16,309.0","43.00K","0.00%"
