"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","9,826.1","9,913.0","10,000.0","9,739.1","116.61K","-0.88%"
"07/02/2021","9,739.1","9,826.1","9,913.0","9,652.2","82.69K","-0.89%"
"07/05/2021","9,565.2","9,652.2","9,652.2","9,130.4","77.97K","-1.79%"
"07/06/2021","9,434.8","9,565.2","9,913.0","9,434.8","32.43K","-1.36%"
"07/07/2021","9,347.8","9,478.3","9,478.3","9,043.5","78.66K","-0.92%"
"07/08/2021","9,173.9","9,739.1","9,739.1","9,130.4","36.34K","-1.86%"
"07/09/2021","9,217.4","9,478.3","9,478.3","9,130.4","33.70K","0.47%"
"07/12/2021","8,869.6","9,217.4","9,217.4","8,591.3","80.62K","-3.77%"
"07/13/2021","9,043.5","8,443.5","9,130.4","8,443.5","36.57K","1.96%"
"07/14/2021","9,000.0","9,043.5","9,043.5","8,434.8","116.73K","-0.48%"
"07/15/2021","9,304.3","9,130.4","9,304.3","8,782.6","41.29K","3.38%"
"07/16/2021","9,304.3","9,130.4","9,391.3","9,130.4","41.75K","0.00%"
"07/19/2021","8,956.5","9,043.5","9,304.3","8,782.6","34.62K","-3.74%"
"07/20/2021","9,087.0","8,956.5","9,130.4","8,608.7","32.89K","1.46%"
"07/21/2021","9,087.0","8,869.6","9,087.0","8,869.6","63.25K","0.00%"
"07/22/2021","9,130.4","9,217.4","9,217.4","8,956.5","33.12K","0.48%"
"07/23/2021","9,130.4","9,000.0","9,130.4","9,000.0","31.40K","0.00%"
"07/26/2021","9,173.9","9,130.4","9,217.4","8,956.5","40.48K","0.48%"
"07/27/2021","9,130.4","9,217.4","9,217.4","9,087.0","70.84K","-0.47%"
"07/28/2021","9,087.0","8,695.6","9,217.4","8,521.7","283.13K","-0.48%"
"07/29/2021","9,087.0","9,173.9","9,173.9","8,869.6","65.21K","0.00%"
"07/30/2021","9,130.4","8,956.5","9,173.9","8,956.5","79.93K","0.48%"
"08/02/2021","9,087.0","9,130.4","9,173.9","9,000.0","151.80K","-0.48%"
"08/03/2021","9,565.2","9,087.0","9,565.2","9,043.5","340.29K","5.26%"
"08/04/2021","9,434.8","9,565.2","9,652.2","9,391.3","123.97K","-1.36%"
"08/05/2021","9,565.2","9,391.3","9,565.2","9,304.3","139.50K","1.38%"
"08/06/2021","9,478.3","9,565.2","9,652.2","9,434.8","159.28K","-0.91%"
"08/09/2021","10,000.0","9,521.7","10,087.0","9,391.3","453.45K","5.50%"
"08/10/2021","10,130.4","10,130.4","10,260.9","10,043.5","284.40K","1.30%"
"08/11/2021","10,000.0","10,173.9","10,173.9","9,956.5","308.89K","-1.29%"
"08/12/2021","10,087.0","10,000.0","10,304.3","9,826.1","568.10K","0.87%"
"08/13/2021","10,217.4","10,347.8","10,347.8","10,087.0","294.29K","1.29%"
"08/16/2021","10,913.0","10,434.8","10,913.0","10,434.8","324.42K","6.81%"
"08/17/2021","11,130.4","11,478.3","11,478.3","10,956.5","570.75K","1.99%"
"08/18/2021","11,173.9","11,304.3","11,304.3","11,043.5","412.85K","0.39%"
"08/19/2021","11,217.4","11,434.8","11,434.8","11,087.0","234.72K","0.39%"
"08/20/2021","10,608.7","11,217.4","11,217.4","10,521.7","643.77K","-5.43%"
"08/23/2021","10,521.7","10,521.7","10,826.1","10,521.7","259.10K","-0.82%"
"08/24/2021","10,565.2","10,565.2","10,695.6","10,478.3","169.17K","0.41%"
"08/25/2021","10,782.6","10,608.7","10,826.1","10,521.7","153.64K","2.06%"
"08/26/2021","10,608.7","10,782.6","10,782.6","10,521.7","141.91K","-1.61%"
"08/27/2021","10,739.1","10,608.7","10,826.1","10,608.7","294.63K","1.23%"
"08/30/2021","11,173.9","10,956.5","11,260.9","10,956.5","547.17K","4.05%"
"08/31/2021","11,217.4","11,260.9","11,434.8","11,173.9","677.47K","0.39%"
"09/01/2021","11,950.0","11,500.0","11,950.0","11,300.0","456.40K","6.53%"
"09/06/2021","12,250.0","12,600.0","12,600.0","12,000.0","317.40K","2.51%"
"09/07/2021","11,950.0","12,250.0","12,250.0","11,800.0","356.00K","-2.45%"
"09/08/2021","11,500.0","11,800.0","11,800.0","11,450.0","277.20K","-3.77%"
"09/09/2021","11,700.0","11,500.0","11,750.0","11,450.0","399.90K","1.74%"
"09/10/2021","11,800.0","11,800.0","11,800.0","11,700.0","241.90K","0.85%"
"09/13/2021","12,000.0","11,750.0","12,600.0","11,750.0","450.40K","1.69%"
"09/14/2021","12,100.0","12,000.0","12,200.0","11,950.0","425.00K","0.83%"
"09/15/2021","12,350.0","12,200.0","12,450.0","12,150.0","463.90K","2.07%"
"09/16/2021","12,250.0","12,600.0","12,600.0","12,050.0","364.90K","-0.81%"
"09/17/2021","12,300.0","12,300.0","12,400.0","12,050.0","332.30K","0.41%"
"09/20/2021","12,400.0","12,300.0","12,450.0","12,150.0","570.90K","0.81%"
"09/21/2021","13,250.0","12,400.0","13,250.0","12,250.0","543.70K","6.85%"
"09/22/2021","13,400.0","13,500.0","13,600.0","13,300.0","239.80K","1.13%"
"09/23/2021","13,000.0","13,450.0","13,450.0","12,900.0","514.10K","-2.99%"
"09/24/2021","12,350.0","12,800.0","13,000.0","12,200.0","289.00K","-5.00%"
