"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","11,875.0","11,964.3","11,964.3","11,607.1","413.17K","0.76%"
"07/02/2021","11,651.8","11,875.0","11,875.0","11,607.1","346.30K","-1.88%"
"07/05/2021","11,339.3","11,651.8","11,651.8","11,160.7","722.85K","-2.68%"
"07/06/2021","10,714.3","11,294.6","11,339.3","10,714.3","593.26K","-5.51%"
"07/07/2021","10,714.3","10,714.3","10,982.1","10,446.4","399.95K","0.00%"
"07/08/2021","10,758.9","10,714.3","10,982.1","10,625.0","257.71K","0.42%"
"07/09/2021","10,357.1","10,758.9","10,848.2","10,267.9","282.24K","-3.73%"
"07/12/2021","9,821.4","10,357.1","10,357.1","9,642.9","668.86K","-5.17%"
"07/13/2021","9,642.9","9,821.4","10,000.0","9,553.6","333.20K","-1.82%"
"07/14/2021","9,553.6","9,687.5","9,821.4","9,508.9","173.38K","-0.93%"
"07/15/2021","9,821.4","9,464.3","9,821.4","9,464.3","180.21K","2.80%"
"07/16/2021","10,133.9","9,866.1","10,267.9","9,866.1","322.90K","3.18%"
"07/19/2021","9,642.9","9,598.2","10,044.6","9,464.3","448.90K","-4.85%"
"07/20/2021","10,089.3","9,732.1","10,089.3","9,732.1","342.72K","4.63%"
"07/21/2021","10,133.9","10,089.3","10,401.8","10,089.3","204.29K","0.44%"
"07/22/2021","10,803.6","10,133.9","10,803.6","10,044.6","693.28K","6.61%"
"07/23/2021","10,580.4","10,892.9","11,071.4","10,580.4","579.15K","-2.07%"
"07/26/2021","10,803.6","10,580.4","10,892.9","10,267.9","375.42K","2.11%"
"07/27/2021","10,714.3","10,982.1","10,982.1","10,535.7","356.72K","-0.83%"
"07/28/2021","10,446.4","10,803.6","10,803.6","10,267.9","481.49K","-2.50%"
"07/29/2021","10,446.4","10,446.4","10,446.4","10,267.9","252.34K","0.00%"
"07/30/2021","10,714.3","10,446.4","10,848.2","10,357.1","313.82K","2.56%"
"08/02/2021","10,625.0","10,803.6","10,803.6","10,535.7","360.98K","-0.83%"
"08/03/2021","10,803.6","10,625.0","11,026.8","10,625.0","415.97K","1.68%"
"08/04/2021","11,026.8","10,714.3","11,250.0","10,580.4","829.58K","2.07%"
"08/05/2021","11,026.8","11,026.8","11,160.7","10,714.3","376.10K","0.00%"
"08/06/2021","11,026.8","11,026.8","11,428.6","10,937.5","613.54K","0.00%"
"08/09/2021","11,339.3","11,071.4","11,383.9","11,026.8","866.54K","2.83%"
"08/10/2021","11,383.9","11,428.6","11,517.9","11,205.4","700.22K","0.39%"
"08/11/2021","12,142.9","11,696.4","12,142.9","11,696.4","2.17M","6.67%"
"08/12/2021","12,187.5","12,321.4","12,589.3","11,696.4","1.61M","0.37%"
"08/13/2021","12,053.6","12,187.5","12,187.5","11,696.4","670.88K","-1.10%"
"08/16/2021","12,767.9","12,187.5","12,812.5","12,142.9","1.90M","5.93%"
"08/17/2021","12,321.4","12,633.9","12,723.2","12,276.8","990.64K","-3.50%"
"08/18/2021","12,455.4","12,321.4","12,678.6","11,741.1","703.47K","1.09%"
"08/19/2021","12,589.3","12,455.4","12,678.6","12,142.9","767.31K","1.08%"
"08/20/2021","12,053.6","12,678.6","12,946.4","11,741.1","1.88M","-4.26%"
"08/23/2021","11,250.0","11,964.3","11,964.3","11,250.0","1.62M","-6.67%"
"08/24/2021","11,026.8","10,758.9","11,250.0","10,714.3","804.83K","-1.98%"
"08/25/2021","11,071.4","11,071.4","11,116.1","10,714.3","647.81K","0.40%"
"08/26/2021","10,982.1","11,250.0","11,473.2","10,758.9","628.99K","-0.81%"
"08/27/2021","11,339.3","10,892.9","11,383.9","10,758.9","622.27K","3.25%"
"08/30/2021","12,098.2","11,562.5","12,098.2","11,428.6","1.04M","6.69%"
"08/31/2021","11,919.6","12,276.8","12,321.4","11,919.6","840.22K","-1.48%"
"09/01/2021","12,723.2","11,919.6","12,723.2","11,919.6","2.20M","6.74%"
"09/06/2021","13,571.4","13,392.9","13,571.4","13,169.6","1.65M","6.67%"
"09/07/2021","12,767.9","13,571.4","13,794.6","12,633.9","2.06M","-5.92%"
"09/08/2021","12,500.0","12,767.9","12,857.1","12,321.4","1.29M","-2.10%"
"09/09/2021","13,348.2","12,500.0","13,348.2","12,500.0","1.31M","6.79%"
"09/10/2021","13,392.9","13,571.4","13,705.4","13,303.6","1.60M","0.33%"
"09/13/2021","12,946.4","13,214.3","13,482.1","12,857.1","864.64K","-3.33%"
"09/14/2021","12,321.4","12,723.2","12,991.1","12,321.4","1.35M","-4.83%"
"09/15/2021","12,678.6","12,321.4","12,767.9","11,919.6","895.22K","2.90%"
"09/16/2021","12,723.2","12,589.3","12,901.8","12,500.0","418.77K","0.35%"
"09/17/2021","12,991.1","12,767.9","13,214.3","12,678.6","890.29K","2.11%"
"09/20/2021","12,857.1","13,169.6","13,392.9","12,633.9","991.20K","-1.03%"
"09/21/2021","12,767.9","12,500.0","12,857.1","12,276.8","1.12M","-0.69%"
"09/22/2021","13,660.7","12,767.9","13,660.7","12,767.9","2.21M","6.99%"
"09/23/2021","13,214.3","14,419.6","14,419.6","13,214.3","1.96M","-3.27%"
"09/24/2021","13,125.0","13,125.0","13,392.9","12,946.4","610.29K","-0.68%"
"09/27/2021","12,232.1","13,080.4","13,214.3","12,232.1","1.57M","-6.80%"
"09/28/2021","12,500.0","11,919.6","12,589.3","11,875.0","1.33M","2.19%"
"09/29/2021","12,678.6","12,410.7","12,767.9","12,321.4","566.27K","1.43%"
"09/30/2021","12,500.0","12,678.6","12,946.4","12,455.4","511.73K","-1.41%"
"10/01/2021","12,232.1","12,410.7","12,678.6","12,232.1","750.96K","-2.14%"
"10/04/2021","12,678.6","12,544.6","12,723.2","12,321.4","1.02M","3.65%"
"10/05/2021","12,678.6","12,678.6","12,767.9","12,544.6","583.18K","0.00%"
"10/06/2021","13,214.3","12,723.2","13,348.2","12,723.2","1.08M","4.23%"
"10/07/2021","13,169.6","13,392.9","13,392.9","13,035.7","875.06K","-0.34%"
"10/08/2021","13,125.0","13,392.9","13,660.7","13,125.0","1.24M","-0.34%"
"10/11/2021","13,080.4","13,303.6","13,303.6","13,080.4","774.82K","-0.34%"
"10/12/2021","13,035.7","13,214.3","13,214.3","12,946.4","746.03K","-0.34%"
"10/13/2021","13,214.3","13,035.7","13,437.5","13,035.7","822.30K","1.37%"
"10/14/2021","13,794.6","13,214.3","13,883.9","13,214.3","1.92M","4.39%"
"10/15/2021","13,839.3","14,285.7","14,285.7","13,660.7","1.45M","0.32%"
"10/18/2021","13,660.7","13,839.3","13,928.6","13,616.1","876.18K","-1.29%"
"10/19/2021","14,598.2","13,660.7","14,598.2","13,437.5","3.98M","6.86%"
"10/20/2021","15,267.9","15,089.3","15,580.4","14,732.1","2.75M","4.59%"
