"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","14,000.0","14,000.0","14,000.0","13,800.0","11.00K","0.00%"
"07/02/2021","14,000.0","14,000.0","14,000.0","13,700.0","3.10K","0.00%"
"07/05/2021","13,600.0","13,700.0","13,950.0","13,050.0","22.80K","-2.86%"
"07/06/2021","13,700.0","14,100.0","14,100.0","13,300.0","10.40K","0.74%"
"07/07/2021","13,600.0","13,500.0","13,600.0","12,750.0","4.90K","-0.73%"
"07/08/2021","13,500.0","13,200.0","13,700.0","13,200.0","12.10K","-0.74%"
"07/09/2021","13,500.0","13,500.0","13,500.0","13,000.0","2.80K","0.00%"
"07/12/2021","12,700.0","13,000.0","13,500.0","12,650.0","41.60K","-5.93%"
"07/13/2021","13,300.0","12,700.0","13,300.0","12,500.0","18.10K","4.72%"
"07/14/2021","13,450.0","13,000.0","13,450.0","12,900.0","7.20K","1.13%"
"07/15/2021","14,200.0","12,550.0","14,200.0","12,550.0","25.50K","5.58%"
"07/16/2021","14,000.0","13,600.0","14,150.0","13,600.0","12.30K","-1.41%"
"07/19/2021","14,000.0","14,000.0","14,000.0","13,100.0","12.50K","0.00%"
"07/20/2021","13,900.0","13,300.0","13,900.0","13,300.0","1.00K","-0.71%"
"07/21/2021","13,800.0","13,800.0","13,800.0","13,400.0","2.60K","-0.72%"
"07/22/2021","13,000.0","13,300.0","13,750.0","13,000.0","46.20K","-5.80%"
"07/23/2021","13,750.0","13,300.0","13,750.0","12,850.0","7.30K","5.77%"
"07/26/2021","13,050.0","13,450.0","13,450.0","13,050.0","5.50K","-5.09%"
"07/27/2021","13,400.0","13,050.0","13,650.0","12,900.0","12.20K","2.68%"
"07/28/2021","13,000.0","13,400.0","13,400.0","13,000.0","0.70K","-2.99%"
"07/29/2021","13,400.0","13,450.0","13,450.0","13,400.0","2.60K","3.08%"
"07/30/2021","13,500.0","13,000.0","13,500.0","13,000.0","2.20K","0.75%"
"08/02/2021","13,500.0","13,500.0","13,500.0","12,650.0","12.60K","0.00%"
"08/03/2021","13,500.0","13,000.0","13,900.0","13,000.0","2.10K","0.00%"
"08/04/2021","13,500.0","13,200.0","13,500.0","13,200.0","2.30K","0.00%"
"08/05/2021","13,600.0","13,200.0","13,600.0","13,200.0","5.70K","0.74%"
"08/06/2021","13,500.0","13,500.0","13,500.0","13,200.0","2.30K","-0.74%"
"08/09/2021","13,500.0","13,400.0","13,500.0","13,400.0","0.60K","0.00%"
"08/10/2021","13,500.0","13,400.0","13,500.0","13,200.0","2.10K","0.00%"
"08/11/2021","13,450.0","13,500.0","13,500.0","13,300.0","1.80K","-0.37%"
"08/12/2021","13,500.0","13,200.0","13,500.0","13,200.0","6.20K","0.37%"
"08/13/2021","13,500.0","13,500.0","13,750.0","13,500.0","2.30K","0.00%"
"08/16/2021","13,500.0","13,300.0","13,500.0","13,300.0","3.30K","0.00%"
"08/17/2021","13,500.0","13,500.0","13,550.0","13,200.0","9.40K","0.00%"
"08/18/2021","13,400.0","13,300.0","13,400.0","13,300.0","9.00K","-0.74%"
"08/19/2021","13,500.0","13,300.0","13,500.0","13,300.0","14.50K","0.75%"
"08/20/2021","13,600.0","13,300.0","13,600.0","13,300.0","12.90K","0.74%"
"08/23/2021","13,700.0","13,600.0","13,900.0","13,600.0","14.10K","0.74%"
"08/24/2021","13,750.0","13,950.0","14,550.0","13,750.0","20.90K","0.36%"
"08/25/2021","13,900.0","13,800.0","13,900.0","13,800.0","1.30K","1.09%"
"08/26/2021","14,100.0","13,900.0","14,100.0","13,800.0","3.40K","1.44%"
"08/27/2021","13,900.0","14,100.0","14,100.0","13,800.0","3.40K","-1.42%"
"08/30/2021","14,000.0","13,850.0","14,000.0","13,850.0","8.20K","0.72%"
"08/31/2021","13,800.0","14,200.0","14,200.0","13,800.0","13.00K","-1.43%"
"09/01/2021","13,850.0","13,800.0","13,900.0","13,800.0","5.00K","0.36%"
"09/06/2021","13,950.0","13,800.0","14,000.0","13,800.0","7.30K","0.72%"
"09/07/2021","14,300.0","14,150.0","14,300.0","14,150.0","30.30K","2.51%"
"09/08/2021","14,200.0","14,300.0","14,300.0","14,150.0","1.70K","-0.70%"
"09/09/2021","14,200.0","14,200.0","14,200.0","14,200.0","3.10K","0.00%"
"09/10/2021","14,300.0","14,200.0","14,300.0","14,000.0","5.00K","0.70%"
"09/13/2021","14,300.0","14,300.0","14,300.0","14,150.0","11.30K","0.00%"
"09/14/2021","14,000.0","14,150.0","14,250.0","14,000.0","34.20K","-2.10%"
"09/15/2021","14,200.0","14,500.0","14,500.0","14,200.0","31.20K","1.43%"
"09/16/2021","14,450.0","14,500.0","14,500.0","14,300.0","28.20K","1.76%"
"09/17/2021","14,600.0","14,700.0","15,000.0","14,550.0","14.10K","1.04%"
"09/20/2021","14,650.0","15,200.0","15,200.0","14,650.0","14.70K","0.34%"
"09/21/2021","14,400.0","14,650.0","14,650.0","14,200.0","19.00K","-1.71%"
"09/22/2021","14,950.0","14,400.0","14,950.0","14,400.0","18.70K","3.82%"
"09/23/2021","14,700.0","15,000.0","15,200.0","14,500.0","5.10K","-1.67%"
"09/24/2021","14,700.0","14,800.0","15,000.0","14,700.0","3.00K","0.00%"
"09/27/2021","14,650.0","14,700.0","14,900.0","14,650.0","10.70K","-0.34%"
"09/28/2021","14,900.0","14,650.0","14,900.0","14,650.0","17.60K","1.71%"
"09/29/2021","14,700.0","14,900.0","14,950.0","14,700.0","3.40K","-1.34%"
"09/30/2021","14,700.0","14,700.0","14,800.0","14,700.0","7.30K","0.00%"
"10/01/2021","14,100.0","14,600.0","14,800.0","13,700.0","15.30K","-4.08%"
"10/04/2021","14,500.0","14,050.0","14,500.0","14,000.0","4.70K","2.84%"
"10/05/2021","14,700.0","14,500.0","14,700.0","14,300.0","1.30K","1.38%"
