"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","16,807.0","16,503.8","16,893.6","16,460.4","43.20K","1.84%"
"07/02/2021","16,720.3","16,807.0","16,893.6","16,720.3","31.40K","-0.52%"
"07/05/2021","16,720.3","16,893.6","16,893.6","16,633.7","45.30K","0.00%"
"07/06/2021","17,153.5","16,807.0","17,240.2","16,807.0","101.40K","2.59%"
"07/07/2021","17,153.5","17,153.5","17,240.2","16,200.5","56.00K","0.00%"
"07/08/2021","17,153.5","17,153.5","17,240.2","16,936.9","52.10K","0.00%"
"07/09/2021","16,720.3","17,153.5","17,240.2","16,720.3","41.40K","-2.53%"
"07/12/2021","16,633.7","17,240.2","17,240.2","16,633.7","44.00K","-0.52%"
"07/13/2021","17,240.2","17,153.5","17,240.2","17,153.5","58.80K","3.65%"
"07/14/2021","17,240.2","17,240.2","17,240.2","17,240.2","84.70K","0.00%"
"07/15/2021","17,051.7","17,522.8","17,522.8","17,051.7","20.80K","-1.09%"
"07/16/2021","17,240.2","17,145.9","17,240.2","17,051.7","60.60K","1.10%"
"07/19/2021","17,098.8","17,240.2","17,240.2","16,062.5","31.90K","-0.82%"
"07/20/2021","16,298.1","16,203.9","16,392.3","15,921.2","56.10K","-4.68%"
"07/21/2021","16,580.7","16,392.3","16,580.7","16,298.1","8.50K","1.73%"
"07/22/2021","16,769.1","16,722.0","16,816.2","16,722.0","2.10K","1.14%"
"07/23/2021","16,674.9","16,910.4","16,910.4","16,674.9","6.30K","-0.56%"
"07/26/2021","16,580.7","16,674.9","16,674.9","16,486.5","14.60K","-0.56%"
"07/27/2021","16,674.9","16,580.7","16,674.9","16,580.7","6.50K","0.57%"
"07/28/2021","16,769.1","16,674.9","16,863.3","16,674.9","7.80K","0.56%"
"07/29/2021","17,051.7","16,769.1","17,051.7","16,769.1","29.50K","1.69%"
"07/30/2021","16,957.5","17,051.7","17,051.7","16,957.5","9.00K","-0.55%"
"08/02/2021","16,957.5","16,957.5","17,051.7","16,957.5","60.30K","0.00%"
"08/03/2021","17,381.5","16,957.5","17,428.6","16,957.5","86.20K","2.50%"
"08/04/2021","17,240.2","17,240.2","17,240.2","17,240.2","7.00K","-0.81%"
