"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","5,900.0","5,900.0","6,090.0","5,700.0","11.20K","-3.28%"
"07/02/2021","5,700.0","5,900.0","5,900.0","5,600.0","19.00K","-3.39%"
"07/05/2021","5,780.0","5,900.0","5,900.0","5,780.0","9.80K","1.40%"
"07/06/2021","6,180.0","6,180.0","6,180.0","6,120.0","101.50K","6.92%"
"07/07/2021","6,610.0","6,610.0","6,610.0","6,610.0","44.40K","6.96%"
"07/08/2021","7,070.0","7,070.0","7,070.0","7,070.0","35.90K","6.96%"
"07/09/2021","7,560.0","7,560.0","7,560.0","7,560.0","53.10K","6.93%"
"07/12/2021","7,050.0","8,080.0","8,080.0","7,040.0","145.80K","-6.75%"
"07/13/2021","7,040.0","6,600.0","7,050.0","6,600.0","46.40K","-0.14%"
"07/14/2021","7,250.0","7,040.0","7,390.0","7,000.0","45.40K","2.98%"
"07/15/2021","6,750.0","6,800.0","7,250.0","6,750.0","51.20K","-6.90%"
"07/16/2021","6,750.0","6,750.0","7,000.0","6,750.0","25.90K","0.00%"
"07/19/2021","6,700.0","6,750.0","7,000.0","6,280.0","39.20K","-0.74%"
"07/20/2021","6,300.0","6,280.0","6,300.0","6,240.0","20.40K","-5.97%"
"07/21/2021","5,860.0","6,300.0","6,300.0","5,860.0","11.90K","-6.98%"
"07/22/2021","6,200.0","5,860.0","6,270.0","5,800.0","8.40K","5.80%"
"07/23/2021","6,630.0","6,500.0","6,630.0","6,500.0","22.80K","6.94%"
"07/26/2021","6,500.0","6,490.0","6,500.0","6,200.0","2.80K","-1.96%"
"07/27/2021","6,690.0","6,060.0","6,700.0","6,060.0","3.10K","2.92%"
"07/28/2021","6,790.0","6,680.0","6,800.0","6,260.0","14.80K","1.49%"
"07/29/2021","7,150.0","6,780.0","7,150.0","6,700.0","14.60K","5.30%"
"07/30/2021","7,190.0","6,900.0","7,190.0","6,900.0","10.40K","0.56%"
"08/02/2021","7,150.0","7,180.0","7,180.0","6,900.0","0.40K","-0.56%"
"08/03/2021","7,140.0","6,900.0","7,140.0","6,900.0","9.90K","-0.14%"
"08/04/2021","7,000.0","7,100.0","7,130.0","7,000.0","7.50K","-1.96%"
"08/05/2021","7,350.0","7,200.0","7,350.0","7,100.0","12.50K","5.00%"
"08/06/2021","7,250.0","7,250.0","7,250.0","7,000.0","2.70K","-1.36%"
