"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","30,218.1","30,537.0","30,537.0","30,081.0","8.80K","-1.04%"
"07/02/2021","30,081.4","30,081.0","30,446.0","29,626.0","44.50K","-0.45%"
"07/05/2021","29,899.1","30,492.0","30,492.0","29,352.0","68.50K","-0.61%"
"07/06/2021","29,625.6","30,446.0","30,446.0","29,534.0","5.80K","-0.91%"
"07/07/2021","29,215.4","29,398.0","29,443.0","27,575.0","115.70K","-1.38%"
"07/08/2021","28,714.0","29,626.0","29,626.0","28,714.0","11.40K","-1.72%"
"07/09/2021","28,258.3","28,668.0","28,714.0","28,258.0","23.50K","-1.59%"
"07/12/2021","27,483.4","28,167.0","28,167.0","27,164.0","59.90K","-2.74%"
"07/13/2021","28,121.5","28,076.0","28,167.0","27,711.0","18.30K","2.32%"
"07/14/2021","28,121.5","28,167.0","28,304.0","26,982.0","37.10K","0.00%"
"07/15/2021","28,714.0","28,258.0","28,714.0","27,802.0","7.50K","2.11%"
"07/16/2021","29,169.8","29,033.0","29,307.0","28,714.0","25.10K","1.59%"
"07/19/2021","29,169.8","29,534.0","29,534.0","28,714.0","26.30K","0.00%"
"07/20/2021","29,169.8","29,443.0","29,443.0","29,170.0","14.50K","0.00%"
"07/21/2021","28,850.8","29,170.0","29,170.0","28,805.0","10.00K","-1.09%"
"07/22/2021","29,078.7","28,714.0","29,124.0","28,441.0","4.30K","0.79%"
"07/23/2021","29,443.3","29,489.0","29,489.0","28,942.0","5.00K","1.25%"
"07/26/2021","29,443.3","29,945.0","29,945.0","29,170.0","6.40K","0.00%"
"07/27/2021","29,352.1","29,443.0","29,626.0","29,352.0","4.60K","-0.31%"
"07/28/2021","29,169.8","29,352.0","30,446.0","29,170.0","8.90K","-0.62%"
"07/29/2021","29,899.1","29,170.0","29,899.0","29,170.0","2.90K","2.50%"
"07/30/2021","30,081.4","29,899.0","30,264.0","29,443.0","11.30K","0.61%"
"08/02/2021","29,899.1","30,173.0","30,173.0","29,899.0","8.10K","-0.61%"
"08/03/2021","29,625.6","29,626.0","30,264.0","29,626.0","3.40K","-0.91%"
"08/04/2021","29,807.9","29,717.0","29,808.0","29,717.0","0.90K","0.62%"
"08/05/2021","29,807.9","30,081.0","30,173.0","29,808.0","13.10K","0.00%"
"08/06/2021","29,443.3","29,626.0","30,081.0","29,170.0","5.60K","-1.22%"
"08/09/2021","29,625.6","29,261.0","29,626.0","29,170.0","6.80K","0.62%"
"08/10/2021","29,716.7","29,398.0","29,717.0","29,398.0","8.10K","0.31%"
"08/11/2021","30,035.8","30,081.0","30,081.0","29,808.0","11.90K","1.07%"
"08/12/2021","30,309.3","30,081.0","30,355.0","29,808.0","23.50K","0.91%"
"08/13/2021","30,081.4","29,899.0","30,355.0","29,717.0","13.40K","-0.75%"
"08/16/2021","30,172.5","30,081.0","30,309.0","29,899.0","20.60K","0.30%"
"08/17/2021","30,081.4","30,173.0","30,446.0","29,899.0","29.10K","-0.30%"
"08/18/2021","30,081.4","29,945.0","30,264.0","29,945.0","11.20K","0.00%"
"08/19/2021","31,129.7","29,945.0","31,266.0","29,945.0","84.10K","3.48%"
"08/20/2021","31,266.4","31,813.0","31,996.0","30,537.0","62.70K","0.44%"
"08/23/2021","31,403.1","30,993.0","31,403.0","30,628.0","23.00K","0.44%"
"08/24/2021","31,175.2","29,717.0","31,175.0","29,717.0","52.60K","-0.73%"
"08/25/2021","30,628.3","30,537.0","30,628.0","29,626.0","45.00K","-1.75%"
"08/26/2021","30,628.3","31,175.0","31,175.0","30,081.0","12.20K","0.00%"
"08/27/2021","30,263.7","30,173.0","30,492.0","30,081.0","21.00K","-1.19%"
"08/30/2021","30,537.1","30,309.0","30,628.0","30,309.0","5.90K","0.90%"
"08/31/2021","30,673.9","30,492.0","30,674.0","30,492.0","15.50K","0.45%"
"09/01/2021","31,084.1","30,674.0","31,084.0","30,628.0","30.30K","1.34%"
"09/06/2021","31,539.9","31,175.0","31,540.0","31,084.0","46.00K","1.47%"
"09/07/2021","30,992.9","31,540.0","31,813.0","30,811.0","46.30K","-1.73%"
"09/08/2021","30,446.0","30,127.0","30,993.0","30,081.0","24.90K","-1.76%"
"09/09/2021","31,129.7","30,993.0","31,130.0","30,537.0","22.20K","2.25%"
"09/10/2021","31,038.5","30,993.0","31,039.0","30,811.0","23.40K","-0.29%"
"09/13/2021","30,947.3","31,039.0","31,039.0","30,902.0","14.30K","-0.29%"
"09/14/2021","30,992.9","30,947.0","31,312.0","30,628.0","13.00K","0.15%"
"09/15/2021","30,856.2","30,993.0","30,993.0","30,719.0","7.80K","-0.44%"
"09/16/2021","30,901.8","30,856.0","31,039.0","30,719.0","13.50K","0.15%"
"09/17/2021","30,992.9","30,902.0","30,993.0","30,719.0","22.70K","0.29%"
"09/20/2021","31,266.4","30,993.0","31,312.0","30,902.0","25.40K","0.88%"
"09/21/2021","31,175.2","31,175.0","31,358.0","30,719.0","35.00K","-0.29%"
"09/22/2021","31,448.7","31,175.0","31,449.0","31,175.0","18.10K","0.88%"
"09/23/2021","31,858.9","31,449.0","31,859.0","31,449.0","25.90K","1.30%"
"09/24/2021","31,904.5","31,904.0","32,087.0","31,449.0","25.70K","0.14%"
"09/27/2021","31,266.4","31,631.0","31,904.0","30,993.0","17.30K","-2.00%"
"09/28/2021","31,904.5","31,449.0","31,904.0","31,266.0","38.40K","2.04%"
"09/29/2021","32,588.1","31,904.0","32,679.0","31,904.0","14.30K","2.14%"
"09/30/2021","32,588.1","32,451.0","32,770.0","32,178.0","11.10K","0.00%"
"10/01/2021","32,132.4","32,451.0","32,451.0","31,904.0","9.50K","-1.40%"
"10/04/2021","32,269.1","31,950.0","32,315.0","31,722.0","18.60K","0.43%"
"10/05/2021","32,269.1","32,269.0","32,269.0","31,996.0","2.70K","0.00%"
"10/06/2021","32,269.1","32,269.0","32,634.0","31,904.0","17.60K","0.00%"
"10/07/2021","31,995.6","31,996.0","32,178.0","31,449.0","52.50K","-0.85%"
"10/08/2021","31,904.5","32,087.0","32,269.0","31,722.0","5.00K","-0.28%"
"10/11/2021","31,904.5","31,449.0","32,269.0","31,449.0","9.60K","0.00%"
"10/12/2021","31,950.1","31,904.0","33,272.0","31,904.0","10.30K","0.14%"
"10/13/2021","31,950.1","32,269.0","32,360.0","31,950.0","10.30K","0.00%"
"10/14/2021","32,314.7","33,545.0","33,545.0","32,315.0","0.50K","1.14%"
"10/15/2021","32,132.4","32,315.0","32,315.0","31,996.0","6.00K","-0.56%"
"10/18/2021","31,904.5","32,178.0","32,178.0","31,904.0","31.30K","-0.71%"
"10/19/2021","32,542.6","31,904.0","32,543.0","31,904.0","12.40K","2.00%"
"10/20/2021","32,177.9","32,588.0","32,588.0","31,904.0","8.00K","-1.12%"
"10/21/2021","32,451.4","32,178.0","32,543.0","32,178.0","0.70K","0.85%"
"10/22/2021","32,542.6","32,451.0","32,543.0","32,178.0","11.20K","0.28%"
"10/25/2021","32,497.0","32,953.0","32,953.0","32,497.0","25.50K","-0.14%"
"10/26/2021","32,542.6","32,497.0","32,543.0","32,315.0","20.10K","0.14%"
"10/27/2021","32,816.0","32,451.0","32,953.0","32,451.0","16.30K","0.84%"
"10/28/2021","33,271.8","33,181.0","33,272.0","32,816.0","30.20K","1.39%"
"10/29/2021","34,183.4","33,454.0","34,275.0","33,317.0","33.50K","2.74%"
"11/01/2021","35,459.6","35,915.0","35,915.0","35,095.0","28.50K","3.73%"
"11/02/2021","35,550.7","35,460.0","35,551.0","35,095.0","16.30K","0.26%"
"11/03/2021","35,003.8","35,551.0","35,551.0","35,004.0","18.50K","-1.54%"
"11/04/2021","36,006.5","35,004.0","36,006.0","34,913.0","6.20K","2.86%"
"11/05/2021","35,550.7","35,961.0","35,961.0","35,232.0","11.50K","-1.27%"
"11/08/2021","35,550.7","36,098.0","36,098.0","35,141.0","78.40K","0.00%"
"11/09/2021","35,596.3","36,006.0","36,006.0","35,551.0","15.80K","0.13%"
"11/10/2021","35,915.3","36,371.0","36,371.0","35,779.0","12.90K","0.90%"
"11/11/2021","36,097.6","36,462.0","36,462.0","36,006.0","32.00K","0.51%"
"11/12/2021","36,188.8","36,371.0","36,371.0","35,824.0","20.30K","0.25%"
"11/15/2021","36,280.0","36,189.0","37,374.0","36,006.0","23.60K","0.25%"
"11/16/2021","36,143.2","36,280.0","36,371.0","35,915.0","21.50K","-0.38%"
"11/17/2021","36,918.0","35,642.0","37,374.0","35,642.0","52.00K","2.14%"
"11/18/2021","35,778.6","36,964.0","37,374.0","35,779.0","46.90K","-3.09%"
"11/19/2021","35,915.3","35,551.0","35,915.0","35,551.0","25.20K","0.38%"
"11/22/2021","35,869.8","35,551.0","35,870.0","35,368.0","12.40K","-0.13%"
"11/23/2021","36,006.5","35,824.0","36,006.0","35,186.0","24.90K","0.38%"
"11/24/2021","36,006.5","36,371.0","36,371.0","35,642.0","6.40K","0.00%"
"11/25/2021","35,538.9","36,006.0","36,006.0","35,352.0","15.60K","-1.30%"
"11/26/2021","35,632.4","36,895.0","36,895.0","35,539.0","7.20K","0.26%"
"11/29/2021","35,071.2","35,539.0","35,632.0","34,978.0","20.00K","-1.57%"
"11/30/2021","35,118.0","35,071.0","35,632.0","35,071.0","9.20K","0.13%"
"12/01/2021","35,445.3","35,118.0","35,445.0","35,118.0","2.90K","0.93%"
"12/02/2021","35,445.3","35,539.0","35,632.0","35,445.0","7.50K","0.00%"
"12/03/2021","35,398.6","35,445.0","35,445.0","35,071.0","9.30K","-0.13%"
"12/06/2021","35,351.8","34,136.0","35,399.0","34,136.0","8.50K","-0.13%"
"12/07/2021","35,258.3","35,258.0","35,352.0","34,791.0","3.00K","-0.26%"
"12/08/2021","35,351.8","34,744.0","35,539.0","34,744.0","24.30K","0.27%"
"12/09/2021","35,351.8","35,352.0","35,352.0","34,931.0","7.80K","0.00%"
"12/10/2021","35,071.2","35,539.0","35,539.0","34,978.0","10.40K","-0.79%"
"12/13/2021","34,884.2","35,071.0","35,071.0","34,136.0","19.00K","-0.53%"
"12/14/2021","35,538.9","34,697.0","35,539.0","34,604.0","16.40K","1.88%"
"12/15/2021","35,351.8","35,539.0","35,539.0","35,258.0","7.40K","-0.53%"
"12/16/2021","35,071.2","35,352.0","35,445.0","35,071.0","0.90K","-0.79%"
"12/17/2021","35,492.1","34,744.0","35,492.0","34,604.0","9.20K","1.20%"
"12/20/2021","34,977.7","35,539.0","35,539.0","34,604.0","5.00K","-1.45%"
"12/21/2021","34,790.7","34,604.0","35,071.0","34,136.0","127.40K","-0.53%"
"12/22/2021","34,790.7","34,604.0","35,258.0","34,604.0","17.70K","0.00%"
"12/23/2021","34,603.6","34,604.0","34,604.0","34,370.0","15.10K","-0.54%"
"12/24/2021","34,603.6","34,510.0","34,604.0","34,510.0","9.00K","0.00%"
"12/27/2021","34,323.1","34,183.0","34,604.0","34,183.0","8.70K","-0.81%"
"12/28/2021","34,323.1","35,071.0","35,071.0","34,136.0","10.20K","0.00%"
"12/29/2021","34,416.6","34,323.0","34,417.0","34,230.0","13.80K","0.27%"
"12/30/2021","34,416.6","35,024.0","35,024.0","34,323.0","4.90K","0.00%"
"12/31/2021","34,603.6","34,837.0","34,837.0","34,417.0","5.90K","0.54%"
