"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","32,800.0","31,650.0","33,000.0","31,000.0","26.00K","1.23%"
"07/02/2021","31,600.0","32,050.0","32,800.0","31,500.0","19.10K","-3.66%"
"07/05/2021","31,800.0","31,600.0","32,000.0","31,000.0","9.90K","0.63%"
"07/06/2021","31,000.0","31,800.0","31,800.0","31,000.0","6.30K","-2.52%"
"07/07/2021","30,800.0","30,800.0","31,450.0","30,800.0","0.60K","-0.65%"
"07/08/2021","30,800.0","30,800.0","30,900.0","30,800.0","6.30K","0.00%"
"07/09/2021","31,300.0","31,650.0","31,650.0","30,600.0","6.50K","1.62%"
"07/12/2021","30,000.0","31,000.0","31,000.0","30,000.0","5.30K","-4.15%"
"07/14/2021","30,000.0","28,600.0","30,000.0","28,600.0","5.20K","0.00%"
"07/15/2021","30,000.0","30,000.0","30,000.0","30,000.0","0.30K","0.00%"
"07/16/2021","29,000.0","30,000.0","30,000.0","29,000.0","3.70K","-3.33%"
"07/19/2021","29,850.0","29,000.0","30,000.0","28,600.0","0.40K","2.93%"
"07/20/2021","29,400.0","29,400.0","29,600.0","29,400.0","0.50K","-1.51%"
"07/21/2021","31,000.0","29,400.0","31,000.0","29,400.0","18.50K","5.44%"
"07/22/2021","31,000.0","30,600.0","31,000.0","30,600.0","2.00K","0.00%"
"07/23/2021","30,900.0","30,000.0","31,000.0","29,600.0","3.20K","-0.32%"
"07/26/2021","30,500.0","30,500.0","30,800.0","30,500.0","2.40K","-1.29%"
"07/27/2021","31,000.0","31,000.0","31,000.0","30,000.0","11.50K","1.64%"
"07/30/2021","30,300.0","29,500.0","30,300.0","29,500.0","2.50K","-2.26%"
"08/02/2021","29,500.0","29,650.0","31,000.0","29,500.0","5.10K","-2.64%"
"08/03/2021","30,850.0","29,900.0","30,850.0","29,900.0","5.00K","4.58%"
"08/04/2021","30,850.0","30,650.0","30,900.0","30,650.0","4.80K","0.00%"
"08/05/2021","30,700.0","30,850.0","30,850.0","30,200.0","13.70K","-0.49%"
"08/06/2021","30,900.0","30,700.0","31,750.0","30,500.0","38.40K","0.65%"
"08/09/2021","31,500.0","31,500.0","31,500.0","30,850.0","83.60K","1.94%"
"08/10/2021","32,350.0","31,500.0","32,350.0","31,500.0","94.20K","2.70%"
"08/11/2021","34,600.0","34,600.0","34,600.0","34,450.0","201.40K","6.96%"
"08/12/2021","35,000.0","37,000.0","37,000.0","34,550.0","114.10K","1.16%"
"08/13/2021","34,200.0","32,800.0","34,200.0","32,800.0","75.90K","-2.29%"
"08/16/2021","32,900.0","34,200.0","34,400.0","32,900.0","87.90K","-3.80%"
"08/17/2021","32,300.0","33,000.0","33,000.0","32,200.0","55.60K","-1.82%"
"08/18/2021","32,000.0","32,250.0","32,350.0","31,200.0","21.30K","-0.93%"
"08/19/2021","32,500.0","31,400.0","33,000.0","31,400.0","35.30K","1.56%"
"08/20/2021","33,500.0","33,000.0","34,000.0","32,500.0","95.10K","3.08%"
"08/23/2021","33,000.0","33,600.0","33,900.0","33,000.0","54.60K","-1.49%"
"08/24/2021","31,700.0","33,000.0","33,000.0","31,700.0","13.10K","-3.94%"
"08/25/2021","31,700.0","31,150.0","32,500.0","31,150.0","20.30K","0.00%"
"08/26/2021","32,900.0","32,000.0","33,800.0","32,000.0","40.90K","3.79%"
"08/27/2021","33,050.0","34,200.0","34,200.0","32,300.0","24.10K","0.46%"
"08/30/2021","33,450.0","35,000.0","35,000.0","33,050.0","26.30K","1.21%"
"08/31/2021","33,350.0","33,300.0","33,550.0","33,000.0","44.00K","-0.30%"
"09/01/2021","33,700.0","33,300.0","34,200.0","32,700.0","61.50K","1.05%"
"09/06/2021","36,050.0","33,900.0","36,050.0","33,900.0","112.00K","6.97%"
