"Date","Price","Open","High","Low","Vol.","Change %"
"07/05/2021","30,918.0","30,918.0","30,918.0","30,918.0","1.00K","6.67%"
"07/19/2021","28,986.0","28,986.0","28,986.0","28,986.0","5.10K","-6.25%"
"08/10/2021","26,957.0","30,918.0","30,918.0","26,957.0","1.10K","-7.00%"
"08/16/2021","28,841.0","28,841.0","28,841.0","28,841.0","0.10K","6.99%"
"08/18/2021","29,952.0","30,822.0","30,822.0","29,952.0","1.60K","3.85%"
"09/16/2021","28,020.0","28,020.0","28,020.0","28,020.0","2.00K","-6.45%"
"09/29/2021","26,570.0","28,986.0","29,952.0","26,570.0","4.10K","-5.17%"
"10/12/2021","28,406.0","28,406.0","28,406.0","28,406.0","1.30K","6.91%"
"10/13/2021","30,387.0","30,387.0","30,387.0","30,387.0","1.00K","6.97%"
"10/20/2021","28,986.0","28,986.0","28,986.0","28,986.0","1.50K","-4.61%"
"11/03/2021","29,469.0","29,469.0","29,469.0","29,469.0","0.70K","1.67%"
"11/05/2021","29,469.0","29,469.0","29,469.0","29,469.0","0.10K","0.00%"
"11/08/2021","31,498.0","29,952.0","31,498.0","29,952.0","0.60K","6.89%"
"11/12/2021","30,918.0","30,918.0","30,918.0","30,918.0","0.10K","-1.84%"
"11/23/2021","30,918.0","30,918.0","30,918.0","30,918.0","0.10K","0.00%"
"11/24/2021","30,918.0","30,918.0","30,918.0","30,918.0","0.10K","0.00%"
"11/30/2021","31,885.0","31,885.0","31,885.0","31,885.0","0.10K","3.13%"
"12/09/2021","31,885.0","31,885.0","31,885.0","31,885.0","0.50K","0.00%"
"12/10/2021","31,885.0","31,885.0","31,885.0","31,885.0","20.00K","0.00%"
"12/13/2021","32,078.0","31,885.0","32,078.0","31,885.0","0.70K","0.61%"
"12/14/2021","32,368.0","32,368.0","32,368.0","32,368.0","0.10K","0.90%"
"12/15/2021","33,817.0","32,851.0","33,817.0","32,851.0","17.60K","4.48%"
"12/16/2021","31,885.0","34,783.0","34,783.0","31,885.0","0.20K","-5.71%"
"12/17/2021","32,368.0","32,368.0","32,368.0","32,368.0","0.40K","1.51%"
"12/21/2021","32,368.0","32,368.0","32,368.0","32,368.0","0.20K","0.00%"
"12/23/2021","32,947.0","32,899.0","33,720.0","32,899.0","6.10K","1.79%"
"12/24/2021","35,218.0","32,947.0","35,218.0","32,947.0","19.00K","6.89%"
"12/27/2021","32,754.0","35,749.0","35,749.0","32,754.0","16.10K","-7.00%"
"12/30/2021","30,484.0","33,720.0","35,025.0","30,484.0","0.50K","-6.93%"
"12/31/2021","28,841.0","28,503.0","32,609.0","28,503.0","0.30K","-5.39%"
