"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","31,270.7","30,379.5","31,594.7","30,379.5","332.17K","3.49%"
"07/02/2021","31,918.8","31,270.7","32,323.8","31,270.7","212.93K","2.07%"
"07/05/2021","31,594.7","32,080.8","32,404.8","31,027.6","91.34K","-1.02%"
"07/06/2021","30,460.6","31,594.7","31,999.8","30,460.6","198.86K","-3.59%"
"07/07/2021","30,217.5","30,460.6","30,703.6","29,285.9","101.84K","-0.80%"
"07/08/2021","30,217.5","30,298.5","30,379.5","29,569.4","48.02K","0.00%"
"07/09/2021","29,974.5","30,217.5","30,784.6","29,569.4","99.61K","-0.80%"
"07/12/2021","28,678.3","29,974.5","29,974.5","27,949.2","154.92K","-4.32%"
"07/13/2021","29,893.5","28,111.2","29,893.5","28,111.2","34.44K","4.24%"
"07/14/2021","29,407.4","29,974.5","29,974.5","28,111.2","62.21K","-1.63%"
"07/15/2021","28,799.8","28,273.2","29,974.5","28,273.2","55.42K","-2.07%"
"07/16/2021","28,840.3","29,488.4","29,488.4","28,637.8","29.63K","0.14%"
"07/19/2021","28,151.7","28,921.3","28,921.3","27,463.1","95.91K","-2.39%"
"07/20/2021","28,840.3","27,544.1","28,840.3","27,544.1","49.13K","2.45%"
"07/21/2021","28,718.8","29,164.4","29,164.4","28,354.2","37.28K","-0.42%"
"07/22/2021","29,164.4","28,354.2","29,204.9","28,070.7","64.56K","1.55%"
"07/23/2021","29,083.3","29,164.4","29,326.4","28,759.3","33.58K","-0.28%"
"07/26/2021","31,108.6","29,164.4","31,108.6","29,164.4","314.89K","6.96%"
"07/27/2021","32,040.3","32,647.9","32,809.9","31,351.7","206.14K","2.99%"
"07/28/2021","32,242.8","31,675.7","32,283.3","31,351.7","249.10K","0.63%"
"07/29/2021","32,161.8","32,161.8","32,404.8","31,594.7","139.86K","-0.25%"
"07/30/2021","34,389.6","32,161.8","34,389.6","32,161.8","436.35K","6.93%"
"08/02/2021","36,779.5","34,389.6","36,779.5","34,389.6","362.04K","6.95%"
"08/03/2021","36,252.9","36,779.5","37,387.1","35,807.3","222.68K","-1.43%"
"08/04/2021","35,726.3","36,252.9","36,374.4","35,483.3","289.34K","-1.45%"
"08/05/2021","36,455.4","35,402.3","37,225.1","35,402.3","172.57K","2.04%"
"08/06/2021","36,698.5","36,374.4","37,022.5","35,726.3","204.54K","0.67%"
"08/09/2021","38,035.2","36,820.0","38,237.7","36,131.4","247.62K","3.64%"
"08/10/2021","37,387.1","38,116.2","38,156.7","37,022.5","159.24K","-1.70%"
"08/11/2021","35,159.3","37,387.1","37,387.1","35,159.3","349.33K","-5.96%"
"08/12/2021","35,280.8","35,321.3","36,212.4","35,159.3","276.01K","0.35%"
"08/13/2021","35,645.3","35,280.8","36,131.4","34,025.1","186.89K","1.03%"
"08/16/2021","37,063.0","36,252.9","37,144.0","35,726.3","213.05K","3.98%"
"08/17/2021","36,820.0","37,063.0","37,063.0","36,293.4","107.89K","-0.66%"
"08/18/2021","36,374.4","36,820.0","37,265.6","36,293.4","101.59K","-1.21%"
"08/19/2021","36,374.4","36,374.4","36,374.4","35,645.3","152.94K","0.00%"
"08/20/2021","37,184.6","36,374.4","37,994.7","36,252.9","330.94K","2.23%"
"08/23/2021","39,776.9","37,184.6","39,776.9","37,103.5","474.62K","6.97%"
"08/24/2021","41,154.1","41,721.2","42,531.4","39,939.0","274.77K","3.46%"
