"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","13,204.0","12,944.2","13,204.0","12,944.0","2.10K","-4.99%"
"07/05/2021","12,338.0","12,338.1","12,338.0","12,338.0","0.20K","-6.56%"
"07/06/2021","12,338.0","12,338.1","12,338.0","12,338.0","0.50K","0.00%"
"07/07/2021","12,555.0","12,554.6","12,555.0","12,555.0","0.20K","1.76%"
"07/08/2021","13,377.0","13,377.1","13,377.0","13,377.0","0.10K","6.55%"
"07/09/2021","12,468.0","13,333.9","13,334.0","12,468.0","0.30K","-6.80%"
"07/12/2021","12,771.0","11,602.2","12,771.0","11,602.0","1.40K","2.43%"
"07/13/2021","12,988.0","12,771.1","13,594.0","12,771.0","0.30K","1.70%"
"07/14/2021","13,420.0","12,987.5","13,853.0","12,988.0","0.60K","3.33%"
"07/15/2021","13,810.0","13,420.4","13,810.0","13,420.0","0.20K","2.91%"
"07/22/2021","12,858.0","12,857.6","12,858.0","12,858.0","1.20K","-6.89%"
"07/23/2021","12,035.0","12,814.3","12,814.0","12,035.0","2.10K","-6.40%"
"07/26/2021","12,122.0","12,121.7","12,122.0","12,122.0","0.30K","0.72%"
"07/27/2021","11,689.0","11,688.8","11,689.0","11,689.0","1.00K","-3.57%"
"07/28/2021","11,689.0","11,688.8","11,689.0","11,689.0","0.30K","0.00%"
"07/29/2021","11,949.0","11,948.5","11,949.0","11,949.0","0.10K","2.22%"
"07/30/2021","12,122.0","11,255.8","12,122.0","11,256.0","1.70K","1.45%"
"08/02/2021","12,425.0","11,299.1","12,425.0","11,299.0","1.20K","2.50%"
"08/03/2021","12,338.0","11,558.9","12,468.0","11,559.0","3.50K","-0.70%"
"08/06/2021","12,381.0","12,251.6","12,381.0","11,516.0","6.20K","0.35%"
"08/09/2021","12,381.0","11,688.8","12,381.0","11,689.0","0.40K","0.00%"
"08/10/2021","12,425.0","11,558.9","12,425.0","11,559.0","1.10K","0.36%"
"08/11/2021","12,122.0","11,602.2","12,425.0","11,602.0","7.00K","-2.44%"
"08/13/2021","12,122.0","12,121.7","12,122.0","12,122.0","2.40K","0.00%"
"08/16/2021","11,819.0","12,121.7","12,122.0","11,559.0","0.50K","-2.50%"
"08/17/2021","11,905.0","11,818.6","11,905.0","11,689.0","5.20K","0.73%"
"08/18/2021","11,905.0","11,948.5","12,295.0","11,905.0","2.30K","0.00%"
"08/19/2021","12,122.0","11,948.5","12,208.0","11,949.0","0.80K","1.82%"
"08/20/2021","12,555.0","12,381.4","12,814.0","12,295.0","5.00K","3.57%"
"08/23/2021","12,555.0","12,554.6","12,555.0","12,555.0","2.30K","0.00%"
"08/24/2021","11,689.0","11,775.3","11,775.0","11,689.0","0.60K","-6.90%"
"08/25/2021","11,689.0","11,688.8","11,689.0","11,689.0","0.10K","0.00%"
"08/27/2021","12,295.0","12,294.8","12,295.0","12,295.0","0.10K","5.18%"
"08/30/2021","12,387.0","12,386.6","12,387.0","12,387.0","0.10K","0.75%"
"08/31/2021","12,387.0","12,478.4","12,478.0","12,387.0","2.90K","0.00%"
"09/01/2021","12,387.0","12,386.6","12,432.0","12,387.0","0.50K","0.00%"
"09/06/2021","12,387.0","12,157.2","12,387.0","12,157.0","1.70K","0.00%"
"09/09/2021","12,387.0","11,652.6","12,387.0","11,653.0","1.90K","0.00%"
"09/10/2021","11,698.0","11,652.6","11,698.0","11,653.0","0.50K","-5.56%"
"09/13/2021","12,020.0","12,019.6","12,020.0","12,020.0","0.80K","2.75%"
"09/14/2021","12,203.0","12,019.6","12,387.0","12,020.0","3.40K","1.52%"
"09/15/2021","12,387.0","12,386.6","12,478.0","12,387.0","1.80K","1.51%"
"09/16/2021","12,662.0","12,386.6","12,662.0","12,387.0","4.80K","2.22%"
"09/17/2021","12,432.0","12,661.9","12,662.0","12,432.0","0.30K","-1.82%"
"09/20/2021","12,432.0","12,478.4","13,029.0","12,432.0","1.00K","0.00%"
"09/22/2021","12,478.0","12,661.9","12,662.0","12,478.0","0.70K","0.37%"
"09/24/2021","12,478.0","12,478.4","12,478.0","12,478.0","1.10K","0.00%"
"09/29/2021","12,570.0","11,973.7","12,570.0","11,974.0","5.10K","0.74%"
"09/30/2021","12,570.0","12,570.1","12,570.0","12,570.0","5.30K","0.00%"
"10/01/2021","12,203.0","12,203.1","12,203.0","12,203.0","0.20K","-2.92%"
"10/04/2021","12,387.0","12,386.6","12,387.0","12,387.0","2.30K","1.51%"
"10/05/2021","12,203.0","11,927.8","12,203.0","11,928.0","1.70K","-1.49%"
"10/06/2021","12,754.0","12,753.6","12,754.0","12,754.0","0.40K","4.52%"
"10/07/2021","12,111.0","12,753.6","12,754.0","12,111.0","0.70K","-5.04%"
"10/11/2021","12,203.0","12,203.1","12,203.0","12,203.0","0.40K","0.76%"
"10/12/2021","12,845.0","12,799.5","12,891.0","12,662.0","4.80K","5.26%"
"10/13/2021","13,579.0","12,845.4","13,579.0","12,845.0","0.50K","5.71%"
"10/14/2021","13,625.0","13,579.4","13,625.0","13,579.0","1.30K","0.34%"
"10/18/2021","13,396.0","13,487.6","13,488.0","13,396.0","0.40K","-1.68%"
"10/19/2021","12,478.0","13,395.9","13,396.0","12,478.0","0.20K","-6.85%"
"10/20/2021","12,387.0","12,340.7","12,387.0","12,341.0","1.40K","-0.73%"
"10/21/2021","12,387.0","12,386.6","12,387.0","12,387.0","0.40K","0.00%"
"10/22/2021","12,111.0","12,111.3","12,111.0","12,111.0","1.00K","-2.23%"
"10/25/2021","12,478.0","12,478.4","12,478.0","12,478.0","1.20K","3.03%"
"10/26/2021","12,478.0","12,478.4","12,478.0","12,478.0","0.30K","0.00%"
"10/27/2021","12,478.0","12,478.4","12,478.0","12,478.0","0.20K","0.00%"
"10/28/2021","12,295.0","12,478.4","12,478.0","12,295.0","1.50K","-1.47%"
"10/29/2021","12,616.0","12,157.2","12,616.0","12,157.0","0.30K","2.61%"
"11/01/2021","13,488.0","12,616.0","13,488.0","12,616.0","4.10K","6.91%"
"11/02/2021","13,442.0","13,671.1","13,671.0","12,570.0","2.80K","-0.34%"
"11/03/2021","14,359.0","13,487.6","14,359.0","12,524.0","3.90K","6.82%"
"11/04/2021","14,222.0","14,221.7","14,222.0","13,396.0","4.40K","-0.95%"
"11/05/2021","14,405.0","13,946.4","14,405.0","13,258.0","2.00K","1.29%"
"11/08/2021","14,313.0","13,441.8","14,313.0","13,442.0","4.70K","-0.64%"
"11/09/2021","14,222.0","14,221.7","14,222.0","14,176.0","1.20K","-0.64%"
"11/10/2021","14,130.0","14,129.9","14,130.0","13,396.0","2.80K","-0.65%"
"11/11/2021","14,130.0","13,395.9","14,130.0","13,396.0","2.50K","0.00%"
"11/12/2021","14,038.0","14,129.9","14,130.0","14,038.0","1.70K","-0.65%"
"11/15/2021","13,855.0","14,084.0","14,084.0","13,855.0","4.40K","-1.30%"
"11/16/2021","13,763.0","13,854.6","13,855.0","13,763.0","1.20K","-0.66%"
"11/17/2021","13,671.0","13,762.9","13,855.0","13,671.0","5.70K","-0.67%"
"11/18/2021","13,671.0","13,671.1","13,671.0","13,671.0","0.90K","0.00%"
"11/19/2021","13,671.0","13,671.1","13,763.0","13,671.0","2.40K","0.00%"
"11/22/2021","13,717.0","13,717.0","13,717.0","13,717.0","0.50K","0.34%"
"11/23/2021","13,992.0","12,891.2","14,038.0","12,799.0","1.50K","2.00%"
"11/24/2021","13,992.0","13,992.3","13,992.0","13,992.0","2.00K","0.00%"
"11/29/2021","13,350.0","13,350.0","13,350.0","13,350.0","0.10K","-4.59%"
"11/30/2021","13,304.0","13,762.9","13,763.0","13,304.0","3.40K","-0.34%"
"12/02/2021","14,222.0","13,671.1","14,222.0","13,671.0","9.00K","6.90%"
"12/03/2021","15,139.0","15,185.1","15,185.0","14,589.0","11.50K","6.45%"
"12/06/2021","14,405.0","15,139.2","15,139.0","14,405.0","0.70K","-4.85%"
"12/07/2021","13,901.0","13,946.4","13,946.0","13,901.0","3.00K","-3.50%"
"12/08/2021","13,304.0","13,762.9","13,763.0","13,304.0","0.70K","-4.29%"
"12/10/2021","13,946.0","13,946.4","13,946.0","13,946.0","4.00K","4.83%"
