"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","13,139.0","13,183.0","13,358.0","12,701.0","134.94K","-0.67%"
"07/02/2021","13,008.0","13,052.0","13,139.0","12,876.0","239.40K","-1.00%"
"07/05/2021","12,526.0","12,964.0","12,964.0","12,351.0","201.95K","-3.71%"
"07/06/2021","12,219.0","12,526.0","12,701.0","12,219.0","293.40K","-2.45%"
"07/07/2021","12,219.0","12,088.0","12,219.0","11,475.0","218.51K","0.00%"
"07/08/2021","12,351.0","12,438.0","12,570.0","12,263.0","182.43K","1.08%"
"07/09/2021","12,088.0","12,263.0","12,307.0","11,825.0","199.67K","-2.13%"
"07/12/2021","11,387.0","12,088.0","12,088.0","11,256.0","285.07K","-5.80%"
"07/13/2021","11,738.0","12,044.0","12,044.0","11,431.0","157.89K","3.08%"
"07/14/2021","11,738.0","11,650.0","11,825.0","11,519.0","88.59K","0.00%"
"07/15/2021","11,957.0","11,738.0","11,957.0","11,738.0","120.67K","1.87%"
"07/16/2021","11,869.0","11,913.0","12,044.0","11,738.0","95.67K","-0.74%"
"07/19/2021","11,519.0","11,562.0","11,825.0","11,431.0","143.62K","-2.95%"
"07/20/2021","11,738.0","11,519.0","11,825.0","11,387.0","105.26K","1.90%"
"07/21/2021","11,738.0","12,000.0","12,000.0","11,694.0","56.40K","0.00%"
"07/22/2021","11,781.0","11,606.0","11,913.0","11,606.0","168.28K","0.37%"
"07/23/2021","11,650.0","11,869.0","11,869.0","11,650.0","104.69K","-1.11%"
"07/26/2021","12,132.0","11,650.0","12,176.0","11,606.0","293.06K","4.14%"
"07/27/2021","12,263.0","12,176.0","12,526.0","12,176.0","284.27K","1.08%"
"07/28/2021","12,176.0","12,307.0","12,307.0","12,132.0","119.53K","-0.71%"
"07/29/2021","12,000.0","12,219.0","12,219.0","11,825.0","251.27K","-1.45%"
"07/30/2021","12,000.0","12,044.0","12,088.0","11,913.0","201.61K","0.00%"
"08/02/2021","11,825.0","11,825.0","11,957.0","11,781.0","312.69K","-1.46%"
"08/03/2021","11,650.0","11,825.0","11,825.0","11,650.0","331.53K","-1.48%"
"08/04/2021","11,650.0","11,781.0","11,781.0","11,606.0","250.36K","0.00%"
"08/05/2021","12,450.0","12,400.0","12,450.0","12,250.0","354.90K","6.87%"
"08/06/2021","12,800.0","12,800.0","12,850.0","12,600.0","289.40K","2.81%"
"08/09/2021","12,800.0","12,750.0","12,800.0","12,500.0","143.80K","0.00%"
"08/10/2021","12,700.0","12,650.0","12,800.0","12,500.0","172.10K","-0.78%"
"08/11/2021","12,550.0","12,600.0","12,700.0","12,500.0","293.00K","-1.18%"
"08/12/2021","12,450.0","12,400.0","12,550.0","12,400.0","190.00K","-0.80%"
"08/13/2021","13,150.0","12,400.0","13,150.0","12,400.0","651.00K","5.62%"
"08/16/2021","14,000.0","13,650.0","14,050.0","13,600.0","734.70K","6.46%"
"08/17/2021","13,750.0","14,000.0","14,000.0","13,600.0","261.80K","-1.79%"
"08/18/2021","13,850.0","13,700.0","14,200.0","13,350.0","753.10K","0.73%"
"08/19/2021","14,800.0","13,900.0","14,800.0","13,900.0","1.49M","6.86%"
"08/20/2021","14,800.0","15,500.0","15,550.0","14,100.0","1.08M","0.00%"
"08/23/2021","13,800.0","14,500.0","14,500.0","13,800.0","670.70K","-6.76%"
"08/24/2021","13,150.0","13,800.0","14,000.0","12,900.0","585.10K","-4.71%"
"08/25/2021","13,950.0","12,900.0","13,950.0","12,850.0","494.80K","6.08%"
"08/26/2021","13,550.0","14,250.0","14,300.0","13,550.0","258.30K","-2.87%"
"08/27/2021","13,700.0","13,100.0","13,800.0","13,100.0","339.50K","1.11%"
"08/30/2021","14,350.0","13,700.0","14,650.0","13,700.0","913.10K","4.74%"
"08/31/2021","14,950.0","14,400.0","15,250.0","14,400.0","1.90M","4.18%"
"09/01/2021","15,150.0","15,000.0","15,250.0","14,700.0","1.16M","1.34%"
"09/06/2021","15,250.0","15,200.0","15,800.0","15,100.0","1.35M","0.66%"
"09/07/2021","14,300.0","15,350.0","15,350.0","14,250.0","1.32M","-6.23%"
"09/08/2021","13,800.0","14,300.0","14,300.0","13,700.0","819.00K","-3.50%"
"09/09/2021","14,150.0","13,800.0","14,200.0","13,500.0","551.40K","2.54%"
"09/10/2021","14,200.0","14,150.0","14,800.0","13,800.0","380.20K","0.35%"
"09/13/2021","13,950.0","14,000.0","14,250.0","13,800.0","344.80K","-1.76%"
"09/14/2021","13,750.0","13,800.0","13,950.0","13,500.0","360.70K","-1.43%"
"09/15/2021","13,800.0","13,750.0","14,100.0","13,400.0","982.60K","0.36%"
"09/16/2021","13,900.0","14,200.0","14,200.0","13,800.0","345.30K","0.72%"
"09/17/2021","13,950.0","13,900.0","14,200.0","13,700.0","416.90K","0.36%"
"09/20/2021","13,600.0","13,900.0","13,950.0","13,550.0","551.60K","-2.51%"
"09/21/2021","13,600.0","13,500.0","13,700.0","13,300.0","553.80K","0.00%"
"09/22/2021","14,150.0","13,500.0","14,300.0","13,500.0","650.80K","4.04%"
"09/23/2021","13,850.0","14,200.0","14,300.0","13,850.0","363.90K","-2.12%"
"09/24/2021","13,800.0","13,950.0","13,950.0","13,600.0","186.80K","-0.36%"
"09/27/2021","13,300.0","13,700.0","13,850.0","13,300.0","375.10K","-3.62%"
"09/28/2021","13,400.0","13,000.0","13,500.0","13,000.0","317.60K","0.75%"
"09/29/2021","13,350.0","13,450.0","13,450.0","13,200.0","165.90K","-0.37%"
"09/30/2021","13,550.0","13,400.0","13,650.0","13,400.0","99.30K","1.50%"
"10/01/2021","13,400.0","13,550.0","13,650.0","13,200.0","270.50K","-1.11%"
"10/04/2021","13,950.0","13,500.0","14,050.0","13,300.0","847.90K","4.10%"
"10/05/2021","14,150.0","14,100.0","14,350.0","13,950.0","717.00K","1.43%"
"10/06/2021","14,300.0","14,200.0","14,350.0","14,100.0","597.30K","1.06%"
"10/07/2021","14,900.0","14,450.0","15,000.0","14,300.0","1.17M","4.20%"
"10/08/2021","14,400.0","15,300.0","15,300.0","14,350.0","713.60K","-3.36%"
"10/11/2021","14,300.0","14,400.0","14,450.0","14,100.0","389.40K","-0.69%"
"10/12/2021","14,250.0","14,150.0","14,250.0","14,000.0","412.70K","-0.35%"
"10/13/2021","14,400.0","14,200.0","14,500.0","14,150.0","400.20K","1.05%"
"10/14/2021","14,400.0","14,250.0","14,500.0","14,250.0","332.50K","0.00%"
"10/15/2021","14,050.0","14,400.0","14,400.0","14,050.0","418.30K","-2.43%"
"10/18/2021","13,950.0","14,000.0","14,050.0","13,750.0","514.30K","-0.71%"
"10/19/2021","13,950.0","13,950.0","14,100.0","13,800.0","354.70K","0.00%"
"10/20/2021","13,700.0","13,750.0","13,950.0","13,500.0","1.62M","-1.79%"
"10/21/2021","14,200.0","13,800.0","14,350.0","13,750.0","1.43M","3.65%"
"10/22/2021","15,150.0","14,600.0","15,150.0","14,400.0","3.18M","6.69%"
"10/25/2021","15,400.0","15,600.0","15,850.0","15,300.0","2.16M","1.65%"
"10/26/2021","15,750.0","14,800.0","15,800.0","14,800.0","1.77M","2.27%"
"10/27/2021","16,000.0","16,000.0","16,400.0","15,800.0","2.65M","1.59%"
"10/28/2021","16,000.0","16,100.0","16,250.0","15,800.0","1.27M","0.00%"
"10/29/2021","16,200.0","16,200.0","16,300.0","15,900.0","1.83M","1.25%"
"11/01/2021","17,300.0","16,500.0","17,300.0","16,250.0","3.37M","6.79%"
"11/02/2021","17,500.0","17,300.0","17,800.0","17,100.0","1.34M","1.16%"
"11/03/2021","16,300.0","17,500.0","17,550.0","16,300.0","2.68M","-6.86%"
"11/04/2021","17,400.0","16,400.0","17,400.0","16,100.0","2.46M","6.75%"
"11/05/2021","18,600.0","18,500.0","18,600.0","18,300.0","3.08M","6.90%"
"11/08/2021","19,550.0","19,900.0","19,900.0","18,800.0","5.50M","5.11%"
"11/09/2021","19,000.0","19,150.0","19,500.0","18,700.0","2.28M","-2.81%"
"11/10/2021","19,350.0","18,900.0","20,000.0","18,650.0","2.45M","1.84%"
"11/11/2021","19,000.0","19,800.0","19,800.0","18,900.0","2.67M","-1.81%"
"11/12/2021","19,850.0","18,900.0","19,900.0","18,900.0","3.35M","4.47%"
"11/15/2021","19,600.0","20,000.0","20,500.0","19,000.0","2.87M","-1.26%"
"11/16/2021","19,000.0","19,500.0","19,500.0","18,500.0","2.01M","-3.06%"
"11/17/2021","19,200.0","18,800.0","20,000.0","18,550.0","1.70M","1.05%"
"11/18/2021","18,900.0","19,500.0","19,500.0","18,800.0","2.21M","-1.56%"
"11/19/2021","17,700.0","18,900.0","18,900.0","17,600.0","3.05M","-6.35%"
"11/22/2021","17,200.0","17,800.0","18,200.0","17,100.0","1.40M","-2.82%"
"11/23/2021","18,400.0","17,200.0","18,400.0","17,200.0","855.30K","6.98%"
"11/24/2021","19,650.0","19,650.0","19,650.0","19,400.0","1.62M","6.79%"
"11/25/2021","21,000.0","21,000.0","21,000.0","20,100.0","4.61M","6.87%"
"11/26/2021","22,400.0","21,500.0","22,450.0","21,050.0","2.78M","6.67%"
"11/29/2021","22,400.0","21,000.0","23,450.0","21,000.0","1.98M","0.00%"
"11/30/2021","21,550.0","22,400.0","22,900.0","21,300.0","3.02M","-3.79%"
"12/01/2021","21,500.0","21,550.0","22,400.0","21,450.0","1.46M","-0.23%"
"12/02/2021","22,300.0","21,000.0","22,500.0","21,000.0","2.19M","3.72%"
"12/03/2021","21,000.0","22,300.0","22,300.0","21,000.0","1.64M","-5.83%"
"12/06/2021","19,550.0","20,500.0","21,000.0","19,550.0","2.23M","-6.90%"
"12/07/2021","20,900.0","19,550.0","20,900.0","18,600.0","1.76M","6.91%"
"12/08/2021","20,600.0","21,100.0","21,600.0","20,600.0","805.80K","-1.44%"
"12/09/2021","20,750.0","20,000.0","20,800.0","20,000.0","815.30K","0.73%"
"12/10/2021","20,400.0","20,750.0","20,750.0","20,300.0","976.90K","-1.69%"
"12/13/2021","21,300.0","20,800.0","21,500.0","20,500.0","1.45M","4.41%"
"12/14/2021","20,700.0","21,150.0","22,000.0","20,600.0","1.18M","-2.82%"
"12/15/2021","20,450.0","20,800.0","21,000.0","20,350.0","775.80K","-1.21%"
"12/16/2021","20,400.0","20,300.0","20,650.0","20,200.0","1.02M","-0.24%"
"12/17/2021","21,000.0","20,400.0","21,450.0","19,500.0","2.42M","2.94%"
"12/20/2021","20,800.0","21,200.0","21,900.0","20,600.0","1.15M","-0.95%"
"12/21/2021","20,750.0","21,000.0","21,350.0","20,500.0","1.20M","-0.24%"
"12/22/2021","20,100.0","21,000.0","21,000.0","20,000.0","2.03M","-3.13%"
"12/23/2021","19,200.0","20,400.0","20,450.0","18,700.0","2.67M","-4.48%"
"12/24/2021","19,100.0","19,300.0","19,500.0","18,950.0","1.01M","-0.52%"
"12/27/2021","19,250.0","19,200.0","19,700.0","19,000.0","533.50K","0.79%"
"12/28/2021","18,700.0","19,300.0","19,300.0","18,600.0","2.26M","-2.86%"
"12/29/2021","19,000.0","19,000.0","19,500.0","18,550.0","811.50K","1.60%"
"12/30/2021","18,950.0","19,000.0","19,050.0","18,800.0","498.70K","-0.26%"
"12/31/2021","19,150.0","18,900.0","19,700.0","18,800.0","991.60K","1.06%"
