"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","22,030.1","21,939.0","22,350.0","21,847.0","124.40K","-0.41%"
"07/02/2021","22,898.5","23,310.0","23,356.0","22,533.0","393.10K","3.94%"
"07/05/2021","23,401.2","23,401.0","23,584.0","23,036.0","456.60K","2.20%"
"07/06/2021","23,309.8","23,310.0","24,315.0","23,310.0","482.90K","-0.39%"
"07/07/2021","23,492.6","22,853.0","23,493.0","22,396.0","314.10K","0.78%"
"07/08/2021","22,898.5","23,127.0","23,584.0","22,898.0","143.30K","-2.53%"
"07/09/2021","22,807.0","22,853.0","23,127.0","22,487.0","97.00K","-0.40%"
"07/12/2021","22,212.9","22,853.0","22,853.0","21,482.0","175.90K","-2.60%"
"07/13/2021","22,487.1","22,304.0","22,670.0","22,030.0","89.70K","1.23%"
"07/14/2021","22,030.1","22,761.0","22,761.0","21,893.0","81.40K","-2.03%"
"07/15/2021","22,578.5","22,396.0","22,579.0","21,939.0","169.90K","2.49%"
"07/16/2021","22,487.1","22,579.0","22,579.0","22,213.0","26.30K","-0.40%"
"07/19/2021","21,938.6","21,664.0","22,441.0","21,573.0","203.20K","-2.44%"
"07/20/2021","22,350.0","21,847.0","22,350.0","20,933.0","185.50K","1.88%"
"07/21/2021","21,481.6","22,350.0","22,350.0","21,390.0","143.00K","-3.89%"
"07/22/2021","22,167.2","21,573.0","22,304.0","21,573.0","114.60K","3.19%"
"07/23/2021","22,167.2","21,756.0","22,304.0","21,756.0","81.10K","0.00%"
"07/26/2021","22,761.3","22,121.0","23,675.0","21,802.0","131.80K","2.68%"
"07/27/2021","22,761.3","23,127.0","23,127.0","22,579.0","55.40K","0.00%"
"07/28/2021","22,761.3","22,579.0","22,761.0","22,304.0","30.60K","0.00%"
"07/29/2021","22,624.2","22,441.0","22,624.0","22,259.0","52.60K","-0.60%"
"07/30/2021","22,715.6","22,396.0","22,853.0","22,396.0","103.70K","0.40%"
"08/02/2021","23,127.0","22,716.0","23,356.0","22,670.0","159.70K","1.81%"
"08/03/2021","22,852.8","23,036.0","23,493.0","22,853.0","86.70K","-1.19%"
"08/04/2021","22,852.8","22,853.0","23,310.0","22,579.0","89.10K","0.00%"
