"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","8,692.5","8,557.4","8,827.6","8,557.4","256.03K","0.00%"
"07/02/2021","8,674.5","8,566.4","8,737.5","8,557.4","123.50K","-0.21%"
"07/05/2021","8,512.3","8,674.5","8,737.5","8,296.1","115.65K","-1.87%"
"07/06/2021","8,350.2","8,377.2","8,557.4","8,350.2","186.21K","-1.90%"
"07/07/2021","8,332.2","8,350.2","8,350.2","8,016.9","198.20K","-0.22%"
"07/08/2021","8,197.1","7,755.7","8,323.2","7,755.7","90.93K","-1.62%"
"07/09/2021","8,107.0","8,025.9","8,287.1","8,025.9","151.73K","-1.10%"
"07/12/2021","7,566.5","8,107.0","8,107.0","7,539.5","121.81K","-6.67%"
"07/13/2021","7,656.6","7,566.5","7,827.7","7,566.5","78.94K","1.19%"
"07/14/2021","7,836.7","7,746.7","7,881.8","7,566.5","201.81K","2.35%"
"07/15/2021","7,926.8","7,836.7","8,016.9","7,755.7","260.59K","1.15%"
"07/16/2021","8,197.1","7,926.8","8,242.1","7,926.8","509.61K","3.41%"
"07/19/2021","8,007.9","8,107.0","8,107.0","7,926.8","98.15K","-2.31%"
"07/20/2021","8,016.9","7,926.8","8,107.0","7,836.7","119.15K","0.11%"
"07/21/2021","8,107.0","7,926.8","8,197.1","7,926.8","211.25K","1.12%"
"07/22/2021","8,242.1","8,016.9","8,287.1","7,935.8","266.43K","1.67%"
"07/23/2021","8,242.1","8,215.1","8,287.1","8,107.0","154.59K","0.00%"
"07/26/2021","8,242.1","8,242.1","8,350.2","8,125.0","206.58K","0.00%"
"07/27/2021","8,287.1","8,251.1","8,377.2","8,206.1","88.07K","0.55%"
"07/28/2021","8,278.1","8,287.1","8,377.2","8,107.0","162.13K","-0.11%"
"07/29/2021","8,287.1","8,278.1","8,377.2","8,197.1","253.69K","0.11%"
"07/30/2021","8,332.2","8,287.1","8,422.2","8,242.1","140.69K","0.54%"
"08/02/2021","8,305.1","8,332.2","8,377.2","8,287.1","91.25K","-0.33%"
"08/03/2021","8,377.2","8,287.1","8,422.2","8,242.1","469.83K","0.87%"
"08/04/2021","8,854.6","8,917.7","8,917.7","8,557.4","588.13K","5.70%"
"08/05/2021","8,827.6","8,890.7","8,962.7","8,692.5","59.31K","-0.30%"
"08/06/2021","8,692.5","8,647.4","8,827.6","8,602.4","98.25K","-1.53%"
"08/09/2021","8,692.5","8,692.5","8,809.6","8,674.5","161.07K","0.00%"
"08/10/2021","8,683.5","8,692.5","8,737.5","8,602.4","150.03K","-0.10%"
"08/11/2021","8,854.6","8,602.4","8,899.7","8,602.4","285.21K","1.97%"
"08/12/2021","9,458.1","9,458.1","9,458.1","9,368.1","349.40K","6.82%"
"08/13/2021","10,088.7","10,088.7","10,088.7","9,908.5","482.13K","6.67%"
"08/16/2021","9,773.4","10,088.7","10,358.9","9,548.2","338.68K","-3.13%"
"08/17/2021","9,458.1","9,728.4","9,728.4","9,278.0","408.29K","-3.23%"
"08/18/2021","9,458.1","9,278.0","9,728.4","9,278.0","202.13K","0.00%"
"08/19/2021","10,088.7","9,458.1","10,088.7","9,278.0","251.15K","6.67%"
"08/20/2021","9,548.2","10,404.0","10,539.1","9,413.1","326.27K","-5.36%"
"08/23/2021","9,593.3","9,818.5","9,908.5","9,548.2","93.58K","0.47%"
"08/24/2021","9,503.2","9,593.3","9,908.5","9,458.1","110.35K","-0.94%"
"08/25/2021","9,908.5","9,908.5","10,088.7","9,638.3","327.97K","4.26%"
"08/26/2021","9,908.5","9,773.4","10,088.7","9,773.4","381.97K","0.00%"
"08/27/2021","10,268.8","9,998.6","10,358.9","9,818.5","238.95K","3.64%"
"08/30/2021","10,584.1","10,268.8","10,674.2","10,133.7","295.18K","3.07%"
"08/31/2021","10,584.1","10,584.1","10,629.1","10,358.9","314.49K","0.00%"
"09/01/2021","10,674.2","10,629.1","10,719.2","10,449.0","388.98K","0.85%"
"09/06/2021","11,394.8","10,719.2","11,394.8","10,719.2","420.49K","6.75%"
"09/07/2021","10,899.4","11,259.7","11,259.7","10,809.3","479.38K","-4.35%"
"09/08/2021","10,899.4","10,899.4","11,124.6","10,719.2","372.53K","0.00%"
"09/09/2021","11,034.5","10,899.4","11,124.6","10,854.3","282.55K","1.24%"
"09/10/2021","11,214.7","11,034.5","11,259.7","10,764.3","872.38K","1.63%"
"09/13/2021","11,034.5","11,169.6","11,214.7","11,034.5","220.16K","-1.61%"
"09/14/2021","11,079.5","10,899.4","11,124.6","10,899.4","370.30K","0.41%"
"09/15/2021","10,854.3","11,124.6","11,124.6","10,809.3","376.99K","-2.03%"
"09/16/2021","10,854.3","10,854.3","10,989.5","10,809.3","189.61K","0.00%"
"09/17/2021","11,034.5","11,259.7","11,259.7","10,809.3","365.84K","1.66%"
"09/20/2021","10,899.4","11,034.5","11,034.5","10,719.2","280.86K","-1.22%"
"09/21/2021","10,899.4","10,719.2","11,079.5","10,629.1","352.05K","0.00%"
"09/22/2021","10,899.4","10,809.3","11,079.5","10,809.3","369.56K","0.00%"
"09/23/2021","10,449.0","10,899.4","10,944.4","10,404.0","512.80K","-4.13%"
"09/24/2021","10,178.8","10,268.8","10,764.3","9,998.6","437.68K","-2.59%"
"09/27/2021","10,550.0","10,700.0","11,100.0","10,500.0","224.00K","3.65%"
"09/28/2021","10,800.0","10,400.0","10,800.0","9,950.0","217.80K","2.37%"
"09/29/2021","10,800.0","10,550.0","10,800.0","10,350.0","164.70K","0.00%"
"09/30/2021","11,150.0","10,750.0","11,150.0","10,600.0","309.00K","3.24%"
"10/01/2021","11,900.0","10,850.0","11,900.0","10,850.0","1.36M","6.73%"
"10/04/2021","11,950.0","12,350.0","12,400.0","11,850.0","539.80K","0.42%"
"10/05/2021","11,900.0","11,700.0","12,000.0","11,700.0","385.10K","-0.42%"
"10/06/2021","11,500.0","11,750.0","11,800.0","11,200.0","618.00K","-3.36%"
"10/07/2021","11,450.0","11,550.0","11,700.0","11,450.0","450.90K","-0.43%"
"10/08/2021","11,550.0","11,450.0","11,950.0","11,400.0","549.20K","0.87%"
"10/11/2021","11,450.0","11,600.0","11,800.0","11,400.0","283.70K","-0.87%"
"10/12/2021","11,400.0","11,400.0","11,450.0","11,250.0","236.10K","-0.44%"
"10/13/2021","11,250.0","11,300.0","11,450.0","11,250.0","196.80K","-1.32%"
"10/14/2021","11,400.0","11,250.0","11,500.0","11,200.0","163.80K","1.33%"
"10/15/2021","11,400.0","11,450.0","12,000.0","11,400.0","492.60K","0.00%"
"10/18/2021","11,150.0","11,400.0","11,400.0","11,100.0","229.60K","-2.19%"
"10/19/2021","11,250.0","11,150.0","11,300.0","11,000.0","338.10K","0.90%"
"10/20/2021","11,200.0","11,250.0","11,300.0","10,900.0","351.00K","-0.44%"
"10/21/2021","11,050.0","11,200.0","11,250.0","11,000.0","190.00K","-1.34%"
"10/22/2021","11,400.0","11,050.0","11,600.0","10,950.0","614.20K","3.17%"
"10/25/2021","11,500.0","11,400.0","11,650.0","11,250.0","494.30K","0.88%"
"10/26/2021","11,750.0","11,500.0","11,800.0","11,500.0","576.30K","2.17%"
"10/27/2021","12,300.0","11,900.0","12,300.0","11,800.0","650.80K","4.68%"
"10/28/2021","12,050.0","12,200.0","12,300.0","11,900.0","294.30K","-2.03%"
"10/29/2021","12,000.0","11,900.0","12,100.0","11,800.0","316.00K","-0.41%"
"11/01/2021","11,900.0","12,300.0","12,300.0","11,900.0","408.90K","-0.83%"
"11/02/2021","12,700.0","11,950.0","12,700.0","11,800.0","741.70K","6.72%"
"11/03/2021","11,900.0","13,350.0","13,350.0","11,850.0","843.70K","-6.30%"
"11/04/2021","12,150.0","11,900.0","12,200.0","11,300.0","239.20K","2.10%"
"11/05/2021","12,200.0","12,250.0","12,250.0","11,950.0","265.90K","0.41%"
"11/08/2021","12,400.0","12,000.0","12,400.0","12,000.0","242.00K","1.64%"
"11/09/2021","12,050.0","12,400.0","12,400.0","12,000.0","189.70K","-2.82%"
"11/10/2021","12,100.0","12,100.0","12,150.0","11,800.0","300.80K","0.41%"
"11/11/2021","12,100.0","12,050.0","12,300.0","12,000.0","373.00K","0.00%"
