"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","15,314.4","14,927.8","15,398.5","14,927.8","4.09M","2.82%"
"07/02/2021","15,734.7","15,432.1","15,801.9","15,398.5","5.30M","2.74%"
"07/05/2021","15,667.4","15,869.2","15,902.8","15,583.4","4.57M","-0.43%"
"07/06/2021","14,995.0","15,734.7","15,801.9","14,995.0","3.79M","-4.29%"
"07/07/2021","14,793.3","14,995.0","15,129.5","14,726.0","2.41M","-1.35%"
"07/08/2021","14,793.3","14,894.2","15,028.6","14,759.7","2.57M","0.00%"
"07/09/2021","14,726.0","14,726.0","14,927.8","14,658.8","2.68M","-0.45%"
"07/12/2021","14,457.1","14,524.3","14,658.8","13,784.7","1.80M","-1.83%"
"07/13/2021","14,457.1","14,457.1","14,658.8","14,221.7","1.70M","0.00%"
"07/14/2021","14,238.5","14,322.6","14,625.2","14,087.2","1.31M","-1.51%"
"07/15/2021","14,120.9","14,120.9","14,322.6","14,003.2","1.53M","-0.83%"
"07/16/2021","14,625.2","14,120.9","14,625.2","14,087.2","2.80M","3.57%"
"07/19/2021","14,289.0","14,457.1","14,726.0","14,289.0","1.81M","-2.30%"
"07/20/2021","14,978.2","14,154.5","14,978.2","14,154.5","2.84M","4.82%"
"07/21/2021","15,028.6","15,196.7","15,432.1","14,894.2","2.40M","0.34%"
"07/22/2021","16,070.9","15,028.6","16,070.9","14,894.2","4.35M","6.94%"
"07/23/2021","16,104.5","16,306.2","16,440.7","15,970.0","3.32M","0.21%"
"07/26/2021","16,440.7","15,801.9","16,810.6","15,633.8","4.21M","2.09%"
"07/27/2021","16,323.0","16,575.2","16,642.4","16,205.4","4.31M","-0.72%"
"07/28/2021","16,642.4","16,272.6","16,810.6","16,239.0","5.23M","1.96%"
"07/29/2021","16,978.7","16,692.9","17,180.4","16,692.9","4.50M","2.02%"
"07/30/2021","16,945.0","17,146.8","17,180.4","16,776.9","4.19M","-0.20%"
"08/02/2021","16,743.3","16,844.2","17,012.3","16,625.6","3.56M","-1.19%"
"08/03/2021","17,247.6","16,743.3","17,247.6","16,541.6","5.69M","3.01%"
"08/04/2021","17,651.1","17,113.1","17,819.2","17,113.1","5.45M","2.34%"
"08/05/2021","17,718.3","17,718.3","17,819.2","17,449.4","4.21M","0.38%"
"08/06/2021","17,483.0","17,651.1","17,920.0","17,449.4","5.05M","-1.33%"
"08/09/2021","17,651.1","17,583.8","17,718.3","17,314.9","4.19M","0.96%"
"08/10/2021","17,751.9","17,651.1","17,987.3","17,483.0","3.97M","0.57%"
"08/11/2021","17,516.6","17,751.9","17,819.2","17,281.2","4.18M","-1.33%"
"08/12/2021","17,449.4","17,550.2","17,651.1","17,247.6","3.55M","-0.38%"
"08/13/2021","17,146.8","17,449.4","17,617.5","17,045.9","3.04M","-1.73%"
"08/16/2021","17,314.9","17,146.8","17,415.7","17,012.3","4.03M","0.98%"
"08/17/2021","17,382.1","17,348.5","17,583.8","17,314.9","4.05M","0.39%"
"08/18/2021","18,323.5","17,348.5","18,323.5","17,348.5","8.42M","5.42%"
"08/19/2021","17,987.3","18,222.6","18,491.6","17,987.3","6.29M","-1.83%"
"08/20/2021","17,247.6","17,886.4","18,155.4","16,743.3","6.22M","-4.11%"
"08/23/2021","17,214.0","17,012.3","17,348.5","16,810.6","6.56M","-0.19%"
"08/24/2021","17,314.9","17,214.0","17,583.8","17,012.3","4.71M","0.59%"
"08/25/2021","17,483.0","17,314.9","17,550.2","17,214.0","3.31M","0.97%"
"08/26/2021","17,348.5","17,651.1","17,651.1","17,348.5","2.57M","-0.77%"
"08/27/2021","17,819.2","17,382.1","17,819.2","17,180.4","4.34M","2.71%"
"08/30/2021","18,592.5","17,785.6","18,659.7","17,785.6","5.92M","4.34%"
"08/31/2021","19,096.8","18,525.2","19,332.1","18,525.2","6.28M","2.71%"
"09/01/2021","18,861.4","19,231.3","19,231.3","18,861.4","5.17M","-1.23%"
"09/06/2021","18,895.1","18,659.7","18,995.9","18,592.5","5.14M","0.18%"
"09/07/2021","18,390.7","18,962.3","18,995.9","18,289.9","4.87M","-2.67%"
"09/08/2021","18,390.7","18,458.0","18,659.7","18,256.3","4.68M","0.00%"
"09/09/2021","18,592.5","18,424.4","18,626.1","18,323.5","4.28M","1.10%"
"09/10/2021","18,659.7","18,592.5","18,827.8","18,558.9","4.87M","0.36%"
"09/13/2021","18,760.6","18,693.3","19,264.9","18,693.3","7.57M","0.54%"
"09/14/2021","20,054.1","20,054.1","20,054.1","20,024.7","8.66M","6.89%"
"09/15/2021","19,730.2","20,613.6","20,731.4","19,730.2","5.88M","-1.62%"
"09/16/2021","18,905.6","19,789.1","19,818.5","18,817.3","3.75M","-4.18%"
"09/17/2021","18,905.6","18,581.7","19,200.1","18,493.4","4.65M","0.00%"
"09/20/2021","18,699.5","18,729.0","18,905.6","18,640.6","3.28M","-1.09%"
"09/21/2021","18,110.5","18,670.1","18,670.1","18,022.2","2.96M","-3.15%"
"09/22/2021","18,375.6","18,110.5","18,434.5","17,786.6","3.27M","1.46%"
"09/23/2021","18,316.7","18,257.8","18,611.2","18,228.3","2.24M","-0.32%"
"09/24/2021","18,670.1","18,316.7","18,935.1","18,287.2","2.96M","1.93%"
"09/27/2021","17,992.8","18,729.0","18,846.8","17,992.8","2.37M","-3.63%"
"09/28/2021","18,228.3","17,963.3","18,257.8","17,933.9","2.28M","1.31%"
"09/29/2021","18,110.5","18,081.1","18,375.6","17,933.9","1.85M","-0.65%"
"09/30/2021","18,198.9","18,110.5","18,552.3","18,110.5","2.05M","0.49%"
"10/01/2021","18,198.9","18,198.9","18,257.8","17,963.3","2.27M","0.00%"
"10/04/2021","18,140.0","18,257.8","18,287.2","17,933.9","2.55M","-0.32%"
"10/05/2021","17,609.9","17,933.9","18,081.1","17,315.5","2.56M","-2.92%"
"10/06/2021","16,932.6","17,609.9","17,609.9","16,785.4","1.45M","-3.85%"
"10/07/2021","17,138.8","17,668.8","17,668.8","16,932.6","995.82K","1.22%"
"10/08/2021","17,079.9","17,433.2","17,433.2","16,991.5","965.09K","-0.34%"
"10/11/2021","16,991.5","17,079.9","17,315.5","16,991.5","828.24K","-0.52%"
"10/12/2021","16,903.2","17,021.0","17,138.8","16,844.3","1.37M","-0.52%"
"10/13/2021","16,903.2","16,903.2","17,079.9","16,814.8","1.26M","0.00%"
"10/14/2021","16,932.6","16,785.4","16,991.5","16,785.4","880.70K","0.17%"
"10/15/2021","17,668.8","16,932.6","17,786.6","16,932.6","2.10M","4.35%"
"10/18/2021","17,374.3","17,727.7","17,727.7","17,286.0","783.07K","-1.67%"
"10/19/2021","17,079.9","17,374.3","17,374.3","16,991.5","630.43K","-1.69%"
"10/20/2021","16,873.7","16,991.5","17,079.9","16,785.4","960.34K","-1.21%"
"10/21/2021","17,197.7","17,079.9","17,403.8","16,844.3","1.26M","1.92%"
"10/22/2021","17,904.4","17,315.5","17,963.3","17,138.8","2.48M","4.11%"
"10/25/2021","17,963.3","18,140.0","18,228.3","17,875.0","2.04M","0.33%"
"10/26/2021","17,875.0","17,963.3","18,140.0","17,492.1","1.32M","-0.49%"
"10/27/2021","18,051.7","17,845.5","18,198.9","17,698.3","3.12M","0.99%"
"10/28/2021","18,169.4","18,257.8","18,257.8","18,051.7","2.74M","0.65%"
"10/29/2021","18,081.1","18,228.3","18,228.3","17,845.5","3.14M","-0.49%"
"11/01/2021","18,905.6","18,257.8","18,935.1","18,228.3","4.04M","4.56%"
"11/02/2021","18,729.0","19,317.9","19,317.9","18,640.6","5.17M","-0.93%"
"11/03/2021","17,609.9","18,905.6","18,905.6","17,580.5","5.22M","-5.98%"
"11/04/2021","17,609.9","17,138.8","17,668.8","17,138.8","1.47M","0.00%"
"11/05/2021","17,286.0","17,609.9","17,609.9","17,197.7","2.06M","-1.84%"
"11/08/2021","17,492.1","17,433.2","17,668.8","17,286.0","1.70M","1.19%"
"11/09/2021","17,286.0","17,668.8","17,668.8","17,286.0","1.69M","-1.18%"
"11/10/2021","17,433.2","17,286.0","17,580.5","17,256.6","1.71M","0.85%"
"11/11/2021","18,140.0","17,433.2","18,434.5","17,168.2","3.87M","4.05%"
"11/12/2021","17,904.4","18,198.9","18,198.9","17,786.6","2.06M","-1.30%"
"11/15/2021","17,786.6","18,198.9","18,198.9","17,609.9","1.76M","-0.66%"
"11/16/2021","17,433.2","17,727.7","17,786.6","17,433.2","1.48M","-1.99%"
"11/17/2021","18,287.2","17,433.2","18,375.6","17,256.6","3.92M","4.90%"
"11/18/2021","18,228.3","18,346.1","18,581.7","18,022.2","2.80M","-0.32%"
"11/19/2021","17,609.9","18,257.8","18,316.7","17,374.3","2.07M","-3.39%"
"11/22/2021","16,608.7","17,374.3","17,609.9","16,608.7","2.34M","-5.69%"
"11/23/2021","16,667.6","16,490.9","16,785.4","15,784.2","1.80M","0.35%"
"11/24/2021","16,726.5","16,844.3","17,021.0","16,608.7","1.70M","0.35%"
"11/25/2021","17,580.5","17,021.0","17,668.8","16,785.4","1.68M","5.11%"
"11/26/2021","17,551.0","17,609.9","17,609.9","17,256.6","1.46M","-0.17%"
"11/29/2021","18,758.4","16,549.8","18,758.4","16,549.8","4.86M","6.88%"
"11/30/2021","19,170.7","19,671.3","19,671.3","19,141.2","3.35M","2.20%"
"12/01/2021","19,200.1","19,170.7","19,406.3","19,141.2","2.00M","0.15%"
"12/02/2021","20,348.6","19,200.1","20,378.0","19,170.7","3.79M","5.98%"
"12/03/2021","21,202.6","19,494.6","21,497.1","19,435.7","7.25M","4.20%"
"12/06/2021","22,086.0","22,645.5","22,675.0","21,791.6","3.86M","4.17%"
"12/07/2021","21,791.6","22,086.0","22,380.5","21,497.1","2.60M","-1.33%"
"12/08/2021","21,173.1","21,791.6","22,321.6","20,908.1","4.09M","-2.84%"
"12/09/2021","22,056.6","20,790.3","22,144.9","20,790.3","3.41M","4.17%"
"12/10/2021","22,586.7","22,144.9","22,969.5","22,144.9","2.49M","2.40%"
"12/13/2021","22,733.9","22,645.5","22,969.5","22,203.8","2.99M","0.65%"
"12/14/2021","22,380.5","23,264.0","23,264.0","22,262.7","2.56M","-1.55%"
"12/15/2021","21,879.9","22,292.2","22,292.2","21,673.8","2.61M","-2.24%"
"12/16/2021","22,645.5","21,791.6","22,822.2","21,732.7","2.06M","3.50%"
"12/17/2021","22,439.4","22,675.0","23,205.1","22,321.6","2.90M","-0.91%"
"12/20/2021","22,498.3","22,262.7","22,969.5","22,203.8","1.68M","0.26%"
"12/21/2021","23,558.4","22,380.5","23,852.9","22,321.6","3.89M","4.71%"
"12/22/2021","24,235.7","24,383.0","24,618.6","24,029.6","2.95M","2.87%"
"12/23/2021","25,502.0","24,441.9","25,914.3","24,118.0","4.36M","5.22%"
"12/24/2021","24,147.4","25,502.0","25,502.0","23,852.9","3.21M","-5.31%"
"12/27/2021","24,176.8","23,911.8","24,736.4","23,322.9","2.26M","0.12%"
"12/28/2021","24,589.1","24,147.4","25,325.3","23,794.0","2.63M","1.71%"
"12/29/2021","24,147.4","24,736.4","25,060.3","23,852.9","1.91M","-1.80%"
"12/30/2021","24,029.6","24,147.4","24,383.0","23,852.9","2.81M","-0.49%"
"12/31/2021","24,147.4","24,029.6","24,383.0","24,000.2","1.81M","0.49%"
