"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","63,840.0","63,249.0","64,037.0","63,249.0","250.70K","0.16%"
"07/02/2021","63,544.0","64,037.0","64,530.0","63,052.0","267.00K","-0.46%"
"07/05/2021","61,870.0","63,544.0","63,544.0","61,180.0","393.10K","-2.63%"
"07/06/2021","60,096.0","61,279.0","61,870.0","60,096.0","289.30K","-2.87%"
"07/07/2021","60,096.0","60,195.0","60,490.0","58,224.0","300.90K","0.00%"
"07/08/2021","61,968.0","60,096.0","62,559.0","60,096.0","395.90K","3.12%"
"07/09/2021","62,855.0","62,067.0","63,643.0","61,870.0","562.50K","1.43%"
"07/12/2021","61,081.0","62,756.0","62,756.0","59,111.0","435.40K","-2.82%"
"07/13/2021","60,096.0","60,687.0","61,081.0","59,604.0","160.10K","-1.61%"
"07/14/2021","58,717.0","60,096.0","60,589.0","58,717.0","188.00K","-2.29%"
"07/15/2021","59,604.0","58,717.0","59,899.0","58,421.0","254.30K","1.51%"
"07/16/2021","59,308.0","60,096.0","60,293.0","58,914.0","95.80K","-0.50%"
"07/19/2021","58,619.0","59,013.0","59,210.0","57,436.0","264.90K","-1.16%"
"07/20/2021","58,914.0","57,732.0","58,914.0","57,338.0","135.30K","0.50%"
"07/21/2021","58,717.0","58,914.0","58,914.0","57,732.0","127.60K","-0.33%"
"07/22/2021","59,308.0","59,013.0","59,702.0","58,717.0","259.10K","1.01%"
"07/23/2021","59,111.0","59,505.0","59,505.0","57,830.0","194.40K","-0.33%"
"07/26/2021","58,619.0","58,914.0","59,111.0","58,126.0","78.30K","-0.83%"
"07/27/2021","58,717.0","59,013.0","59,111.0","58,027.0","115.60K","0.17%"
"07/28/2021","58,421.0","58,224.0","58,816.0","57,929.0","126.00K","-0.50%"
"07/29/2021","58,619.0","58,421.0","59,013.0","58,126.0","118.10K","0.34%"
"07/30/2021","62,067.0","58,914.0","62,067.0","58,914.0","1.02M","5.88%"
"08/02/2021","61,771.0","61,771.0","62,067.0","60,983.0","341.90K","-0.48%"
"08/03/2021","63,544.0","61,771.0","63,544.0","61,279.0","636.30K","2.87%"
"08/04/2021","62,953.0","63,544.0","64,037.0","62,756.0","300.20K","-0.93%"
"08/05/2021","62,658.0","62,855.0","63,052.0","62,067.0","260.70K","-0.47%"
"08/06/2021","64,431.0","63,052.0","65,810.0","62,264.0","671.30K","2.83%"
"08/09/2021","64,924.0","64,333.0","65,810.0","63,544.0","318.20K","0.77%"
"08/10/2021","63,939.0","64,924.0","65,121.0","63,741.0","414.10K","-1.52%"
"08/11/2021","65,022.0","63,939.0","65,712.0","63,249.0","771.20K","1.69%"
"08/12/2021","67,091.0","64,333.0","67,879.0","64,333.0","1.29M","3.18%"
"08/13/2021","66,993.0","67,091.0","67,485.0","66,007.0","635.50K","-0.15%"
"08/16/2021","66,500.0","67,091.0","67,387.0","66,204.0","500.80K","-0.74%"
"08/17/2021","66,106.0","66,007.0","67,190.0","65,515.0","839.30K","-0.59%"
"08/18/2021","65,810.0","66,204.0","66,401.0","64,628.0","698.50K","-0.45%"
"08/19/2021","66,303.0","65,810.0","66,500.0","65,121.0","607.40K","0.75%"
"08/20/2021","65,810.0","65,416.0","66,106.0","63,643.0","1.10M","-0.74%"
"08/23/2021","64,037.0","64,628.0","65,810.0","64,037.0","534.60K","-2.69%"
"08/24/2021","63,643.0","64,037.0","65,416.0","61,574.0","476.50K","-0.62%"
"08/25/2021","64,234.0","63,939.0","64,530.0","63,052.0","298.50K","0.93%"
"08/26/2021","63,741.0","64,431.0","65,416.0","63,741.0","239.50K","-0.77%"
"08/27/2021","65,318.0","63,446.0","65,318.0","62,855.0","547.40K","2.47%"
"08/30/2021","68,076.0","66,204.0","68,076.0","66,007.0","1.19M","4.22%"
"08/31/2021","69,357.0","68,076.0","69,751.0","67,978.0","789.10K","1.88%"
"09/01/2021","68,963.0","69,357.0","69,357.0","68,273.0","278.90K","-0.57%"
"09/06/2021","69,948.0","69,357.0","70,441.0","68,470.0","479.90K","1.43%"
"09/07/2021","68,372.0","69,948.0","69,948.0","68,273.0","406.70K","-2.25%"
"09/08/2021","67,091.0","68,372.0","68,372.0","67,091.0","301.90K","-1.87%"
"09/09/2021","67,682.0","66,993.0","67,879.0","66,993.0","186.80K","0.88%"
"09/10/2021","68,766.0","67,978.0","68,864.0","67,682.0","382.90K","1.60%"
"09/13/2021","67,682.0","68,766.0","68,766.0","67,485.0","274.10K","-1.58%"
"09/14/2021","66,993.0","67,682.0","68,470.0","66,697.0","314.40K","-1.02%"
"09/15/2021","66,993.0","66,993.0","67,485.0","66,500.0","231.90K","0.00%"
"09/16/2021","67,190.0","67,978.0","67,978.0","66,993.0","164.00K","0.29%"
"09/17/2021","67,288.0","66,993.0","67,978.0","66,993.0","179.90K","0.15%"
"09/20/2021","66,500.0","67,879.0","67,978.0","66,500.0","339.40K","-1.17%"
"09/21/2021","66,500.0","66,106.0","66,993.0","65,613.0","310.90K","0.00%"
"09/22/2021","68,300.0","66,500.0","68,700.0","66,500.0","210.90K","2.71%"
"09/23/2021","68,200.0","69,100.0","69,100.0","67,800.0","158.90K","-0.15%"
"09/24/2021","68,400.0","68,000.0","68,800.0","68,000.0","202.90K","0.29%"
"09/27/2021","66,500.0","69,100.0","69,100.0","66,500.0","197.80K","-2.78%"
"09/28/2021","67,400.0","66,500.0","67,400.0","66,500.0","273.60K","1.35%"
"09/29/2021","68,500.0","67,400.0","69,000.0","66,700.0","207.30K","1.63%"
"09/30/2021","68,100.0","68,500.0","68,700.0","67,800.0","92.70K","-0.58%"
"10/01/2021","67,300.0","67,900.0","68,300.0","67,000.0","176.30K","-1.17%"
"10/04/2021","70,000.0","68,000.0","70,000.0","66,700.0","546.90K","4.01%"
"10/05/2021","71,500.0","70,400.0","72,200.0","70,400.0","721.40K","2.14%"
"10/06/2021","71,500.0","72,000.0","72,000.0","71,000.0","179.50K","0.00%"
"10/07/2021","70,500.0","71,000.0","71,500.0","70,500.0","246.80K","-1.40%"
"10/08/2021","70,300.0","70,800.0","71,500.0","70,000.0","180.40K","-0.28%"
"10/11/2021","69,400.0","70,500.0","70,800.0","69,400.0","356.20K","-1.28%"
"10/12/2021","69,500.0","69,400.0","70,400.0","69,000.0","207.70K","0.14%"
"10/13/2021","70,000.0","70,000.0","70,200.0","69,600.0","98.90K","0.72%"
"10/14/2021","69,600.0","69,900.0","70,600.0","69,500.0","223.80K","-0.57%"
"10/15/2021","69,200.0","70,000.0","70,000.0","69,000.0","216.30K","-0.57%"
"10/18/2021","68,200.0","69,200.0","69,500.0","68,200.0","422.60K","-1.45%"
"10/19/2021","68,200.0","68,100.0","68,400.0","67,900.0","132.10K","0.00%"
"10/20/2021","69,000.0","68,200.0","69,300.0","68,200.0","84.30K","1.17%"
"10/21/2021","68,600.0","69,000.0","69,000.0","68,200.0","134.90K","-0.58%"
"10/22/2021","70,500.0","69,400.0","70,500.0","68,600.0","441.60K","2.77%"
"10/25/2021","70,400.0","71,300.0","71,400.0","70,200.0","335.10K","-0.14%"
"10/26/2021","71,000.0","70,600.0","71,100.0","69,600.0","406.50K","0.85%"
"10/27/2021","72,000.0","70,500.0","72,100.0","70,500.0","616.60K","1.41%"
"10/28/2021","71,500.0","72,000.0","72,100.0","71,300.0","162.30K","-0.69%"
"10/29/2021","71,900.0","72,000.0","72,700.0","71,000.0","585.60K","0.56%"
"11/01/2021","73,100.0","71,200.0","73,800.0","71,200.0","607.50K","1.67%"
"11/02/2021","72,100.0","73,300.0","73,500.0","72,100.0","236.00K","-1.37%"
"11/03/2021","71,500.0","72,100.0","72,400.0","70,200.0","593.30K","-0.83%"
"11/04/2021","71,600.0","70,600.0","71,600.0","70,600.0","380.00K","0.14%"
"11/05/2021","72,500.0","71,600.0","72,600.0","71,000.0","341.30K","1.26%"
"11/08/2021","72,700.0","72,500.0","73,300.0","71,500.0","657.70K","0.28%"
"11/09/2021","73,300.0","72,700.0","73,700.0","72,100.0","696.20K","0.83%"
"11/10/2021","73,500.0","73,000.0","74,100.0","73,000.0","373.50K","0.27%"
"11/11/2021","74,300.0","73,600.0","74,500.0","73,100.0","319.60K","1.09%"
"11/12/2021","73,700.0","74,400.0","74,800.0","73,100.0","306.00K","-0.81%"
"11/15/2021","72,600.0","73,600.0","73,700.0","72,500.0","433.00K","-1.49%"
"11/16/2021","71,900.0","72,000.0","72,500.0","70,800.0","802.10K","-0.96%"
"11/17/2021","75,700.0","72,000.0","76,500.0","72,000.0","2.42M","5.29%"
"11/18/2021","75,000.0","76,900.0","76,900.0","74,900.0","937.80K","-0.92%"
"11/19/2021","72,000.0","75,000.0","75,400.0","71,500.0","1.11M","-4.00%"
"11/22/2021","68,500.0","72,600.0","72,600.0","67,100.0","1.61M","-4.86%"
"11/23/2021","68,000.0","69,000.0","70,500.0","68,000.0","1.03M","-0.73%"
"11/24/2021","72,700.0","70,200.0","72,700.0","70,200.0","543.80K","6.91%"
"11/25/2021","75,200.0","75,500.0","75,700.0","74,000.0","783.10K","3.44%"
"11/26/2021","74,000.0","74,500.0","75,000.0","73,000.0","699.00K","-1.60%"
"11/29/2021","74,800.0","72,200.0","75,000.0","72,100.0","463.40K","1.08%"
"11/30/2021","80,000.0","75,100.0","80,000.0","75,100.0","1.95M","6.95%"
"12/01/2021","80,000.0","80,900.0","82,400.0","79,600.0","656.40K","0.00%"
"12/02/2021","77,900.0","79,100.0","80,200.0","74,500.0","1.16M","-2.63%"
"12/03/2021","77,000.0","78,200.0","79,500.0","76,000.0","742.30K","-1.16%"
"12/06/2021","76,000.0","76,900.0","78,900.0","75,000.0","795.60K","-1.30%"
"12/07/2021","77,000.0","77,100.0","77,700.0","76,000.0","616.10K","1.32%"
"12/08/2021","81,500.0","78,000.0","82,000.0","77,000.0","1.25M","5.84%"
"12/09/2021","87,200.0","81,000.0","87,200.0","80,700.0","1.69M","6.99%"
"12/10/2021","89,900.0","88,000.0","90,000.0","86,500.0","933.10K","3.10%"
"12/13/2021","90,500.0","90,800.0","93,300.0","90,500.0","991.00K","0.67%"
"12/14/2021","88,300.0","90,000.0","90,000.0","87,500.0","812.40K","-2.43%"
"12/15/2021","91,200.0","89,300.0","93,400.0","88,300.0","697.70K","3.28%"
"12/16/2021","91,300.0","92,000.0","92,000.0","90,000.0","381.30K","0.11%"
"12/17/2021","91,300.0","92,500.0","92,500.0","87,500.0","600.90K","0.00%"
"12/20/2021","88,800.0","91,500.0","91,500.0","88,000.0","724.40K","-2.74%"
"12/21/2021","89,100.0","88,500.0","90,000.0","86,700.0","612.80K","0.34%"
"12/22/2021","90,500.0","89,300.0","93,000.0","89,200.0","504.00K","1.57%"
"12/23/2021","95,700.0","90,600.0","96,000.0","89,400.0","1.26M","5.75%"
"12/24/2021","96,700.0","97,500.0","98,500.0","96,000.0","628.70K","1.04%"
"12/27/2021","99,800.0","97,900.0","101,000.0","97,300.0","980.50K","3.21%"
"12/28/2021","103,900.0","101,800.0","105,100.0","100,600.0","968.10K","4.11%"
"12/29/2021","106,000.0","104,000.0","109,900.0","102,500.0","1.60M","2.02%"
"12/30/2021","107,500.0","106,000.0","107,800.0","103,900.0","462.90K","1.42%"
"12/31/2021","109,500.0","106,500.0","112,800.0","106,500.0","594.00K","1.86%"
