"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","18,508.5","18,239.0","18,508.5","17,969.4","251.43K","0.73%"
"07/02/2021","18,508.5","18,508.5","18,598.4","18,373.8","279.59K","0.00%"
"07/05/2021","18,508.5","18,508.5","18,643.3","18,239.0","252.10K","0.00%"
"07/06/2021","18,373.8","18,508.5","18,508.5","18,239.0","257.88K","-0.73%"
"07/07/2021","18,463.6","18,373.8","18,553.5","18,149.1","267.45K","0.49%"
"07/08/2021","18,328.8","18,463.6","18,463.6","17,969.4","277.92K","-0.73%"
"07/09/2021","18,239.0","18,328.8","18,328.8","17,969.4","307.19K","-0.49%"
"07/12/2021","18,194.1","18,283.9","18,328.8","18,104.2","315.98K","-0.25%"
"07/13/2021","18,194.1","18,194.1","18,283.9","18,149.1","316.65K","0.00%"
"07/14/2021","18,149.1","18,194.1","18,239.0","18,104.2","320.99K","-0.25%"
"07/15/2021","18,239.0","18,149.1","18,239.0","18,014.4","316.65K","0.50%"
"07/16/2021","18,328.8","18,194.1","18,328.8","18,194.1","312.31K","0.49%"
"07/19/2021","18,149.1","18,283.9","18,283.9","18,104.2","314.09K","-0.98%"
"07/20/2021","18,194.1","18,149.1","18,239.0","18,149.1","319.21K","0.25%"
"07/21/2021","18,239.0","18,194.1","18,239.0","18,059.3","332.12K","0.25%"
"07/22/2021","18,194.1","18,194.1","18,239.0","18,014.4","312.98K","-0.25%"
"07/23/2021","18,239.0","18,239.0","18,239.0","17,655.0","314.87K","0.25%"
"07/26/2021","18,328.8","18,239.0","18,328.8","18,059.3","314.87K","0.49%"
"07/27/2021","18,598.4","18,373.8","18,688.2","18,239.0","347.15K","1.47%"
"07/28/2021","18,598.4","18,553.5","18,643.3","18,463.6","312.86K","0.00%"
"07/29/2021","18,643.3","18,508.5","18,643.3","18,328.8","346.92K","0.24%"
"07/30/2021","18,283.9","18,553.5","18,553.5","18,239.0","286.49K","-1.93%"
"08/02/2021","18,283.9","18,239.0","18,373.8","17,250.7","371.85K","0.00%"
"08/03/2021","18,239.0","18,239.0","18,283.9","18,194.1","316.87K","-0.25%"
"08/04/2021","18,194.1","18,239.0","18,328.8","18,059.3","311.64K","-0.25%"
"08/05/2021","18,059.3","18,149.1","18,149.1","17,789.8","372.97K","-0.74%"
"08/06/2021","18,014.4","18,014.4","18,014.4","17,699.9","320.10K","-0.25%"
"08/09/2021","18,014.4","18,194.1","18,194.1","17,699.9","333.46K","0.00%"
"08/10/2021","18,014.4","17,969.4","18,014.4","17,520.2","325.89K","0.00%"
"08/11/2021","17,969.4","18,059.3","18,059.3","17,610.1","338.91K","-0.25%"
"08/12/2021","17,969.4","17,969.4","17,969.4","17,789.8","343.14K","0.00%"
"08/13/2021","17,969.4","17,655.0","17,969.4","17,520.2","269.24K","0.00%"
"08/16/2021","17,969.4","17,924.5","17,969.4","17,610.1","368.51K","0.00%"
"08/17/2021","18,059.3","17,969.4","18,059.3","17,610.1","326.33K","0.50%"
"08/18/2021","17,969.4","17,969.4","17,969.4","17,789.8","322.99K","-0.50%"
"08/19/2021","18,059.3","17,969.4","18,059.3","17,744.8","312.98K","0.50%"
"08/20/2021","17,924.5","18,059.3","18,059.3","17,610.1","328.11K","-0.75%"
"08/23/2021","18,059.3","17,924.5","18,059.3","17,610.1","311.64K","0.75%"
"08/24/2021","18,059.3","17,969.4","18,059.3","17,655.0","329.00K","0.00%"
"08/25/2021","18,014.4","17,969.4","18,104.2","17,834.7","329.45K","-0.25%"
"08/26/2021","18,014.4","17,969.4","18,059.3","17,699.9","331.45K","0.00%"
"08/27/2021","18,059.3","18,014.4","18,059.3","17,789.8","331.12K","0.25%"
"08/30/2021","18,104.2","18,014.4","18,149.1","17,969.4","372.74K","0.25%"
"08/31/2021","18,059.3","18,149.1","18,149.1","17,879.6","355.27K","-0.25%"
"09/01/2021","18,059.3","18,059.3","18,104.2","17,744.8","350.04K","0.00%"
"09/06/2021","18,149.1","18,014.4","18,149.1","17,879.6","392.44K","0.50%"
"09/07/2021","18,149.1","18,149.1","18,149.1","17,879.6","373.97K","0.00%"
"09/08/2021","18,059.3","18,059.3","18,059.3","17,924.5","360.72K","-0.49%"
"09/09/2021","18,014.4","18,014.4","18,059.3","17,924.5","369.85K","-0.25%"
"09/10/2021","18,014.4","18,059.3","18,059.3","17,834.7","361.50K","0.00%"
"09/13/2021","18,014.4","18,014.4","18,014.4","17,789.8","355.38K","0.00%"
"09/14/2021","18,059.3","18,014.4","18,059.3","17,879.6","355.27K","0.25%"
"09/15/2021","18,059.3","17,969.4","18,059.3","17,879.6","336.91K","0.00%"
"09/16/2021","18,059.3","18,059.3","18,059.3","17,879.6","351.82K","0.00%"
"09/17/2021","18,059.3","18,059.3","18,059.3","17,744.8","335.57K","0.00%"
"09/20/2021","18,104.2","18,059.3","18,149.1","17,744.8","363.17K","0.25%"
"09/21/2021","18,059.3","18,104.2","18,104.2","17,879.6","343.03K","-0.25%"
"09/22/2021","18,104.2","18,059.3","18,104.2","17,834.7","346.59K","0.25%"
"09/23/2021","18,059.3","18,059.3","18,104.2","17,789.8","340.91K","-0.25%"
"09/24/2021","18,014.4","18,059.3","18,059.3","17,744.8","345.14K","-0.25%"
"09/27/2021","17,969.4","17,699.9","17,969.4","17,250.7","239.18K","-0.25%"
"09/28/2021","17,565.1","17,744.8","17,789.8","17,520.2","341.80K","-2.25%"
"09/29/2021","17,879.6","17,744.8","17,879.6","16,801.4","401.01K","1.79%"
"09/30/2021","17,924.5","17,789.8","17,924.5","17,789.8","356.27K","0.25%"
"10/01/2021","17,924.5","17,924.5","17,924.5","17,699.9","362.62K","0.00%"
"10/04/2021","17,879.6","17,879.6","17,879.6","17,655.0","353.27K","-0.25%"
"10/05/2021","17,879.6","17,834.7","17,879.6","17,565.1","410.92K","0.00%"
"10/06/2021","17,879.6","17,879.6","17,924.5","17,699.9","357.16K","0.00%"
"10/07/2021","17,879.6","17,879.6","17,924.5","17,789.8","369.63K","0.00%"
"10/08/2021","17,879.6","17,834.7","17,924.5","17,789.8","378.98K","0.00%"
"10/11/2021","17,969.4","17,924.5","17,969.4","17,699.9","357.27K","0.50%"
"10/12/2021","18,014.4","17,969.4","18,014.4","17,879.6","377.42K","0.25%"
"10/13/2021","18,059.3","18,014.4","18,059.3","18,014.4","343.14K","0.25%"
"10/14/2021","18,059.3","18,059.3","18,104.2","17,969.4","353.93K","0.00%"
"10/15/2021","18,059.3","18,059.3","18,059.3","17,699.9","340.58K","0.00%"
"10/18/2021","18,059.3","18,059.3","18,059.3","17,969.4","358.72K","0.00%"
"10/19/2021","18,059.3","18,059.3","18,059.3","17,924.5","346.81K","0.00%"
"10/20/2021","18,059.3","18,059.3","18,059.3","17,969.4","336.79K","0.00%"
"10/21/2021","18,014.4","18,059.3","18,059.3","17,834.7","343.36K","-0.25%"
"10/22/2021","18,014.4","18,014.4","18,014.4","17,834.7","370.74K","0.00%"
"10/25/2021","18,014.4","18,014.4","18,014.4","17,789.8","374.41K","0.00%"
"10/26/2021","18,014.4","18,014.4","18,014.4","17,924.5","353.27K","0.00%"
"10/27/2021","18,149.1","18,014.4","18,149.1","17,924.5","351.60K","0.75%"
"10/28/2021","18,283.9","18,149.1","18,283.9","18,149.1","352.04K","0.74%"
"10/29/2021","18,373.8","18,283.9","18,418.7","18,194.1","357.27K","0.49%"
"11/01/2021","18,418.7","18,373.8","18,418.7","18,283.9","360.95K","0.24%"
"11/02/2021","18,418.7","18,149.1","18,463.6","18,149.1","354.94K","0.00%"
"11/03/2021","18,373.8","18,373.8","18,373.8","17,969.4","393.56K","-0.24%"
"11/04/2021","18,328.8","18,328.8","18,373.8","17,699.9","387.55K","-0.24%"
"11/05/2021","18,328.8","18,328.8","18,328.8","17,969.4","404.24K","0.00%"
"11/08/2021","18,328.8","18,239.0","18,328.8","18,104.2","350.26K","0.00%"
"11/09/2021","18,149.1","18,283.9","18,328.8","18,059.3","358.72K","-0.98%"
"11/10/2021","18,239.0","18,194.1","18,373.8","18,194.1","358.61K","0.50%"
"11/11/2021","18,239.0","18,239.0","18,239.0","18,149.1","365.40K","0.00%"
"11/12/2021","18,283.9","18,194.1","18,283.9","18,104.2","362.62K","0.25%"
"11/15/2021","18,283.9","18,239.0","18,328.8","17,969.4","360.39K","0.00%"
"11/16/2021","19,496.9","18,283.9","19,541.8","17,969.4","422.72K","6.63%"
"11/17/2021","19,451.9","19,496.9","19,541.8","18,553.5","347.03K","-0.23%"
"11/18/2021","19,047.6","19,317.2","19,317.2","18,553.5","343.25K","-2.08%"
"11/19/2021","18,688.2","18,867.9","18,957.8","17,834.7","357.50K","-1.89%"
"11/22/2021","18,688.2","18,643.3","18,688.2","17,969.4","389.11K","0.00%"
"11/23/2021","18,688.2","18,688.2","18,688.2","18,239.0","345.36K","0.00%"
"11/24/2021","18,778.1","18,418.7","18,912.8","18,059.3","385.43K","0.48%"
"11/25/2021","18,823.0","18,598.4","18,823.0","18,418.7","349.26K","0.24%"
"11/26/2021","18,867.9","18,823.0","18,867.9","18,418.7","350.71K","0.24%"
"11/29/2021","18,688.2","18,598.4","18,688.2","18,373.8","352.93K","-0.95%"
"11/30/2021","18,778.1","18,778.1","19,272.2","18,194.1","426.50K","0.48%"
"12/01/2021","18,688.2","18,957.8","18,957.8","18,418.7","444.20K","-0.48%"
"12/02/2021","18,867.9","18,733.2","18,867.9","18,418.7","367.85K","0.96%"
"12/03/2021","19,362.1","18,823.0","19,362.1","18,373.8","384.88K","2.62%"
"12/06/2021","19,428.6","19,381.0","19,952.4","19,047.6","328.23K","0.34%"
"12/07/2021","19,428.6","19,714.3","19,714.3","18,666.7","362.25K","0.00%"
"12/08/2021","19,285.7","19,333.3","19,333.3","19,047.6","326.24K","-0.74%"
"12/09/2021","19,142.9","18,714.3","19,190.5","18,714.3","353.43K","-0.74%"
"12/10/2021","19,047.6","19,142.9","19,238.1","18,761.9","344.61K","-0.50%"
"12/13/2021","19,047.6","19,047.6","19,142.9","18,809.5","388.71K","0.00%"
"12/14/2021","19,047.6","19,000.0","19,047.6","18,761.9","347.66K","0.00%"
"12/15/2021","19,047.6","19,047.6","19,047.6","18,571.4","363.62K","0.00%"
"12/16/2021","18,857.1","18,952.4","18,952.4","18,619.0","366.35K","-1.00%"
