"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","40,600.0","40,200.0","41,750.0","40,200.0","55.40K","-2.17%"
"07/02/2021","41,600.0","41,000.0","41,700.0","40,600.0","7.50K","2.46%"
"07/05/2021","41,450.0","41,000.0","41,450.0","40,300.0","8.80K","-0.36%"
"07/06/2021","41,450.0","41,000.0","41,450.0","40,500.0","4.80K","0.00%"
"07/07/2021","41,450.0","39,150.0","41,450.0","39,150.0","4.90K","0.00%"
"07/08/2021","41,100.0","41,100.0","41,100.0","41,100.0","2.00K","-0.84%"
"07/09/2021","41,450.0","40,100.0","41,450.0","40,100.0","16.90K","0.85%"
"07/12/2021","41,100.0","39,100.0","41,100.0","38,600.0","21.20K","-0.84%"
"07/13/2021","40,050.0","39,300.0","40,050.0","39,200.0","4.80K","-2.55%"
"07/14/2021","40,900.0","42,000.0","42,000.0","39,150.0","3.90K","2.12%"
"07/15/2021","40,900.0","40,900.0","40,900.0","40,900.0","4.00K","0.00%"
"07/16/2021","41,000.0","40,500.0","41,000.0","39,300.0","11.00K","0.24%"
"07/19/2021","40,950.0","40,400.0","40,950.0","39,300.0","6.70K","-0.12%"
"07/20/2021","40,000.0","40,000.0","40,000.0","40,000.0","0.50K","-2.32%"
"07/21/2021","40,050.0","40,050.0","40,050.0","40,050.0","0.40K","0.13%"
"07/22/2021","40,950.0","41,300.0","41,300.0","39,500.0","1.00K","2.25%"
"07/23/2021","40,000.0","40,900.0","40,900.0","39,700.0","2.50K","-2.32%"
"07/26/2021","40,150.0","40,850.0","40,850.0","38,900.0","5.60K","0.38%"
"07/27/2021","40,100.0","40,950.0","40,950.0","38,900.0","4.60K","-0.12%"
"07/28/2021","40,100.0","42,350.0","42,350.0","39,200.0","5.10K","0.00%"
"07/29/2021","40,400.0","39,800.0","40,400.0","38,800.0","12.10K","0.75%"
"07/30/2021","40,100.0","39,100.0","40,100.0","38,650.0","12.00K","-0.74%"
"08/02/2021","37,800.0","39,950.0","39,950.0","37,800.0","5.00K","-5.74%"
"08/03/2021","40,000.0","40,300.0","40,300.0","38,200.0","34.40K","5.82%"
"08/04/2021","40,000.0","39,950.0","40,000.0","38,850.0","23.20K","0.00%"
"08/05/2021","40,200.0","39,000.0","40,200.0","38,950.0","8.50K","0.50%"
"08/06/2021","37,500.0","40,250.0","40,250.0","37,500.0","21.60K","-6.72%"
"08/09/2021","37,100.0","37,650.0","39,950.0","37,100.0","44.60K","-1.07%"
"08/10/2021","39,650.0","38,750.0","39,650.0","37,600.0","45.00K","6.87%"
"08/11/2021","41,000.0","40,800.0","42,400.0","38,100.0","74.50K","3.40%"
"08/12/2021","43,800.0","41,500.0","43,800.0","40,100.0","86.50K","6.83%"
"08/13/2021","42,000.0","43,800.0","44,000.0","41,100.0","13.60K","-4.11%"
"08/16/2021","42,000.0","43,700.0","43,700.0","41,000.0","28.10K","0.00%"
"08/17/2021","40,500.0","41,050.0","41,500.0","40,500.0","13.60K","-3.57%"
"08/18/2021","40,000.0","40,550.0","42,300.0","40,000.0","44.60K","-1.23%"
"08/19/2021","39,100.0","40,000.0","40,900.0","39,100.0","34.00K","-2.25%"
"08/20/2021","39,200.0","39,100.0","40,000.0","39,000.0","42.70K","0.26%"
"08/23/2021","41,000.0","39,200.0","41,000.0","38,600.0","18.80K","4.59%"
"08/24/2021","40,500.0","39,500.0","40,500.0","38,700.0","12.60K","-1.22%"
"08/25/2021","39,500.0","39,000.0","40,000.0","39,000.0","21.10K","-2.47%"
"08/26/2021","39,500.0","39,000.0","39,900.0","38,550.0","20.80K","0.00%"
"08/27/2021","39,400.0","39,400.0","39,400.0","38,550.0","459.00K","-0.25%"
"08/30/2021","39,400.0","38,550.0","39,400.0","38,550.0","3.90K","0.00%"
"08/31/2021","38,900.0","39,000.0","39,000.0","38,650.0","22.70K","-1.27%"
"09/01/2021","38,900.0","38,500.0","38,900.0","38,000.0","4.10K","0.00%"
"09/06/2021","38,900.0","39,500.0","39,500.0","38,000.0","12.90K","0.00%"
"09/07/2021","39,000.0","38,500.0","39,000.0","38,500.0","7.30K","0.26%"
"09/08/2021","39,450.0","38,500.0","39,450.0","38,500.0","3.10K","1.15%"
