"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","10,350.0","10,350.0","11,100.0","10,350.0","6.52M","-6.76%"
"07/02/2021","9,630.0","10,550.0","10,850.0","9,630.0","2.24M","-6.96%"
"07/05/2021","8,960.0","9,200.0","9,630.0","8,960.0","396.10K","-6.96%"
"07/06/2021","8,340.0","8,340.0","8,340.0","8,340.0","275.00K","-6.92%"
"07/07/2021","8,920.0","7,760.0","8,920.0","7,760.0","3.75M","6.95%"
"07/08/2021","8,300.0","8,950.0","8,950.0","8,300.0","516.00K","-6.95%"
"07/09/2021","7,770.0","7,900.0","8,240.0","7,720.0","297.00K","-6.39%"
"07/12/2021","7,230.0","7,600.0","7,690.0","7,230.0","314.00K","-6.95%"
"07/13/2021","7,460.0","7,000.0","7,600.0","7,000.0","296.60K","3.18%"
"07/14/2021","7,780.0","7,500.0","7,980.0","7,460.0","211.60K","4.29%"
"07/15/2021","7,950.0","7,790.0","7,960.0","7,770.0","141.90K","2.19%"
"07/16/2021","7,800.0","7,500.0","8,000.0","7,500.0","103.70K","-1.89%"
"07/19/2021","7,260.0","7,270.0","7,560.0","7,260.0","238.20K","-6.92%"
"07/20/2021","6,820.0","7,020.0","7,190.0","6,760.0","333.30K","-6.06%"
"07/21/2021","6,830.0","7,000.0","7,200.0","6,800.0","63.70K","0.15%"
"07/22/2021","7,300.0","6,830.0","7,300.0","6,830.0","184.60K","6.88%"
"07/23/2021","7,810.0","7,740.0","7,810.0","7,400.0","195.10K","6.99%"
"07/26/2021","7,810.0","7,810.0","7,950.0","7,500.0","108.80K","0.00%"
"07/27/2021","8,350.0","7,810.0","8,350.0","7,810.0","588.50K","6.91%"
"07/28/2021","8,920.0","8,920.0","8,930.0","8,420.0","853.70K","6.83%"
"07/29/2021","9,540.0","8,920.0","9,540.0","8,920.0","1.29M","6.95%"
"07/30/2021","9,380.0","9,540.0","9,970.0","9,210.0","194.50K","-1.68%"
"08/02/2021","9,380.0","8,850.0","9,500.0","8,850.0","286.10K","0.00%"
"08/03/2021","10,000.0","9,400.0","10,000.0","9,380.0","1.90M","6.61%"
"08/04/2021","10,700.0","10,300.0","10,700.0","10,000.0","1.27M","7.00%"
"08/05/2021","11,400.0","10,800.0","11,400.0","9,960.0","3.42M","6.54%"
"08/06/2021","12,150.0","11,350.0","12,150.0","11,300.0","2.28M","6.58%"
"08/09/2021","13,000.0","12,150.0","13,000.0","12,150.0","1.80M","7.00%"
"08/10/2021","13,900.0","13,000.0","13,900.0","13,000.0","2.13M","6.92%"
"08/11/2021","12,950.0","13,950.0","14,850.0","12,950.0","2.88M","-6.83%"
"08/12/2021","13,850.0","12,050.0","13,850.0","12,050.0","2.47M","6.95%"
"08/13/2021","13,600.0","13,950.0","14,700.0","12,900.0","2.39M","-1.81%"
"08/16/2021","12,750.0","13,650.0","14,000.0","12,750.0","2.34M","-6.25%"
"08/17/2021","12,550.0","12,700.0","12,850.0","12,100.0","1.26M","-1.57%"
"08/18/2021","12,650.0","12,450.0","12,900.0","12,300.0","1.04M","0.80%"
"08/19/2021","12,800.0","12,650.0","13,000.0","12,500.0","1.18M","1.19%"
"08/20/2021","12,650.0","12,900.0","12,900.0","12,350.0","1.03M","-1.17%"
"08/23/2021","12,600.0","12,600.0","12,700.0","12,300.0","826.60K","-0.40%"
"08/24/2021","13,400.0","12,600.0","13,450.0","12,300.0","3.02M","6.35%"
"08/25/2021","13,200.0","13,400.0","14,000.0","12,500.0","1.47M","-1.49%"
"08/26/2021","12,800.0","13,200.0","13,550.0","12,400.0","797.70K","-3.03%"
"08/27/2021","12,350.0","12,650.0","12,800.0","11,950.0","485.10K","-3.52%"
"08/30/2021","13,100.0","12,300.0","13,100.0","11,600.0","926.80K","6.07%"
"08/31/2021","12,200.0","13,150.0","13,300.0","12,200.0","964.90K","-6.87%"
"09/01/2021","11,750.0","12,200.0","12,450.0","11,350.0","1.43M","-3.69%"
"09/06/2021","10,950.0","11,500.0","11,500.0","10,950.0","930.70K","-6.81%"
"09/07/2021","11,700.0","10,750.0","11,700.0","10,250.0","2.58M","6.85%"
"09/08/2021","10,900.0","11,450.0","11,500.0","10,900.0","1.10M","-6.84%"
"09/09/2021","10,850.0","10,500.0","11,250.0","10,500.0","283.30K","-0.46%"
"09/10/2021","10,850.0","11,150.0","11,150.0","10,300.0","385.10K","0.00%"
"09/13/2021","10,800.0","10,900.0","10,900.0","10,600.0","279.90K","-0.46%"
"09/14/2021","11,450.0","10,700.0","11,550.0","10,700.0","1.46M","6.02%"
"09/15/2021","10,700.0","11,550.0","11,550.0","10,650.0","1.73M","-6.55%"
"09/16/2021","11,100.0","10,700.0","11,100.0","10,200.0","965.30K","3.74%"
"09/17/2021","10,350.0","10,800.0","10,800.0","10,350.0","1.42M","-6.76%"
"09/20/2021","10,100.0","10,400.0","10,600.0","10,050.0","370.40K","-2.42%"
"09/21/2021","10,100.0","9,800.0","10,150.0","9,400.0","596.80K","0.00%"
"09/22/2021","10,550.0","10,100.0","10,750.0","9,950.0","1.32M","4.46%"
"09/23/2021","9,820.0","10,600.0","10,600.0","9,820.0","3.41M","-6.92%"
"09/24/2021","9,140.0","9,210.0","9,820.0","9,140.0","2.05M","-6.92%"
"09/27/2021","8,540.0","9,140.0","9,140.0","8,530.0","779.90K","-6.56%"
"09/28/2021","8,600.0","8,200.0","8,990.0","8,000.0","788.50K","0.70%"
"09/29/2021","8,580.0","8,800.0","8,800.0","8,500.0","319.70K","-0.23%"
"09/30/2021","8,880.0","8,580.0","8,880.0","8,580.0","374.40K","3.50%"
"10/01/2021","9,080.0","8,950.0","9,250.0","8,650.0","439.40K","2.25%"
"10/04/2021","8,850.0","9,200.0","9,250.0","8,850.0","354.50K","-2.53%"
"10/05/2021","8,920.0","8,850.0","9,050.0","8,850.0","283.30K","0.79%"
"10/06/2021","9,050.0","8,920.0","9,170.0","8,920.0","263.20K","1.46%"
"10/07/2021","9,600.0","9,110.0","9,680.0","9,110.0","858.80K","6.08%"
"10/08/2021","9,600.0","9,710.0","9,900.0","9,500.0","371.10K","0.00%"
"10/11/2021","8,930.0","9,650.0","9,650.0","8,930.0","1.68M","-6.98%"
"10/12/2021","9,000.0","8,800.0","9,200.0","8,610.0","355.80K","0.78%"
"10/13/2021","8,960.0","9,100.0","9,100.0","8,940.0","210.50K","-0.44%"
"10/14/2021","9,020.0","9,190.0","9,190.0","9,000.0","469.00K","0.67%"
"10/15/2021","9,020.0","9,030.0","9,090.0","9,000.0","499.70K","0.00%"
"10/18/2021","8,970.0","9,020.0","9,050.0","8,970.0","369.10K","-0.55%"
"10/19/2021","9,070.0","9,000.0","9,200.0","8,880.0","417.00K","1.11%"
"10/20/2021","9,190.0","9,110.0","9,300.0","9,070.0","654.60K","1.32%"
"10/21/2021","9,140.0","9,300.0","9,300.0","9,090.0","274.40K","-0.54%"
"10/22/2021","9,140.0","9,200.0","9,250.0","9,110.0","411.10K","0.00%"
"10/25/2021","9,130.0","9,140.0","9,200.0","9,000.0","506.70K","-0.11%"
"10/26/2021","9,100.0","9,000.0","9,140.0","8,950.0","459.00K","-0.33%"
"10/27/2021","9,400.0","9,000.0","9,650.0","9,000.0","808.70K","3.30%"
"10/28/2021","9,380.0","9,400.0","9,500.0","9,270.0","411.60K","-0.21%"
"10/29/2021","9,300.0","9,400.0","9,400.0","9,220.0","584.90K","-0.85%"
"11/01/2021","9,620.0","9,600.0","9,700.0","9,400.0","1.09M","3.44%"
