"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","29,176","28,992","29,912","28,762","4.79M","0.48%"
"07/02/2021","27,841","28,531","28,670","27,657","13.41M","-4.57%"
"07/05/2021","26,553","27,427","27,611","26,461","7.59M","-4.63%"
"07/06/2021","25,310","26,599","27,013","25,310","4.67M","-4.68%"
"07/07/2021","25,494","25,770","25,770","24,850","4.84M","0.73%"
"07/08/2021","25,586","25,586","26,231","25,402","2.96M","0.36%"
"07/09/2021","25,448","25,540","26,000","25,172","3.53M","-0.54%"
"07/12/2021","23,976","24,896","25,310","23,700","7.97M","-5.79%"
"07/13/2021","24,206","24,114","24,390","23,884","2.19M","0.96%"
"07/14/2021","23,515","24,160","24,206","23,423","3.50M","-2.85%"
"07/15/2021","24,482","23,469","24,482","23,469","2.92M","4.11%"
"07/16/2021","24,804","24,436","25,448","24,436","3.95M","1.32%"
"07/19/2021","23,377","24,160","24,390","23,377","3.53M","-5.75%"
"07/20/2021","23,838","23,469","23,930","23,239","2.36M","1.97%"
"07/21/2021","23,469","23,700","24,068","23,423","2.74M","-1.54%"
"07/22/2021","24,022","23,700","24,206","23,469","2.54M","2.35%"
"07/23/2021","23,700","23,930","24,160","23,700","2.53M","-1.34%"
"07/26/2021","24,482","23,561","24,574","23,561","3.86M","3.30%"
"07/27/2021","24,988","24,850","25,218","24,482","3.66M","2.07%"
"07/28/2021","25,310","24,804","25,632","24,758","3.78M","1.29%"
"07/29/2021","25,356","25,310","25,632","25,218","3.05M","0.18%"
"07/30/2021","25,264","25,218","25,494","25,080","2.62M","-0.36%"
"08/02/2021","24,850","25,126","25,172","24,574","4.13M","-1.64%"
"08/03/2021","24,620","24,712","24,758","24,436","3.27M","-0.93%"
"08/04/2021","24,712","24,620","25,034","24,528","2.45M","0.37%"
"08/05/2021","24,942","24,620","25,080","24,436","2.23M","0.93%"
"08/06/2021","25,540","24,942","25,816","24,850","5.15M","2.40%"
"08/09/2021","26,231","25,494","26,323","25,494","5.98M","2.70%"
"08/10/2021","26,323","26,507","26,507","26,046","4.47M","0.35%"
"08/11/2021","25,816","26,369","26,415","25,816","3.69M","-1.92%"
"08/12/2021","25,816","25,724","26,507","25,448","7.20M","0.00%"
"08/13/2021","26,691","26,000","27,013","25,770","6.93M","3.39%"
"08/16/2021","27,243","27,381","27,611","27,013","6.56M","2.07%"
"08/17/2021","26,967","27,243","27,243","26,691","4.36M","-1.01%"
"08/18/2021","27,335","26,829","27,887","26,783","6.54M","1.37%"
"08/19/2021","27,749","27,381","27,979","27,289","4.96M","1.52%"
"08/20/2021","26,921","27,611","28,025","26,000","9.64M","-2.98%"
"08/23/2021","26,691","26,599","27,335","26,599","5.95M","-0.85%"
"08/24/2021","26,277","26,921","26,967","26,093","5.02M","-1.55%"
"08/25/2021","26,599","26,369","26,645","25,724","4.38M","1.23%"
"08/26/2021","26,921","26,875","27,335","26,599","5.40M","1.21%"
"08/27/2021","27,519","26,921","27,519","26,691","8.45M","2.22%"
"08/30/2021","29,084","27,979","29,222","27,795","12.62M","5.69%"
"08/31/2021","28,439","28,992","29,406","28,301","6.83M","-2.21%"
"09/01/2021","29,268","28,301","29,452","28,163","7.12M","2.91%"
"09/06/2021","28,808","29,268","29,866","28,577","6.34M","-1.57%"
"09/07/2021","28,301","28,762","28,992","28,209","5.94M","-1.76%"
"09/08/2021","28,071","28,301","28,624","27,841","4.83M","-0.81%"
"09/09/2021","28,301","28,071","28,624","28,025","2.87M","0.82%"
"09/10/2021","28,531","28,577","28,992","28,531","3.60M","0.81%"
"09/13/2021","28,163","28,670","28,808","27,933","3.60M","-1.29%"
"09/14/2021","28,209","28,485","28,577","27,933","4.76M","0.16%"
"09/15/2021","28,946","28,209","28,992","28,025","3.56M","2.61%"
"09/16/2021","28,762","28,992","29,222","28,531","2.53M","-0.64%"
"09/17/2021","29,774","28,762","29,866","28,762","10.27M","3.52%"
"09/20/2021","29,912","29,912","30,648","29,682","8.81M","0.46%"
"09/21/2021","29,452","29,498","29,820","28,624","5.74M","-1.54%"
"09/22/2021","29,544","29,682","29,682","29,130","3.36M","0.31%"
"09/23/2021","29,452","29,590","30,602","29,406","5.71M","-0.31%"
"09/24/2021","28,716","29,452","29,498","28,716","4.42M","-2.50%"
"09/27/2021","26,875","28,439","28,716","26,783","11.18M","-6.41%"
"09/28/2021","27,381","26,921","27,427","26,277","4.06M","1.88%"
"09/29/2021","27,429","27,810","27,810","27,048","2.42M","0.17%"
"09/30/2021","27,333","27,429","27,952","27,238","2.13M","-0.35%"
"10/01/2021","26,667","27,143","27,286","26,667","5.59M","-2.44%"
"10/04/2021","28,191","26,667","28,286","26,095","8.19M","5.71%"
"10/05/2021","28,000","28,191","28,476","27,952","2.88M","-0.68%"
"10/06/2021","27,810","28,000","28,048","27,714","1.92M","-0.68%"
"10/07/2021","28,095","27,810","28,429","27,667","3.88M","1.03%"
"10/08/2021","27,905","28,095","28,333","27,857","1.81M","-0.68%"
"10/11/2021","27,048","27,619","27,714","27,000","7.86M","-3.07%"
"10/12/2021","27,238","27,095","27,571","26,714","3.12M","0.70%"
"10/13/2021","27,048","27,238","27,238","26,905","3.08M","-0.70%"
"10/14/2021","27,143","27,095","27,524","27,048","2.42M","0.35%"
"10/15/2021","27,048","27,143","27,476","27,048","2.42M","-0.35%"
"10/18/2021","26,857","27,048","27,095","26,810","3.35M","-0.70%"
"10/19/2021","26,714","26,810","27,191","26,667","2.59M","-0.53%"
"10/20/2021","26,762","26,905","27,000","26,667","2.77M","0.18%"
"10/21/2021","27,048","26,857","27,095","26,714","2.25M","1.07%"
"10/22/2021","27,381","27,095","27,571","27,095","4.22M","1.23%"
"10/25/2021","27,857","28,048","28,048","27,619","3.60M","1.74%"
"10/26/2021","29,000","28,095","29,000","27,762","8.25M","4.10%"
"10/27/2021","29,238","29,429","29,524","29,095","3.96M","0.82%"
"10/28/2021","29,048","29,238","29,238","28,952","3.49M","-0.65%"
"10/29/2021","28,667","29,048","29,286","28,619","4.10M","-1.31%"
"11/01/2021","28,333","28,571","29,000","28,191","4.86M","-1.16%"
"11/02/2021","28,952","28,191","29,095","28,191","4.05M","2.19%"
"11/03/2021","28,333","29,286","29,286","28,333","2.93M","-2.14%"
"11/04/2021","28,429","28,381","28,619","28,333","2.40M","0.34%"
"11/05/2021","30,381","28,571","30,381","28,524","10.07M","6.87%"
"11/08/2021","31,524","31,905","32,286","30,952","6.06M","3.76%"
"11/09/2021","31,286","31,524","31,667","30,952","4.39M","-0.76%"
"11/10/2021","32,381","31,048","33,095","30,905","11.57M","3.50%"
"11/11/2021","33,048","32,714","33,810","32,143","10.73M","2.06%"
"11/12/2021","33,095","33,286","33,476","32,952","3.51M","0.14%"
"11/15/2021","32,429","33,238","33,571","32,381","6.48M","-2.01%"
"11/16/2021","32,381","31,667","32,714","31,667","5.21M","-0.15%"
"11/17/2021","32,571","32,095","32,619","32,000","2.60M","0.59%"
"11/18/2021","32,286","32,571","32,619","32,143","3.59M","-0.88%"
"11/19/2021","30,952","31,905","32,381","30,048","7.22M","-4.13%"
"11/22/2021","31,429","30,524","32,476","30,524","6.14M","1.54%"
"11/23/2021","33,619","32,143","33,619","31,952","8.13M","6.97%"
"11/24/2021","35,952","34,762","35,952","34,619","10.13M","6.94%"
"11/25/2021","35,714","36,667","36,667","35,238","4.69M","-0.66%"
"11/26/2021","36,571","35,476","37,381","35,238","4.38M","2.40%"
"11/29/2021","37,857","36,191","38,429","36,000","5.67M","3.52%"
"11/30/2021","37,286","38,476","38,476","36,714","5.17M","-1.51%"
"12/01/2021","37,143","37,286","37,571","36,667","2.90M","-0.38%"
"12/02/2021","37,238","37,619","38,381","37,238","5.14M","0.26%"
"12/03/2021","35,667","37,619","37,619","35,667","7.26M","-4.22%"
"12/06/2021","35,191","35,714","36,381","34,762","4.69M","-1.34%"
"12/07/2021","35,810","36,095","36,095","35,000","2.97M","1.76%"
"12/08/2021","36,286","36,095","36,476","35,667","3.11M","1.33%"
"12/09/2021","36,381","36,333","36,619","36,095","2.38M","0.26%"
"12/10/2021","37,857","36,095","38,095","35,905","6.03M","4.06%"
"12/13/2021","37,667","38,095","38,191","37,381","2.18M","-0.50%"
"12/14/2021","37,286","37,619","38,095","37,238","2.81M","-1.01%"
"12/15/2021","36,238","37,524","37,571","36,238","3.99M","-2.81%"
