"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","33,462.0","33,231.0","33,962.0","32,308.0","30.81K","0.00%"
"07/02/2021","33,385.0","33,308.0","33,385.0","32,846.0","3.77K","-0.23%"
"07/05/2021","33,423.0","34,423.0","34,423.0","32,692.0","9.75K","0.11%"
"07/06/2021","32,846.0","32,692.0","33,385.0","32,692.0","31.46K","-1.73%"
"07/07/2021","32,692.0","32,769.0","32,769.0","32,308.0","92.30K","-0.47%"
"07/08/2021","32,692.0","32,308.0","32,692.0","32,308.0","17.94K","0.00%"
"07/09/2021","32,154.0","32,615.0","32,615.0","31,769.0","46.54K","-1.65%"
"07/12/2021","31,538.0","32,154.0","32,154.0","30,769.0","24.96K","-1.92%"
"07/13/2021","31,538.0","31,538.0","31,846.0","30,808.0","32.11K","0.00%"
"07/14/2021","31,692.0","32,231.0","32,231.0","31,154.0","3.25K","0.49%"
"07/15/2021","32,038.0","32,115.0","32,192.0","30,962.0","109.07K","1.09%"
"07/16/2021","32,308.0","32,000.0","32,308.0","31,538.0","2.21K","0.84%"
"07/19/2021","31,923.0","30,769.0","32,308.0","30,769.0","9.88K","-1.19%"
"07/20/2021","32,000.0","31,231.0","32,000.0","31,231.0","11.31K","0.24%"
"07/21/2021","32,000.0","32,000.0","32,000.0","32,000.0","0.13K","0.00%"
"07/22/2021","32,000.0","31,538.0","32,000.0","31,538.0","13.78K","0.00%"
"07/23/2021","32,154.0","32,192.0","32,231.0","32,154.0","15.60K","0.48%"
"07/26/2021","32,077.0","31,269.0","32,077.0","31,269.0","14.95K","-0.24%"
"07/27/2021","31,538.0","31,346.0","31,923.0","31,346.0","5.07K","-1.68%"
"07/28/2021","31,923.0","31,385.0","31,923.0","31,385.0","23.53K","1.22%"
"07/29/2021","31,923.0","31,538.0","31,923.0","31,423.0","2.47K","0.00%"
"07/30/2021","32,192.0","31,769.0","32,192.0","31,769.0","12.35K","0.84%"
"08/02/2021","32,000.0","31,923.0","32,115.0","31,923.0","21.06K","-0.60%"
"08/03/2021","31,885.0","31,538.0","31,885.0","31,538.0","66.17K","-0.36%"
"08/04/2021","31,923.0","31,538.0","31,923.0","31,538.0","3.77K","0.12%"
"08/05/2021","32,000.0","31,615.0","32,038.0","31,538.0","5.59K","0.24%"
"08/06/2021","32,308.0","32,077.0","32,308.0","31,538.0","28.34K","0.96%"
"08/09/2021","32,308.0","32,308.0","32,308.0","31,615.0","14.04K","0.00%"
"08/10/2021","32,692.0","32,231.0","32,692.0","32,231.0","49.14K","1.19%"
"08/11/2021","32,692.0","32,692.0","32,692.0","32,308.0","17.55K","0.00%"
"08/12/2021","32,846.0","32,308.0","32,846.0","32,308.0","27.43K","0.47%"
"08/13/2021","32,808.0","32,308.0","32,846.0","32,308.0","12.09K","-0.12%"
"08/16/2021","33,038.0","32,808.0","33,038.0","32,462.0","22.62K","0.70%"
"08/17/2021","34,231.0","33,038.0","34,231.0","32,923.0","104.91K","3.61%"
"08/18/2021","36,615.0","34,769.0","36,615.0","34,769.0","828.36K","6.96%"
"08/19/2021","37,231.0","38,000.0","38,000.0","37,231.0","149.11K","1.68%"
"08/20/2021","36,769.0","36,769.0","37,231.0","35,769.0","217.75K","-1.24%"
"08/23/2021","37,038.0","36,308.0","38,000.0","35,385.0","337.74K","0.73%"
"08/24/2021","36,923.0","36,538.0","37,692.0","36,538.0","232.18K","-0.31%"
"08/25/2021","36,846.0","36,923.0","36,923.0","36,192.0","76.83K","-0.21%"
"08/26/2021","36,462.0","36,846.0","36,923.0","36,346.0","155.35K","-1.04%"
"08/27/2021","38,462.0","36,385.0","38,615.0","36,385.0","602.55K","5.49%"
"08/30/2021","40,154.0","40,000.0","40,846.0","39,231.0","575.64K","4.40%"
"08/31/2021","39,769.0","40,000.0","40,462.0","39,615.0","179.66K","-0.96%"
"09/01/2021","38,615.0","39,000.0","39,231.0","38,385.0","504.53K","-2.90%"
"09/06/2021","40,077.0","38,692.0","40,846.0","38,692.0","479.44K","3.79%"
"09/07/2021","40,769.0","40,077.0","40,769.0","39,231.0","425.62K","1.73%"
"09/08/2021","41,154.0","41,538.0","42,231.0","40,769.0","334.62K","0.94%"
"09/09/2021","41,538.0","40,769.0","41,769.0","40,385.0","226.46K","0.93%"
"09/10/2021","41,308.0","41,538.0","41,538.0","40,846.0","101.66K","-0.55%"
"09/13/2021","39,308.0","40,769.0","40,769.0","38,846.0","266.63K","-4.84%"
"09/14/2021","38,077.0","39,231.0","39,692.0","37,769.0","415.35K","-3.13%"
"09/15/2021","39,385.0","38,077.0","39,923.0","37,308.0","262.34K","3.44%"
"09/16/2021","39,231.0","39,231.0","39,769.0","38,462.0","117.13K","-0.39%"
"09/17/2021","39,077.0","39,231.0","39,231.0","37,692.0","175.37K","-0.39%"
"09/20/2021","37,769.0","39,231.0","39,231.0","37,692.0","125.06K","-3.35%"
"09/21/2021","36,692.0","37,692.0","37,692.0","36,154.0","242.06K","-2.85%"
"09/22/2021","37,308.0","36,692.0","37,308.0","36,385.0","202.02K","1.68%"
"09/23/2021","37,692.0","39,538.0","39,538.0","37,692.0","162.89K","1.03%"
"09/24/2021","36,769.0","36,692.0","37,538.0","36,692.0","56.94K","-2.45%"
"09/27/2021","35,846.0","36,769.0","36,923.0","35,846.0","124.54K","-2.51%"
"09/28/2021","36,308.0","35,846.0","36,846.0","35,846.0","75.27K","1.29%"
"09/29/2021","36,731.0","36,385.0","36,923.0","36,154.0","91.00K","1.17%"
"09/30/2021","36,808.0","36,731.0","36,885.0","36,538.0","63.05K","0.21%"
"10/01/2021","36,923.0","36,808.0","37,077.0","36,538.0","74.62K","0.31%"
"10/04/2021","36,923.0","36,923.0","37,077.0","36,231.0","180.96K","0.00%"
"10/05/2021","36,769.0","36,885.0","36,885.0","36,423.0","51.09K","-0.42%"
"10/06/2021","36,423.0","36,538.0","36,923.0","36,385.0","73.71K","-0.94%"
"10/07/2021","36,308.0","36,462.0","36,808.0","36,154.0","75.40K","-0.32%"
"10/08/2021","37,308.0","36,654.0","37,308.0","36,654.0","146.25K","2.75%"
"10/11/2021","38,000.0","37,462.0","38,462.0","37,154.0","176.80K","1.85%"
"10/12/2021","37,462.0","38,077.0","38,154.0","37,462.0","153.66K","-1.42%"
"10/13/2021","37,000.0","37,462.0","37,538.0","36,923.0","53.30K","-1.23%"
"10/14/2021","36,769.0","36,577.0","37,000.0","36,538.0","110.11K","-0.62%"
"10/15/2021","36,538.0","36,615.0","36,692.0","36,385.0","86.32K","-0.63%"
"10/18/2021","36,308.0","36,577.0","36,577.0","36,192.0","44.59K","-0.63%"
"10/19/2021","36,846.0","36,192.0","36,846.0","36,192.0","57.07K","1.48%"
"10/20/2021","36,462.0","36,846.0","36,846.0","36,154.0","188.89K","-1.04%"
"10/21/2021","36,462.0","36,769.0","36,769.0","36,192.0","28.34K","0.00%"
"10/22/2021","36,308.0","36,269.0","36,615.0","36,231.0","104.78K","-0.42%"
"10/25/2021","38,462.0","36,385.0","38,462.0","36,308.0","296.40K","5.93%"
"10/26/2021","37,846.0","36,923.0","38,154.0","36,923.0","49.27K","-1.60%"
"10/27/2021","37,846.0","37,885.0","37,885.0","37,538.0","75.01K","0.00%"
"10/28/2021","37,692.0","37,846.0","38,231.0","37,615.0","101.79K","-0.41%"
"10/29/2021","37,308.0","37,692.0","37,846.0","37,115.0","251.03K","-1.02%"
"11/01/2021","38,077.0","37,077.0","38,423.0","37,077.0","327.86K","2.06%"
"11/02/2021","38,462.0","38,077.0","39,231.0","38,077.0","200.46K","1.01%"
"11/03/2021","37,923.0","38,462.0","38,462.0","37,615.0","129.74K","-1.40%"
"11/04/2021","37,769.0","37,538.0","37,769.0","37,308.0","206.05K","-0.41%"
"11/05/2021","37,769.0","37,769.0","38,115.0","37,385.0","167.05K","0.00%"
"11/08/2021","38,923.0","37,769.0","39,000.0","37,500.0","297.18K","3.06%"
"11/09/2021","39,077.0","39,000.0","39,231.0","38,692.0","251.94K","0.40%"
"11/10/2021","39,000.0","39,077.0","39,231.0","38,769.0","162.50K","-0.20%"
"11/11/2021","40,077.0","39,231.0","40,769.0","38,462.0","531.31K","2.76%"
"11/12/2021","39,923.0","40,846.0","40,846.0","39,692.0","98.80K","-0.38%"
"11/15/2021","40,615.0","39,923.0","40,769.0","39,615.0","473.72K","1.73%"
"11/16/2021","40,769.0","39,769.0","40,769.0","39,538.0","336.44K","0.38%"
"11/17/2021","40,154.0","40,692.0","40,692.0","40,000.0","135.20K","-1.51%"
"11/18/2021","40,000.0","40,000.0","40,385.0","39,769.0","384.93K","-0.38%"
"11/19/2021","40,615.0","40,231.0","40,923.0","40,000.0","533.91K","1.54%"
"11/22/2021","41,154.0","40,923.0","42,538.0","40,923.0","434.85K","1.33%"
"11/23/2021","41,462.0","41,154.0","41,462.0","40,154.0","95.42K","0.75%"
"11/24/2021","43,308.0","41,538.0","43,615.0","41,308.0","752.57K","4.45%"
"11/25/2021","42,846.0","43,154.0","44,154.0","42,692.0","269.88K","-1.07%"
"11/26/2021","42,462.0","42,923.0","43,154.0","42,462.0","135.59K","-0.90%"
"11/29/2021","44,154.0","42,538.0","44,538.0","42,538.0","613.47K","3.98%"
"11/30/2021","44,000.0","44,615.0","44,615.0","43,462.0","330.33K","-0.35%"
"12/01/2021","43,462.0","43,846.0","44,538.0","43,077.0","215.15K","-1.22%"
"12/02/2021","43,846.0","43,077.0","43,846.0","42,308.0","283.79K","0.88%"
"12/03/2021","43,846.0","43,846.0","43,923.0","43,231.0","433.55K","0.00%"
"12/06/2021","43,077.0","43,692.0","43,692.0","42,308.0","167.96K","-1.75%"
"12/07/2021","43,077.0","42,538.0","43,231.0","42,462.0","121.68K","0.00%"
"12/08/2021","42,462.0","43,077.0","43,077.0","42,231.0","122.85K","-1.43%"
"12/09/2021","42,308.0","42,231.0","42,462.0","41,615.0","120.38K","-0.36%"
"12/10/2021","41,000.0","42,308.0","42,308.0","40,846.0","188.89K","-3.09%"
"12/13/2021","40,077.0","40,769.0","40,769.0","38,923.0","275.60K","-2.25%"
"12/14/2021","40,846.0","40,077.0","41,077.0","40,077.0","135.98K","1.92%"
"12/15/2021","40,923.0","41,154.0","41,462.0","40,692.0","69.29K","0.19%"
"12/16/2021","40,385.0","40,846.0","40,923.0","40,385.0","71.11K","-1.31%"
"12/17/2021","40,231.0","40,000.0","40,231.0","39,615.0","81.12K","-0.38%"
"12/20/2021","40,154.0","40,154.0","40,154.0","39,231.0","171.60K","-0.19%"
"12/21/2021","40,231.0","40,154.0","40,923.0","40,154.0","122.72K","0.19%"
"12/22/2021","40,385.0","40,769.0","40,769.0","39,462.0","88.14K","0.38%"
"12/23/2021","40,231.0","40,615.0","40,615.0","39,538.0","154.70K","-0.38%"
"12/24/2021","39,615.0","39,615.0","40,000.0","39,154.0","101.27K","-1.53%"
"12/27/2021","39,769.0","39,769.0","39,846.0","39,462.0","65.00K","0.39%"
"12/28/2021","39,923.0","39,231.0","42,538.0","39,154.0","166.14K","0.39%"
"12/29/2021","40,615.0","39,923.0","40,692.0","39,462.0","118.69K","1.73%"
"12/30/2021","41,154.0","40,538.0","41,154.0","39,615.0","84.24K","1.33%"
"12/31/2021","39,923.0","41,077.0","41,077.0","39,923.0","130.65K","-2.99%"
