"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","15,100.0","14,700.0","15,200.0","14,700.0","139.40K","3.78%"
"07/02/2021","14,800.0","15,100.0","15,200.0","14,800.0","63.70K","-1.99%"
"07/05/2021","14,350.0","15,100.0","15,100.0","14,000.0","100.00K","-3.04%"
"07/06/2021","13,950.0","14,350.0","14,400.0","13,900.0","136.40K","-2.79%"
"07/07/2021","13,300.0","14,000.0","14,000.0","13,200.0","84.40K","-4.66%"
"07/08/2021","13,400.0","13,400.0","13,400.0","13,200.0","45.10K","0.75%"
"07/09/2021","12,700.0","13,400.0","13,400.0","12,700.0","79.40K","-5.22%"
"07/12/2021","11,900.0","12,650.0","12,650.0","11,850.0","121.20K","-6.30%"
"07/13/2021","12,400.0","12,000.0","12,400.0","11,900.0","33.10K","4.20%"
"07/14/2021","12,350.0","12,350.0","12,500.0","12,200.0","22.60K","-0.40%"
"07/15/2021","12,350.0","12,000.0","12,350.0","12,000.0","33.50K","0.00%"
"07/16/2021","12,300.0","12,200.0","12,400.0","12,200.0","66.50K","-0.40%"
"07/19/2021","13,150.0","12,000.0","13,150.0","12,000.0","234.00K","6.91%"
"07/20/2021","14,050.0","14,050.0","14,050.0","14,000.0","315.40K","6.84%"
"07/21/2021","14,050.0","14,100.0","14,950.0","14,050.0","146.10K","0.00%"
"07/22/2021","13,500.0","13,700.0","13,700.0","13,100.0","159.90K","-3.91%"
"07/23/2021","13,400.0","13,500.0","13,500.0","13,000.0","88.00K","-0.74%"
"07/26/2021","13,000.0","12,800.0","13,250.0","12,800.0","91.00K","-2.99%"
"07/27/2021","13,000.0","13,000.0","13,250.0","12,950.0","86.00K","0.00%"
"07/28/2021","13,350.0","13,100.0","13,800.0","13,100.0","56.30K","2.69%"
"07/29/2021","13,250.0","13,150.0","13,450.0","13,150.0","68.90K","-0.75%"
"07/30/2021","13,400.0","13,250.0","13,500.0","13,150.0","99.20K","1.13%"
"08/02/2021","13,250.0","13,350.0","13,400.0","13,150.0","37.60K","-1.12%"
"08/03/2021","13,050.0","13,250.0","13,300.0","12,800.0","142.90K","-1.51%"
"08/04/2021","13,050.0","13,150.0","13,150.0","13,000.0","82.70K","0.00%"
"08/05/2021","13,250.0","13,000.0","13,450.0","13,000.0","32.10K","1.53%"
"08/06/2021","13,200.0","13,500.0","13,500.0","13,100.0","72.90K","-0.38%"
"08/09/2021","13,450.0","13,200.0","13,800.0","13,000.0","156.00K","1.89%"
"08/10/2021","14,100.0","13,800.0","14,100.0","13,600.0","170.00K","4.83%"
"08/11/2021","14,650.0","14,650.0","14,700.0","14,400.0","208.70K","3.90%"
"08/12/2021","14,800.0","14,750.0","14,850.0","13,800.0","396.70K","1.02%"
"08/13/2021","15,000.0","15,000.0","15,400.0","14,900.0","348.50K","1.35%"
"08/16/2021","15,550.0","15,400.0","15,650.0","15,300.0","324.10K","3.67%"
"08/17/2021","16,600.0","15,800.0","16,600.0","15,800.0","737.30K","6.75%"
"08/18/2021","17,750.0","17,500.0","17,750.0","17,000.0","891.70K","6.93%"
"08/19/2021","17,100.0","17,750.0","18,300.0","16,650.0","616.50K","-3.66%"
"08/20/2021","16,900.0","17,000.0","17,000.0","16,350.0","917.80K","-1.17%"
"08/23/2021","18,050.0","16,400.0","18,050.0","16,200.0","526.90K","6.80%"
"08/24/2021","17,500.0","19,000.0","19,000.0","16,800.0","272.90K","-3.05%"
"08/25/2021","16,600.0","17,350.0","17,350.0","16,300.0","190.50K","-5.14%"
"08/26/2021","16,600.0","16,600.0","17,000.0","16,400.0","241.30K","0.00%"
"08/27/2021","17,750.0","16,600.0","17,750.0","16,300.0","791.90K","6.93%"
"08/30/2021","18,950.0","18,950.0","18,950.0","18,700.0","690.50K","6.76%"
"08/31/2021","20,250.0","20,250.0","20,250.0","19,500.0","1.67M","6.86%"
"09/01/2021","19,300.0","20,000.0","20,000.0","18,850.0","840.10K","-4.69%"
"09/06/2021","18,800.0","18,500.0","19,300.0","18,400.0","471.00K","-2.59%"
"09/07/2021","17,500.0","17,500.0","18,300.0","17,500.0","826.80K","-6.91%"
"09/08/2021","18,150.0","17,000.0","18,200.0","17,000.0","275.40K","3.71%"
"09/09/2021","17,900.0","18,100.0","18,100.0","17,700.0","119.60K","-1.38%"
"09/10/2021","17,450.0","17,900.0","17,900.0","17,400.0","283.90K","-2.51%"
"09/13/2021","16,800.0","17,400.0","17,400.0","16,750.0","456.80K","-3.72%"
"09/14/2021","16,000.0","16,600.0","16,700.0","16,000.0","558.20K","-4.76%"
"09/15/2021","17,100.0","16,500.0","17,100.0","16,300.0","213.00K","6.88%"
"09/16/2021","17,200.0","17,700.0","17,700.0","16,800.0","163.90K","0.58%"
"09/17/2021","16,850.0","16,800.0","17,000.0","16,700.0","190.10K","-2.03%"
"09/20/2021","16,300.0","16,600.0","16,800.0","16,200.0","327.80K","-3.26%"
"09/21/2021","16,200.0","15,800.0","16,200.0","15,500.0","312.60K","-0.61%"
"09/22/2021","15,900.0","16,050.0","16,050.0","15,600.0","317.00K","-1.85%"
"09/23/2021","16,200.0","16,000.0","16,550.0","16,000.0","271.60K","1.89%"
"09/24/2021","16,000.0","16,000.0","16,350.0","15,850.0","133.30K","-1.23%"
"09/27/2021","15,500.0","15,800.0","16,400.0","15,500.0","132.90K","-3.13%"
"09/28/2021","15,400.0","15,100.0","15,500.0","14,950.0","147.00K","-0.65%"
"09/29/2021","15,300.0","15,300.0","15,700.0","15,000.0","123.40K","-0.65%"
"09/30/2021","15,400.0","15,300.0","15,700.0","15,200.0","40.60K","0.65%"
"10/01/2021","15,300.0","15,250.0","15,800.0","15,250.0","125.70K","-0.65%"
"10/04/2021","16,350.0","16,000.0","16,350.0","16,000.0","352.60K","6.86%"
"10/05/2021","16,050.0","16,500.0","17,000.0","16,000.0","168.20K","-1.83%"
"10/06/2021","16,050.0","16,000.0","16,300.0","15,700.0","143.30K","0.00%"
"10/07/2021","16,000.0","16,050.0","16,100.0","15,750.0","142.30K","-0.31%"
"10/08/2021","16,300.0","16,000.0","16,800.0","15,850.0","192.50K","1.88%"
"10/11/2021","17,400.0","16,500.0","17,400.0","16,500.0","831.30K","6.75%"
"10/12/2021","17,400.0","17,800.0","18,500.0","17,200.0","444.70K","0.00%"
"10/13/2021","17,150.0","17,100.0","17,400.0","17,050.0","159.90K","-1.44%"
"10/14/2021","17,350.0","17,000.0","17,400.0","16,650.0","279.80K","1.17%"
"10/15/2021","17,000.0","16,950.0","17,300.0","16,950.0","201.00K","-2.02%"
"10/18/2021","16,750.0","17,000.0","17,000.0","16,650.0","180.50K","-1.47%"
"10/19/2021","16,700.0","16,500.0","17,000.0","16,500.0","117.80K","-0.30%"
"10/20/2021","17,850.0","17,000.0","17,850.0","16,600.0","728.60K","6.89%"
"10/21/2021","18,000.0","17,800.0","18,100.0","17,600.0","412.40K","0.84%"
"10/22/2021","17,850.0","17,800.0","18,000.0","17,800.0","156.40K","-0.83%"
"10/25/2021","18,050.0","18,200.0","18,400.0","17,700.0","435.90K","1.12%"
"10/26/2021","17,350.0","18,200.0","18,200.0","17,100.0","235.40K","-3.88%"
"10/27/2021","17,400.0","17,900.0","17,900.0","17,300.0","133.30K","0.29%"
"10/28/2021","17,100.0","17,400.0","17,700.0","17,000.0","269.50K","-1.72%"
"10/29/2021","17,250.0","17,100.0","17,400.0","17,100.0","179.80K","0.88%"
"11/01/2021","17,250.0","17,000.0","18,000.0","16,800.0","339.30K","0.00%"
"11/02/2021","17,400.0","17,450.0","17,800.0","17,200.0","183.60K","0.87%"
"11/03/2021","16,900.0","17,400.0","17,600.0","16,850.0","338.00K","-2.87%"
"11/04/2021","16,950.0","16,900.0","17,000.0","16,500.0","144.50K","0.30%"
"11/05/2021","16,950.0","17,000.0","17,000.0","16,800.0","99.50K","0.00%"
"11/08/2021","17,300.0","17,350.0","17,400.0","17,100.0","170.20K","2.06%"
"11/09/2021","17,300.0","17,400.0","17,400.0","17,100.0","164.20K","0.00%"
"11/10/2021","17,800.0","17,400.0","18,000.0","17,000.0","428.40K","2.89%"
"11/11/2021","18,200.0","18,000.0","18,400.0","17,800.0","483.60K","2.25%"
"11/12/2021","18,000.0","18,200.0","18,200.0","17,700.0","237.20K","-1.10%"
"11/15/2021","18,700.0","18,000.0","18,950.0","18,000.0","518.80K","3.89%"
"11/16/2021","17,900.0","18,700.0","18,700.0","17,800.0","417.60K","-4.28%"
"11/17/2021","17,650.0","17,500.0","17,900.0","17,500.0","160.60K","-1.40%"
"11/18/2021","18,000.0","17,250.0","18,300.0","17,250.0","267.00K","1.98%"
"11/19/2021","16,750.0","18,300.0","18,300.0","16,750.0","638.30K","-6.94%"
"11/22/2021","15,600.0","16,600.0","16,700.0","15,600.0","344.60K","-6.87%"
"11/23/2021","16,350.0","15,850.0","16,350.0","15,300.0","135.80K","4.81%"
"11/24/2021","16,400.0","16,400.0","16,700.0","16,250.0","126.70K","0.31%"
"11/25/2021","16,300.0","16,400.0","16,400.0","16,000.0","127.00K","-0.61%"
"11/26/2021","16,500.0","16,300.0","16,600.0","16,000.0","177.90K","1.23%"
"11/29/2021","17,650.0","17,100.0","17,650.0","17,050.0","308.60K","6.97%"
"11/30/2021","17,800.0","18,500.0","18,500.0","17,650.0","401.90K","0.85%"
"12/01/2021","17,300.0","17,400.0","17,750.0","17,150.0","104.20K","-2.81%"
"12/02/2021","17,600.0","16,950.0","17,700.0","16,800.0","228.20K","1.73%"
"12/03/2021","16,800.0","17,800.0","17,800.0","16,700.0","146.20K","-4.55%"
"12/06/2021","16,000.0","16,700.0","17,000.0","16,000.0","181.10K","-4.76%"
"12/07/2021","16,350.0","16,000.0","16,350.0","16,000.0","61.80K","2.19%"
"12/08/2021","16,300.0","16,500.0","16,500.0","16,200.0","87.40K","-0.31%"
"12/09/2021","16,450.0","16,300.0","16,500.0","16,100.0","79.30K","0.92%"
"12/10/2021","16,300.0","16,450.0","16,450.0","15,900.0","233.00K","-0.91%"
"12/13/2021","16,300.0","16,300.0","16,400.0","16,200.0","145.70K","0.00%"
"12/14/2021","16,450.0","16,300.0","16,600.0","16,200.0","150.60K","0.92%"
"12/15/2021","16,500.0","16,400.0","16,500.0","16,200.0","160.90K","0.30%"
"12/16/2021","16,450.0","16,500.0","16,700.0","16,150.0","110.80K","-0.30%"
"12/17/2021","16,400.0","16,450.0","16,450.0","16,100.0","120.00K","-0.30%"
