"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","13,015.9","13,061.2","13,242.6","12,880.0","14.77K","0.35%"
"07/02/2021","13,061.2","13,061.2","13,333.3","12,971.0","12.57K","0.35%"
"07/05/2021","13,061.2","13,151.9","13,151.9","12,154.0","16.43K","0.00%"
"07/06/2021","13,151.9","13,061.2","13,151.9","12,698.0","13.56K","0.69%"
"07/07/2021","13,151.9","13,151.9","13,151.9","12,698.0","11.47K","0.00%"
"07/08/2021","13,106.6","13,151.9","13,151.9","12,880.0","12.13K","-0.34%"
"07/09/2021","13,333.3","13,381.0","13,809.5","13,333.0","12.81K","1.73%"
"07/12/2021","12,857.1","13,333.3","13,428.6","12,857.0","7.98K","-3.57%"
"07/13/2021","12,857.1","12,571.4","13,047.6","12,381.0","9.03K","0.00%"
"07/14/2021","12,761.9","12,857.1","12,857.1","12,571.0","6.30K","-0.74%"
"07/15/2021","12,761.9","12,571.4","12,761.9","12,190.0","9.66K","0.00%"
"07/16/2021","12,857.1","12,761.9","13,047.6","12,762.0","10.81K","0.75%"
"07/19/2021","12,666.7","12,857.1","12,857.1","12,381.0","11.65K","-1.48%"
"07/20/2021","12,857.1","12,666.7","12,857.1","12,571.0","10.92K","1.50%"
"07/21/2021","12,857.1","12,857.1","13,047.6","12,857.0","10.71K","0.00%"
"07/22/2021","12,857.1","12,857.1","12,952.4","12,571.0","12.07K","0.00%"
"07/23/2021","12,857.1","12,857.1","13,142.9","12,762.0","7.88K","0.00%"
"07/26/2021","12,952.4","12,857.1","13,047.6","12,667.0","16.38K","0.74%"
"07/27/2021","12,857.1","12,952.4","13,142.9","12,857.0","11.44K","-0.74%"
"07/28/2021","12,857.1","12,857.1","12,952.4","12,762.0","11.34K","0.00%"
"07/29/2021","12,952.4","12,857.1","13,142.9","12,857.0","12.60K","0.74%"
"07/30/2021","13,047.6","12,952.4","13,047.6","12,952.0","12.39K","0.73%"
"08/02/2021","13,047.6","13,047.6","13,142.9","12,952.0","10.39K","0.00%"
"08/03/2021","13,095.2","13,047.6","13,142.9","13,048.0","12.28K","0.36%"
"08/04/2021","13,047.6","13,047.6","13,142.9","12,952.0","12.28K","-0.36%"
"08/05/2021","12,952.4","13,047.6","13,142.9","12,857.0","13.75K","-0.73%"
"08/06/2021","12,904.8","13,047.6","13,142.9","12,905.0","12.18K","-0.37%"
"08/09/2021","12,952.4","13,047.6","13,047.6","12,381.0","18.27K","0.37%"
"08/10/2021","12,857.1","12,952.4","13,047.6","12,381.0","17.53K","-0.74%"
"08/11/2021","12,666.7","12,857.1","12,952.4","12,381.0","28.35K","-1.48%"
"08/12/2021","12,476.2","12,666.7","12,666.7","11,905.0","17.85K","-1.50%"
"08/13/2021","12,857.1","12,571.4","12,857.1","12,381.0","38.64K","3.05%"
"08/16/2021","13,714.3","12,952.4","13,714.3","12,952.0","31.39K","6.67%"
