"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","47,000.0","46,000.0","47,950.0","46,000.0","349.90K","2.17%"
"07/02/2021","47,000.0","47,000.0","47,050.0","46,500.0","164.70K","0.00%"
"07/05/2021","45,500.0","46,800.0","46,800.0","45,050.0","130.90K","-3.19%"
"07/06/2021","44,900.0","45,600.0","46,000.0","44,900.0","144.80K","-1.32%"
"07/07/2021","44,000.0","41,800.0","44,700.0","41,800.0","166.70K","-2.00%"
"07/08/2021","42,200.0","43,850.0","44,000.0","42,200.0","303.00K","-4.09%"
"07/09/2021","42,800.0","42,500.0","43,850.0","40,000.0","157.20K","1.42%"
"07/12/2021","39,850.0","42,800.0","42,800.0","39,850.0","670.50K","-6.89%"
"07/13/2021","42,600.0","41,000.0","42,600.0","40,500.0","1.12M","6.90%"
"07/14/2021","42,900.0","43,000.0","43,400.0","41,000.0","641.50K","0.70%"
"07/15/2021","44,000.0","42,800.0","44,500.0","41,300.0","480.20K","2.56%"
"07/16/2021","42,000.0","42,100.0","44,000.0","42,000.0","240.00K","-4.55%"
"07/19/2021","39,100.0","39,200.0","40,100.0","39,100.0","673.10K","-6.90%"
"07/20/2021","40,000.0","39,500.0","40,000.0","37,000.0","166.90K","2.30%"
"07/21/2021","40,700.0","39,200.0","41,550.0","39,200.0","462.10K","1.75%"
"07/22/2021","41,200.0","40,700.0","41,300.0","40,500.0","256.20K","1.23%"
"07/23/2021","40,000.0","41,000.0","41,200.0","40,000.0","158.20K","-2.91%"
"07/26/2021","39,950.0","37,500.0","40,000.0","37,500.0","174.90K","-0.13%"
"07/27/2021","40,500.0","39,950.0","40,900.0","39,500.0","423.00K","1.38%"
"07/28/2021","39,800.0","40,000.0","40,350.0","39,800.0","112.10K","-1.73%"
"07/29/2021","40,000.0","40,000.0","40,350.0","39,800.0","141.30K","0.50%"
"07/30/2021","40,100.0","40,050.0","40,200.0","39,800.0","80.70K","0.25%"
"08/02/2021","40,000.0","40,100.0","40,500.0","39,850.0","62.50K","-0.25%"
"08/03/2021","40,300.0","40,000.0","40,500.0","39,850.0","40.60K","0.75%"
"08/04/2021","43,100.0","41,000.0","43,100.0","40,900.0","1.11M","6.95%"
"08/05/2021","43,750.0","43,200.0","44,500.0","43,200.0","858.90K","1.51%"
"08/06/2021","43,200.0","43,000.0","43,300.0","42,600.0","382.70K","-1.26%"
"08/09/2021","42,400.0","42,700.0","42,850.0","41,900.0","278.70K","-1.85%"
"08/10/2021","41,500.0","42,400.0","42,750.0","41,200.0","328.20K","-2.12%"
"08/11/2021","42,400.0","41,500.0","42,500.0","40,200.0","215.10K","2.17%"
"08/12/2021","41,350.0","42,800.0","42,800.0","41,350.0","126.00K","-2.48%"
"08/13/2021","41,300.0","41,300.0","41,800.0","40,300.0","173.70K","-0.12%"
"08/16/2021","44,150.0","41,350.0","44,150.0","41,350.0","1.22M","6.90%"
"08/17/2021","46,750.0","46,000.0","47,150.0","45,900.0","1.70M","5.89%"
"08/18/2021","45,900.0","46,750.0","46,950.0","45,750.0","645.10K","-1.82%"
"08/19/2021","47,500.0","45,800.0","48,900.0","44,850.0","1.10M","3.49%"
"08/20/2021","45,050.0","47,550.0","48,100.0","44,500.0","1.32M","-5.16%"
"08/23/2021","44,600.0","45,050.0","45,900.0","44,300.0","559.10K","-1.00%"
"08/24/2021","42,600.0","44,200.0","45,400.0","42,000.0","442.60K","-4.48%"
"08/25/2021","41,000.0","41,600.0","42,600.0","40,000.0","528.90K","-3.76%"
"08/26/2021","41,500.0","42,000.0","42,300.0","40,600.0","404.40K","1.22%"
"08/27/2021","43,700.0","41,100.0","44,000.0","40,500.0","455.80K","5.30%"
"08/30/2021","44,500.0","44,400.0","45,500.0","44,300.0","750.40K","1.83%"
"08/31/2021","43,600.0","45,500.0","45,500.0","43,000.0","502.80K","-2.02%"
"09/01/2021","42,550.0","42,900.0","43,000.0","42,500.0","415.40K","-2.41%"
"09/06/2021","43,500.0","41,800.0","43,500.0","41,250.0","482.80K","2.23%"
"09/07/2021","41,800.0","43,000.0","43,200.0","41,700.0","264.10K","-3.91%"
"09/08/2021","40,800.0","41,800.0","42,300.0","40,800.0","282.00K","-2.39%"
"09/09/2021","40,900.0","41,000.0","41,500.0","40,600.0","310.70K","0.25%"
"09/10/2021","40,900.0","40,900.0","41,500.0","40,800.0","134.60K","0.00%"
"09/13/2021","40,000.0","40,900.0","41,000.0","40,000.0","301.30K","-2.20%"
"09/14/2021","38,800.0","39,500.0","40,000.0","38,000.0","509.10K","-3.00%"
"09/15/2021","39,700.0","38,200.0","40,100.0","38,100.0","132.20K","2.32%"
"09/16/2021","39,500.0","40,000.0","40,000.0","39,150.0","123.30K","-0.50%"
"09/17/2021","39,000.0","38,550.0","39,500.0","38,550.0","159.80K","-1.27%"
"09/20/2021","38,450.0","39,000.0","39,000.0","38,000.0","246.70K","-1.41%"
