"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","38,104.0","37,554.4","38,424.6","37,554.4","2.11M","1.96%"
"07/02/2021","38,104.0","38,104.0","38,470.4","37,966.6","1.01M","0.00%"
"07/05/2021","38,333.0","38,195.6","38,791.0","37,783.4","1.33M","0.60%"
"07/06/2021","35,722.5","38,928.4","39,249.0","35,722.5","3.24M","-6.81%"
"07/07/2021","38,195.6","36,409.5","38,195.6","35,951.5","3.50M","6.92%"
"07/08/2021","38,241.4","38,653.6","38,928.4","38,012.4","2.15M","0.12%"
"07/09/2021","40,256.5","38,195.6","40,806.1","38,012.4","4.64M","5.27%"
"07/12/2021","37,646.0","40,027.5","40,027.5","37,462.9","7.42M","-6.48%"
"07/13/2021","37,096.5","38,012.4","38,424.6","36,226.3","3.36M","-1.46%"
"07/14/2021","35,722.5","37,050.7","37,554.4","35,264.5","3.57M","-3.70%"
"07/15/2021","37,004.9","35,081.4","37,142.3","34,989.8","2.21M","3.59%"
"07/16/2021","37,600.2","37,096.5","38,195.6","37,004.9","1.87M","1.61%"
"07/19/2021","36,317.9","36,638.5","37,325.5","36,180.5","2.26M","-3.41%"
"07/20/2021","37,279.7","36,867.5","37,325.5","36,043.1","1.64M","2.65%"
"07/21/2021","37,554.4","37,966.6","37,966.6","37,325.5","1.57M","0.74%"
"07/22/2021","39,569.6","37,829.2","39,752.8","37,829.2","5.27M","5.37%"
"07/23/2021","42,317.5","39,615.4","42,317.5","39,386.4","11.64M","6.94%"
"07/26/2021","44,195.2","42,225.9","45,111.1","42,180.1","3.68M","4.44%"
"07/27/2021","42,592.2","44,653.2","44,653.2","42,134.3","3.66M","-3.63%"
"07/28/2021","42,912.8","42,134.3","43,599.8","41,767.9","2.96M","0.75%"
"07/29/2021","43,966.2","43,096.0","44,286.8","42,638.0","2.16M","2.45%"
"07/30/2021","43,737.2","43,966.2","43,966.2","43,233.4","2.04M","-0.52%"
"08/02/2021","44,470.0","43,737.2","45,340.1","43,508.2","4.06M","1.68%"
"08/03/2021","44,378.4","44,744.8","44,744.8","43,737.2","2.65M","-0.21%"
"08/04/2021","45,569.1","44,470.0","45,798.1","44,470.0","2.95M","2.68%"
"08/05/2021","45,614.9","44,973.7","45,889.7","44,973.7","1.40M","0.10%"
"08/06/2021","44,790.5","45,340.1","45,431.7","44,790.5","2.49M","-1.81%"
"08/09/2021","45,111.1","44,424.2","45,340.1","44,195.2","1.90M","0.72%"
"08/10/2021","46,576.7","45,248.5","46,714.1","44,882.1","3.63M","3.25%"
"08/11/2021","45,614.9","46,576.7","47,172.1","45,614.9","1.78M","-2.06%"
"08/12/2021","45,111.1","45,340.1","45,752.3","45,019.5","2.35M","-1.10%"
"08/13/2021","44,882.1","44,790.5","44,927.9","43,279.2","5.75M","-0.51%"
"08/16/2021","45,660.7","45,523.3","45,706.5","44,882.1","1.94M","1.73%"
"08/17/2021","46,668.3","45,569.1","47,172.1","45,340.1","2.97M","2.21%"
"08/18/2021","48,088.0","46,668.3","48,362.8","46,668.3","3.30M","3.04%"
"08/19/2021","49,828.3","48,133.8","50,332.1","48,133.8","3.31M","3.62%"
"08/20/2021","49,233.0","49,965.7","50,103.1","47,630.0","4.29M","-1.19%"
"08/23/2021","49,965.7","48,088.0","50,332.1","48,088.0","2.26M","1.49%"
"08/24/2021","49,233.0","49,462.0","49,599.4","48,088.0","2.80M","-1.47%"
"08/25/2021","49,416.2","49,233.0","49,919.9","48,546.0","1.10M","0.37%"
"08/26/2021","50,698.5","49,416.2","51,293.9","49,233.0","2.27M","2.59%"
"08/27/2021","51,202.3","50,835.9","51,706.1","49,919.9","1.54M","0.99%"
"08/30/2021","52,667.8","51,202.3","52,667.8","51,202.3","1.72M","2.86%"
"08/31/2021","54,041.8","53,125.8","54,499.7","53,034.2","2.25M","2.61%"
"09/01/2021","53,675.4","53,996.0","54,499.7","53,446.4","1.54M","-0.68%"
"09/06/2021","53,125.8","53,675.4","53,675.4","52,713.6","1.80M","-1.02%"
"09/07/2021","52,530.4","52,667.8","52,942.6","51,843.5","2.69M","-1.12%"
"09/08/2021","53,125.8","52,072.4","53,492.2","52,072.4","937.88K","1.13%"
"09/09/2021","52,942.6","53,125.8","53,217.4","52,805.2","660.77K","-0.34%"
"09/10/2021","53,721.2","53,309.0","54,041.8","53,034.2","931.58K","1.47%"
"09/13/2021","57,476.6","54,041.8","57,476.6","54,041.8","4.22M","6.99%"
"09/14/2021","58,530.0","58,438.4","59,217.0","57,934.6","2.04M","1.83%"
"09/15/2021","58,896.4","58,621.6","58,988.0","58,392.6","2.32M","0.63%"
"09/16/2021","60,774.1","59,537.5","61,415.3","59,217.0","2.29M","3.19%"
"09/17/2021","64,987.5","62,697.6","64,987.5","61,781.6","4.37M","6.93%"
"09/20/2021","67,552.2","68,697.2","69,521.5","66,865.2","3.46M","3.95%"
"09/21/2021","71,765.6","66,178.3","72,132.0","66,178.3","3.04M","6.24%"
"09/22/2021","76,757.6","73,735.0","76,757.6","73,735.0","2.10M","6.96%"
"09/23/2021","71,399.2","80,146.7","81,749.6","71,399.2","7.63M","-6.98%"
"09/24/2021","67,781.2","68,697.2","70,071.1","67,323.2","5.00M","-5.07%"
"09/27/2021","67,872.8","67,369.0","70,666.5","67,369.0","2.33M","0.14%"
"09/28/2021","69,613.1","67,872.8","69,613.1","67,369.0","1.41M","2.56%"
"09/29/2021","65,537.1","69,155.1","69,155.1","65,537.1","3.64M","-5.86%"
"09/30/2021","69,109.3","65,582.9","69,613.1","65,582.9","1.80M","5.45%"
"10/01/2021","72,773.2","67,827.0","73,689.2","67,827.0","3.16M","5.30%"
"10/04/2021","70,483.3","73,506.0","74,879.9","70,071.1","2.11M","-3.15%"
"10/05/2021","69,658.9","70,437.5","71,719.8","69,521.5","1.59M","-1.17%"
"10/06/2021","68,468.2","70,025.3","70,025.3","67,369.0","2.37M","-1.71%"
