"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","35,639","35,584","36,380","35,529","891.00K","0.15%"
"07/02/2021","36,216","35,666","36,463","35,172","808.20K","1.62%"
"07/05/2021","37,616","36,408","37,616","36,216","1.33M","3.87%"
"07/06/2021","35,008","37,643","38,440","35,008","1.22M","-6.93%"
"07/07/2021","36,930","35,145","37,067","33,827","1.43M","5.49%"
"07/08/2021","39,401","37,808","39,510","37,094","3.54M","6.69%"
"07/09/2021","39,785","40,636","40,911","38,742","1.89M","0.98%"
"07/12/2021","37,890","38,742","39,812","37,012","2.07M","-4.76%"
"07/13/2021","36,984","38,220","38,577","36,518","1.53M","-2.39%"
"07/14/2021","35,557","36,710","37,067","34,541","1.85M","-3.86%"
"07/15/2021","36,380","35,529","36,518","34,870","716.04K","2.32%"
"07/16/2021","35,749","36,271","36,655","35,145","790.56K","-1.74%"
"07/19/2021","34,047","34,321","35,419","33,854","1.79M","-4.76%"
"07/20/2021","34,541","34,870","34,870","33,854","1.37M","1.45%"
"07/21/2021","36,957","34,870","36,957","34,870","993.24K","7.00%"
"07/22/2021","38,824","38,330","39,208","38,028","1.68M","5.05%"
"07/23/2021","37,890","38,824","39,346","37,890","1.10M","-2.40%"
"07/26/2021","40,169","37,890","40,499","37,616","1.85M","6.01%"
"07/27/2021","40,087","40,581","40,581","39,867","932.04K","-0.21%"
"07/28/2021","38,577","40,087","40,087","38,495","1.16M","-3.77%"
"07/29/2021","40,417","38,467","40,417","38,467","1.32M","4.77%"
"07/30/2021","40,856","41,048","41,185","40,334","1.25M","1.09%"
"08/02/2021","41,048","40,801","42,009","39,812","2.61M","0.47%"
"08/03/2021","43,107","41,185","43,107","41,185","1.71M","5.02%"
"08/04/2021","43,272","43,437","44,755","42,833","979.20K","0.38%"
"08/05/2021","42,558","43,299","43,656","42,229","1.52M","-1.65%"
"08/06/2021","42,558","42,558","43,931","42,558","1.02M","0.00%"
"08/09/2021","43,821","42,586","44,480","42,284","1.10M","2.97%"
"08/10/2021","44,727","46,128","46,128","44,453","1.55M","2.07%"
"08/11/2021","45,029","45,578","45,578","44,755","1.16M","0.68%"
"08/12/2021","43,821","43,931","45,304","43,821","1.42M","-2.68%"
