"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","92,688.0","92,591.0","93,269.0","92,591.0","9.90K","0.10%"
"07/02/2021","91,138.0","92,978.0","92,978.0","91,138.0","55.10K","-1.67%"
"07/05/2021","91,526.0","92,494.0","92,494.0","91,235.0","6.90K","0.43%"
"07/06/2021","91,816.0","91,816.0","92,010.0","91,526.0","26.20K","0.32%"
"07/07/2021","91,526.0","91,816.0","92,010.0","91,138.0","11.20K","-0.32%"
"07/08/2021","90,944.0","91,235.0","91,235.0","90,944.0","12.30K","-0.64%"
"07/09/2021","90,363.0","90,654.0","91,526.0","90,363.0","11.50K","-0.64%"
"07/12/2021","89,104.0","90,363.0","90,363.0","87,167.0","35.00K","-1.39%"
"07/13/2021","90,944.0","87,264.0","91,041.0","87,264.0","3.20K","2.07%"
"07/14/2021","89,201.0","91,526.0","91,526.0","89,104.0","4.60K","-1.92%"
"07/15/2021","89,104.0","89,104.0","90,848.0","87,167.0","13.20K","-0.11%"
"07/16/2021","89,104.0","90,751.0","90,751.0","89,104.0","1.90K","0.00%"
"07/19/2021","90,944.0","89,589.0","91,041.0","89,104.0","23.80K","2.07%"
"07/20/2021","90,073.0","90,751.0","92,010.0","89,201.0","14.30K","-0.96%"
"07/21/2021","90,073.0","90,557.0","90,751.0","90,073.0","63.80K","0.00%"
"07/22/2021","90,557.0","90,267.0","91,041.0","89,298.0","5.60K","0.54%"
"07/23/2021","89,879.0","89,782.0","90,557.0","89,782.0","4.90K","-0.75%"
"07/26/2021","91,913.0","89,879.0","92,010.0","89,395.0","17.10K","2.26%"
"07/27/2021","91,041.0","90,170.0","91,138.0","90,170.0","1.80K","-0.95%"
"07/28/2021","90,557.0","91,138.0","91,138.0","90,460.0","4.00K","-0.53%"
"07/29/2021","91,138.0","90,267.0","91,138.0","90,267.0","5.80K","0.64%"
"07/30/2021","90,654.0","90,170.0","91,041.0","90,170.0","4.20K","-0.53%"
"08/02/2021","90,944.0","90,654.0","91,526.0","90,170.0","4.60K","0.32%"
"08/03/2021","90,848.0","91,041.0","91,138.0","90,267.0","2.40K","-0.11%"
"08/04/2021","92,010.0","91,041.0","92,494.0","91,041.0","24.10K","1.28%"
"08/05/2021","91,913.0","92,010.0","92,107.0","91,041.0","1.50K","-0.11%"
"08/06/2021","92,591.0","92,785.0","92,785.0","90,073.0","21.10K","0.74%"
"08/09/2021","91,332.0","91,041.0","91,332.0","91,041.0","2.40K","-1.36%"
"08/10/2021","91,816.0","91,913.0","92,010.0","91,138.0","5.50K","0.53%"
