"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","10,600.0","10,350.0","10,600.0","10,350.0","275.10K","1.92%"
"07/02/2021","10,500.0","10,650.0","10,850.0","10,500.0","238.30K","-0.94%"
"07/05/2021","10,650.0","10,550.0","10,700.0","10,550.0","630.60K","1.43%"
"07/06/2021","10,700.0","10,650.0","10,800.0","10,650.0","269.00K","0.47%"
"07/07/2021","10,700.0","10,650.0","10,950.0","10,600.0","665.40K","0.00%"
"07/08/2021","10,600.0","10,650.0","10,750.0","10,550.0","185.30K","-0.93%"
"07/09/2021","10,450.0","10,600.0","10,600.0","10,250.0","661.50K","-1.42%"
"07/12/2021","10,200.0","10,450.0","10,450.0","9,990.0","218.30K","-2.39%"
"07/13/2021","10,850.0","10,200.0","10,900.0","10,200.0","913.00K","6.37%"
"07/14/2021","10,900.0","10,700.0","11,050.0","10,700.0","491.70K","0.46%"
"07/15/2021","11,100.0","10,800.0","11,300.0","10,800.0","521.00K","1.83%"
"07/16/2021","11,100.0","11,100.0","11,250.0","11,000.0","471.60K","0.00%"
"07/19/2021","11,050.0","11,050.0","11,050.0","10,850.0","464.90K","-0.45%"
"07/20/2021","11,100.0","10,800.0","11,200.0","10,800.0","469.50K","0.45%"
"07/21/2021","11,100.0","11,100.0","11,250.0","11,050.0","388.70K","0.00%"
"07/22/2021","11,500.0","11,100.0","11,550.0","10,350.0","481.00K","3.60%"
"07/23/2021","11,600.0","11,500.0","11,700.0","11,250.0","256.30K","0.87%"
"07/26/2021","11,700.0","11,500.0","11,750.0","11,300.0","596.80K","0.86%"
"07/27/2021","11,550.0","11,700.0","11,700.0","11,150.0","304.10K","-1.28%"
"07/28/2021","11,600.0","11,500.0","11,700.0","11,350.0","617.50K","0.43%"
"07/29/2021","11,850.0","11,650.0","12,000.0","11,600.0","293.30K","2.16%"
"07/30/2021","11,800.0","11,850.0","12,000.0","11,800.0","256.00K","-0.42%"
"08/02/2021","11,700.0","11,800.0","11,900.0","11,650.0","722.50K","-0.85%"
"08/03/2021","11,400.0","11,500.0","11,900.0","11,050.0","410.20K","-2.56%"
"08/04/2021","11,600.0","11,100.0","12,000.0","11,050.0","447.60K","1.75%"
"08/05/2021","11,450.0","11,500.0","11,850.0","11,450.0","462.60K","-1.29%"
