"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","3,520.00","3,350.00","3,520.00","3,350.00","6.61M","3.23%"
"07/02/2021","3,440.00","3,520.00","3,520.00","3,400.00","4.97M","-2.27%"
"07/05/2021","3,270.00","3,410.00","3,420.00","3,210.00","10.98M","-4.94%"
"07/06/2021","3,050.00","3,290.00","3,350.00","3,050.00","5.08M","-6.73%"
"07/07/2021","3,040.00","2,990.00","3,060.00","2,910.00","8.30M","-0.33%"
"07/08/2021","3,150.00","3,000.00","3,170.00","2,960.00","5.61M","3.62%"
"07/09/2021","3,010.00","3,110.00","3,120.00","2,980.00","3.29M","-4.44%"
"07/12/2021","2,800.00","2,950.00","2,980.00","2,800.00","9.28M","-6.98%"
"07/13/2021","2,990.00","2,630.00","2,990.00","2,630.00","9.80M","6.79%"
"07/14/2021","2,990.00","3,090.00","3,120.00","2,900.00","5.19M","0.00%"
"07/15/2021","3,000.00","2,950.00","3,050.00","2,920.00","2.20M","0.33%"
"07/16/2021","3,000.00","2,980.00","3,000.00","2,920.00","3.84M","0.00%"
"07/19/2021","2,790.00","2,850.00","2,900.00","2,790.00","6.97M","-7.00%"
"07/20/2021","2,890.00","2,790.00","2,940.00","2,650.00","3.84M","3.58%"
"07/21/2021","2,850.00","2,920.00","2,920.00","2,850.00","1.67M","-1.38%"
"07/22/2021","2,900.00","2,820.00","2,950.00","2,790.00","2.61M","1.75%"
"07/23/2021","2,880.00","2,900.00","2,920.00","2,850.00","2.53M","-0.69%"
"07/26/2021","2,870.00","2,850.00","2,880.00","2,820.00","2.33M","-0.35%"
"07/27/2021","2,890.00","2,890.00","2,940.00","2,870.00","2.86M","0.70%"
"07/28/2021","2,880.00","2,890.00","2,910.00","2,850.00","1.47M","-0.35%"
"07/29/2021","2,900.00","2,880.00","2,900.00","2,860.00","1.73M","0.69%"
"07/30/2021","2,910.00","2,900.00","2,950.00","2,870.00","3.01M","0.34%"
"08/02/2021","3,000.00","2,960.00","3,100.00","2,940.00","7.25M","3.09%"
"08/03/2021","3,060.00","3,050.00","3,150.00","3,010.00","5.88M","2.00%"
"08/04/2021","3,100.00","3,100.00","3,140.00","3,050.00","4.39M","1.31%"
"08/05/2021","3,310.00","3,100.00","3,310.00","3,010.00","12.15M","6.77%"
"08/06/2021","3,240.00","3,400.00","3,490.00","3,210.00","9.55M","-2.11%"
"08/09/2021","3,250.00","3,200.00","3,280.00","3,160.00","5.17M","0.31%"
"08/10/2021","3,220.00","3,230.00","3,330.00","3,170.00","8.25M","-0.92%"
"08/11/2021","3,160.00","3,170.00","3,300.00","3,160.00","8.09M","-1.86%"
"08/12/2021","3,230.00","3,170.00","3,310.00","3,130.00","8.98M","2.22%"
"08/13/2021","3,240.00","3,230.00","3,280.00","3,150.00","5.68M","0.31%"
"08/16/2021","3,190.00","3,240.00","3,300.00","3,190.00","6.92M","-1.54%"
"08/17/2021","3,300.00","3,190.00","3,400.00","3,170.00","11.85M","3.45%"
"08/18/2021","3,240.00","3,300.00","3,370.00","3,200.00","5.52M","-1.82%"
"08/19/2021","3,210.00","3,240.00","3,280.00","3,180.00","5.36M","-0.93%"
"08/20/2021","3,030.00","3,200.00","3,320.00","3,000.00","11.96M","-5.61%"
"08/23/2021","3,030.00","3,010.00","3,100.00","2,990.00","6.11M","0.00%"
"08/24/2021","2,950.00","3,040.00","3,060.00","2,950.00","5.53M","-2.64%"
"08/25/2021","2,950.00","2,950.00","2,990.00","2,910.00","5.46M","0.00%"
"08/26/2021","2,960.00","2,950.00","3,030.00","2,940.00","3.66M","0.34%"
"08/27/2021","3,020.00","2,960.00","3,040.00","2,950.00","3.43M","2.03%"
"08/30/2021","3,110.00","3,050.00","3,150.00","3,010.00","4.62M","2.98%"
"08/31/2021","3,150.00","3,120.00","3,250.00","3,060.00","7.80M","1.29%"
"09/01/2021","3,140.00","3,140.00","3,200.00","3,130.00","3.33M","-0.32%"
"09/06/2021","3,350.00","3,160.00","3,350.00","3,160.00","11.91M","6.69%"
"09/07/2021","3,160.00","3,440.00","3,440.00","3,150.00","10.93M","-5.67%"
"09/08/2021","3,140.00","3,160.00","3,240.00","3,110.00","5.82M","-0.63%"
"09/09/2021","3,180.00","3,100.00","3,180.00","3,090.00","5.71M","1.27%"
"09/10/2021","3,170.00","3,190.00","3,240.00","3,130.00","5.34M","-0.31%"
"09/13/2021","3,260.00","3,170.00","3,320.00","3,170.00","9.56M","2.84%"
