"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","47,179.0","47,270.0","47,361.0","46,905.0","25.60K","0.39%"
"07/02/2021","46,905.0","46,905.0","47,179.0","46,905.0","28.50K","-0.58%"
"07/05/2021","46,358.0","46,449.0","46,540.0","45,628.0","42.80K","-1.17%"
"07/06/2021","44,715.0","45,445.0","46,175.0","44,715.0","69.50K","-3.54%"
"07/07/2021","43,985.0","44,715.0","44,715.0","42,981.0","26.60K","-1.63%"
"07/08/2021","43,985.0","43,985.0","44,168.0","43,985.0","37.60K","0.00%"
"07/09/2021","43,437.0","43,985.0","43,985.0","43,437.0","13.60K","-1.25%"
"07/12/2021","42,206.0","43,072.0","43,346.0","42,160.0","21.00K","-2.83%"
"07/13/2021","42,342.0","41,795.0","42,616.0","41,795.0","16.70K","0.32%"
"07/14/2021","42,160.0","41,977.0","42,616.0","41,977.0","21.00K","-0.43%"
"07/15/2021","42,844.0","42,160.0","42,844.0","42,160.0","23.00K","1.62%"
"07/16/2021","43,164.0","42,844.0","43,711.0","42,844.0","17.00K","0.75%"
"07/19/2021","45,810.0","42,890.0","46,175.0","42,890.0","120.00K","6.13%"
"07/20/2021","44,259.0","45,628.0","45,719.0","43,894.0","31.40K","-3.39%"
"07/21/2021","44,806.0","44,441.0","45,034.0","44,441.0","7.30K","1.24%"
"07/22/2021","44,168.0","44,259.0","44,715.0","43,620.0","37.50K","-1.42%"
"07/23/2021","43,894.0","44,122.0","44,259.0","43,711.0","43.40K","-0.62%"
"07/26/2021","44,031.0","43,894.0","44,031.0","43,620.0","22.30K","0.31%"
"07/27/2021","44,168.0","44,031.0","44,168.0","43,666.0","31.20K","0.31%"
"07/28/2021","43,894.0","44,031.0","44,031.0","43,802.0","11.40K","-0.62%"
"07/29/2021","43,894.0","43,894.0","44,076.0","43,802.0","20.80K","0.00%"
"07/30/2021","44,213.0","43,894.0","44,213.0","43,894.0","19.30K","0.73%"
"08/02/2021","44,533.0","44,168.0","44,578.0","43,802.0","41.30K","0.72%"
"08/03/2021","44,533.0","45,719.0","45,719.0","44,259.0","8.80K","0.00%"
"08/04/2021","44,168.0","44,533.0","44,533.0","43,894.0","10.60K","-0.82%"
"08/05/2021","43,848.0","44,168.0","44,168.0","43,802.0","21.70K","-0.72%"
"08/06/2021","43,939.0","43,985.0","44,122.0","43,848.0","25.80K","0.21%"
"08/09/2021","45,126.0","43,985.0","45,126.0","43,939.0","27.50K","2.70%"
"08/10/2021","44,715.0","45,080.0","45,080.0","44,533.0","16.90K","-0.91%"
"08/11/2021","44,441.0","44,350.0","44,898.0","43,985.0","13.00K","-0.61%"
"08/12/2021","44,715.0","44,441.0","44,715.0","44,350.0","18.60K","0.62%"
"08/13/2021","45,628.0","44,715.0","45,628.0","44,533.0","36.10K","2.04%"
"08/16/2021","46,996.0","45,628.0","47,270.0","45,628.0","71.50K","3.00%"
"08/17/2021","48,365.0","47,270.0","48,913.0","47,179.0","77.90K","2.91%"
"08/18/2021","47,726.0","48,730.0","48,822.0","47,361.0","35.70K","-1.32%"
"08/19/2021","49,278.0","47,726.0","49,917.0","47,726.0","72.50K","3.25%"
"08/20/2021","47,909.0","49,095.0","49,095.0","46,540.0","41.00K","-2.78%"
"08/23/2021","47,909.0","49,643.0","49,643.0","46,540.0","25.10K","0.00%"
"08/24/2021","47,270.0","48,822.0","48,822.0","47,088.0","46.50K","-1.33%"
"08/25/2021","47,544.0","47,088.0","48,365.0","47,088.0","32.10K","0.58%"
"08/26/2021","48,365.0","47,635.0","48,913.0","47,544.0","111.10K","1.73%"
"08/27/2021","51,742.0","48,365.0","51,742.0","48,365.0","679.00K","6.98%"
"08/30/2021","55,301.0","55,301.0","55,301.0","55,301.0","111.50K","6.88%"
"08/31/2021","57,308.0","59,133.0","59,133.0","56,852.0","355.90K","3.63%"
