"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","58,718.0","57,857.0","58,814.0","57,857.0","138.00K","1.49%"
"07/02/2021","61,874.0","59,196.0","61,874.0","59,196.0","199.40K","5.37%"
"07/05/2021","63,309.0","64,552.0","64,552.0","62,830.0","186.80K","2.32%"
"07/06/2021","59,388.0","63,978.0","63,978.0","59,388.0","121.80K","-6.19%"
"07/07/2021","61,970.0","58,814.0","62,161.0","57,379.0","181.00K","4.35%"
"07/08/2021","60,248.0","61,683.0","61,970.0","59,292.0","93.00K","-2.78%"
"07/09/2021","58,909.0","58,814.0","60,440.0","58,718.0","206.00K","-2.22%"
"07/12/2021","57,762.0","58,527.0","58,527.0","56,136.0","384.10K","-1.95%"
"07/13/2021","59,292.0","58,049.0","59,292.0","57,953.0","49.50K","2.65%"
"07/14/2021","56,997.0","58,718.0","58,814.0","56,997.0","163.00K","-3.87%"
"07/15/2021","59,101.0","57,379.0","59,196.0","56,997.0","101.40K","3.69%"
"07/16/2021","58,049.0","59,101.0","59,101.0","57,379.0","260.50K","-1.78%"
"07/19/2021","56,901.0","56,614.0","58,623.0","56,614.0","163.70K","-1.98%"
"07/20/2021","58,814.0","58,144.0","58,814.0","57,092.0","147.00K","3.36%"
"07/21/2021","58,144.0","58,814.0","58,814.0","57,666.0","57.20K","-1.14%"
"07/22/2021","57,857.0","58,144.0","58,240.0","57,762.0","124.80K","-0.49%"
"07/23/2021","57,762.0","57,857.0","58,336.0","57,762.0","137.90K","-0.16%"
"07/26/2021","57,379.0","57,379.0","57,857.0","56,901.0","43.20K","-0.66%"
"07/27/2021","57,762.0","57,475.0","57,857.0","57,188.0","50.10K","0.67%"
"07/28/2021","57,379.0","57,379.0","57,857.0","56,901.0","186.80K","-0.66%"
"07/29/2021","57,674.0","58,066.0","58,066.0","56,987.0","72.60K","0.51%"
"07/30/2021","57,183.0","57,183.0","57,575.0","56,889.0","46.90K","-0.85%"
"08/02/2021","57,085.0","57,085.0","57,575.0","56,104.0","105.90K","-0.17%"
"08/03/2021","56,398.0","56,693.0","57,379.0","56,398.0","86.80K","-1.20%"
"08/04/2021","57,085.0","56,300.0","57,477.0","56,104.0","136.00K","1.22%"
"08/05/2021","56,791.0","57,085.0","57,281.0","56,202.0","70.10K","-0.52%"
"08/06/2021","56,398.0","56,791.0","56,791.0","56,202.0","69.80K","-0.69%"
"08/09/2021","57,477.0","56,202.0","57,575.0","56,202.0","63.30K","1.91%"
"08/10/2021","56,889.0","57,575.0","58,066.0","56,889.0","90.70K","-1.02%"
"08/11/2021","57,085.0","56,889.0","57,674.0","56,497.0","154.80K","0.34%"
"08/12/2021","56,987.0","57,085.0","57,183.0","56,791.0","83.30K","-0.17%"
"08/13/2021","57,281.0","56,987.0","57,379.0","56,497.0","133.70K","0.52%"
"08/16/2021","61,107.0","57,968.0","61,205.0","57,870.0","437.40K","6.68%"
"08/17/2021","59,831.0","61,205.0","61,205.0","59,341.0","249.70K","-2.09%"
"08/18/2021","60,420.0","59,341.0","60,910.0","59,243.0","146.40K","0.98%"
"08/19/2021","62,774.0","60,224.0","63,068.0","60,224.0","321.60K","3.90%"
"08/20/2021","61,597.0","62,676.0","62,676.0","61,401.0","299.30K","-1.87%"
"08/23/2021","60,322.0","61,303.0","61,695.0","60,322.0","239.90K","-2.07%"
"08/24/2021","57,968.0","59,831.0","60,028.0","57,379.0","414.80K","-3.90%"
"08/25/2021","60,812.0","58,654.0","60,812.0","57,870.0","120.70K","4.91%"
"08/26/2021","60,812.0","60,224.0","61,597.0","60,028.0","264.30K","0.00%"
"08/27/2021","62,774.0","60,812.0","62,774.0","59,930.0","135.30K","3.23%"
"08/30/2021","65,226.0","62,872.0","65,226.0","61,793.0","603.20K","3.91%"
"08/31/2021","66,992.0","64,736.0","67,678.0","63,951.0","519.20K","2.71%"
"09/01/2021","68,463.0","66,697.0","69,248.0","66,599.0","523.80K","2.20%"
"09/06/2021","67,678.0","67,678.0","69,444.0","67,188.0","220.70K","-1.15%"
"09/07/2021","66,893.0","67,482.0","67,776.0","66,207.0","247.60K","-1.16%"
"09/08/2021","66,697.0","66,893.0","67,678.0","66,011.0","161.50K","-0.29%"
"09/09/2021","67,188.0","66,992.0","68,071.0","66,599.0","223.90K","0.74%"
"09/10/2021","69,738.0","67,678.0","70,228.0","66,893.0","585.70K","3.80%"
"09/13/2021","69,149.0","69,934.0","71,602.0","68,365.0","377.40K","-0.84%"
"09/14/2021","69,640.0","69,640.0","69,640.0","68,267.0","228.30K","0.71%"
"09/15/2021","69,149.0","68,365.0","70,032.0","68,365.0","126.80K","-0.71%"
"09/16/2021","68,659.0","68,365.0","69,248.0","68,267.0","188.30K","-0.71%"
"09/17/2021","68,267.0","68,855.0","69,149.0","68,267.0","126.70K","-0.57%"
"09/20/2021","66,501.0","68,267.0","68,365.0","66,403.0","249.70K","-2.59%"
"09/21/2021","66,109.0","65,913.0","66,207.0","64,932.0","300.30K","-0.59%"
"09/22/2021","67,384.0","64,245.0","68,169.0","64,245.0","97.40K","1.93%"
"09/23/2021","66,697.0","67,874.0","67,874.0","65,716.0","101.50K","-1.02%"
"09/24/2021","65,618.0","65,716.0","66,697.0","65,422.0","196.20K","-1.62%"
"09/27/2021","65,128.0","65,618.0","66,599.0","64,834.0","154.60K","-0.75%"
"09/28/2021","67,384.0","65,226.0","67,384.0","65,226.0","189.20K","3.46%"
"09/29/2021","68,169.0","67,090.0","68,169.0","67,090.0","140.60K","1.16%"
"09/30/2021","67,482.0","68,365.0","68,365.0","67,286.0","45.10K","-1.01%"
"10/01/2021","70,228.0","67,874.0","70,621.0","67,482.0","922.50K","4.07%"
"10/04/2021","69,738.0","70,228.0","71,209.0","69,346.0","329.50K","-0.70%"
"10/05/2021","70,228.0","70,719.0","70,817.0","69,738.0","205.90K","0.70%"
"10/06/2021","71,307.0","70,228.0","71,307.0","69,542.0","205.90K","1.54%"
"10/07/2021","71,013.0","71,307.0","71,307.0","70,425.0","330.90K","-0.41%"
"10/08/2021","70,425.0","70,817.0","71,111.0","70,425.0","211.10K","-0.83%"
"10/11/2021","70,621.0","70,130.0","71,013.0","70,130.0","165.80K","0.28%"
"10/12/2021","69,934.0","70,425.0","70,425.0","69,934.0","146.40K","-0.97%"
