"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","20,444.0","19,857.0","20,444.0","19,857.0","20.40K","1.95%"
"07/02/2021","20,101.0","20,444.0","20,444.0","20,052.0","25.40K","-1.68%"
"07/05/2021","19,857.0","20,248.0","20,248.0","19,563.0","43.70K","-1.21%"
"07/06/2021","19,368.0","19,857.0","19,857.0","19,368.0","55.30K","-2.46%"
"07/07/2021","19,172.0","19,270.0","19,368.0","18,879.0","44.60K","-1.01%"
"07/08/2021","19,172.0","19,172.0","19,270.0","18,976.0","31.50K","0.00%"
"07/09/2021","18,879.0","18,879.0","19,172.0","18,830.0","15.70K","-1.53%"
"07/12/2021","18,096.0","18,879.0","18,879.0","17,558.0","110.50K","-4.15%"
"07/13/2021","17,803.0","18,047.0","18,292.0","17,803.0","49.80K","-1.62%"
"07/14/2021","17,705.0","17,900.0","18,292.0","17,705.0","17.00K","-0.55%"
"07/15/2021","18,194.0","18,194.0","18,390.0","17,998.0","56.00K","2.76%"
"07/16/2021","17,998.0","18,194.0","18,292.0","17,998.0","11.60K","-1.08%"
"07/19/2021","17,900.0","17,900.0","17,998.0","17,216.0","13.10K","-0.54%"
"07/20/2021","17,803.0","17,803.0","17,803.0","17,167.0","17.60K","-0.54%"
"07/21/2021","17,803.0","17,803.0","18,194.0","17,607.0","19.10K","0.00%"
"07/22/2021","17,949.0","17,705.0","18,096.0","17,705.0","10.40K","0.82%"
"07/23/2021","17,998.0","18,341.0","18,341.0","17,949.0","9.70K","0.27%"
"07/26/2021","17,949.0","17,900.0","18,096.0","17,558.0","27.70K","-0.27%"
"07/27/2021","18,292.0","17,949.0","18,390.0","17,900.0","18.30K","1.91%"
"07/28/2021","18,145.0","18,292.0","18,487.0","17,900.0","16.60K","-0.80%"
"07/29/2021","18,243.0","18,194.0","18,683.0","18,145.0","95.50K","0.54%"
"07/30/2021","18,292.0","18,585.0","18,879.0","18,292.0","9.10K","0.27%"
"08/02/2021","19,563.0","18,390.0","19,563.0","18,390.0","98.00K","6.95%"
"08/03/2021","19,710.0","20,052.0","20,052.0","19,417.0","56.30K","0.75%"
"08/04/2021","19,466.0","19,368.0","19,661.0","19,319.0","22.90K","-1.24%"
"08/05/2021","19,368.0","19,417.0","19,417.0","18,487.0","34.60K","-0.50%"
"08/06/2021","19,074.0","19,368.0","19,417.0","19,074.0","5.40K","-1.52%"
"08/09/2021","19,074.0","18,634.0","19,074.0","18,096.0","39.60K","0.00%"
"08/10/2021","18,976.0","19,074.0","19,074.0","18,781.0","24.90K","-0.51%"
"08/11/2021","19,368.0","18,976.0","19,857.0","18,879.0","41.70K","2.07%"
"08/12/2021","19,368.0","19,661.0","19,661.0","19,270.0","21.00K","0.00%"
"08/13/2021","20,688.0","19,955.0","20,688.0","19,563.0","321.90K","6.82%"
"08/16/2021","22,107.0","22,107.0","22,107.0","22,009.0","120.90K","6.86%"
"08/17/2021","23,623.0","23,623.0","23,623.0","22,204.0","414.00K","6.86%"
"08/18/2021","22,693.0","23,867.0","23,867.0","22,547.0","161.90K","-3.94%"
"08/19/2021","22,400.0","22,498.0","22,498.0","21,715.0","152.20K","-1.29%"
"08/20/2021","21,715.0","22,155.0","22,987.0","21,324.0","142.90K","-3.06%"
"08/23/2021","20,639.0","21,324.0","21,324.0","20,541.0","95.60K","-4.96%"
"08/24/2021","21,031.0","20,541.0","21,031.0","20,541.0","41.70K","1.90%"
"08/25/2021","20,835.0","21,031.0","21,031.0","20,541.0","35.50K","-0.93%"
"08/26/2021","21,128.0","20,590.0","21,666.0","20,248.0","62.50K","1.41%"
"08/27/2021","21,031.0","21,128.0","21,226.0","19,759.0","43.70K","-0.46%"
"08/30/2021","21,666.0","21,031.0","21,715.0","21,031.0","30.60K","3.02%"
"08/31/2021","21,764.0","22,400.0","22,400.0","21,520.0","89.60K","0.45%"
"09/01/2021","21,715.0","21,715.0","21,813.0","21,520.0","39.40K","-0.23%"
"09/06/2021","22,204.0","21,324.0","22,596.0","21,324.0","93.00K","2.25%"
"09/07/2021","21,911.0","22,204.0","22,693.0","21,911.0","85.40K","-1.32%"
"09/08/2021","22,155.0","22,449.0","22,449.0","21,520.0","43.20K","1.11%"
"09/09/2021","23,378.0","21,911.0","23,623.0","21,911.0","166.10K","5.52%"
"09/10/2021","22,938.0","23,378.0","23,378.0","22,596.0","78.90K","-1.88%"
"09/13/2021","23,769.0","23,280.0","23,965.0","22,938.0","239.30K","3.62%"
"09/14/2021","23,476.0","23,965.0","23,965.0","23,085.0","75.50K","-1.23%"
"09/15/2021","23,231.0","23,476.0","23,623.0","22,547.0","58.10K","-1.04%"
"09/16/2021","23,085.0","22,987.0","23,231.0","22,791.0","110.10K","-0.63%"
"09/17/2021","23,085.0","22,742.0","23,280.0","22,742.0","64.50K","0.00%"
"09/20/2021","22,547.0","23,085.0","23,623.0","22,547.0","70.20K","-2.33%"
"09/21/2021","22,253.0","22,596.0","22,596.0","21,617.0","106.80K","-1.30%"
"09/22/2021","22,742.0","22,253.0","22,938.0","22,204.0","61.90K","2.20%"
"09/23/2021","22,400.0","22,938.0","22,987.0","22,351.0","41.30K","-1.50%"
"09/24/2021","22,800.0","22,850.0","23,200.0","22,500.0","96.60K","1.79%"
"09/27/2021","22,450.0","23,100.0","23,200.0","22,450.0","50.90K","-1.54%"
"09/28/2021","22,600.0","22,500.0","22,600.0","22,000.0","51.40K","0.67%"
"09/29/2021","22,500.0","22,500.0","22,600.0","22,450.0","28.30K","-0.44%"
"09/30/2021","22,850.0","22,500.0","22,900.0","22,250.0","44.70K","1.56%"
"10/01/2021","22,500.0","22,850.0","22,900.0","22,450.0","38.80K","-1.53%"
"10/04/2021","22,500.0","22,650.0","22,700.0","22,400.0","30.60K","0.00%"
"10/05/2021","22,650.0","22,600.0","22,800.0","22,400.0","30.30K","0.67%"
"10/06/2021","23,100.0","22,750.0","23,100.0","22,500.0","88.90K","1.99%"
