"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","29,955.6","28,677.8","30,476.1","28,393.9","5.37M","4.63%"
"07/02/2021","29,529.6","29,718.9","30,002.9","29,435.0","1.54M","-1.42%"
"07/05/2021","29,955.6","29,529.6","30,476.1","29,103.7","2.59M","1.44%"
"07/06/2021","27,873.3","29,955.6","30,476.1","27,873.3","3.63M","-6.95%"
"07/07/2021","27,447.4","27,636.7","28,109.9","26,501.0","2.60M","-1.53%"
"07/08/2021","26,406.3","27,447.4","27,494.7","26,311.7","4.26M","-3.79%"
"07/09/2021","26,027.7","26,122.4","26,926.9","25,933.1","2.27M","-1.43%"
"07/12/2021","25,365.2","26,027.7","26,311.7","24,466.1","2.77M","-2.55%"
"07/13/2021","25,933.1","25,696.5","26,027.7","25,365.2","1.29M","2.24%"
"07/14/2021","25,459.9","26,122.4","26,122.4","24,702.7","915.90K","-1.82%"
"07/15/2021","26,027.7","25,365.2","26,217.0","25,365.2","880.80K","2.23%"
"07/16/2021","26,548.3","26,075.1","26,974.2","25,933.1","1.72M","2.00%"
"07/19/2021","26,974.2","26,027.7","27,920.7","26,027.7","5.22M","1.60%"
"07/20/2021","27,163.5","27,163.5","27,636.7","26,690.3","1.11M","0.70%"
"07/21/2021","26,784.9","27,352.8","27,352.8","26,595.6","1.28M","-1.39%"
"07/22/2021","27,542.1","26,879.5","27,684.0","26,690.3","2.15M","2.83%"
"07/23/2021","27,068.8","27,589.4","28,251.9","27,068.8","2.79M","-1.72%"
"07/26/2021","28,015.3","26,974.2","28,109.9","26,926.9","2.63M","3.50%"
"07/27/2021","28,204.6","28,488.5","28,867.1","28,062.6","1.95M","0.68%"
"07/28/2021","27,826.0","27,920.7","28,393.9","27,636.7","1.49M","-1.34%"
"07/29/2021","27,968.0","27,826.0","28,157.3","27,731.4","1.29M","0.51%"
"07/30/2021","28,346.6","28,109.9","28,819.8","27,968.0","2.85M","1.35%"
"08/02/2021","29,245.7","28,204.6","29,766.3","28,062.6","4.39M","3.17%"
"08/03/2021","29,340.4","29,340.4","29,718.9","28,867.1","2.33M","0.32%"
"08/04/2021","29,293.0","29,435.0","29,624.3","28,914.4","2.13M","-0.16%"
"08/05/2021","31,327.9","29,293.0","31,327.9","29,009.1","6.94M","6.95%"
"08/06/2021","31,327.9","31,895.8","32,037.8","31,327.9","2.88M","0.00%"
"08/09/2021","32,274.4","31,233.3","32,558.3","31,044.0","2.46M","3.02%"
"08/10/2021","32,747.6","32,321.7","32,747.6","31,753.8","4.47M","1.47%"
"08/11/2021","31,611.9","32,794.9","33,694.1","31,611.9","4.13M","-3.47%"
"08/12/2021","31,848.5","31,422.6","32,605.6","31,422.6","2.45M","0.75%"
"08/13/2021","32,369.0","31,706.5","32,369.0","30,760.0","3.37M","1.63%"
"08/16/2021","32,842.3","32,605.6","34,025.3","32,463.7","3.92M","1.46%"
"08/17/2021","32,463.7","32,936.9","32,936.9","31,895.8","2.34M","-1.15%"
"08/18/2021","32,842.3","32,274.4","33,315.5","32,179.7","2.16M","1.17%"
"08/19/2021","33,457.5","32,842.3","33,552.1","32,653.0","2.63M","1.87%"
"08/20/2021","31,706.5","33,457.5","33,836.1","31,138.6","4.51M","-5.23%"
"08/23/2021","29,529.6","31,611.9","31,611.9","29,529.6","4.22M","-6.87%"
"08/24/2021","29,813.6","29,198.4","30,286.8","28,535.9","2.90M","0.96%"
"08/25/2021","30,570.8","29,908.2","30,570.8","29,529.6","1.22M","2.54%"
"08/26/2021","30,286.8","30,712.7","31,138.6","30,144.8","2.63M","-0.93%"
"08/27/2021","32,179.7","29,813.6","32,179.7","29,529.6","3.84M","6.25%"
"08/30/2021","32,747.6","32,321.7","32,889.6","31,895.8","2.84M","1.76%"
"08/31/2021","32,842.3","32,747.6","33,410.1","32,274.4","3.48M","0.29%"
"09/01/2021","34,356.6","32,653.0","34,545.9","32,274.4","4.36M","4.61%"
"09/06/2021","34,309.3","34,829.8","34,924.5","34,262.0","2.30M","-0.14%"
"09/07/2021","33,220.8","34,072.7","34,120.0","33,078.9","3.10M","-3.17%"
"09/08/2021","32,558.3","33,031.6","33,220.8","32,179.7","2.54M","-1.99%"
"09/09/2021","33,694.1","32,605.6","33,883.4","32,558.3","1.54M","3.49%"
"09/10/2021","33,315.5","33,788.7","33,788.7","33,126.2","1.17M","-1.12%"
"09/13/2021","32,936.9","33,126.2","34,072.7","32,653.0","1.81M","-1.14%"
"09/14/2021","32,463.7","32,653.0","33,315.5","32,321.7","1.36M","-1.44%"
"09/15/2021","32,936.9","32,321.7","33,126.2","32,085.1","1.58M","1.46%"
"09/16/2021","33,126.2","32,984.2","33,504.8","32,463.7","1.66M","0.57%"
"09/17/2021","33,126.2","33,504.8","33,599.4","32,889.6","1.87M","0.00%"
"09/20/2021","31,233.3","33,126.2","33,173.5","31,233.3","3.70M","-5.71%"
"09/21/2021","30,949.3","31,138.6","31,233.3","30,334.1","2.44M","-0.91%"
"09/22/2021","31,943.1","31,044.0","32,179.7","30,854.7","1.76M","3.21%"
"09/23/2021","31,422.6","32,085.1","32,274.4","31,327.9","1.31M","-1.63%"
"09/24/2021","30,760.0","31,422.6","31,706.5","30,760.0","1.60M","-2.11%"
"09/27/2021","29,435.0","30,902.0","30,902.0","29,340.4","2.44M","-4.31%"
"09/28/2021","29,766.3","29,340.4","30,050.2","28,961.8","1.30M","1.13%"
"09/29/2021","30,476.1","29,718.9","30,523.4","29,577.0","1.23M","2.38%"
"09/30/2021","30,476.1","30,476.1","30,949.3","30,381.5","905.70K","0.00%"
"10/01/2021","30,097.5","30,286.8","30,570.8","29,813.6","977.00K","-1.24%"
"10/04/2021","30,902.0","30,002.9","31,233.3","29,624.3","1.39M","2.67%"
"10/05/2021","30,996.7","30,902.0","31,138.6","30,760.0","1.10M","0.31%"
"10/06/2021","31,895.8","31,044.0","31,943.1","31,044.0","1.75M","2.90%"
"10/07/2021","32,227.1","32,179.7","32,700.3","31,943.1","2.48M","1.04%"
"10/08/2021","31,517.2","32,227.1","32,416.4","31,422.6","1.37M","-2.20%"
"10/11/2021","31,517.2","31,233.3","31,943.1","31,233.3","1.30M","0.00%"
"10/12/2021","31,327.9","31,517.2","31,706.5","31,233.3","1.42M","-0.60%"
"10/13/2021","31,611.9","31,517.2","31,706.5","31,327.9","1.13M","0.91%"
"10/14/2021","32,558.3","31,895.8","32,747.6","31,706.5","2.70M","2.99%"
"10/15/2021","32,369.0","32,794.9","32,842.3","31,801.2","1.40M","-0.58%"
"10/18/2021","30,476.1","31,706.5","31,990.4","30,476.1","4.29M","-5.85%"
"10/19/2021","30,097.5","30,523.4","30,523.4","29,813.6","2.14M","-1.24%"
"10/20/2021","30,570.8","30,097.5","30,665.4","29,908.2","1.39M","1.57%"
"10/21/2021","30,050.2","30,570.8","30,760.0","30,002.9","1.26M","-1.70%"
"10/22/2021","30,192.2","30,097.5","30,476.1","29,908.2","1.17M","0.47%"
"10/25/2021","31,044.0","30,381.5","31,422.6","30,286.8","1.94M","2.82%"
"10/26/2021","30,902.0","30,902.0","31,233.3","30,665.4","790.70K","-0.46%"
"10/27/2021","30,996.7","30,854.7","31,327.9","30,854.7","1.23M","0.31%"
"10/28/2021","31,611.9","30,949.3","31,895.8","30,665.4","2.18M","1.98%"
"10/29/2021","31,233.3","31,895.8","31,895.8","31,138.6","1.60M","-1.20%"
"11/01/2021","32,227.1","31,233.3","32,511.0","30,854.7","3.71M","3.18%"
"11/02/2021","32,321.7","32,653.0","32,936.9","32,274.4","2.45M","0.29%"
"11/03/2021","31,375.2","32,321.7","32,653.0","31,280.6","2.79M","-2.93%"
"11/04/2021","30,996.7","31,233.3","31,753.8","30,665.4","1.45M","-1.21%"
"11/05/2021","32,179.7","31,233.3","32,369.0","30,760.0","3.56M","3.82%"
"11/08/2021","33,930.7","32,653.0","34,214.6","32,179.7","5.35M","5.44%"
"11/09/2021","33,504.8","33,836.1","33,930.7","33,220.8","1.80M","-1.26%"
"11/10/2021","34,451.3","33,220.8","34,545.9","33,220.8","3.77M","2.82%"
"11/11/2021","34,782.5","34,451.3","35,303.1","34,262.0","5.17M","0.96%"
"11/12/2021","35,397.7","34,782.5","35,445.0","34,356.6","3.08M","1.77%"
"11/15/2021","34,829.8","35,587.0","35,870.9","34,545.9","2.93M","-1.60%"
"11/16/2021","34,262.0","34,829.8","35,019.1","33,694.1","3.09M","-1.63%"
"11/17/2021","35,492.4","34,072.7","35,870.9","33,741.4","2.74M","3.59%"
"11/18/2021","35,870.9","35,492.4","36,391.5","35,492.4","2.44M","1.07%"
"11/19/2021","33,362.8","36,060.2","36,154.9","33,362.8","3.99M","-6.99%"
"11/22/2021","31,469.9","32,889.6","33,457.5","31,233.3","2.76M","-5.67%"
"11/23/2021","32,558.3","31,469.9","32,605.6","31,469.9","1.39M","3.46%"
"11/24/2021","32,274.4","33,078.9","33,078.9","32,085.1","2.06M","-0.87%"
"11/25/2021","33,031.6","32,179.7","33,031.6","31,848.5","2.10M","2.35%"
"11/26/2021","32,227.1","33,126.2","33,126.2","32,179.7","1.64M","-2.44%"
"11/29/2021","32,747.6","31,706.5","33,031.6","31,375.2","1.48M","1.62%"
"11/30/2021","33,457.5","32,794.9","34,025.3","32,747.6","2.51M","2.17%"
"12/01/2021","33,552.1","33,457.5","33,883.4","33,362.8","1.13M","0.28%"
"12/02/2021","33,883.4","33,552.1","34,403.9","33,173.5","1.84M","0.99%"
"12/03/2021","32,369.0","34,025.3","34,025.3","32,369.0","1.54M","-4.47%"
"12/06/2021","31,422.6","32,274.4","32,794.9","30,949.3","1.65M","-2.92%"
"12/07/2021","32,132.4","31,848.5","32,132.4","31,138.6","1.31M","2.26%"
"12/08/2021","32,227.1","32,274.4","32,463.7","31,895.8","742.50K","0.29%"
"12/09/2021","32,653.0","31,990.4","32,842.3","31,990.4","761.20K","1.32%"
"12/10/2021","32,227.1","32,700.3","32,984.2","32,227.1","755.10K","-1.30%"
"12/13/2021","32,369.0","32,653.0","32,653.0","32,179.7","892.20K","0.44%"
"12/14/2021","32,558.3","32,747.6","33,078.9","32,369.0","1.26M","0.58%"
"12/15/2021","32,558.3","32,605.6","33,031.6","32,227.1","753.90K","0.00%"
"12/16/2021","32,321.7","32,653.0","32,794.9","32,274.4","1.18M","-0.73%"
"12/17/2021","32,081.6","32,561.8","32,561.8","31,697.4","1.72M","-0.74%"
"12/20/2021","31,745.4","32,129.6","32,129.6","31,697.4","1.24M","-1.05%"
"12/21/2021","31,841.4","31,745.4","32,465.8","31,313.1","1.23M","0.30%"
"12/22/2021","31,985.5","31,841.4","32,513.8","31,793.4","1.23M","0.45%"
"12/23/2021","31,313.1","32,033.5","32,273.7","31,025.0","971.20K","-2.10%"
"12/24/2021","31,169.1","31,601.3","31,697.4","31,073.0","710.70K","-0.46%"
"12/27/2021","31,025.0","31,217.1","31,457.2","30,640.8","1.25M","-0.46%"
"12/28/2021","31,313.1","31,025.0","31,553.3","30,352.6","1.76M","0.93%"
"12/29/2021","31,313.1","31,601.3","31,937.5","31,313.1","498.60K","0.00%"
"12/30/2021","31,361.2","31,217.1","31,697.4","31,217.1","548.30K","0.15%"
"12/31/2021","31,361.2","31,409.2","31,601.3","31,169.1","789.70K","0.00%"
