"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","40,510.0","40,316.0","40,704.0","40,316.0","13.30K","0.00%"
"07/02/2021","40,704.0","40,655.0","40,898.0","40,413.0","22.10K","0.48%"
"07/05/2021","40,655.0","41,673.0","41,673.0","40,558.0","8.30K","-0.12%"
"07/06/2021","40,801.0","40,704.0","41,624.0","40,655.0","13.10K","0.36%"
"07/07/2021","40,704.0","40,801.0","40,801.0","40,413.0","3.30K","-0.24%"
"07/08/2021","40,704.0","40,704.0","40,704.0","40,413.0","5.00K","0.00%"
"07/09/2021","40,365.0","40,219.0","40,801.0","40,219.0","16.00K","-0.83%"
"07/12/2021","40,219.0","39,831.0","40,268.0","38,862.0","22.90K","-0.36%"
"07/13/2021","39,153.0","39,735.0","39,735.0","39,153.0","18.80K","-2.65%"
"07/14/2021","39,153.0","39,735.0","39,735.0","38,959.0","8.50K","0.00%"
"07/15/2021","39,250.0","40,413.0","40,413.0","39,153.0","17.00K","0.25%"
"07/16/2021","39,056.0","38,281.0","39,250.0","38,281.0","8.80K","-0.49%"
"07/19/2021","39,638.0","38,765.0","39,735.0","38,765.0","5.10K","1.49%"
"07/20/2021","39,056.0","39,153.0","39,153.0","38,765.0","13.20K","-1.47%"
"07/21/2021","39,056.0","38,862.0","39,589.0","38,862.0","3.30K","0.00%"
"07/22/2021","39,444.0","39,008.0","39,735.0","39,008.0","6.70K","0.99%"
"07/23/2021","39,638.0","39,541.0","39,735.0","39,541.0","9.10K","0.49%"
"07/26/2021","39,638.0","39,541.0","39,638.0","39,347.0","9.70K","0.00%"
"07/27/2021","39,735.0","39,638.0","39,735.0","39,638.0","2.40K","0.24%"
"07/28/2021","39,735.0","39,638.0","39,735.0","39,638.0","4.90K","0.00%"
"07/29/2021","39,735.0","39,735.0","39,735.0","39,250.0","6.10K","0.00%"
"07/30/2021","39,928.0","39,735.0","40,219.0","39,541.0","9.90K","0.49%"
"08/02/2021","40,316.0","40,025.0","40,316.0","40,025.0","9.70K","0.97%"
"08/03/2021","40,510.0","40,025.0","40,510.0","39,831.0","16.70K","0.48%"
"08/04/2021","40,219.0","40,510.0","40,510.0","40,219.0","5.10K","-0.72%"
"08/05/2021","40,219.0","40,219.0","40,268.0","40,219.0","4.40K","0.00%"
"08/06/2021","40,510.0","40,219.0","40,510.0","40,122.0","8.60K","0.72%"
"08/09/2021","40,849.0","40,219.0","40,994.0","40,219.0","18.60K","0.84%"
"08/10/2021","40,849.0","41,382.0","41,673.0","40,849.0","13.60K","0.00%"
"08/11/2021","41,091.0","40,898.0","41,285.0","40,898.0","3.90K","0.59%"
"08/12/2021","40,849.0","41,091.0","41,091.0","40,801.0","9.20K","-0.59%"
"08/13/2021","40,607.0","40,413.0","40,849.0","40,413.0","9.80K","-0.59%"
"08/16/2021","40,704.0","40,607.0","40,704.0","40,219.0","13.00K","0.24%"
"08/17/2021","40,704.0","40,510.0","40,704.0","40,268.0","6.20K","0.00%"
"08/18/2021","40,510.0","40,704.0","40,752.0","40,510.0","2.40K","-0.48%"
"08/19/2021","40,704.0","40,558.0","40,704.0","40,558.0","8.00K","0.48%"
"08/20/2021","39,831.0","40,510.0","40,510.0","39,831.0","17.30K","-2.14%"
"08/23/2021","39,735.0","39,831.0","39,831.0","39,541.0","17.40K","-0.24%"
"08/24/2021","39,735.0","39,735.0","39,735.0","39,298.0","3.70K","0.00%"
"08/25/2021","39,735.0","39,541.0","39,735.0","39,541.0","6.10K","0.00%"
"08/26/2021","39,735.0","39,638.0","39,831.0","39,638.0","5.10K","0.00%"
"08/27/2021","39,735.0","39,783.0","39,783.0","39,638.0","6.80K","0.00%"
