"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","34,500.0","34,300.0","34,500.0","34,300.0","21.40K","0.58%"
"07/02/2021","36,900.0","34,800.0","36,900.0","34,700.0","12.70K","6.96%"
"07/05/2021","36,900.0","36,900.0","36,900.0","36,900.0","7.00K","0.00%"
"07/06/2021","36,500.0","36,800.0","36,800.0","36,500.0","24.10K","-1.08%"
"07/07/2021","36,500.0","36,200.0","36,500.0","36,200.0","5.20K","0.00%"
"07/08/2021","35,800.0","36,200.0","36,200.0","35,800.0","12.00K","-1.92%"
"07/09/2021","35,200.0","35,400.0","35,400.0","35,200.0","6.30K","-1.68%"
"07/12/2021","34,800.0","35,000.0","35,000.0","34,800.0","4.10K","-1.14%"
"07/13/2021","34,500.0","34,800.0","34,800.0","34,500.0","5.70K","-0.86%"
"07/14/2021","34,200.0","34,200.0","34,200.0","34,200.0","5.10K","-0.87%"
"07/15/2021","34,200.0","34,200.0","34,200.0","34,200.0","3.00K","0.00%"
"07/16/2021","35,000.0","35,000.0","35,000.0","35,000.0","3.00K","2.34%"
"07/19/2021","36,000.0","36,000.0","36,000.0","36,000.0","3.00K","2.86%"
"07/20/2021","35,500.0","35,800.0","35,800.0","35,500.0","5.10K","-1.39%"
"07/21/2021","35,600.0","35,700.0","35,700.0","35,600.0","6.00K","0.28%"
"07/22/2021","35,300.0","35,600.0","35,600.0","35,300.0","3.50K","-0.84%"
"07/23/2021","35,100.0","35,300.0","35,300.0","35,100.0","7.00K","-0.57%"
"07/26/2021","34,600.0","34,800.0","34,800.0","34,600.0","4.50K","-1.42%"
"07/27/2021","34,800.0","34,600.0","34,800.0","34,600.0","7.10K","0.58%"
"07/28/2021","35,000.0","34,800.0","35,000.0","34,800.0","4.10K","0.57%"
"07/29/2021","34,500.0","34,500.0","34,500.0","34,500.0","9.00K","-1.43%"
"07/30/2021","35,000.0","34,400.0","35,000.0","34,400.0","5.00K","1.45%"
"08/02/2021","35,000.0","35,000.0","35,000.0","35,000.0","2.00K","0.00%"
"08/03/2021","34,800.0","35,000.0","35,000.0","34,800.0","2.10K","-0.57%"
"08/04/2021","35,200.0","35,200.0","35,800.0","35,200.0","9.20K","1.15%"
"08/05/2021","35,650.0","34,500.0","35,650.0","34,300.0","5.20K","1.28%"
"08/06/2021","35,000.0","35,200.0","35,600.0","35,000.0","10.00K","-1.82%"
"08/09/2021","35,200.0","35,200.0","35,200.0","35,200.0","3.00K","0.57%"
"08/10/2021","35,500.0","35,500.0","35,500.0","35,500.0","3.10K","0.85%"
"08/11/2021","35,500.0","35,500.0","35,500.0","35,500.0","2.50K","0.00%"
"08/12/2021","35,800.0","35,800.0","35,800.0","35,800.0","3.80K","0.85%"
"08/13/2021","35,800.0","36,000.0","36,000.0","35,500.0","2.40K","0.00%"
"08/16/2021","35,500.0","35,500.0","35,500.0","35,500.0","2.00K","-0.84%"
"08/17/2021","35,800.0","35,500.0","35,800.0","35,500.0","6.60K","0.85%"
"08/18/2021","35,700.0","35,800.0","35,800.0","35,500.0","7.60K","-0.28%"
"08/19/2021","36,000.0","35,700.0","36,000.0","35,700.0","3.50K","0.84%"
"08/20/2021","35,500.0","35,700.0","35,700.0","35,500.0","8.00K","-1.39%"
"08/23/2021","35,000.0","35,000.0","35,000.0","35,000.0","3.00K","-1.41%"
"08/24/2021","34,200.0","34,400.0","34,400.0","34,200.0","2.10K","-2.29%"
"08/25/2021","33,800.0","34,000.0","34,000.0","33,800.0","3.50K","-1.17%"
"08/26/2021","33,800.0","33,800.0","33,800.0","33,800.0","2.00K","0.00%"
"08/27/2021","33,800.0","33,800.0","33,800.0","33,800.0","2.00K","0.00%"
"08/30/2021","34,500.0","34,500.0","34,500.0","34,500.0","0.70K","2.07%"
"08/31/2021","34,800.0","35,000.0","35,000.0","34,800.0","4.00K","0.87%"
"09/01/2021","34,400.0","34,600.0","34,600.0","34,400.0","2.00K","-1.15%"
"09/06/2021","34,800.0","34,800.0","34,800.0","34,800.0","4.00K","1.16%"
"09/07/2021","35,200.0","35,200.0","35,200.0","35,200.0","5.00K","1.15%"
"09/08/2021","35,550.0","35,550.0","35,550.0","35,550.0","2.00K","0.99%"
"09/09/2021","35,800.0","35,800.0","35,800.0","35,800.0","2.10K","0.70%"
"09/10/2021","36,200.0","36,500.0","36,500.0","36,200.0","3.00K","1.12%"
"09/13/2021","35,800.0","36,200.0","36,200.0","35,800.0","1.30K","-1.10%"
"09/14/2021","35,500.0","35,800.0","35,800.0","35,500.0","3.50K","-0.84%"
"09/15/2021","35,700.0","35,700.0","35,700.0","35,700.0","1.00K","0.56%"
"09/16/2021","36,000.0","36,000.0","36,000.0","36,000.0","2.20K","0.84%"
"09/17/2021","36,500.0","36,250.0","36,500.0","36,250.0","2.10K","1.39%"
"09/20/2021","37,000.0","37,000.0","37,000.0","37,000.0","1.50K","1.37%"
"09/21/2021","36,800.0","37,000.0","37,200.0","36,800.0","5.40K","-0.54%"
"09/22/2021","36,500.0","36,500.0","36,500.0","36,500.0","1.00K","-0.82%"
"09/23/2021","36,500.0","36,500.0","36,500.0","36,500.0","1.00K","0.00%"
"09/24/2021","36,500.0","36,500.0","36,500.0","36,500.0","2.00K","0.00%"
"09/27/2021","37,000.0","37,000.0","37,000.0","36,500.0","2.00K","1.37%"
"09/28/2021","36,500.0","36,500.0","36,500.0","36,500.0","1.10K","-1.35%"
"09/29/2021","36,500.0","37,000.0","37,000.0","36,500.0","1.50K","0.00%"
"09/30/2021","36,000.0","36,000.0","36,000.0","36,000.0","0.50K","-1.37%"
"10/01/2021","36,000.0","36,000.0","36,000.0","36,000.0","1.00K","0.00%"
"10/04/2021","36,000.0","36,000.0","36,000.0","36,000.0","2.50K","0.00%"
"10/05/2021","36,200.0","36,200.0","36,200.0","36,200.0","1.30K","0.56%"
"10/06/2021","36,450.0","36,500.0","36,500.0","36,450.0","0.80K","0.69%"
"10/07/2021","37,000.0","36,450.0","37,000.0","36,450.0","1.00K","1.51%"
"10/08/2021","37,200.0","37,000.0","37,200.0","37,000.0","0.90K","0.54%"
"10/11/2021","37,000.0","37,200.0","37,200.0","37,000.0","1.60K","-0.54%"
"10/12/2021","37,200.0","37,500.0","37,500.0","37,200.0","3.50K","0.54%"
"10/13/2021","37,500.0","38,000.0","38,000.0","37,500.0","0.80K","0.81%"
"10/14/2021","37,600.0","37,500.0","37,600.0","37,500.0","1.00K","0.27%"
"10/15/2021","37,700.0","37,900.0","37,900.0","37,700.0","1.60K","0.27%"
"10/18/2021","37,700.0","37,700.0","37,700.0","37,700.0","1.00K","0.00%"
"10/19/2021","37,500.0","37,700.0","37,700.0","37,500.0","1.00K","-0.53%"
"10/20/2021","38,000.0","38,000.0","38,000.0","38,000.0","0.60K","1.33%"
"10/21/2021","38,000.0","38,000.0","38,000.0","38,000.0","1.20K","0.00%"
"10/22/2021","38,000.0","38,000.0","38,000.0","38,000.0","0.50K","0.00%"
"10/25/2021","38,050.0","38,050.0","38,050.0","38,050.0","0.50K","0.13%"
"10/26/2021","38,200.0","38,100.0","38,200.0","38,100.0","1.50K","0.39%"
"10/27/2021","38,200.0","38,200.0","38,200.0","38,200.0","0.50K","0.00%"
"10/28/2021","38,500.0","38,200.0","38,500.0","38,200.0","0.60K","0.79%"
"10/29/2021","37,800.0","38,000.0","38,000.0","37,800.0","1.50K","-1.82%"
"11/01/2021","37,200.0","37,800.0","37,800.0","37,200.0","2.30K","-1.59%"
"11/02/2021","37,500.0","37,500.0","37,500.0","37,500.0","1.40K","0.81%"
"11/03/2021","37,200.0","37,200.0","37,200.0","37,200.0","2.50K","-0.80%"
"11/04/2021","37,500.0","37,200.0","37,500.0","37,200.0","0.60K","0.81%"
"11/05/2021","37,700.0","37,500.0","37,700.0","37,500.0","0.60K","0.53%"
"11/08/2021","38,000.0","37,750.0","38,000.0","37,750.0","1.10K","0.80%"
"11/09/2021","37,700.0","38,000.0","38,000.0","37,700.0","1.10K","-0.79%"
"11/10/2021","37,000.0","37,300.0","37,300.0","37,000.0","3.60K","-1.86%"
"11/11/2021","36,500.0","37,000.0","37,500.0","36,500.0","2.00K","-1.35%"
"11/12/2021","36,500.0","36,500.0","36,500.0","36,500.0","0.70K","0.00%"
"11/15/2021","36,500.0","36,500.0","36,500.0","36,500.0","0.90K","0.00%"
"11/16/2021","36,500.0","36,500.0","36,500.0","36,500.0","0.50K","0.00%"
"11/17/2021","36,500.0","36,500.0","36,500.0","36,200.0","1.60K","0.00%"
"11/18/2021","36,000.0","36,500.0","36,500.0","36,000.0","2.50K","-1.37%"
"11/19/2021","36,000.0","36,000.0","36,000.0","36,000.0","0.50K","0.00%"
"11/22/2021","35,200.0","35,500.0","35,500.0","35,200.0","0.60K","-2.22%"
"11/23/2021","35,200.0","35,200.0","35,200.0","35,200.0","0.50K","0.00%"
"11/24/2021","35,200.0","35,200.0","35,200.0","35,200.0","1.00K","0.00%"
"11/25/2021","35,200.0","35,200.0","35,200.0","35,200.0","1.00K","0.00%"
"11/26/2021","35,000.0","35,200.0","35,500.0","35,000.0","1.50K","-0.57%"
"11/29/2021","35,500.0","35,500.0","35,500.0","35,500.0","1.00K","1.43%"
"11/30/2021","35,500.0","35,500.0","35,500.0","35,500.0","0.50K","0.00%"
"12/01/2021","35,500.0","35,500.0","35,500.0","35,500.0","0.50K","0.00%"
"12/02/2021","34,800.0","34,500.0","34,800.0","34,500.0","4.40K","-1.97%"
"12/03/2021","34,500.0","34,500.0","34,500.0","34,500.0","0.50K","-0.86%"
"12/06/2021","34,200.0","34,200.0","34,200.0","34,200.0","0.60K","-0.87%"
"12/07/2021","34,500.0","34,200.0","34,500.0","34,200.0","1.00K","0.88%"
"12/08/2021","35,500.0","35,500.0","35,500.0","35,500.0","0.80K","2.90%"
"12/09/2021","35,500.0","35,500.0","35,500.0","35,500.0","0.50K","0.00%"
"12/10/2021","35,500.0","35,500.0","35,500.0","35,500.0","0.50K","0.00%"
"12/13/2021","35,500.0","35,500.0","35,500.0","35,500.0","0.50K","0.00%"
"12/14/2021","35,200.0","35,500.0","35,500.0","35,000.0","1.00K","-0.85%"
"12/15/2021","35,000.0","35,000.0","35,000.0","35,000.0","1.50K","-0.57%"
"12/16/2021","35,000.0","35,200.0","35,200.0","35,000.0","1.50K","0.00%"
"12/17/2021","35,200.0","35,000.0","35,200.0","35,000.0","0.80K","0.57%"
"12/20/2021","35,000.0","35,150.0","35,150.0","35,000.0","0.70K","-0.57%"
"12/21/2021","35,000.0","35,000.0","35,000.0","35,000.0","0.50K","0.00%"
"12/22/2021","35,000.0","35,000.0","35,000.0","35,000.0","0.50K","0.00%"
"12/23/2021","34,700.0","35,000.0","35,000.0","34,700.0","0.80K","-0.86%"
"12/24/2021","34,500.0","34,500.0","34,500.0","34,500.0","0.50K","-0.58%"
"12/27/2021","34,500.0","34,500.0","34,500.0","34,500.0","0.50K","0.00%"
"12/28/2021","36,900.0","34,500.0","36,900.0","34,500.0","0.70K","6.96%"
"12/29/2021","39,400.0","39,450.0","39,450.0","39,400.0","3.30K","6.78%"
"12/30/2021","42,150.0","39,300.0","42,150.0","39,300.0","7.40K","6.98%"
"12/31/2021","45,000.0","45,100.0","45,100.0","45,000.0","11.00K","6.76%"
