"Date","Price","Open","High","Low","Vol.","Change %"
"07/15/2021","13,400.0","13,400.0","13,400.0","13,400.0","0.10K","-6.94%"
"07/16/2021","14,300.0","14,300.0","14,300.0","14,300.0","0.50K","6.72%"
"07/22/2021","14,300.0","13,300.0","14,300.0","13,300.0","1.10K","0.00%"
"07/23/2021","14,200.0","14,200.0","14,200.0","14,200.0","0.50K","-0.70%"
"07/28/2021","14,200.0","14,200.0","14,200.0","14,200.0","0.50K","0.00%"
"07/29/2021","14,200.0","14,200.0","14,200.0","14,200.0","0.50K","0.00%"
"08/02/2021","14,200.0","14,200.0","14,200.0","14,200.0","0.40K","0.00%"
"08/03/2021","14,200.0","14,200.0","14,200.0","14,200.0","0.40K","0.00%"
"08/04/2021","14,200.0","14,200.0","14,200.0","14,200.0","0.40K","0.00%"
"08/05/2021","14,000.0","14,200.0","14,200.0","14,000.0","0.60K","-1.41%"
"08/20/2021","14,000.0","14,000.0","14,000.0","14,000.0","0.20K","0.00%"
"09/07/2021","14,000.0","14,000.0","14,000.0","14,000.0","1.40K","0.00%"
"10/01/2021","14,900.0","14,950.0","14,950.0","13,050.0","15.70K","6.43%"
"10/04/2021","15,500.0","15,500.0","15,500.0","15,500.0","1.00K","4.03%"
"10/05/2021","14,450.0","14,450.0","14,450.0","14,450.0","0.10K","-6.77%"
"10/06/2021","14,400.0","14,400.0","14,400.0","14,400.0","2.00K","-0.35%"
"10/07/2021","14,000.0","14,000.0","14,000.0","14,000.0","2.00K","-2.78%"
"10/13/2021","14,000.0","14,000.0","14,000.0","14,000.0","2.00K","0.00%"
"10/14/2021","14,000.0","14,000.0","14,000.0","14,000.0","4.80K","0.00%"
"10/15/2021","14,000.0","14,000.0","14,000.0","14,000.0","4.00K","0.00%"
"10/27/2021","14,950.0","14,950.0","14,950.0","14,950.0","0.10K","6.79%"
"10/28/2021","14,200.0","14,200.0","14,200.0","14,200.0","2.00K","-5.02%"
"10/29/2021","14,200.0","14,300.0","14,300.0","14,200.0","3.20K","0.00%"
"11/01/2021","14,200.0","14,200.0","14,200.0","14,200.0","1.40K","0.00%"
"11/03/2021","14,400.0","15,150.0","15,150.0","14,200.0","3.90K","1.41%"
"11/09/2021","14,400.0","14,400.0","14,400.0","14,400.0","1.80K","0.00%"
"11/12/2021","15,400.0","15,400.0","15,400.0","14,400.0","10.90K","6.94%"
"11/15/2021","16,100.0","16,000.0","16,100.0","15,900.0","17.50K","4.55%"
"11/16/2021","16,100.0","16,100.0","16,100.0","16,100.0","0.10K","0.00%"
"11/19/2021","16,200.0","16,200.0","16,200.0","16,200.0","0.10K","0.62%"
"11/22/2021","16,400.0","16,200.0","16,400.0","16,200.0","17.00K","1.23%"
"11/25/2021","16,500.0","16,450.0","16,500.0","16,450.0","12.90K","0.61%"
"11/26/2021","16,500.0","16,500.0","16,500.0","16,500.0","2.00K","0.00%"
"11/29/2021","16,500.0","16,300.0","16,500.0","16,300.0","1.10K","0.00%"
"11/30/2021","16,600.0","16,600.0","16,600.0","16,600.0","1.00K","0.61%"
"12/02/2021","15,450.0","15,450.0","15,450.0","15,450.0","0.10K","-6.93%"
"12/03/2021","16,500.0","16,500.0","16,500.0","16,500.0","0.20K","6.80%"
"12/08/2021","16,300.0","16,300.0","16,300.0","16,300.0","0.10K","-1.21%"
"12/31/2021","17,300.0","17,300.0","17,300.0","17,300.0","0.20K","6.13%"
