"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","20,695.6","21,000.0","21,043.5","20,608.7","6.63M","-0.83%"
"07/02/2021","20,695.6","20,739.1","20,956.5","20,652.2","6.27M","0.00%"
"07/05/2021","19,913.0","20,434.8","20,695.6","19,782.6","10.95M","-3.78%"
"07/06/2021","18,521.7","19,565.2","19,913.0","18,521.7","17.60M","-6.99%"
"07/07/2021","19,043.5","18,652.2","19,130.4","18,304.3","10.44M","2.82%"
"07/08/2021","19,956.5","19,304.3","20,347.8","19,130.4","8.66M","4.79%"
"07/09/2021","20,000.0","19,913.0","20,260.9","18,956.5","7.42M","0.22%"
"07/12/2021","19,130.4","19,652.2","19,826.1","18,608.7","11.94M","-4.35%"
"07/13/2021","19,478.3","19,478.3","19,478.3","18,695.6","4.07M","1.82%"
"07/14/2021","19,434.8","19,478.3","19,826.1","18,782.6","3.59M","-0.22%"
"07/15/2021","19,391.3","19,130.4","19,521.7","18,956.5","4.38M","-0.22%"
"07/16/2021","18,782.6","19,391.3","19,391.3","18,782.6","4.97M","-3.14%"
"07/19/2021","17,478.3","18,260.9","18,608.7","17,478.3","17.28M","-6.94%"
"07/20/2021","17,652.2","17,565.2","17,652.2","16,521.7","9.32M","0.99%"
"07/21/2021","17,913.0","17,913.0","18,260.9","17,652.2","4.79M","1.48%"
"07/22/2021","19,087.0","18,000.0","19,130.4","17,782.6","8.87M","6.55%"
"07/23/2021","18,000.0","19,043.5","19,217.4","18,000.0","7.05M","-5.69%"
"07/26/2021","18,347.8","17,826.1","18,695.6","17,652.2","3.46M","1.93%"
"07/27/2021","18,260.9","18,608.7","18,608.7","18,173.9","4.53M","-0.47%"
"07/28/2021","18,043.5","18,260.9","18,434.8","18,043.5","3.28M","-1.19%"
"07/29/2021","18,478.3","18,304.3","18,695.6","18,087.0","4.52M","2.41%"
"07/30/2021","18,739.1","18,521.7","19,000.0","18,521.7","4.72M","1.41%"
"08/02/2021","18,869.6","18,782.6","19,304.3","18,565.2","5.83M","0.70%"
"08/03/2021","19,130.4","19,000.0","19,434.8","18,956.5","5.71M","1.38%"
"08/04/2021","18,956.5","19,391.3","19,391.3","18,913.0","4.49M","-0.91%"
"08/05/2021","19,695.6","18,782.6","19,782.6","18,782.6","7.42M","3.90%"
"08/06/2021","20,087.0","19,913.0","20,347.8","19,782.6","8.91M","1.99%"
"08/09/2021","20,391.3","20,000.0","20,695.6","19,826.1","5.83M","1.51%"
"08/10/2021","20,130.4","20,434.8","20,521.7","19,826.1","6.17M","-1.28%"
"08/11/2021","19,304.3","20,000.0","20,043.5","19,304.3","8.06M","-4.10%"
"08/12/2021","19,739.1","19,391.3","20,217.4","19,347.8","9.66M","2.25%"
"08/13/2021","19,869.6","19,826.1","19,956.5","19,304.3","4.19M","0.66%"
"08/16/2021","20,695.6","20,087.0","21,217.4","20,087.0","21.63M","4.16%"
"08/17/2021","20,695.6","20,826.1","21,217.4","20,434.8","6.09M","0.00%"
"08/18/2021","20,434.8","20,608.7","20,826.1","20,217.4","6.02M","-1.26%"
"08/19/2021","20,434.8","20,260.9","20,652.2","20,000.0","6.38M","0.00%"
"08/20/2021","19,130.4","20,782.6","20,826.1","19,043.5","18.84M","-6.38%"
"08/23/2021","18,217.4","18,956.5","19,173.9","18,130.4","9.66M","-4.77%"
"08/24/2021","18,347.8","18,260.9","18,608.7","18,087.0","6.67M","0.72%"
"08/25/2021","18,347.8","17,826.1","18,347.8","17,826.1","4.71M","0.00%"
"08/26/2021","18,173.9","18,521.7","18,652.2","18,173.9","3.20M","-0.95%"
"08/27/2021","18,826.1","18,173.9","18,869.6","17,956.5","3.91M","3.59%"
"08/30/2021","19,347.8","19,565.2","19,695.6","19,130.4","7.69M","2.77%"
"08/31/2021","19,304.3","19,478.3","19,478.3","19,000.0","5.59M","-0.22%"
"09/01/2021","19,217.4","19,000.0","19,478.3","19,000.0","3.89M","-0.45%"
"09/06/2021","19,913.0","19,565.2","20,130.4","19,391.3","10.00M","3.62%"
"09/07/2021","19,130.4","19,913.0","20,000.0","18,956.5","4.87M","-3.93%"
"09/08/2021","19,130.4","19,130.4","19,478.3","18,869.6","6.21M","0.00%"
"09/09/2021","19,700.0","19,650.0","19,900.0","19,300.0","5.20M","2.98%"
"09/10/2021","19,250.0","19,800.0","19,900.0","19,200.0","3.69M","-2.28%"
"09/13/2021","19,200.0","19,250.0","19,550.0","19,200.0","3.85M","-0.26%"
"09/14/2021","18,550.0","19,200.0","19,200.0","18,550.0","4.88M","-3.39%"
"09/15/2021","18,750.0","18,550.0","18,900.0","18,350.0","2.29M","1.08%"
"09/16/2021","18,700.0","19,200.0","19,250.0","18,700.0","2.53M","-0.27%"
"09/17/2021","19,250.0","18,700.0","19,300.0","18,700.0","3.79M","2.94%"
"09/20/2021","19,200.0","19,350.0","19,650.0","19,050.0","3.66M","-0.26%"
"09/21/2021","19,050.0","18,400.0","19,050.0","18,400.0","4.45M","-0.78%"
"09/22/2021","19,350.0","18,900.0","19,600.0","18,750.0","4.40M","1.57%"
"09/23/2021","19,800.0","19,650.0","20,400.0","19,450.0","7.72M","2.33%"
"09/24/2021","19,650.0","19,800.0","19,900.0","19,500.0","2.65M","-0.76%"
"09/27/2021","19,000.0","19,500.0","19,800.0","19,000.0","3.58M","-3.31%"
"09/28/2021","19,200.0","18,800.0","19,200.0","18,600.0","4.09M","1.05%"
"09/29/2021","19,050.0","19,000.0","19,150.0","18,700.0","2.59M","-0.78%"
"09/30/2021","19,100.0","19,050.0","19,250.0","19,000.0","2.00M","0.26%"
"10/01/2021","18,800.0","18,950.0","19,150.0","18,750.0","2.42M","-1.57%"
"10/04/2021","19,000.0","18,650.0","19,000.0","18,300.0","3.23M","1.06%"
"10/05/2021","19,000.0","19,000.0","19,150.0","18,800.0","2.65M","0.00%"
"10/06/2021","19,750.0","19,000.0","19,750.0","19,000.0","6.87M","3.95%"
"10/07/2021","20,900.0","19,850.0","21,100.0","19,850.0","13.63M","5.82%"
"10/08/2021","20,800.0","21,000.0","21,200.0","20,600.0","4.24M","-0.48%"
"10/11/2021","21,600.0","20,900.0","21,900.0","20,850.0","8.84M","3.85%"
"10/12/2021","21,700.0","21,350.0","22,200.0","21,300.0","7.26M","0.46%"
"10/13/2021","21,500.0","21,700.0","21,900.0","21,450.0","4.73M","-0.92%"
"10/14/2021","21,600.0","21,500.0","22,200.0","21,500.0","7.19M","0.47%"
"10/15/2021","21,550.0","21,600.0","21,950.0","21,100.0","4.14M","-0.23%"
"10/18/2021","21,400.0","21,900.0","21,900.0","21,400.0","5.58M","-0.70%"
"10/19/2021","21,400.0","21,300.0","21,850.0","21,100.0","4.25M","0.00%"
"10/20/2021","21,200.0","21,500.0","21,750.0","20,700.0","5.60M","-0.93%"
"10/21/2021","21,750.0","21,200.0","21,900.0","21,000.0","5.95M","2.59%"
"10/22/2021","22,500.0","21,900.0","22,900.0","21,850.0","13.49M","3.45%"
"10/25/2021","22,200.0","22,650.0","22,900.0","22,200.0","6.13M","-1.33%"
"10/26/2021","22,300.0","22,000.0","22,400.0","21,650.0","5.87M","0.45%"
"10/27/2021","23,450.0","22,650.0","23,500.0","22,400.0","15.58M","5.16%"
"10/28/2021","24,100.0","23,450.0","24,300.0","23,300.0","11.24M","2.77%"
"10/29/2021","24,150.0","24,300.0","24,700.0","23,800.0","11.07M","0.21%"
"11/01/2021","23,750.0","24,400.0","24,450.0","23,550.0","11.22M","-1.66%"
"11/02/2021","24,950.0","23,550.0","25,300.0","23,250.0","16.12M","5.05%"
"11/03/2021","23,300.0","25,000.0","25,500.0","23,250.0","19.92M","-6.61%"
"11/04/2021","23,300.0","23,350.0","23,800.0","22,900.0","6.94M","0.00%"
"11/05/2021","24,200.0","23,350.0","24,500.0","23,050.0","10.00M","3.86%"
"11/08/2021","25,850.0","24,200.0","25,850.0","23,950.0","19.08M","6.82%"
"11/09/2021","26,400.0","26,150.0","27,600.0","25,900.0","22.12M","2.13%"
"11/10/2021","26,500.0","26,300.0","26,900.0","26,000.0","16.12M","0.38%"
"11/11/2021","26,300.0","27,000.0","27,450.0","26,000.0","16.31M","-0.75%"
"11/12/2021","27,000.0","26,600.0","27,400.0","26,200.0","11.32M","2.66%"
"11/15/2021","27,000.0","27,500.0","28,000.0","26,000.0","14.66M","0.00%"
"11/16/2021","26,400.0","26,500.0","27,400.0","25,250.0","18.40M","-2.22%"
"11/17/2021","26,650.0","26,400.0","27,200.0","26,000.0","9.86M","0.95%"
"11/18/2021","27,300.0","26,550.0","27,950.0","26,500.0","11.95M","2.44%"
"11/19/2021","26,550.0","27,550.0","27,600.0","25,400.0","15.01M","-2.75%"
"11/22/2021","24,700.0","26,100.0","26,550.0","24,700.0","16.10M","-6.97%"
"11/23/2021","26,000.0","24,500.0","26,200.0","24,250.0","11.01M","5.26%"
"11/24/2021","26,650.0","26,600.0","27,000.0","26,200.0","10.92M","2.50%"
