"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","4,710.0","4,550.0","4,750.0","4,550.0","3.60K","4.67%"
"07/02/2021","4,630.0","4,710.0","4,710.0","4,630.0","5.00K","-1.70%"
"07/05/2021","4,600.0","4,630.0","4,630.0","4,600.0","0.80K","-0.65%"
"07/06/2021","4,580.0","4,600.0","4,600.0","4,580.0","0.60K","-0.43%"
"07/07/2021","4,450.0","4,510.0","4,510.0","4,450.0","10.00K","-2.84%"
"07/08/2021","4,350.0","4,350.0","4,350.0","4,350.0","17.40K","-2.25%"
"07/09/2021","4,350.0","4,350.0","4,350.0","4,350.0","1.00K","0.00%"
"07/12/2021","4,050.0","4,350.0","4,350.0","4,050.0","24.40K","-6.90%"
"07/13/2021","4,050.0","4,050.0","4,050.0","3,800.0","12.10K","0.00%"
"07/14/2021","3,920.0","4,100.0","4,100.0","3,870.0","8.80K","-3.21%"
"07/15/2021","4,000.0","3,910.0","4,000.0","3,900.0","39.90K","2.04%"
"07/16/2021","4,270.0","4,000.0","4,280.0","3,810.0","96.90K","6.75%"
"07/19/2021","4,100.0","4,270.0","4,270.0","4,100.0","5.40K","-3.98%"
"07/20/2021","4,200.0","3,830.0","4,200.0","3,830.0","14.20K","2.44%"
"07/21/2021","4,000.0","4,200.0","4,200.0","4,000.0","4.60K","-4.76%"
"07/22/2021","4,000.0","4,000.0","4,000.0","4,000.0","0.60K","0.00%"
"07/23/2021","3,780.0","3,830.0","3,830.0","3,780.0","7.60K","-5.50%"
"07/26/2021","3,780.0","3,780.0","3,780.0","3,780.0","0.70K","0.00%"
"07/27/2021","3,900.0","3,780.0","3,950.0","3,750.0","2.20K","3.17%"
"07/28/2021","3,900.0","4,150.0","4,150.0","3,900.0","3.30K","0.00%"
"07/29/2021","4,000.0","4,000.0","4,000.0","3,800.0","10.80K","2.56%"
"07/30/2021","3,850.0","4,000.0","4,000.0","3,850.0","2.90K","-3.75%"
"08/02/2021","4,000.0","3,850.0","4,000.0","3,850.0","12.00K","3.90%"
"08/03/2021","3,950.0","3,900.0","3,950.0","3,800.0","16.80K","-1.25%"
"08/04/2021","3,950.0","4,100.0","4,100.0","3,900.0","4.70K","0.00%"
"08/05/2021","4,000.0","4,000.0","4,000.0","3,940.0","8.10K","1.27%"
"08/06/2021","4,000.0","4,000.0","4,000.0","3,800.0","8.00K","0.00%"
"08/09/2021","4,000.0","4,000.0","4,000.0","3,800.0","27.80K","0.00%"
"08/10/2021","4,200.0","3,900.0","4,200.0","3,900.0","28.00K","5.00%"
