"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","13,029.8","13,029.8","13,029.8","12,783.9","685.31K","-0.62%"
"07/02/2021","13,029.8","13,152.7","13,152.7","12,824.9","676.52K","0.00%"
"07/05/2021","13,029.8","13,070.7","13,070.7","12,783.9","321.09K","0.00%"
"07/06/2021","12,988.8","13,070.7","13,111.7","12,824.9","757.76K","-0.31%"
"07/07/2021","12,661.0","12,988.8","12,988.8","12,538.1","713.33K","-2.52%"
"07/08/2021","12,251.3","12,579.0","12,579.0","11,800.5","707.94K","-3.24%"
"07/09/2021","12,046.4","11,964.4","12,210.3","11,554.7","454.84K","-1.67%"
"07/12/2021","11,472.7","11,308.8","11,718.6","11,226.9","528.58K","-4.76%"
"07/13/2021","11,636.6","11,472.7","11,882.5","11,226.9","163.53K","1.43%"
"07/14/2021","12,046.4","11,636.6","12,374.2","11,636.6","767.25K","3.52%"
"07/15/2021","12,374.2","12,251.3","12,374.2","12,046.4","1.46M","2.72%"
"07/16/2021","12,374.2","12,292.2","12,415.1","12,169.3","254.27K","0.00%"
"07/19/2021","11,942.6","11,899.9","12,625.0","11,857.3","213.35K","-3.49%"
"07/20/2021","12,070.5","12,198.5","12,198.5","11,516.1","211.01K","1.07%"
"07/21/2021","12,070.5","12,070.5","12,113.2","11,899.9","129.18K","0.00%"
"07/22/2021","11,899.9","12,070.5","12,070.5","11,814.6","323.90K","-1.41%"
"07/23/2021","11,686.7","11,857.3","11,942.6","11,686.7","252.27K","-1.79%"
"07/26/2021","11,942.6","11,644.0","11,942.6","11,644.0","516.04K","2.19%"
"07/27/2021","12,539.7","12,283.8","12,582.4","12,027.9","563.16K","5.00%"
"07/28/2021","13,392.8","12,625.0","13,392.8","12,625.0","1.46M","6.80%"
"07/29/2021","13,392.8","13,392.8","13,819.3","13,307.4","639.95K","0.00%"
"07/30/2021","13,563.4","13,222.1","13,989.9","13,222.1","935.24K","1.27%"
"08/02/2021","13,606.0","13,392.8","13,861.9","13,392.8","1.04M","0.31%"
"08/03/2021","14,203.1","13,520.7","14,203.1","13,520.7","1.38M","4.39%"
"08/04/2021","14,075.2","14,501.7","14,501.7","13,861.9","680.04K","-0.90%"
"08/05/2021","14,032.5","14,075.2","14,117.8","13,776.6","960.68K","-0.30%"
"08/06/2021","14,587.0","14,160.5","14,842.9","14,075.2","2.16M","3.95%"
"08/09/2021","14,800.3","14,416.4","14,842.9","14,373.7","1.00M","1.46%"
"08/10/2021","14,970.9","14,928.2","14,970.9","14,800.3","684.37K","1.15%"
"08/11/2021","14,587.0","14,672.3","14,842.9","14,373.7","1.16M","-2.56%"
"08/12/2021","14,501.7","14,331.1","14,672.3","14,331.1","780.38K","-0.58%"
"08/13/2021","14,842.9","14,331.1","14,885.6","14,331.1","983.66K","2.35%"
"08/16/2021","15,269.4","14,970.9","15,440.1","14,885.6","2.05M","2.87%"
"08/17/2021","15,141.5","15,397.4","15,397.4","14,928.2","587.43K","-0.84%"
"08/18/2021","15,056.2","15,184.1","15,226.8","14,928.2","717.32K","-0.56%"
"08/19/2021","15,312.1","15,056.2","15,312.1","14,757.6","895.97K","1.70%"
"08/20/2021","15,354.7","15,525.4","15,781.3","15,184.1","2.23M","0.28%"
"08/23/2021","16,378.4","15,525.4","16,421.0","15,525.4","1.76M","6.67%"
"08/24/2021","15,525.4","16,207.8","16,378.4","15,269.4","1.09M","-5.21%"
"08/25/2021","15,610.7","15,525.4","15,781.3","15,354.7","1.10M","0.55%"
"08/26/2021","15,610.7","15,781.3","15,909.2","15,568.0","764.09K","0.00%"
"08/27/2021","16,165.1","15,525.4","16,207.8","15,525.4","605.60K","3.55%"
"08/30/2021","16,890.2","16,463.7","17,060.8","16,378.4","850.37K","4.49%"
"08/31/2021","16,804.9","17,060.8","17,060.8","16,634.3","1.21M","-0.51%"
"09/01/2021","16,975.5","16,634.3","17,060.8","16,634.3","768.43K","1.02%"
"09/06/2021","17,402.0","17,231.4","17,402.0","17,060.8","757.41K","2.51%"
"09/07/2021","17,402.0","17,487.4","17,487.4","16,719.6","866.55K","0.00%"
"09/08/2021","17,316.7","17,402.0","17,444.7","17,146.1","794.45K","-0.49%"
"09/09/2021","17,359.4","17,316.7","17,444.7","17,060.8","688.95K","0.25%"
"09/10/2021","17,444.7","17,444.7","17,444.7","17,274.1","652.02K","0.49%"
"09/13/2021","18,041.8","17,658.0","18,084.5","17,658.0","1.06M","3.42%"
"09/14/2021","19,278.7","18,084.5","19,278.7","18,041.8","1.29M","6.86%"
"09/15/2021","19,875.9","19,790.6","20,473.0","19,364.0","1.02M","3.10%"
"09/16/2021","20,046.5","20,046.5","20,174.4","18,766.9","810.63K","0.86%"
"09/17/2021","20,728.9","20,131.8","20,856.9","20,131.8","731.03K","3.40%"
"09/20/2021","20,771.6","20,984.8","20,984.8","20,473.0","1.03M","0.21%"
"09/21/2021","20,558.3","20,131.8","20,771.6","20,131.8","951.07K","-1.03%"
"09/22/2021","20,728.9","20,686.3","20,771.6","20,259.7","540.30K","0.83%"
"09/23/2021","21,283.4","20,899.5","22,093.8","20,856.9","1.47M","2.68%"
"09/24/2021","21,965.8","21,326.0","22,008.5","21,283.4","1.10M","3.21%"
"09/27/2021","22,562.9","22,136.4","22,690.9","22,051.1","1.42M","2.72%"
"09/28/2021","22,435.0","22,179.1","22,435.0","21,326.0","1.12M","-0.57%"
"09/29/2021","22,179.1","22,392.3","22,435.0","21,837.9","608.53K","-1.14%"
"09/30/2021","22,989.5","22,179.1","23,202.7","22,179.1","1.16M","3.65%"
"10/01/2021","23,202.7","22,989.5","23,416.0","22,605.6","851.07K","0.93%"
"10/04/2021","23,245.4","23,842.5","23,842.5","23,117.4","707.23K","0.18%"
"10/05/2021","22,349.7","23,245.4","23,373.3","22,051.1","1.81M","-3.85%"
"10/06/2021","23,032.1","22,179.1","23,032.1","21,155.4","1.93M","3.05%"
"10/07/2021","24,610.2","23,458.6","24,610.2","23,245.4","1.90M","6.85%"
"10/08/2021","25,164.7","24,652.9","26,060.4","24,226.4","1.45M","2.25%"
"10/11/2021","24,823.5","25,164.7","25,420.6","24,738.2","1.09M","-1.36%"
"10/12/2021","24,397.0","24,567.6","24,951.5","24,354.3","1.26M","-1.72%"
"10/13/2021","25,847.2","24,439.6","25,847.2","24,439.6","1.15M","5.94%"
"10/14/2021","26,145.7","26,188.4","26,316.3","25,676.5","814.50K","1.15%"
"10/15/2021","25,761.9","26,145.7","26,145.7","25,378.0","1.17M","-1.47%"
"10/18/2021","25,676.5","26,017.8","26,017.8","25,292.7","757.52K","-0.33%"
"10/19/2021","25,591.2","25,591.2","25,761.9","24,823.5","576.41K","-0.33%"
"10/20/2021","25,250.0","25,591.2","25,633.9","24,994.1","597.27K","-1.33%"
"10/21/2021","23,927.8","24,994.1","25,122.1","23,757.2","1.90M","-5.24%"
"10/22/2021","23,373.3","23,927.8","23,927.8","23,032.1","1.19M","-2.32%"
"10/25/2021","23,799.9","23,032.1","24,738.2","23,032.1","790.58K","1.83%"
"10/26/2021","23,757.2","24,055.8","24,183.7","23,543.9","526.59K","-0.18%"
"10/27/2021","23,458.6","23,799.9","23,799.9","23,458.6","815.32K","-1.26%"
"10/28/2021","23,714.6","23,458.6","24,055.8","23,458.6","666.09K","1.09%"
"10/29/2021","23,458.6","23,970.5","23,970.5","23,373.3","808.52K","-1.08%"
"11/01/2021","24,311.7","23,458.6","24,397.0","23,330.7","1.12M","3.64%"
"11/02/2021","24,610.2","24,311.7","24,738.2","24,141.1","936.65K","1.23%"
"11/03/2021","24,567.6","24,738.2","25,079.4","23,885.2","1.18M","-0.17%"
"11/04/2021","24,013.1","24,482.3","24,482.3","23,629.3","851.78K","-2.26%"
"11/05/2021","23,543.9","23,970.5","23,970.5","23,458.6","614.04K","-1.95%"
"11/08/2021","23,799.9","23,373.3","24,055.8","23,330.7","655.42K","1.09%"
"11/09/2021","23,714.6","23,458.6","24,311.7","23,458.6","574.53K","-0.36%"
"11/10/2021","23,586.6","23,714.6","23,885.2","23,501.3","464.34K","-0.54%"
"11/11/2021","22,690.9","23,543.9","23,586.6","22,520.3","1.57M","-3.80%"
"11/12/2021","21,539.3","22,179.1","22,520.3","21,155.4","2.17M","-5.08%"
"11/15/2021","21,923.2","21,326.0","22,605.6","21,326.0","674.64K","1.78%"
"11/16/2021","22,562.9","22,179.1","23,202.7","21,923.2","607.59K","2.92%"
"11/17/2021","22,093.8","22,264.4","22,349.7","21,837.9","427.53K","-2.08%"
"11/18/2021","21,837.9","22,008.5","22,349.7","21,454.0","547.57K","-1.16%"
"11/19/2021","20,345.0","21,496.6","21,539.3","20,345.0","973.46K","-6.84%"
"11/22/2021","19,534.7","19,236.1","20,387.7","19,236.1","1.12M","-3.98%"
"11/23/2021","20,899.5","19,534.7","20,899.5","19,236.1","340.55K","6.99%"
"11/24/2021","21,837.9","22,179.1","22,179.1","21,539.3","586.49K","4.49%"
"11/25/2021","21,965.8","21,667.3","22,264.4","21,624.6","339.14K","0.59%"
"11/26/2021","21,837.9","21,965.8","21,965.8","21,411.3","560.47K","-0.58%"
"11/29/2021","21,582.0","21,326.0","21,624.6","21,326.0","410.65K","-1.17%"
"11/30/2021","21,411.3","21,454.0","21,880.5","21,326.0","487.67K","-0.79%"
"12/01/2021","20,984.8","21,411.3","21,709.9","20,984.8","336.21K","-1.99%"
"12/02/2021","21,027.5","20,984.8","21,155.4","20,984.8","216.05K","0.20%"
"12/03/2021","21,411.3","21,326.0","22,179.1","20,814.2","397.87K","1.83%"
"12/06/2021","21,070.1","21,709.9","21,837.9","21,027.5","367.04K","-1.59%"
"12/07/2021","21,411.3","21,326.0","21,752.6","20,942.2","288.26K","1.62%"
"12/08/2021","21,454.0","21,667.3","21,667.3","21,326.0","316.40K","0.20%"
"12/09/2021","21,454.0","21,454.0","21,582.0","21,326.0","181.70K","0.00%"
"12/10/2021","22,946.8","21,454.0","22,946.8","21,411.3","1.36M","6.96%"
"12/13/2021","24,311.7","23,714.6","24,311.7","23,117.4","1.82M","5.95%"
"12/14/2021","24,055.8","24,311.7","24,908.8","23,885.2","1.21M","-1.05%"
"12/15/2021","23,885.2","23,629.3","24,226.4","23,629.3","555.07K","-0.71%"
"12/16/2021","25,079.4","23,885.2","25,164.7","23,288.0","2.13M","5.00%"
"12/17/2021","24,738.2","25,250.0","25,250.0","24,738.2","886.12K","-1.36%"
"12/20/2021","24,482.3","25,079.4","25,079.4","24,311.7","461.99K","-1.03%"
"12/21/2021","22,861.5","23,885.2","24,311.7","22,776.2","1.46M","-6.62%"
"12/22/2021","21,880.5","22,904.2","22,946.8","21,752.6","1.47M","-4.29%"
"12/23/2021","22,179.1","21,752.6","22,733.6","21,752.6","572.31K","1.36%"
"12/24/2021","23,714.6","22,264.4","23,714.6","21,923.2","782.85K","6.92%"
"12/27/2021","23,202.7","23,842.5","23,842.5","22,605.6","426.01K","-2.16%"
"12/28/2021","22,605.6","22,690.9","22,861.5","22,562.9","563.51K","-2.57%"
"12/29/2021","22,648.3","22,307.0","23,288.0","22,008.5","551.91K","0.19%"
"12/30/2021","22,690.9","22,861.5","22,946.8","22,520.3","281.70K","0.19%"
"12/31/2021","22,008.5","22,605.6","22,690.9","21,923.2","367.04K","-3.01%"
