"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","10,761","10,761","10,848","10,674","395.76K","-0.80%"
"07/02/2021","10,848","10,761","10,934","10,761","524.37K","0.81%"
"07/05/2021","10,761","10,761","10,848","10,587","420.83K","-0.80%"
"07/06/2021","11,108","10,761","11,629","10,761","2.95M","3.23%"
"07/07/2021","11,021","11,021","11,195","10,761","354.31K","-0.78%"
"07/08/2021","11,455","10,934","11,455","10,934","1.29M","3.94%"
"07/09/2021","11,021","11,282","11,629","10,587","1.24M","-3.79%"
"07/12/2021","10,501","11,629","11,629","10,240","1.19M","-4.72%"
"07/13/2021","10,587","10,587","10,761","10,327","553.31K","0.83%"
"07/14/2021","10,501","10,587","10,674","10,153","444.89K","-0.82%"
"07/15/2021","10,414","10,327","10,674","10,327","405.68K","-0.83%"
"07/16/2021","9,286","9,372","9,459","9,199","311.98K","-10.83%"
"07/19/2021","8,678","9,286","9,286","8,505","401.99K","-6.54%"
"07/20/2021","8,852","8,505","8,852","8,505","259.88K","2.00%"
"07/21/2021","9,025","8,765","9,025","8,765","468.08K","1.96%"
"07/22/2021","9,025","8,938","9,025","8,852","209.79K","0.00%"
"07/23/2021","8,852","8,938","8,938","8,765","362.56K","-1.92%"
"07/26/2021","8,765","8,852","8,852","8,591","215.08K","-0.98%"
"07/27/2021","8,852","8,765","8,938","8,765","163.26K","0.99%"
"07/28/2021","8,765","8,765","8,852","8,678","270.78K","-0.98%"
"07/29/2021","8,765","8,765","8,852","8,678","242.59K","0.00%"
"07/30/2021","8,852","8,765","8,938","8,678","216.55K","0.99%"
"08/02/2021","8,938","8,852","8,938","8,765","378.29K","0.98%"
"08/03/2021","9,199","8,852","9,199","8,852","461.02K","2.91%"
"08/04/2021","9,459","9,199","9,546","9,199","857.27K","2.83%"
"08/05/2021","9,372","9,372","9,546","9,372","230.10K","-0.92%"
"08/06/2021","9,199","9,459","9,459","9,199","431.58K","-1.85%"
"08/09/2021","9,286","9,199","9,372","9,112","424.86K","0.94%"
"08/10/2021","9,372","9,372","9,459","9,199","500.65K","0.93%"
"08/11/2021","9,893","9,372","10,067","9,372","2.13M","5.56%"
"08/12/2021","9,893","9,893","10,153","9,893","914.98K","0.00%"
"08/13/2021","9,893","9,980","9,980","9,546","597.43K","0.00%"
"08/16/2021","9,893","9,806","9,893","9,633","668.96K","0.00%"
