"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","5,915.7","5,796.7","5,949.7","5,788.2","73.26K","2.20%"
"07/02/2021","5,864.7","5,915.7","5,915.7","5,796.7","37.07K","-0.86%"
"07/05/2021","5,779.7","5,813.7","5,847.7","5,711.7","21.23K","-1.45%"
"07/06/2021","5,771.2","5,524.7","5,771.2","5,524.7","11.88K","-0.15%"
"07/07/2021","5,703.2","5,524.7","5,711.7","5,448.2","24.97K","-1.18%"
"07/08/2021","5,711.7","5,694.7","5,711.7","5,609.7","8.58K","0.15%"
"07/09/2021","5,686.2","5,703.2","5,703.2","5,524.7","20.35K","-0.45%"
"07/12/2021","5,473.7","5,609.7","5,609.7","5,303.7","35.20K","-3.74%"
"07/13/2021","5,422.7","5,660.7","5,660.7","5,099.7","78.87K","-0.93%"
"07/14/2021","5,227.2","5,363.2","5,363.2","5,184.7","22.77K","-3.61%"
"07/15/2021","5,261.2","5,227.2","5,261.2","5,116.7","20.35K","0.65%"
"07/16/2021","5,405.7","5,184.7","5,626.7","5,099.7","8.80K","2.75%"
"07/19/2021","5,337.7","5,184.7","5,337.7","5,057.2","11.66K","-1.26%"
"07/20/2021","5,312.2","5,108.2","5,312.2","5,099.7","9.02K","-0.48%"
"07/21/2021","5,295.2","5,150.7","5,303.7","5,150.7","10.89K","-0.32%"
"07/22/2021","5,354.7","5,269.7","5,354.7","5,235.7","9.68K","1.12%"
"07/23/2021","5,337.7","5,354.7","5,354.7","5,227.2","6.60K","-0.32%"
"07/26/2021","5,244.2","5,210.2","5,269.7","5,193.2","9.02K","-1.75%"
"07/27/2021","5,244.2","5,354.7","5,388.7","5,244.2","10.89K","0.00%"
"07/28/2021","5,235.7","5,201.7","5,244.2","5,201.7","15.51K","-0.16%"
"07/29/2021","5,269.7","5,176.2","5,269.7","5,176.2","5.17K","0.65%"
"07/30/2021","5,269.7","5,023.2","5,269.7","5,023.2","18.92K","0.00%"
"08/02/2021","5,439.7","5,269.7","5,609.7","5,261.2","23.87K","3.23%"
"08/03/2021","5,482.2","5,439.7","5,567.2","5,363.2","8.25K","0.78%"
"08/04/2021","5,482.2","5,516.2","5,516.2","5,269.7","71.72K","0.00%"
"08/05/2021","5,439.7","5,482.2","5,482.2","5,439.7","4.62K","-0.78%"
"08/06/2021","5,422.7","5,431.2","5,431.2","5,354.7","6.27K","-0.31%"
"08/09/2021","5,448.2","5,363.2","5,473.7","5,354.7","16.94K","0.47%"
"08/10/2021","5,397.2","5,439.7","5,439.7","5,354.7","29.15K","-0.94%"
"08/11/2021","5,516.2","5,439.7","5,558.7","5,439.7","35.75K","2.20%"
"08/12/2021","5,677.7","5,448.2","5,779.7","5,439.7","55.66K","2.93%"
"08/13/2021","5,703.2","5,924.2","5,924.2","5,524.7","36.19K","0.45%"
"08/16/2021","5,788.2","5,711.7","5,796.7","5,694.7","51.15K","1.49%"
"08/17/2021","5,745.7","5,788.2","5,864.7","5,745.7","65.67K","-0.73%"
"08/18/2021","5,745.7","5,601.2","5,779.7","5,601.2","28.71K","0.00%"
"08/19/2021","5,694.7","5,677.7","5,694.7","5,660.7","20.13K","-0.89%"
"08/20/2021","5,567.2","5,694.7","5,711.7","5,533.2","81.95K","-2.24%"
"08/23/2021","5,482.2","5,567.2","5,609.7","5,482.2","17.93K","-1.53%"
"08/24/2021","5,677.7","5,771.2","5,830.7","5,490.7","33.55K","3.57%"
"08/25/2021","5,669.2","5,771.2","5,771.2","5,541.7","20.13K","-0.15%"
"08/26/2021","5,660.7","5,686.2","5,686.2","5,533.2","60.06K","-0.15%"
"08/27/2021","5,609.7","5,541.7","5,635.2","5,541.7","1.54K","-0.90%"
"08/30/2021","5,711.7","5,652.2","5,711.7","5,541.7","67.32K","1.82%"
"08/31/2021","5,694.7","5,864.7","5,864.7","5,660.7","44.77K","-0.30%"
"09/01/2021","5,703.2","5,660.7","5,796.7","5,660.7","11.11K","0.15%"
