"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","11,898.9","12,243.1","12,243.1","11,702.2","1.72M","-1.63%"
"07/02/2021","11,702.2","11,948.1","11,997.2","11,505.5","3.57M","-1.65%"
"07/05/2021","11,259.7","11,505.5","11,603.9","11,112.2","2.27M","-3.78%"
"07/06/2021","10,817.2","11,112.2","11,407.2","10,817.2","1.50M","-3.93%"
"07/07/2021","10,768.0","10,817.2","11,013.9","10,423.8","2.12M","-0.45%"
"07/08/2021","10,866.3","10,964.7","11,063.0","10,768.0","1.27M","0.91%"
"07/09/2021","10,718.8","10,817.2","11,013.9","10,423.8","938.30K","-1.36%"
"07/12/2021","9,981.3","10,473.0","10,718.8","9,981.3","2.68M","-6.88%"
"07/13/2021","10,227.2","10,227.2","10,423.8","10,128.8","1.21M","2.46%"
"07/14/2021","10,374.7","10,374.7","10,423.8","10,178.0","850.30K","1.44%"
"07/15/2021","10,915.5","10,276.3","11,013.9","10,276.3","1.44M","5.21%"
"07/16/2021","11,013.9","11,013.9","11,112.2","10,718.8","807.30K","0.90%"
"07/19/2021","10,423.8","10,718.8","10,915.5","10,325.5","1.22M","-5.36%"
"07/20/2021","10,718.8","10,374.7","10,768.0","10,325.5","845.80K","2.83%"
"07/21/2021","10,718.8","10,768.0","10,768.0","10,571.3","314.80K","0.00%"
"07/22/2021","10,915.5","10,620.5","11,013.9","10,571.3","960.10K","1.84%"
"07/23/2021","10,620.5","10,768.0","10,915.5","10,571.3","857.40K","-2.70%"
"07/26/2021","10,620.5","10,620.5","10,718.8","10,423.8","830.70K","0.00%"
"07/27/2021","10,669.7","10,620.5","10,866.3","10,620.5","826.70K","0.46%"
"07/28/2021","10,718.8","10,669.7","10,768.0","10,620.5","499.50K","0.46%"
"07/29/2021","10,817.2","10,768.0","10,915.5","10,669.7","706.40K","0.92%"
"07/30/2021","11,308.9","10,915.5","11,358.0","10,866.3","1.98M","4.55%"
"08/02/2021","11,554.7","11,308.9","11,653.1","11,112.2","1.77M","2.17%"
"08/03/2021","11,505.5","11,653.1","11,653.1","11,358.0","1.16M","-0.43%"
"08/04/2021","11,456.4","11,407.2","11,554.7","11,358.0","1.43M","-0.43%"
"08/05/2021","11,603.9","11,308.9","11,603.9","11,308.9","1.24M","1.29%"
"08/06/2021","11,997.2","11,603.9","11,997.2","11,456.4","1.85M","3.39%"
"08/09/2021","12,095.6","11,898.9","12,193.9","11,702.2","1.91M","0.82%"
"08/10/2021","12,439.8","12,144.7","12,538.1","11,997.2","5.50M","2.85%"
"08/11/2021","12,292.3","12,390.6","12,685.6","12,292.3","2.95M","-1.19%"
"08/12/2021","13,128.1","12,292.3","13,128.1","12,095.6","7.97M","6.80%"
"08/13/2021","13,275.6","13,275.6","13,570.6","12,833.1","6.46M","1.12%"
"08/16/2021","13,374.0","13,423.1","13,570.6","13,275.6","3.95M","0.74%"
"08/17/2021","12,980.6","13,177.3","13,177.3","12,882.3","4.08M","-2.94%"
"08/18/2021","13,177.3","12,783.9","13,324.8","12,783.9","3.86M","1.52%"
"08/19/2021","13,669.0","13,177.3","13,669.0","12,882.3","5.92M","3.73%"
"08/20/2021","13,226.5","13,570.6","14,013.2","12,882.3","7.31M","-3.24%"
"08/23/2021","12,833.1","12,980.6","13,472.3","12,783.9","3.07M","-2.97%"
"08/24/2021","12,587.3","12,833.1","13,079.0","12,292.3","2.94M","-1.92%"
"08/25/2021","12,882.3","12,587.3","12,931.4","12,390.6","1.77M","2.34%"
"08/26/2021","12,882.3","12,980.6","13,128.1","12,783.9","2.45M","0.00%"
"08/27/2021","13,521.5","12,636.4","13,521.5","12,636.4","3.87M","4.96%"
"08/30/2021","13,767.3","13,914.8","14,062.3","13,669.0","5.33M","1.82%"
"08/31/2021","13,324.8","13,767.3","13,767.3","13,275.6","4.20M","-3.21%"
"09/01/2021","13,865.7","13,177.3","14,013.2","13,177.3","4.81M","4.06%"
"09/06/2021","14,554.0","14,259.0","14,799.9","14,062.3","9.15M","4.96%"
"09/07/2021","14,013.2","14,554.0","14,603.2","13,865.7","5.16M","-3.72%"
"09/08/2021","13,619.8","13,914.8","14,062.3","13,570.6","5.07M","-2.81%"
"09/09/2021","13,964.0","13,472.3","14,111.5","13,472.3","3.04M","2.53%"
"09/10/2021","13,718.2","14,357.3","14,357.3","13,669.0","4.11M","-1.76%"
"09/13/2021","13,472.3","13,718.2","13,767.3","13,423.1","4.14M","-1.79%"
"09/14/2021","13,374.0","13,423.1","13,767.3","13,374.0","2.73M","-0.73%"
"09/15/2021","14,259.0","13,275.6","14,308.2","13,275.6","6.54M","6.62%"
"09/16/2021","14,111.5","14,455.7","14,701.5","14,062.3","3.74M","-1.03%"
"09/17/2021","14,160.7","14,111.5","14,504.9","14,062.3","3.73M","0.35%"
"09/20/2021","13,619.8","14,209.8","14,259.0","13,521.5","5.81M","-3.82%"
"09/21/2021","13,472.3","13,177.3","13,619.8","13,128.1","4.88M","-1.08%"
"09/22/2021","13,865.7","13,570.6","13,964.0","13,472.3","3.41M","2.92%"
"09/23/2021","13,718.2","13,964.0","14,111.5","13,669.0","2.87M","-1.06%"
"09/24/2021","13,619.8","13,767.3","13,865.7","13,570.6","3.17M","-0.72%"
"09/27/2021","12,980.6","13,619.8","13,669.0","12,980.6","3.44M","-4.69%"
"09/28/2021","13,275.6","12,882.3","13,374.0","12,882.3","2.20M","2.27%"
"09/29/2021","13,767.3","13,423.1","13,964.0","13,275.6","3.82M","3.70%"
"09/30/2021","13,669.0","13,767.3","13,964.0","13,619.8","1.67M","-0.71%"
"10/01/2021","13,767.3","13,570.6","13,865.7","13,472.3","2.05M","0.72%"
"10/04/2021","14,308.2","13,718.2","14,554.0","13,669.0","6.92M","3.93%"
"10/05/2021","14,209.8","14,455.7","14,504.9","14,160.7","2.38M","-0.69%"
"10/06/2021","15,193.2","14,357.3","15,193.2","14,308.2","14.76M","6.92%"
"10/07/2021","15,340.7","15,340.7","15,734.1","15,193.2","6.90M","0.97%"
"10/08/2021","15,094.9","15,439.1","15,439.1","15,045.7","4.11M","-1.60%"
"10/11/2021","15,094.9","15,045.7","15,439.1","14,996.5","6.08M","0.00%"
"10/12/2021","15,488.2","15,094.9","15,684.9","15,045.7","7.20M","2.61%"
"10/13/2021","15,389.9","15,586.6","15,635.7","15,291.6","2.86M","-0.63%"
"10/14/2021","15,537.4","15,439.1","15,881.6","15,389.9","4.54M","0.96%"
"10/15/2021","15,389.9","15,586.6","15,734.1","15,193.2","4.49M","-0.95%"
"10/18/2021","15,045.7","15,389.9","15,635.7","15,045.7","4.11M","-2.24%"
"10/19/2021","15,144.1","15,045.7","15,488.2","14,750.7","3.49M","0.65%"
"10/20/2021","15,045.7","15,340.7","15,389.9","14,750.7","3.86M","-0.65%"
"10/21/2021","15,488.2","15,144.1","15,586.6","14,947.4","3.81M","2.94%"
"10/22/2021","16,225.8","15,783.2","16,570.0","15,783.2","8.85M","4.76%"
"10/25/2021","16,078.3","16,225.8","16,520.8","15,930.8","4.33M","-0.91%"
"10/26/2021","16,176.6","16,029.1","16,225.8","15,734.1","3.82M","0.61%"
"10/27/2021","16,324.1","16,176.6","16,668.3","16,078.3","4.77M","0.91%"
"10/28/2021","16,225.8","16,520.8","16,520.8","16,176.6","4.16M","-0.60%"
"10/29/2021","16,619.1","16,422.4","17,160.0","16,274.9","5.53M","2.42%"
"11/01/2021","16,225.8","16,717.5","16,815.8","16,127.4","5.90M","-2.37%"
"11/02/2021","17,012.5","16,225.8","17,061.6","16,225.8","6.28M","4.85%"
"11/03/2021","15,832.4","17,110.8","17,258.3","15,832.4","9.22M","-6.94%"
"11/04/2021","15,979.9","15,783.2","16,274.9","15,537.4","4.25M","0.93%"
"11/05/2021","16,127.4","16,176.6","16,225.8","15,832.4","2.75M","0.92%"
"11/08/2021","16,274.9","16,127.4","16,520.8","15,979.9","4.68M","0.91%"
"11/09/2021","16,324.1","16,324.1","16,668.3","16,127.4","4.05M","0.30%"
"11/10/2021","17,405.8","16,520.8","17,405.8","16,176.6","10.41M","6.63%"
"11/11/2021","17,307.5","17,602.5","17,848.3","17,012.5","6.23M","-0.56%"
"11/12/2021","17,750.0","17,405.8","17,946.7","17,012.5","6.02M","2.56%"
"11/15/2021","18,000.0","17,900.0","18,400.0","17,500.0","7.93M","1.41%"
"11/16/2021","18,000.0","18,000.0","18,500.0","17,250.0","6.19M","0.00%"
"11/17/2021","17,800.0","17,900.0","18,000.0","17,700.0","3.02M","-1.11%"
"11/18/2021","18,050.0","17,800.0","18,700.0","17,600.0","6.23M","1.40%"
"11/19/2021","17,900.0","18,200.0","18,750.0","16,800.0","7.98M","-0.83%"
"11/22/2021","16,650.0","18,000.0","18,150.0","16,650.0","6.74M","-6.98%"
