"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","13,500.0","13,500.0","13,800.0","13,500.0","20.70K","0.00%"
"07/02/2021","12,600.0","13,500.0","14,000.0","12,600.0","9.90K","-6.67%"
"07/05/2021","13,400.0","13,400.0","13,400.0","13,400.0","0.10K","6.35%"
"07/06/2021","12,900.0","13,450.0","13,450.0","12,900.0","5.80K","-3.73%"
"07/07/2021","12,600.0","12,600.0","12,600.0","12,600.0","3.00K","-2.33%"
"07/08/2021","12,700.0","13,350.0","13,400.0","12,700.0","6.10K","0.79%"
"07/09/2021","11,900.0","12,700.0","12,700.0","11,900.0","1.60K","-6.30%"
"07/12/2021","11,100.0","11,900.0","11,900.0","11,100.0","2.70K","-6.72%"
"07/13/2021","11,250.0","11,800.0","11,800.0","11,250.0","5.90K","1.35%"
"07/14/2021","11,300.0","11,300.0","11,400.0","11,300.0","1.00K","0.44%"
"07/15/2021","11,450.0","11,950.0","11,950.0","11,450.0","0.60K","1.33%"
"07/16/2021","12,150.0","12,150.0","12,150.0","12,150.0","0.50K","6.11%"
"07/19/2021","11,600.0","11,300.0","11,600.0","11,300.0","0.30K","-4.53%"
"07/20/2021","11,600.0","11,000.0","11,600.0","11,000.0","0.30K","0.00%"
"07/21/2021","10,800.0","12,050.0","12,050.0","10,800.0","1.10K","-6.90%"
"07/22/2021","11,100.0","11,100.0","11,100.0","11,100.0","0.40K","2.78%"
"07/23/2021","11,150.0","11,150.0","11,150.0","11,150.0","0.20K","0.45%"
"07/26/2021","11,150.0","11,150.0","11,150.0","11,150.0","0.10K","0.00%"
"07/27/2021","11,150.0","11,150.0","11,150.0","11,150.0","0.10K","0.00%"
"08/02/2021","10,700.0","10,400.0","11,750.0","10,400.0","0.30K","-4.04%"
"08/03/2021","10,500.0","10,500.0","10,500.0","10,500.0","0.20K","-1.87%"
"08/04/2021","10,900.0","10,900.0","10,900.0","10,900.0","0.60K","3.81%"
"08/05/2021","10,900.0","10,900.0","10,900.0","10,900.0","0.20K","0.00%"
"08/06/2021","11,000.0","11,000.0","11,000.0","11,000.0","0.10K","0.92%"
"08/09/2021","11,000.0","11,000.0","11,000.0","11,000.0","2.60K","0.00%"
"08/10/2021","11,050.0","11,100.0","11,100.0","11,050.0","0.50K","0.45%"
"08/11/2021","11,400.0","11,050.0","11,500.0","11,050.0","2.30K","3.17%"
