"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","22,622.5","22,491.0","22,688.3","22,491.0","310.81K","0.88%"
"07/02/2021","22,885.6","22,688.3","22,885.6","22,688.3","336.21K","1.16%"
"07/05/2021","22,918.5","22,951.4","23,017.1","22,819.8","216.38K","0.14%"
"07/06/2021","22,984.2","22,951.4","23,674.8","22,951.4","281.01K","0.29%"
"07/07/2021","22,984.2","22,819.8","23,148.7","22,819.8","259.42K","0.00%"
"07/08/2021","22,885.6","23,082.9","23,280.2","22,162.2","342.44K","-0.43%"
"07/09/2021","23,017.1","22,754.1","23,148.7","22,754.1","295.45K","0.57%"
"07/12/2021","22,359.5","22,885.6","23,345.9","21,405.9","352.78K","-2.86%"
"07/13/2021","22,359.5","21,964.9","23,017.1","21,899.2","326.02K","0.00%"
"07/14/2021","21,701.9","22,359.5","22,491.0","21,701.9","262.31K","-2.94%"
"07/15/2021","21,833.4","21,570.3","21,899.2","21,175.8","298.95K","0.61%"
"07/16/2021","21,899.2","21,833.4","21,964.9","21,833.4","253.79K","0.30%"
"07/19/2021","20,846.9","21,373.0","21,373.0","20,386.6","217.14K","-4.81%"
"07/20/2021","21,307.3","20,912.7","21,307.3","20,846.9","292.87K","2.21%"
"07/21/2021","21,504.6","21,438.8","21,570.3","21,307.3","253.64K","0.93%"
"07/22/2021","22,425.3","21,373.0","22,556.8","21,373.0","366.16K","4.28%"
"07/23/2021","22,754.1","22,556.8","22,885.6","22,556.8","303.36K","1.47%"
"07/26/2021","23,017.1","22,556.8","23,017.1","22,556.8","316.13K","1.16%"
"07/27/2021","23,411.7","23,148.7","23,543.2","23,082.9","378.78K","1.71%"
"07/28/2021","23,214.4","23,280.2","23,477.5","23,214.4","271.12K","-0.84%"
"07/29/2021","23,411.7","23,214.4","23,411.7","23,214.4","292.26K","0.85%"
"07/30/2021","23,609.0","23,477.5","23,740.5","23,477.5","306.71K","0.84%"
"08/02/2021","23,477.5","23,609.0","23,806.3","23,411.7","276.14K","-0.56%"
"08/03/2021","23,641.9","23,411.7","23,674.8","23,411.7","233.11K","0.70%"
"08/04/2021","23,345.9","23,477.5","23,740.5","23,345.9","272.80K","-1.25%"
"08/05/2021","23,411.7","23,214.4","23,510.4","23,214.4","283.75K","0.28%"
"08/06/2021","23,609.0","23,543.2","23,674.8","23,411.7","273.86K","0.84%"
"08/09/2021","23,411.7","23,477.5","23,641.9","23,411.7","248.77K","-0.84%"
"08/10/2021","22,951.4","23,280.2","23,609.0","22,754.1","378.18K","-1.97%"
"08/11/2021","23,148.7","22,819.8","23,280.2","22,754.1","442.19K","0.86%"
"08/12/2021","23,543.2","23,017.1","23,609.0","23,017.1","517.01K","1.70%"
"08/13/2021","24,003.6","23,609.0","24,003.6","23,411.7","653.56K","1.96%"
"08/16/2021","24,332.4","24,135.1","24,332.4","23,609.0","581.02K","1.37%"
"08/17/2021","24,003.6","24,266.6","24,496.8","23,806.3","570.08K","-1.35%"
"08/18/2021","23,872.1","23,674.8","23,872.1","23,477.5","537.23K","-0.55%"
"08/19/2021","24,266.6","23,937.8","24,398.2","23,806.3","666.79K","1.65%"
"08/20/2021","23,740.5","24,365.3","24,463.9","23,477.5","533.58K","-2.17%"
"08/23/2021","23,017.1","23,609.0","23,806.3","22,885.6","452.23K","-3.05%"
"08/24/2021","23,148.7","23,017.1","23,181.5","22,885.6","481.88K","0.57%"
"08/25/2021","23,411.7","23,148.7","23,510.4","23,148.7","498.61K","1.14%"
"08/26/2021","23,543.2","23,477.5","23,740.5","23,477.5","466.52K","0.56%"
"08/27/2021","23,872.1","23,609.0","24,069.3","23,477.5","550.76K","1.40%"
"08/30/2021","24,266.6","23,937.8","24,398.2","23,937.8","571.14K","1.65%"
"08/31/2021","24,661.2","24,332.4","24,727.0","24,332.4","615.69K","1.63%"
"09/01/2021","25,055.8","24,727.0","25,187.3","24,661.2","562.32K","1.60%"
"09/06/2021","25,384.6","25,121.6","25,483.2","25,121.6","521.72K","1.31%"
"09/07/2021","24,463.9","25,318.8","25,450.4","24,398.2","477.62K","-3.63%"
"09/08/2021","24,628.3","24,529.7","24,694.1","24,200.9","470.63K","0.67%"
"09/09/2021","24,924.3","24,661.2","24,990.0","24,628.3","531.30K","1.20%"
"09/10/2021","25,121.6","24,990.0","25,187.3","24,924.3","483.40K","0.79%"
"09/13/2021","25,516.1","25,187.3","25,614.8","25,187.3","522.02K","1.57%"
"09/14/2021","25,779.2","25,647.7","25,844.9","25,581.9","520.81K","1.03%"
"09/15/2021","25,351.7","25,647.7","25,877.8","25,253.1","473.97K","-1.66%"
"09/16/2021","25,187.3","25,384.6","25,647.7","25,187.3","449.64K","-0.65%"
