"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","13,400.0","13,300.0","13,650.0","12,800.0","32.16M","0.75%"
"07/02/2021","13,050.0","13,700.0","13,700.0","13,050.0","15.22M","-2.61%"
"07/05/2021","12,300.0","13,050.0","13,050.0","12,300.0","31.35M","-5.75%"
"07/06/2021","11,900.0","12,300.0","13,000.0","11,900.0","28.64M","-3.25%"
"07/07/2021","11,900.0","11,950.0","12,400.0","11,600.0","17.11M","0.00%"
"07/08/2021","11,800.0","11,900.0","12,300.0","11,750.0","14.15M","-0.84%"
"07/09/2021","11,150.0","11,600.0","11,800.0","11,000.0","37.06M","-5.51%"
"07/12/2021","10,400.0","10,700.0","10,950.0","10,400.0","26.66M","-6.73%"
"07/13/2021","11,100.0","10,050.0","11,100.0","10,050.0","30.17M","6.73%"
"07/14/2021","11,800.0","11,700.0","11,850.0","10,800.0","43.49M","6.31%"
"07/15/2021","11,500.0","11,500.0","12,100.0","11,300.0","19.02M","-2.54%"
"07/16/2021","11,050.0","11,350.0","11,600.0","11,050.0","21.88M","-3.91%"
"07/19/2021","10,300.0","10,500.0","10,700.0","10,300.0","37.45M","-6.79%"
"07/20/2021","11,000.0","10,500.0","11,000.0","10,150.0","16.04M","6.80%"
"07/21/2021","10,850.0","11,200.0","11,200.0","10,750.0","12.40M","-1.36%"
"07/22/2021","11,000.0","10,950.0","11,500.0","10,600.0","27.78M","1.38%"
"07/23/2021","10,600.0","10,900.0","11,050.0","10,600.0","12.34M","-3.64%"
"07/26/2021","10,600.0","10,400.0","10,850.0","10,400.0","10.32M","0.00%"
"07/27/2021","10,850.0","10,700.0","11,300.0","10,700.0","34.66M","2.36%"
"07/28/2021","10,900.0","10,750.0","11,000.0","10,750.0","5.35M","0.46%"
"07/29/2021","11,000.0","11,000.0","11,200.0","10,900.0","8.51M","0.92%"
"07/30/2021","11,150.0","11,050.0","11,300.0","10,950.0","13.83M","1.36%"
"08/02/2021","10,900.0","11,200.0","11,300.0","10,850.0","21.82M","-2.24%"
"08/03/2021","11,050.0","11,000.0","11,400.0","10,800.0","26.08M","1.38%"
"08/04/2021","11,400.0","11,150.0","11,600.0","11,100.0","20.05M","3.17%"
"08/05/2021","11,450.0","11,400.0","11,550.0","11,200.0","14.78M","0.44%"
"08/06/2021","11,600.0","11,450.0","11,900.0","11,350.0","26.26M","1.31%"
"08/09/2021","11,600.0","11,500.0","11,650.0","11,400.0","11.35M","0.00%"
"08/10/2021","11,450.0","11,600.0","11,800.0","11,450.0","13.64M","-1.29%"
"08/11/2021","11,600.0","11,550.0","11,700.0","11,400.0","21.10M","1.31%"
"08/12/2021","11,550.0","11,600.0","11,900.0","11,500.0","16.41M","-0.43%"
"08/13/2021","11,200.0","11,550.0","11,650.0","10,950.0","23.11M","-3.03%"
"08/16/2021","11,150.0","11,250.0","11,400.0","11,050.0","21.66M","-0.45%"
"08/17/2021","11,300.0","11,150.0","11,450.0","11,100.0","12.42M","1.35%"
"08/18/2021","11,100.0","11,300.0","11,300.0","11,100.0","10.19M","-1.77%"
"08/19/2021","10,950.0","11,100.0","11,150.0","10,950.0","14.35M","-1.35%"
"08/20/2021","10,450.0","10,950.0","11,200.0","10,400.0","25.64M","-4.57%"
"08/23/2021","10,500.0","10,450.0","10,800.0","10,400.0","14.51M","0.48%"
"08/24/2021","10,400.0","10,500.0","10,700.0","10,350.0","9.14M","-0.95%"
"08/25/2021","10,400.0","10,400.0","10,550.0","10,150.0","13.11M","0.00%"
"08/26/2021","10,250.0","10,450.0","10,600.0","10,250.0","6.83M","-1.44%"
"08/27/2021","10,250.0","10,250.0","10,400.0","10,100.0","10.74M","0.00%"
"08/30/2021","10,400.0","10,350.0","10,500.0","10,250.0","8.25M","1.46%"
"08/31/2021","10,700.0","10,450.0","10,800.0","10,350.0","15.62M","2.88%"
"09/01/2021","10,550.0","10,600.0","10,900.0","10,550.0","10.26M","-1.40%"
"09/06/2021","11,250.0","10,550.0","11,250.0","10,550.0","22.35M","6.64%"
"09/07/2021","10,800.0","11,400.0","11,500.0","10,750.0","20.69M","-4.00%"
"09/08/2021","10,750.0","10,800.0","10,950.0","10,600.0","11.08M","-0.46%"
"09/09/2021","11,050.0","10,750.0","11,100.0","10,650.0","13.98M","2.79%"
"09/10/2021","10,850.0","11,100.0","11,200.0","10,800.0","11.41M","-1.81%"
"09/13/2021","10,700.0","10,900.0","11,000.0","10,700.0","10.92M","-1.38%"
"09/14/2021","10,800.0","10,700.0","10,950.0","10,650.0","12.62M","0.93%"
"09/15/2021","10,900.0","10,800.0","11,250.0","10,700.0","11.14M","0.93%"
"09/16/2021","10,750.0","10,900.0","11,000.0","10,750.0","7.41M","-1.38%"
"09/17/2021","10,850.0","10,800.0","11,000.0","10,750.0","9.59M","0.93%"
"09/20/2021","10,900.0","10,900.0","11,300.0","10,850.0","16.83M","0.46%"
"09/21/2021","11,050.0","10,800.0","11,200.0","10,650.0","18.33M","1.38%"
"09/22/2021","11,800.0","11,450.0","11,800.0","11,350.0","38.20M","6.79%"
"09/23/2021","11,300.0","12,550.0","12,600.0","11,300.0","39.98M","-4.24%"
"09/24/2021","11,450.0","11,500.0","11,750.0","11,300.0","12.93M","1.33%"
"09/27/2021","10,800.0","11,500.0","11,550.0","10,800.0","28.23M","-5.68%"
"09/28/2021","10,800.0","10,750.0","10,900.0","10,500.0","14.14M","0.00%"
"09/29/2021","10,850.0","10,800.0","10,950.0","10,600.0","10.10M","0.46%"
"09/30/2021","10,850.0","10,800.0","10,950.0","10,700.0","9.03M","0.00%"
"10/01/2021","10,700.0","10,750.0","10,850.0","10,700.0","9.77M","-1.38%"
"10/04/2021","11,400.0","10,800.0","11,400.0","10,700.0","18.68M","6.54%"
"10/05/2021","11,100.0","11,550.0","11,700.0","11,050.0","14.65M","-2.63%"
"10/06/2021","11,250.0","11,200.0","11,600.0","11,100.0","10.40M","1.35%"
"10/07/2021","11,250.0","11,250.0","11,500.0","11,250.0","10.84M","0.00%"
"10/08/2021","11,400.0","11,450.0","11,900.0","11,400.0","27.10M","1.33%"
"10/11/2021","12,150.0","11,450.0","12,150.0","11,400.0","34.74M","6.58%"
"10/12/2021","12,450.0","12,200.0","12,700.0","11,850.0","34.91M","2.47%"
"10/13/2021","12,100.0","12,350.0","12,600.0","12,100.0","20.91M","-2.81%"
"10/14/2021","12,300.0","12,100.0","12,550.0","12,100.0","15.50M","1.65%"
"10/15/2021","12,000.0","12,400.0","12,500.0","11,950.0","27.11M","-2.44%"
"10/18/2021","11,600.0","12,100.0","12,100.0","11,550.0","27.27M","-3.33%"
"10/19/2021","11,700.0","11,700.0","11,950.0","11,550.0","10.23M","0.86%"
"10/20/2021","11,550.0","11,700.0","11,850.0","11,350.0","15.14M","-1.28%"
"10/21/2021","12,000.0","11,700.0","12,200.0","11,550.0","19.16M","3.90%"
"10/22/2021","11,800.0","12,100.0","12,100.0","11,750.0","9.32M","-1.67%"
"10/25/2021","11,750.0","11,900.0","12,150.0","11,700.0","14.29M","-0.42%"
"10/26/2021","12,000.0","11,700.0","12,400.0","11,600.0","23.69M","2.13%"
"10/27/2021","12,000.0","12,100.0","12,400.0","11,950.0","13.10M","0.00%"
"10/28/2021","12,100.0","12,000.0","12,300.0","11,950.0","14.11M","0.83%"
"10/29/2021","12,100.0","12,150.0","12,350.0","11,950.0","24.34M","0.00%"
"11/01/2021","12,450.0","12,300.0","12,700.0","12,250.0","25.73M","2.89%"
"11/02/2021","12,700.0","12,450.0","12,800.0","12,250.0","27.95M","2.01%"
"11/03/2021","12,200.0","12,950.0","13,200.0","12,200.0","30.53M","-3.94%"
"11/04/2021","12,200.0","12,300.0","12,450.0","12,200.0","12.97M","0.00%"
"11/05/2021","12,550.0","12,300.0","12,900.0","12,200.0","19.47M","2.87%"
"11/08/2021","13,200.0","12,750.0","13,400.0","12,700.0","44.35M","5.18%"
"11/09/2021","13,200.0","13,300.0","13,400.0","12,900.0","20.75M","0.00%"
"11/10/2021","13,000.0","13,100.0","13,300.0","12,950.0","17.69M","-1.52%"
"11/11/2021","13,700.0","13,100.0","13,800.0","13,000.0","38.74M","5.38%"
"11/12/2021","13,900.0","13,900.0","14,200.0","13,700.0","20.97M","1.46%"
"11/15/2021","14,850.0","14,300.0","14,850.0","14,100.0","42.26M","6.83%"
"11/16/2021","14,450.0","15,000.0","15,400.0","14,150.0","36.66M","-2.69%"
"11/17/2021","14,600.0","14,400.0","14,900.0","14,250.0","20.55M","1.04%"
"11/18/2021","15,600.0","14,600.0","15,600.0","14,600.0","33.05M","6.85%"
"11/19/2021","16,500.0","16,000.0","16,650.0","15,050.0","45.05M","5.77%"
"11/22/2021","15,500.0","16,200.0","16,850.0","15,350.0","48.63M","-6.06%"
"11/23/2021","14,700.0","15,150.0","15,500.0","14,500.0","24.95M","-5.16%"
"11/24/2021","14,800.0","15,000.0","15,400.0","14,700.0","22.73M","0.68%"
"11/25/2021","15,700.0","14,900.0","15,700.0","14,600.0","35.33M","6.08%"
"11/26/2021","15,150.0","15,850.0","15,900.0","15,150.0","18.20M","-3.50%"
"11/29/2021","15,050.0","14,500.0","15,300.0","14,500.0","25.45M","-0.66%"
"11/30/2021","14,650.0","15,200.0","15,350.0","14,600.0","30.51M","-2.66%"
"12/01/2021","15,500.0","14,600.0","15,650.0","14,450.0","24.61M","5.80%"
"12/02/2021","15,000.0","15,500.0","15,900.0","15,000.0","20.72M","-3.23%"
"12/03/2021","14,600.0","15,100.0","15,200.0","14,450.0","23.19M","-2.67%"
"12/06/2021","14,550.0","14,950.0","15,150.0","13,900.0","23.16M","-0.34%"
"12/07/2021","14,700.0","14,850.0","14,900.0","14,400.0","12.71M","1.03%"
"12/08/2021","14,900.0","14,750.0","15,450.0","14,750.0","17.50M","1.36%"
"12/09/2021","15,300.0","14,900.0","15,500.0","14,800.0","16.00M","2.68%"
"12/10/2021","15,000.0","15,300.0","15,450.0","14,900.0","16.58M","-1.96%"
"12/13/2021","16,050.0","15,100.0","16,050.0","15,000.0","31.56M","7.00%"
"12/14/2021","15,800.0","16,300.0","16,600.0","15,800.0","21.20M","-1.56%"
"12/15/2021","16,300.0","15,850.0","16,450.0","15,650.0","22.96M","3.16%"
"12/16/2021","17,400.0","16,550.0","17,400.0","16,500.0","35.49M","6.75%"
"12/17/2021","17,000.0","17,900.0","18,550.0","17,000.0","36.03M","-2.30%"
"12/20/2021","17,950.0","16,800.0","18,000.0","16,600.0","26.35M","5.59%"
"12/21/2021","18,000.0","18,050.0","18,400.0","17,500.0","17.41M","0.28%"
"12/22/2021","18,550.0","18,000.0","18,800.0","17,800.0","26.94M","3.06%"
