"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","30,694.0","28,668.0","30,733.0","28,668.0","948.99K","6.78%"
"07/02/2021","32,486.0","31,940.0","32,797.0","31,084.0","1.16M","5.84%"
"07/05/2021","31,940.0","32,719.0","33,109.0","31,161.0","570.33K","-1.68%"
"07/06/2021","30,382.0","31,785.0","32,564.0","30,382.0","634.43K","-4.88%"
"07/07/2021","30,304.0","30,382.0","30,421.0","28,357.0","504.58K","-0.26%"
"07/08/2021","29,603.0","30,304.0","30,850.0","29,253.0","504.58K","-2.31%"
"07/09/2021","27,656.0","29,214.0","29,525.0","27,539.0","580.46K","-6.58%"
"07/12/2021","25,747.0","26,487.0","26,487.0","25,747.0","554.62K","-6.90%"
"07/13/2021","25,825.0","25,747.0","26,877.0","24,540.0","488.49K","0.30%"
"07/14/2021","24,851.0","25,825.0","26,409.0","24,267.0","370.42K","-3.77%"
"07/15/2021","26,176.0","24,929.0","26,176.0","24,384.0","351.67K","5.33%"
"07/16/2021","26,253.0","26,565.0","26,643.0","25,942.0","341.67K","0.29%"
"07/19/2021","24,423.0","24,579.0","25,786.0","24,423.0","360.16K","-6.97%"
"07/20/2021","25,708.0","24,423.0","25,864.0","23,683.0","568.56K","5.26%"
"07/21/2021","26,176.0","26,098.0","26,877.0","25,786.0","554.62K","1.82%"
"07/22/2021","26,487.0","26,176.0","26,721.0","25,708.0","366.88K","1.19%"
"07/23/2021","25,708.0","26,487.0","26,487.0","25,708.0","462.90K","-2.94%"
"07/26/2021","25,241.0","24,929.0","25,747.0","24,462.0","265.15K","-1.82%"
"07/27/2021","25,786.0","24,540.0","26,331.0","24,540.0","476.08K","2.16%"
"07/28/2021","25,786.0","26,020.0","26,020.0","25,241.0","182.04K","0.00%"
"07/29/2021","26,643.0","25,786.0","26,643.0","25,708.0","388.79K","3.32%"
"07/30/2021","27,422.0","26,877.0","27,578.0","26,799.0","603.01K","2.92%"
"08/02/2021","29,214.0","27,422.0","29,214.0","27,266.0","1.45M","6.53%"
"08/03/2021","30,889.0","29,214.0","31,084.0","29,214.0","1.37M","5.73%"
"08/04/2021","31,161.0","32,213.0","32,213.0","30,889.0","937.08K","0.88%"
"08/05/2021","31,317.0","30,538.0","31,512.0","30,149.0","948.23K","0.50%"
"08/06/2021","31,940.0","31,161.0","32,642.0","30,538.0","1.49M","1.99%"
"08/09/2021","34,083.0","31,940.0","34,083.0","31,707.0","1.44M","6.71%"
"08/10/2021","34,901.0","35,057.0","35,057.0","34,239.0","803.30K","2.40%"
"08/11/2021","34,901.0","34,862.0","35,368.0","34,044.0","1.43M","0.00%"
"08/12/2021","35,836.0","34,278.0","35,991.0","34,044.0","1.28M","2.68%"
"08/13/2021","38,329.0","35,524.0","38,329.0","35,524.0","1.32M","6.96%"
"08/16/2021","40,977.0","40,510.0","40,977.0","39,419.0","1.33M","6.91%"
"08/17/2021","42,068.0","40,977.0","42,847.0","39,731.0","1.40M","2.66%"
"08/18/2021","41,990.0","41,445.0","42,847.0","41,133.0","1.18M","-0.19%"
"08/19/2021","41,289.0","41,990.0","42,457.0","41,133.0","1.24M","-1.67%"
"08/20/2021","41,367.0","40,899.0","42,847.0","40,510.0","1.90M","0.19%"
"08/23/2021","43,704.0","41,445.0","43,860.0","40,977.0","1.79M","5.65%"
